vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-1.6343e-09	-6.638e-11	-2.37e-12	2.3596e-06	-2.3544e-06	-1.8459e-09	1.9211e-10	-3.05e-12	2.3388e-06	-2.3379e-06	-2.5235e-09	9.8393e-10	-1.1e-13	2.3381e-06	-2.3392e-06	-4.9589e-09	3.6208e-09	-3.88e-12	2.342e-06	-2.3381e-06	-1.19084e-08	1.23362e-08	5.3e-13	2.3462e-06	-2.343e-06	-3.49136e-08	9.82272e-08	4e-13	2.284e-06	-2.3464e-06	-1.21e-07	1.6607e-06	-1.36e-12	9.3756e-07	-2.4671e-06
0.005	-1.5429e-09	-6.72e-11	3.25e-12	2.3559e-06	-2.353e-06	-1.7167e-09	1.8826e-10	2.95e-12	2.3377e-06	-2.3368e-06	-2.3332e-09	9.4034e-10	1.51e-12	2.3395e-06	-2.3356e-06	-4.6957e-09	3.4957e-09	1.21e-12	2.3392e-06	-2.3396e-06	-1.13836e-08	1.19602e-08	-2.4e-12	2.3439e-06	-2.3419e-06	-3.3414e-08	9.68162e-08	-1.74e-12	2.2809e-06	-2.3402e-06	-1.1576e-07	1.6509e-06	5.4e-13	9.3736e-07	-2.4673e-06
0.01	-1.4472e-09	-6.999e-11	4e-13	2.3547e-06	-2.351e-06	-1.6057e-09	1.792e-10	2.41e-12	2.3381e-06	-2.3313e-06	-2.2017e-09	9.004e-10	5.7e-13	2.3426e-06	-2.3407e-06	-4.4788e-09	3.3745e-09	8.9e-13	2.3389e-06	-2.3381e-06	-1.09164e-08	1.1582e-08	4e-13	2.345e-06	-2.3442e-06	-3.2065e-08	9.54322e-08	1.93e-12	2.2791e-06	-2.3399e-06	-1.1076e-07	1.6452e-06	1.83e-12	9.3608e-07	-2.4672e-06
0.015	-1.3536e-09	-7.061e-11	2.58e-12	2.3521e-06	-2.3492e-06	-1.5046e-09	1.7242e-10	5.5e-13	2.338e-06	-2.3362e-06	-2.071e-09	8.6251e-10	-2.41e-12	2.3385e-06	-2.3334e-06	-4.2587e-09	3.2564e-09	-5e-13	2.3429e-06	-2.3378e-06	-1.0459e-08	1.12238e-08	-2.4e-12	2.3464e-06	-2.3419e-06	-3.07292e-08	9.41626e-08	-4.1e-13	2.278e-06	-2.339e-06	-1.0582e-07	1.6401e-06	-4.9e-13	9.3878e-07	-2.4687e-06
0.02	-1.2661e-09	-7.544e-11	1.9e-12	2.3504e-06	-2.347e-06	-1.414e-09	1.6508e-10	-7e-14	2.336e-06	-2.335e-06	-1.9401e-09	8.2405e-10	-1.92e-12	2.3355e-06	-2.3342e-06	-4.0593e-09	3.1433e-09	-2.6e-13	2.338e-06	-2.3347e-06	-1.00322e-08	1.08874e-08	2.36e-12	2.3483e-06	-2.3451e-06	-2.94888e-08	9.29824e-08	-1.45e-12	2.2784e-06	-2.3407e-06	-1.0142e-07	1.6312e-06	2.31e-12	9.3804e-07	-2.4629e-06
0.025	-1.1863e-09	-7.561e-11	9.4e-13	2.3457e-06	-2.3436e-06	-1.3141e-09	1.5758e-10	-4.4e-13	2.3343e-06	-2.3334e-06	-1.8183e-09	7.8607e-10	-1.59e-12	2.337e-06	-2.3345e-06	-3.8682e-09	3.0283e-09	-2.6e-13	2.3379e-06	-2.3359e-06	-9.639e-09	1.05682e-08	-4.1e-13	2.3443e-06	-2.3416e-06	-2.82952e-08	9.19078e-08	1.95e-12	2.2769e-06	-2.3366e-06	-9.69662e-08	1.6262e-06	-2.33e-12	9.3842e-07	-2.4614e-06
0.03	-1.1035e-09	-7.731e-11	-1.1e-13	2.3471e-06	-2.3452e-06	-1.2361e-09	1.5196e-10	1.59e-12	2.3374e-06	-2.3336e-06	-1.6955e-09	7.5152e-10	-6.3e-13	2.3346e-06	-2.3334e-06	-3.674e-09	2.9234e-09	-4e-13	2.3393e-06	-2.3345e-06	-9.2495e-09	1.02408e-08	7.4e-13	2.3469e-06	-2.3462e-06	-2.71178e-08	9.0797e-08	-1.71e-12	2.2762e-06	-2.3383e-06	-9.28502e-08	1.6236e-06	3.09e-12	9.3944e-07	-2.4635e-06
0.035	-1.0271e-09	-7.969e-11	-1.54e-12	2.3448e-06	-2.3432e-06	-1.1562e-09	1.45e-10	3.99e-12	2.3354e-06	-2.3321e-06	-1.5946e-09	7.19e-10	1e-13	2.3366e-06	-2.3329e-06	-3.493e-09	2.8176e-09	-1.5e-12	2.3374e-06	-2.335e-06	-8.859e-09	9.95e-09	-9.6e-13	2.3455e-06	-2.3417e-06	-2.60004e-08	8.98042e-08	1.36e-12	2.2757e-06	-2.3372e-06	-8.88106e-08	1.6167e-06	-1.9e-12	9.4162e-07	-2.4653e-06
0.04	-9.5639e-10	-8.315e-11	6.6e-13	2.3462e-06	-2.3428e-06	-1.0746e-09	1.3976e-10	2.59e-12	2.3351e-06	-2.3333e-06	-1.49e-09	6.9147e-10	-1.21e-12	2.3367e-06	-2.3343e-06	-3.3162e-09	2.714e-09	-5.1e-13	2.3392e-06	-2.3356e-06	-8.5022e-09	9.6361e-09	7e-13	2.3417e-06	-2.3416e-06	-2.49254e-08	8.88478e-08	-1e-14	2.2759e-06	-2.3375e-06	-8.49976e-08	1.6136e-06	-1.57e-12	9.377e-07	-2.4646e-06
0.045	-8.8107e-10	-8.589e-11	-1.4e-13	2.3436e-06	-2.3423e-06	-9.971e-10	1.3554e-10	6.7e-13	2.3374e-06	-2.3331e-06	-1.3781e-09	6.5955e-10	1.38e-12	2.3365e-06	-2.3333e-06	-3.1443e-09	2.6203e-09	-4.8e-13	2.3413e-06	-2.3356e-06	-8.1307e-09	9.3421e-09	2.43e-12	2.3405e-06	-2.3408e-06	-2.3889e-08	8.79072e-08	-2.05e-12	2.2772e-06	-2.3383e-06	-8.13194e-08	1.61e-06	2.87e-12	9.4168e-07	-2.4656e-06
