Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	-1.12000000000001e-09	-8.84000000000001e-09	-2.54200000000001e-08	-3.20000000000005e-08	-4.64000000000003e-08	-8.35599999999999e-08
-0.295	-3.54000000000001e-09	-1.01166666666667e-08	-2.3035e-08	-3.24233333333336e-08	-4.75633333333334e-08	-8.36066666666666e-08
-0.29	-5.25800000000002e-09	-1.0434e-08	-2.00540000000001e-08	-3.25340000000002e-08	-4.84800000000002e-08	-8.27160000000001e-08
-0.285	-6.19900000000002e-09	-1.0723e-08	-1.9836e-08	-3.26440000000001e-08	-4.90380000000001e-08	-8.13120000000002e-08
-0.28	-6.89100000000001e-09	-1.0908e-08	-1.9718e-08	-3.2328e-08	-4.93300000000001e-08	-7.99100000000002e-08
-0.275	-6.92400000000001e-09	-1.0665e-08	-1.96e-08	-3.16760000000001e-08	-4.88180000000001e-08	-7.94120000000001e-08
-0.27	-6.418e-09	-1.06564e-08	-2.0286e-08	-3.10600000000001e-08	-4.782e-08	-7.90720000000001e-08
-0.265	-6.124e-09	-1.10331e-08	-2.0362e-08	-3.0342e-08	-4.688e-08	-7.8298e-08
-0.26	-6.16099999999999e-09	-1.09644e-08	-1.9145e-08	-2.9624e-08	-4.6176e-08	-7.79819999999999e-08
-0.255	-5.967e-09	-1.07255e-08	-1.8273e-08	-2.9278e-08	-4.54859999999999e-08	-7.78719999999999e-08
-0.25	-5.49899999999999e-09	-1.08613e-08	-1.7817e-08	-2.9516e-08	-4.4454e-08	-7.59699999999999e-08
-0.245	-5.37699999999999e-09	-1.06966e-08	-1.7638e-08	-2.9584e-08	-4.4068e-08	-7.29399999999998e-08
-0.24	-5.291e-09	-9.8414e-09	-1.801e-08	-2.8656e-08	-4.165e-08	-7.09279999999999e-08
-0.235	-4.898e-09	-9.3434e-09	-1.7698e-08	-2.7664e-08	-3.8086e-08	-6.93719999999999e-08
-0.23	-4.66400000000001e-09	-9.5943e-09	-1.7007e-08	-2.6794e-08	-3.9234e-08	-6.7102e-08
-0.225	-4.77500000000001e-09	-9.6424e-09	-1.6829e-08	-2.5598e-08	-4.14740000000001e-08	-6.55380000000001e-08
-0.22	-4.863e-09	-9.4404e-09	-1.6443e-08	-2.4858e-08	-4.10880000000001e-08	-6.59320000000001e-08
-0.215	-4.717e-09	-9.6979e-09	-1.5535e-08	-2.5054e-08	-4.2498e-08	-6.67260000000001e-08
-0.21	-4.61499999999999e-09	-9.8238e-09	-1.5258e-08	-2.5188e-08	-4.4392e-08	-6.59660000000002e-08
-0.205	-4.51599999999999e-09	-9.1566e-09	-1.5431e-08	-2.5044e-08	-4.1626e-08	-6.42720000000002e-08
-0.2	-4.291e-09	-8.4411e-09	-1.508e-08	-2.484e-08	-3.8446e-08	-6.26480000000001e-08
-0.195	-3.846e-09	-8.0218e-09	-1.4752e-08	-2.215e-08	-3.769e-08	-6.048e-08
-0.19	-3.42199999999999e-09	-7.6948e-09	-1.4707e-08	-1.9554e-08	-3.76e-08	-5.79939999999998e-08
-0.185	-3.386e-09	-7.4978e-09	-1.4578e-08	-2.148e-08	-3.7716e-08	-5.68919999999998e-08
-0.18	-3.57200000000001e-09	-7.5178e-09	-1.415e-08	-2.3232e-08	-3.74579999999999e-08	-5.71639999999999e-08
-0.175	-3.634e-09	-7.6377e-09	-1.3692e-08	-2.2822e-08	-3.66099999999999e-08	-5.75019999999999e-08
-0.17	-3.66800000000001e-09	-7.6314e-09	-1.2417e-08	-2.4892e-08	-3.5612e-08	-5.7094e-08
-0.165	-3.92800000000001e-09	-7.6171e-09	-1.1205e-08	-2.6756e-08	-3.523e-08	-5.55420000000001e-08
-0.16	-4.02500000000001e-09	-7.5532e-09	-1.2108e-08	-2.4132e-08	-3.4968e-08	-5.41420000000001e-08
-0.155	-3.645e-09	-7.2886e-09	-1.2967e-08	-2.1936e-08	-3.4746e-08	-5.3162e-08
-0.15	-3.198e-09	-6.9769e-09	-1.2876e-08	-2.1798e-08	-3.51560000000001e-08	-5.16019999999999e-08
-0.145	-2.951e-09	-6.5556e-09	-1.3773e-08	-2.1154e-08	-3.5364e-08	-5.03299999999999e-08
-0.14	-2.76599999999999e-09	-6.1421e-09	-1.4389e-08	-2.059e-08	-3.4178e-08	-5.0336e-08
-0.135	-2.61899999999999e-09	-6.1053e-09	-1.2815e-08	-2.0174e-08	-3.237e-08	-5.0216e-08
-0.13	-2.628e-09	-6.138e-09	-1.1343e-08	-1.98e-08	-3.1258e-08	-4.8852e-08
-0.125	-2.811e-09	-5.9139e-09	-1.1121e-08	-1.9544e-08	-3.0794e-08	-4.7404e-08
-0.12	-2.885e-09	-5.844e-09	-1.1105e-08	-1.9252e-08	-3.0208e-08	-4.6774e-08
-0.115	-2.81600000000001e-09	-6.0035e-09	-1.1175e-08	-1.921e-08	-2.9864e-08	-4.71679999999999e-08
-0.11	-2.689e-09	-5.8776e-09	-1.1017e-08	-1.921e-08	-3.0514e-08	-4.7246e-08
-0.105	-2.43299999999999e-09	-5.5546e-09	-1.082e-08	-1.8904e-08	-3.049e-08	-4.66640000000001e-08
-0.1	-2.26999999999999e-09	-5.3512e-09	-1.0789e-08	-1.8506e-08	-2.884e-08	-4.62960000000001e-08
-0.095	-2.20499999999999e-09	-5.1412e-09	-1.0529e-08	-1.82e-08	-2.7788e-08	-4.5174e-08
-0.09	-2.12899999999999e-09	-4.802e-09	-9.973e-09	-1.7746e-08	-2.7656e-08	-4.3252e-08
-0.085	-2.064e-09	-4.4352e-09	-9.52399999999999e-09	-1.6994e-08	-2.7216e-08	-4.1804e-08
-0.08	-2.17300000000001e-09	-4.2011e-09	-9.33499999999999e-09	-1.563e-08	-2.7028e-08	-4.1094e-08
-0.075	-2.28e-09	-4.4172e-09	-9.08899999999999e-09	-1.4598e-08	-2.7226e-08	-4.031e-08
-0.07	-2.291e-09	-4.8143e-09	-8.77999999999999e-09	-1.5066e-08	-2.7184e-08	-4.0222e-08
-0.065	-2.28100000000001e-09	-4.7418e-09	-8.82400000000001e-09	-1.5366e-08	-2.697e-08	-4.05740000000002e-08
-0.06	-2.051e-09	-4.5839e-09	-8.96400000000001e-09	-1.5098e-08	-2.6446e-08	-4.00920000000002e-08
-0.055	-1.76e-09	-4.4007e-09	-8.804e-09	-1.5624e-08	-2.5128e-08	-3.9332e-08
-0.05	-1.45400000000001e-09	-3.9441e-09	-7.404e-09	-1.568e-08	-2.399e-08	-3.92579999999999e-08
-0.045	-1.032e-09	-3.719e-09	-6.21299999999999e-09	-1.4556e-08	-2.3838e-08	-3.9148e-08
-0.04	-8.45999999999995e-10	-3.7688e-09	-7.14699999999999e-09	-1.485e-08	-2.3274e-08	-3.75619999999999e-08
-0.035	-1.171e-09	-3.7318e-09	-7.78199999999999e-09	-1.5792e-08	-2.2284e-08	-3.5682e-08
-0.03	-1.50499999999999e-09	-3.6945e-09	-7.541e-09	-1.5404e-08	-2.2452e-08	-3.49180000000001e-08
-0.025	-1.70199999999998e-09	-3.6719e-09	-8.62000000000001e-09	-1.5502e-08	-2.3612e-08	-3.4798e-08
-0.02	-1.77199999999999e-09	-2.911e-09	-9.31700000000001e-09	-1.5841e-08	-2.39e-08	-3.422e-08
-0.015	-1.56e-09	-2.2481e-09	-7.74500000000001e-09	-1.4575e-08	-2.3248e-08	-3.4052e-08
-0.01	-1.295e-09	-2.8436e-09	-6.77500000000001e-09	-1.3226e-08	-2.3262e-08	-3.5502e-08
-0.005	-1.18400000000001e-09	-2.7226e-09	-6.83200000000001e-09	-1.3115e-08	-2.3282e-08	-3.6274e-08
0	-1.027e-09	-2.0179e-09	-6.474e-09	-1.3055e-08	-2.1982e-08	-3.50400000000001e-08
0.005	-9.29000000000008e-10	-3.0005e-09	-6.41e-09	-1.243e-08	-2.0662e-08	-3.44080000000001e-08
