Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	1.42439999999999e-07	2.24e-07	4.51999999999999e-07	3.11999999999999e-07	6.28000000000002e-07	9.59999999999997e-07	7.67999999999991e-07	1.076e-06	1.41600000000001e-06	7.99999999999996e-07
-0.295	1.22926666666666e-07	2.02333333333333e-07	3.66666666666666e-07	3.70666666666666e-07	5.58333333333334e-07	7.96999999999998e-07	7.49999999999996e-07	8.78333333333333e-07	1.14866666666667e-06	7.38e-07
-0.29	1.10204e-07	1.912e-07	3.136e-07	3.46e-07	4.61600000000002e-07	6.934e-07	6.59799999999998e-07	7.72800000000001e-07	9.96600000000003e-07	7.13200000000002e-07
-0.285	1.01172e-07	1.706e-07	2.742e-07	3.496e-07	4.10800000000002e-07	5.958e-07	6.21199999999999e-07	6.954e-07	8.59400000000003e-07	7.07400000000003e-07
-0.28	9.32400000000001e-08	1.574e-07	2.41800000000001e-07	3.476e-07	3.74600000000002e-07	5.3e-07	5.824e-07	6.586e-07	7.31600000000002e-07	7.30400000000002e-07
-0.275	9.20160000000002e-08	1.51e-07	2.50000000000001e-07	3.354e-07	3.77000000000001e-07	5.016e-07	5.354e-07	6.26200000000001e-07	6.66400000000001e-07	7.51800000000001e-07
-0.27	9.054e-08	1.416e-07	2.674e-07	3.268e-07	4.012e-07	4.74e-07	5.302e-07	6.052e-07	6.49e-07	7.43e-07
-0.265	8.33399999999999e-08	1.476e-07	2.6e-07	3.25e-07	4.17399999999999e-07	4.642e-07	5.48399999999999e-07	6.00199999999999e-07	6.402e-07	7.44599999999999e-07
-0.26	7.68999999999999e-08	1.652e-07	2.54e-07	3.2e-07	4.14799999999999e-07	4.7e-07	5.334e-07	5.70999999999999e-07	6.478e-07	7.47199999999999e-07
-0.255	7.97879999999999e-08	1.68e-07	2.556e-07	3.086e-07	3.85799999999999e-07	4.47600000000001e-07	5.08200000000001e-07	5.59e-07	6.65599999999999e-07	7.25399999999998e-07
-0.25	9.15599999999999e-08	1.71e-07	2.456e-07	3.002e-07	3.75599999999999e-07	4.276e-07	5.06000000000001e-07	5.804e-07	6.89999999999999e-07	7.19599999999998e-07
-0.245	9.739e-08	1.802e-07	2.458e-07	3.048e-07	4.05e-07	4.33e-07	5.092e-07	5.982e-07	7.126e-07	7.19999999999999e-07
-0.24	9.60600000000001e-08	1.756e-07	2.648e-07	3.286e-07	4.164e-07	4.326e-07	4.992e-07	6.29200000000001e-07	7.38e-07	7.08e-07
-0.235	9.94500000000001e-08	1.65e-07	2.728e-07	3.654e-07	4.196e-07	4.556e-07	4.93000000000001e-07	6.496e-07	7.728e-07	7.17600000000002e-07
-0.23	1.00122e-07	1.634e-07	2.63e-07	3.866e-07	4.366e-07	5.028e-07	5.084e-07	6.438e-07	7.93000000000001e-07	7.13000000000002e-07
-0.225	9.41339999999999e-08	1.738e-07	2.528e-07	3.808e-07	4.338e-07	5.05e-07	5.44999999999999e-07	6.458e-07	7.83200000000001e-07	7.02400000000002e-07
-0.22	9.57219999999999e-08	1.852e-07	2.558e-07	3.768e-07	4.102e-07	4.906e-07	5.656e-07	6.576e-07	7.45200000000001e-07	7.72600000000001e-07
-0.215	1.04042e-07	1.842e-07	2.528e-07	3.866e-07	4.10200000000001e-07	5.044e-07	5.72600000000001e-07	6.784e-07	6.956e-07	8.44000000000001e-07
-0.21	1.0495e-07	1.906e-07	2.512e-07	3.692e-07	4.372e-07	5.046e-07	5.83600000000001e-07	6.91600000000001e-07	6.47799999999999e-07	8.244e-07
-0.205	9.89720000000001e-08	2.062e-07	2.734e-07	3.358e-07	4.54e-07	5.08e-07	5.88400000000001e-07	6.794e-07	6.39599999999999e-07	8.086e-07
-0.2	9.53180000000001e-08	2.024e-07	2.928e-07	3.528e-07	4.52800000000001e-07	5.478e-07	5.94600000000001e-07	6.946e-07	6.826e-07	8.36200000000001e-07
-0.195	9.7944e-08	1.988e-07	2.77e-07	3.868e-07	4.67200000000001e-07	5.81200000000001e-07	5.97e-07	7.032e-07	7.43800000000001e-07	8.11800000000001e-07
-0.19	1.03098e-07	2.114e-07	2.568e-07	3.676e-07	4.854e-07	5.80600000000001e-07	5.93999999999999e-07	6.93199999999999e-07	7.746e-07	7.18599999999999e-07
-0.185	1.09486e-07	2.124e-07	2.76e-07	3.53999999999999e-07	4.75e-07	5.534e-07	6.24999999999999e-07	7.202e-07	7.808e-07	6.97199999999998e-07
-0.18	1.1896e-07	2.09e-07	3.08e-07	3.772e-07	4.568e-07	5.4e-07	6.624e-07	7.50400000000001e-07	8.066e-07	7.74399999999999e-07
-0.175	1.21004e-07	2.17e-07	3.076e-07	3.694e-07	4.578e-07	5.464e-07	6.364e-07	7.638e-07	8.14999999999999e-07	7.80399999999999e-07
-0.17	1.1634e-07	2.194e-07	3.05200000000001e-07	3.606e-07	4.626e-07	5.468e-07	6.044e-07	7.712e-07	8.16599999999998e-07	7.568e-07
-0.165	1.18488e-07	2.208e-07	3.27000000000001e-07	3.952e-07	4.594e-07	5.668e-07	6.28e-07	7.33e-07	8.42399999999998e-07	8.376e-07
-0.16	1.22942e-07	2.31e-07	3.364e-07	4.168e-07	4.82799999999999e-07	5.952e-07	6.474e-07	6.988e-07	8.67999999999999e-07	9.28e-07
-0.155	1.20546e-07	2.348e-07	3.306e-07	4.124e-07	5.25799999999999e-07	5.86e-07	6.584e-07	7.254e-07	8.962e-07	9.758e-07
-0.15	1.2037e-07	2.372e-07	3.444e-07	4.15600000000001e-07	5.466e-07	5.71800000000001e-07	7.006e-07	7.27800000000002e-07	9.412e-07	1.018e-06
-0.145	1.2508e-07	2.466e-07	3.738e-07	4.20600000000001e-07	5.376e-07	5.68e-07	7.518e-07	7.14200000000002e-07	9.41600000000002e-07	1.035e-06
-0.14	1.2634e-07	2.548e-07	3.90399999999999e-07	4.316e-07	5.278e-07	5.492e-07	7.99200000000001e-07	7.31000000000001e-07	9.02400000000003e-07	1.0444e-06
-0.135	1.31902e-07	2.538e-07	3.798e-07	4.492e-07	5.318e-07	5.566e-07	8.156e-07	7.53399999999999e-07	9.13800000000002e-07	1.0414e-06
-0.13	1.4554e-07	2.548e-07	3.558e-07	4.67599999999999e-07	5.646e-07	5.878e-07	8.038e-07	7.95799999999998e-07	9.30400000000001e-07	1.025e-06
-0.125	1.57738e-07	2.694e-07	3.648e-07	5.03199999999999e-07	6.13e-07	6.15e-07	8.122e-07	8.49199999999998e-07	9.308e-07	1.0768e-06
-0.12	1.67138e-07	2.854e-07	3.894e-07	5.32199999999999e-07	6.25400000000001e-07	6.60399999999999e-07	8.12799999999999e-07	8.70599999999998e-07	9.68399999999999e-07	1.1636e-06
-0.115	1.74766e-07	2.996e-07	3.92600000000001e-07	5.31e-07	6.36000000000001e-07	7.266e-07	7.922e-07	9.044e-07	1.0268e-06	1.2128e-06
-0.11	1.73102e-07	3.2e-07	4.16400000000001e-07	5.414e-07	6.54000000000001e-07	8.002e-07	8.13600000000001e-07	9.69000000000001e-07	1.0328e-06	1.2166e-06
-0.105	1.70726e-07	3.352e-07	4.812e-07	5.712e-07	6.41400000000001e-07	8.636e-07	8.376e-07	1.0022e-06	1.028e-06	1.1532e-06
-0.1	1.82186e-07	3.478e-07	5.218e-07	5.872e-07	6.57e-07	8.92800000000001e-07	8.47e-07	1.0302e-06	1.0586e-06	1.1224e-06
-0.095	1.9639e-07	3.69e-07	5.296e-07	6.078e-07	7.308e-07	8.90800000000001e-07	8.974e-07	1.0784e-06	1.0986e-06	1.154e-06
-0.09	2.10376e-07	3.782e-07	5.598e-07	6.532e-07	7.93999999999999e-07	8.972e-07	9.38599999999999e-07	1.1162e-06	1.169e-06	1.1644e-06
-0.085	2.34816e-07	3.988e-07	5.77e-07	6.876e-07	8.31999999999999e-07	9.338e-07	9.71999999999999e-07	1.165e-06	1.2706e-06	1.245e-06
-0.08	2.59612e-07	4.59e-07	5.668e-07	7.04e-07	8.904e-07	9.902e-07	1.0762e-06	1.2164e-06	1.3668e-06	1.4114e-06
-0.075	2.80628e-07	5.12e-07	5.968e-07	7.50599999999999e-07	9.41e-07	1.0618e-06	1.1916e-06	1.2524e-06	1.4656e-06	1.5198e-06
-0.07	3.0661e-07	5.436e-07	6.57800000000001e-07	8.236e-07	9.788e-07	1.1638e-06	1.264e-06	1.3432e-06	1.5494e-06	1.5846e-06
-0.065	3.3177e-07	5.974e-07	7.22600000000001e-07	8.81400000000001e-07	1.0564e-06	1.2636e-06	1.3504e-06	1.4854e-06	1.584e-06	1.6872e-06
-0.06	3.58182e-07	6.678e-07	8.194e-07	9.678e-07	1.1562e-06	1.325e-06	1.4434e-06	1.572e-06	1.6412e-06	1.8118e-06
-0.055	3.96162e-07	7.322e-07	9.394e-07	1.1198e-06	1.2478e-06	1.3992e-06	1.5202e-06	1.6316e-06	1.7576e-06	1.925e-06
-0.05	4.38812e-07	7.996e-07	1.0514e-06	1.2302e-06	1.3554e-06	1.508e-06	1.6314e-06	1.7494e-06	1.8966e-06	2.0288e-06
-0.045	4.84476e-07	8.796e-07	1.1412e-06	1.2888e-06	1.4896e-06	1.6534e-06	1.8066e-06	1.9292e-06	2.0532e-06	2.196e-06
-0.04	5.41518e-07	9.836e-07	1.2362e-06	1.4102e-06	1.632e-06	1.8516e-06	2.023e-06	2.1254e-06	2.2974e-06	2.4364e-06
-0.035	6.10356e-07	1.104e-06	1.3728e-06	1.5692e-06	1.8004e-06	2.0542e-06	2.2446e-06	2.3194e-06	2.5852e-06	2.6838e-06
-0.03	6.89786e-07	1.2206e-06	1.5048e-06	1.7302e-06	1.9966e-06	2.2438e-06	2.4632e-06	2.5582e-06	2.8426e-06	2.9644e-06
-0.025	7.68722e-07	1.353e-06	1.628e-06	1.9594e-06	2.2042e-06	2.4828e-06	2.7296e-06	2.8448e-06	3.1034e-06	3.2788e-06
-0.02	8.47464e-07	1.5328e-06	1.8344e-06	2.2322e-06	2.4562e-06	2.748e-06	3.0216e-06	3.1388e-06	3.4186e-06	3.5718e-06
-0.015	9.55846e-07	1.7448e-06	2.1004e-06	2.488e-06	2.785e-06	3.0368e-06	3.2998e-06	3.4586e-06	3.7582e-06	3.9112e-06
-0.01	1.102702e-06	1.9666e-06	2.3518e-06	2.783e-06	3.1606e-06	3.4416e-06	3.6284e-06	3.8578e-06	4.1056e-06	4.3642e-06
-0.005	1.272712e-06	2.227e-06	2.6436e-06	3.1218e-06	3.5582e-06	3.9172e-06	4.0816e-06	4.3682e-06	4.5622e-06	4.8612e-06
0	1.472204e-06	2.557e-06	3.0126e-06	3.4792e-06	3.999e-06	4.4074e-06	4.6602e-06	4.9654e-06	5.1566e-06	5.4236e-06
0.005	1.6948e-06	2.951e-06	3.42e-06	3.9228e-06	4.5186e-06	4.9678e-06	5.2826e-06	5.6088e-06	5.8588e-06	6.0886e-06
0.01	1.9348e-06	3.3874e-06	3.8676e-06	4.4718e-06	5.1226e-06	5.6162e-06	5.9348e-06	6.3286e-06	6.6672e-06	6.848e-06
0.015	2.2086e-06	3.8562e-06	4.4142e-06	5.1148e-06	5.8142e-06	6.3802e-06	6.7352e-06	7.116e-06	7.579e-06	7.7316e-06
0.02	2.5102e-06	4.3676e-06	5.109e-06	5.867e-06	6.617e-06	7.2788e-06	7.694e-06	7.9952e-06	8.5588e-06	8.7582e-06
0.025	2.851e-06	4.938e-06	5.881e-06	6.7302e-06	7.5376e-06	8.3238e-06	8.693e-06	9.1164e-06	9.6694e-06	9.9526e-06
0.03	3.256e-06	5.5938e-06	6.713e-06	7.7414e-06	8.6418e-06	9.5422e-06	9.8876e-06	1.04662e-05	1.10098e-05	1.14084e-05
0.035	3.723e-06	6.41e-06	7.7526e-06	8.9246e-06	9.907e-06	1.09016e-05	1.15086e-05	1.19794e-05	1.25662e-05	1.31036e-05
0.04	4.2672e-06	7.4576e-06	8.9604e-06	1.02502e-05	1.1292e-05	1.25148e-05	1.33246e-05	1.37668e-05	1.43356e-05	1.49058e-05
0.045	4.9146e-06	8.6796e-06	1.0206e-05	1.17732e-05	1.29636e-05	1.44072e-05	1.51644e-05	1.58082e-05	1.63966e-05	1.69714e-05
0.05	5.6814e-06	1.0033e-05	1.16712e-05	1.35318e-05	1.50068e-05	1.64158e-05	1.7384e-05	1.80858e-05	1.8768e-05	1.9464e-05
0.055	6.603e-06	1.16548e-05	1.35134e-05	1.55672e-05	1.72636e-05	1.88246e-05	1.9971e-05	2.0757e-05	2.1413e-05	2.2198e-05
0.06	7.673e-06	1.3545e-05	1.55672e-05	1.80008e-05	1.9844e-05	2.1809e-05	2.27634e-05	2.38624e-05	2.4486e-05	2.5231e-05
0.065	8.8234e-06	1.54844e-05	1.78948e-05	2.0848e-05	2.28902e-05	2.51368e-05	2.60274e-05	2.7369e-05	2.8208e-05	2.889e-05
0.07	1.01084e-05	1.76646e-05	2.06946e-05	2.3943e-05	2.62142e-05	2.90612e-05	2.9824e-05	3.1429e-05	3.2639e-05	3.3165e-05
0.075	1.15794e-05	2.03386e-05	2.38786e-05	2.73902e-05	3.00376e-05	3.3655e-05	3.416e-05	3.6059e-05	3.7668e-05	3.7953e-05
0.08	1.31976e-05	2.336e-05	2.74718e-05	3.15198e-05	3.45052e-05	3.8603e-05	3.9256e-05	4.1189e-05	4.3397e-05	4.346e-05
0.085	1.51212e-05	2.69008e-05	3.1668e-05	3.6346e-05	3.9695e-05	4.426e-05	4.5218e-05	4.7362e-05	4.9983e-05	4.9974e-05
0.09	1.75008e-05	3.11196e-05	3.64258e-05	4.1849e-05	4.6001e-05	5.1177e-05	5.2103e-05	5.4687e-05	5.7369e-05	5.7324e-05
0.095	2.02546e-05	3.57524e-05	4.17216e-05	4.829e-05	5.3204e-05	5.8853e-05	6.0002e-05	6.284e-05	6.578e-05	6.5675e-05
0.1	2.35378e-05	4.08802e-05	4.7929e-05	5.5852e-05	6.0925e-05	6.6884e-05	6.8983e-05	7.2119e-05	7.5528e-05	7.591e-05
0.105	2.74416e-05	4.671e-05	5.5148e-05	6.4262e-05	6.9857e-05	7.6241e-05	7.9516e-05	8.3118e-05	8.6747e-05	8.7875e-05
0.11	3.15052e-05	5.3297e-05	6.3309e-05	7.3775e-05	8.0493e-05	8.7454e-05	9.1812e-05	9.5677e-05	9.9397e-05	0.000101236
0.115	3.59686e-05	6.0999e-05	7.271e-05	8.519e-05	9.2369e-05	0.000100191	0.000105376	0.000110088	0.000114065	0.000116814
0.12	4.15382e-05	7.0019e-05	8.3774e-05	9.8355e-05	0.000106569	0.000114946	0.000120915	0.000127131	0.000131435	0.000134789
0.125	4.8146e-05	8.0185e-05	9.66969999999999e-05	0.00011318	0.000123513	0.000132396	0.000139962	0.000146401	0.000151271	0.000155177
0.13	5.5121e-05	9.1721e-05	0.000111262	0.000130257	0.000141737	0.000152205	0.000161691	0.00016837	0.000173633	0.000178807
0.135	6.254e-05	0.000104754	0.000127743	0.000149732	0.000162521	0.000175167	0.000185332	0.000193885	0.000199478	0.000205426
0.14	7.1995e-05	0.00011839	0.000146527	0.000171466	0.000186877	0.000201997	0.00021243	0.000223243	0.000229917	0.000235209
0.145	8.2573e-05	0.000133324	0.000167402	0.000196181	0.000213987	0.000231784	0.000244138	0.000256163	0.000265188	0.000270056
0.15	9.3296e-05	0.000151403	0.00019094	0.000224921	0.000244882	0.000264976	0.000280554	0.000293489	0.000305038	0.000311194
0.155	0.00010717	0.000171926	0.000218188	0.000258157	0.000280662	0.000303375	0.000321372	0.000337592	0.000350129	0.000357472
0.16	0.000124523	0.000195071	0.000249321	0.000295255	0.000320799	0.000347382	0.000367722	0.000387565	0.000401659	0.000408491
0.165	0.000143059	0.000222392	0.000285286	0.000335896	0.000366499	0.000395402	0.000421305	0.000442339	0.000458679	0.000466913
0.17	0.000164003	0.000253818	0.000326232	0.000383599	0.000419389	0.000450553	0.000482018	0.0005051	0.00052264	0.00053456
0.175	0.000187988	0.000288548	0.000372565	0.000439798	0.000479573	0.0005186	0.00055102	0.00057832	0.00059746	0.00061074
0.18	0.000214303	0.000328841	0.000426554	0.000501414	0.00054916	0.00059626	0.00063134	0.000661	0.00068296	0.00069754
0.185	0.000243258	0.000373944	0.000486765	0.00057096	0.0006282	0.00068026	0.00072132	0.00075404	0.00077784	0.0007994
