Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	-6.09999999999996e-09	-1.156e-08	-1.844e-08	-1.802e-08	-3.42399999999999e-08	-3.64399999999997e-08
-0.295	-6.26316666666664e-09	-1.06616666666667e-08	-1.61466666666667e-08	-1.7255e-08	-3.022e-08	-3.31733333333332e-08
-0.29	-6.0199e-09	-9.85600000000001e-09	-1.4445e-08	-1.7216e-08	-2.7243e-08	-3.1616e-08
-0.285	-5.8724e-09	-9.19700000000001e-09	-1.3086e-08	-1.684e-08	-2.4414e-08	-2.9828e-08
-0.28	-5.68670000000001e-09	-8.69300000000001e-09	-1.2048e-08	-1.6643e-08	-2.17220000000001e-08	-2.8408e-08
-0.275	-5.39510000000001e-09	-8.38500000000001e-09	-1.1708e-08	-1.645e-08	-2.0331e-08	-2.7976e-08
-0.27	-5.1406e-09	-8.151e-09	-1.1752e-08	-1.6119e-08	-2.0674e-08	-2.7408e-08
-0.265	-5.03279999999999e-09	-8.012e-09	-1.1749e-08	-1.5829e-08	-2.1285e-08	-2.7048e-08
-0.26	-4.9283e-09	-7.85299999999999e-09	-1.168e-08	-1.5703e-08	-2.1621e-08	-2.7792e-08
-0.255	-4.6939e-09	-7.56599999999999e-09	-1.146e-08	-1.5674e-08	-2.2255e-08	-2.8094e-08
-0.25	-4.5043e-09	-7.301e-09	-1.1224e-08	-1.5694e-08	-2.2217e-08	-2.769e-08
-0.245	-4.4541e-09	-7.12e-09	-1.1101e-08	-1.563e-08	-2.0951e-08	-2.6542e-08
-0.24	-4.3614e-09	-7.019e-09	-1.0792e-08	-1.5591e-08	-2.022e-08	-2.5292e-08
-0.235	-4.2098e-09	-6.958e-09	-1.0492e-08	-1.5562e-08	-1.9878e-08	-2.5554e-08
-0.23	-4.1331e-09	-6.956e-09	-1.0558e-08	-1.5459e-08	-1.9276e-08	-2.6012e-08
-0.225	-4.1225e-09	-7.034e-09	-1.0479e-08	-1.5108e-08	-1.9339e-08	-2.5894e-08
-0.22	-4.0143e-09	-7.073e-09	-9.966e-09	-1.4567e-08	-1.9454e-08	-2.6692e-08
-0.215	-3.8474e-09	-6.899e-09	-9.695e-09	-1.4239e-08	-1.8954e-08	-2.6944e-08
-0.21	-3.7942e-09	-6.683e-09	-9.576e-09	-1.3819e-08	-1.8768e-08	-2.516e-08
-0.205	-3.7852e-09	-6.597e-09	-9.284e-09	-1.3348e-08	-1.9065e-08	-2.4e-08
-0.2	-3.6679e-09	-6.353e-09	-9.19100000000001e-09	-1.3317e-08	-1.8819e-08	-2.3574e-08
-0.195	-3.5676e-09	-5.959e-09	-9.286e-09	-1.329e-08	-1.8158e-08	-2.3228e-08
-0.19	-3.5705e-09	-5.724e-09	-9.322e-09	-1.2888e-08	-1.779e-08	-2.3502e-08
-0.185	-3.4692e-09	-5.605e-09	-9.283e-09	-1.263e-08	-1.7415e-08	-2.3164e-08
-0.18	-3.3477e-09	-5.346e-09	-9.14300000000001e-09	-1.244e-08	-1.6692e-08	-2.2638e-08
-0.175	-3.3387e-09	-5.12700000000001e-09	-8.81900000000001e-09	-1.1997e-08	-1.6214e-08	-2.2584e-08
-0.17	-3.2614e-09	-5.12500000000001e-09	-8.416e-09	-1.1701e-08	-1.5978e-08	-2.1676e-08
-0.165	-3.0902e-09	-5.111e-09	-8.024e-09	-1.171e-08	-1.5442e-08	-2.0362e-08
-0.16	-2.9797e-09	-4.945e-09	-7.60199999999999e-09	-1.1577e-08	-1.5014e-08	-1.9704e-08
-0.155	-2.8944e-09	-4.767e-09	-6.97799999999999e-09	-1.1154e-08	-1.4765e-08	-1.9106e-08
-0.15	-2.6817e-09	-4.617e-09	-6.432e-09	-1.0716e-08	-1.4295e-08	-1.8352e-08
-0.145	-2.4461e-09	-4.415e-09	-6.274e-09	-1.022e-08	-1.3718e-08	-1.8194e-08
-0.14	-2.2825e-09	-4.261e-09	-5.904e-09	-9.51400000000002e-09	-1.2988e-08	-1.8096e-08
