Vds	Gds_Vgs=0.15V	Gds_Vgs=0.30V	Gds_Vgs=0.45V	Gds_Vgs=0.60V	Gds_Vgs=0.75V	Gds_Vgs=0.90V
0	6.880011e-05	0.004755055	0.03542134	0.06530094	0.174501	0.1943896
0.005	6.604481e-05	0.004593432	0.04113684	0.08262712	0.17395	0.1941364
0.01	6.158247e-05	0.004324608	0.04840064	0.1053314	0.17284	0.1934628
0.015	5.586954e-05	0.003986264	0.05520564	0.1276476	0.17148	0.1926712
0.02	4.978823e-05	0.003633821	0.05743718	0.1383488	0.170276	0.1920166
0.025	4.45028e-05	0.00331292	0.05315116	0.131525	0.169255	0.1913874
0.03	4.00788e-05	0.00301162	0.0488002	0.124134	0.168176	0.190758
0.035	3.63116e-05	0.0027444	0.0465532	0.122232	0.167178	0.19029
0.04	3.3253e-05	0.0025209	0.044337	0.120258	0.16622	0.189824
0.045	3.0757e-05	0.00231236	0.042228	0.11816	0.165088	0.189262
0.05	2.8682e-05	0.00212486	0.04021	0.11605	0.163866	0.188848
0.055	2.6899e-05	0.0019786	0.038238	0.113912	0.162828	0.18855
0.06	2.5332e-05	0.001856	0.036378	0.111754	0.161998	0.188072
0.065	2.4048e-05	0.0017464	0.034602	0.109568	0.160804	0.187284
0.07	2.2888e-05	0.0016574	0.0329	0.10737	0.159342	0.186466
0.075	2.1733e-05	0.001582	0.031318	0.10514	0.158016	0.18552
0.08	2.0879e-05	0.0015152	0.029822	0.102914	0.156546	0.184346
0.085	2.043e-05	0.0014618	0.028384	0.100752	0.154756	0.1834
0.09	2.0198e-05	0.0014194	0.027036	0.09887	0.15326	0.1827
0.095	2.0091e-05	0.001379	0.025782	0.09715	0.1521	0.18192
0.1	2.0142e-05	0.0013442	0.024594	0.095054	0.15072	0.18112
0.105	2.0026e-05	0.0013172	0.023468	0.092744	0.14922	0.18032
0.11	1.9655e-05	0.0012888	0.022408	0.09051	0.14776	0.17942
0.115	1.9286e-05	0.0012664	0.021436	0.088064	0.14618	0.17854
0.12	1.8961e-05	0.0012508	0.020532	0.08538	0.14438	0.1775
0.125	1.8739e-05	0.0012306	0.019662	0.08302	0.1427	0.17638
0.13	1.8725e-05	0.0012164	0.018864	0.08086	0.14112	0.17544
0.135	1.8908e-05	0.0012118	0.018158	0.0786	0.13946	0.17446
0.14	1.9046e-05	0.0011984	0.017492	0.07636	0.13784	0.1734
0.145	1.9263e-05	0.0011816	0.01684	0.07424	0.13624	0.1725
0.15	1.9563e-05	0.0011776	0.016236	0.07214	0.13448	0.17158
0.155	1.9756e-05	0.0011718	0.01567	0.06992	0.13264	0.1705
0.16	1.9768e-05	0.0011586	0.015104	0.06772	0.13092	0.16946
0.165	1.9688e-05	0.001148	0.014576	0.06556	0.1292	0.16838
0.17	1.9748e-05	0.0011378	0.014096	0.06358	0.1274	0.16716
0.175	1.9724e-05	0.001125	0.013606	0.0617	0.12548	0.16588
0.18	1.938e-05	0.0011132	0.013158	0.05966	0.12356	0.16466
0.185	1.9042e-05	0.001107	0.012814	0.05764	0.1216	0.16338
0.19	1.8916e-05	0.001111	0.012524	0.0558	0.11956	0.16208
0.195	1.8762e-05	0.0011172	0.012268	0.05384	0.11766	0.16094
0.2	1.8805e-05	0.0011084	0.01206	0.05184	0.1159	0.15982
0.205	1.8991e-05	0.001092	0.011834	0.05016	0.11402	0.15856
0.21	1.9701e-05	0.001077	0.011526	0.04854	0.11196	0.15724
0.215	2.0709e-05	0.0010586	0.01118	0.04684	0.10986	0.1558
0.22	2.0395e-05	0.0010506	0.010884	0.04522	0.1078	0.15428
0.225	1.9497e-05	0.001061	0.010622	0.0437	0.10582	0.15294
0.23	1.9186e-05	0.001064	0.010326	0.0422	0.10376	0.15146
0.235	1.8446e-05	0.0010614	0.010138	0.04066	0.1017	0.14994
0.24	1.7412e-05	0.001068	0.010126	0.03912	0.09976	0.1487
0.245	1.7544e-05	0.0010594	0.010078	0.03774	0.09766	0.14728
0.25	1.8222e-05	0.0010406	0.00994	0.03648	0.0954	0.1456
0.255	1.856e-05	0.0010452	0.01004	0.03524	0.09332	0.14416
0.26	1.8548e-05	0.0010578	0.010116	0.03424	0.0913	0.1427
0.265	1.8588e-05	0.0010494	0.00965	0.0333	0.0892	0.14108
0.27	1.9107e-05	0.001042	0.009184	0.03206	0.08718	0.1397
0.275	1.9568e-05	0.0010452	0.009048	0.03084	0.0852	0.13816
0.28	2.0045e-05	0.0010342	0.008698	0.0298	0.0831	0.13622
0.285	2.0641e-05	0.001027	0.008324	0.02892	0.08094	0.13424
0.29	2.0744e-05	0.0010442	0.008492	0.02822	0.07888	0.13238
0.295	2.0371e-05	0.0010514	0.008688	0.02732	0.07684	0.13054
0.3	1.9945e-05	0.0010504	0.008644	0.02638	0.07472	0.12888
0.305	1.9613e-05	0.0010656	0.008692	0.02572	0.07264	0.12754
0.31	1.9763e-05	0.0010546	0.008716	0.02484	0.07082	0.12624
0.315	2.0442e-05	0.0010224	0.008586	0.02388	0.06918	0.12456
0.32	2.096e-05	0.0010184	0.008428	0.02348	0.0673	0.12244
0.325	2.1151e-05	0.0010248	0.00833	0.02308	0.06524	0.1202
0.33	2.1365e-05	0.001029	0.008246	0.0229	0.06344	0.11806
0.335	2.1193e-05	0.0010502	0.00817	0.02292	0.0616	0.11604
0.34	2.0906e-05	0.0010718	0.008116	0.022	0.0594	0.11412
0.345	2.1267e-05	0.0010698	0.008078	0.02098	0.05748	0.11242
0.35	2.1189e-05	0.0010612	0.007964	0.02042	0.05602	0.11082
0.355	2.0803e-05	0.001053	0.00784	0.01934	0.05444	0.1089
0.36	2.159e-05	0.0010428	0.007896	0.01838	0.0528	0.10678
0.365	2.2123e-05	0.0010432	0.008066	0.0186	0.05136	0.10484
0.37	2.1597e-05	0.0010574	0.008164	0.01914	0.0499	0.10296
0.375	2.195e-05	0.0010628	0.008182	0.01922	0.0483	0.10108
0.38	2.2534e-05	0.0010628	0.008124	0.01888	0.04666	0.09936
0.385	2.2229e-05	0.0010876	0.008234	0.01852	0.04516	0.09768
0.39	2.2785e-05	0.0011106	0.00836	0.01816	0.0439	0.0957
0.395	2.4018e-05	0.0011058	0.008002	0.0174	0.04276	0.09364
0.4	2.4101e-05	0.0011006	0.007698	0.01702	0.04218	0.09166
0.405	2.3612e-05	0.0011038	0.007708	0.01718	0.04184	0.08952
0.41	2.3306e-05	0.0010852	0.007474	0.01694	0.04042	0.08734
0.415	2.2667e-05	0.001057	0.007186	0.01678	0.03834	0.08542
0.42	2.2331e-05	0.0010638	0.007434	0.01692	0.0369	0.08362
0.425	2.2786e-05	0.001094	0.00772	0.01654	0.03556	0.08174
0.43	2.2987e-05	0.0010996	0.007716	0.01616	0.034	0.07992
0.435	2.3066e-05	0.0010984	0.007692	0.01616	0.03338	0.07856
0.44	2.3497e-05	0.001116	0.00765	0.01592	0.03328	0.07728
0.445	2.3751e-05	0.0011294	0.007962	0.01562	0.0326	0.07518
0.45	2.4192e-05	0.0011864	0.008268	0.01558	0.03154	0.07294
0.455	2.5082e-05	0.001245	0.007886	0.01554	0.03072	0.07104
0.46	2.5384e-05	0.001198	0.007508	0.0154	0.03006	0.0688
0.465	2.5394e-05	0.0011346	0.007518	0.01528	0.02932	0.06664
0.47	2.5811e-05	0.0011468	0.007144	0.0153	0.02866	0.0652
0.475	2.6185e-05	0.0011198	0.006734	0.01536	0.028	0.06382
0.48	2.6348e-05	0.0010704	0.007098	0.01518	0.02726	0.06226
0.485	2.6789e-05	0.0011284	0.007326	0.01464	0.02668	0.0607
0.49	2.7871e-05	0.0011732	0.007194	0.01436	0.0264	0.059
0.495	2.8409e-05	0.0011444	0.007416	0.01458	0.02612	0.0574
0.5	2.7694e-05	0.0011308	0.007552	0.01446	0.0256	0.05586
0.505	2.7313e-05	0.001144	0.00737	0.0143	0.02494	0.05438
0.51	2.986e-05	0.001149	0.007446	0.01478	0.0243	0.05358
0.515	3.138e-05	0.0011552	0.00757	0.01496	0.0236	0.05278
0.52	2.87e-05	0.0011574	0.007286	0.01436	0.02356	0.05094
0.525	2.768e-05	0.001223	0.007164	0.01418	0.02452	0.04912
0.53	2.862e-05	0.0013226	0.007368	0.0144	0.02508	0.04776
0.535	2.622e-05	0.001282	0.007454	0.01432	0.0243	0.04588
0.54	2.424e-05	0.0012082	0.007364	0.0141	0.023	0.04416
0.545	2.784e-05	0.0012044	0.007286	0.01392	0.02174	0.04364
0.55	3.05e-05	0.001138	0.00733	0.01392	0.02006	0.04318
0.555	3.042e-05	0.0010438	0.0074	0.01386	0.01896	0.04208
0.56	3.186e-05	0.0011456	0.00738	0.01424	0.01938	0.04098
0.565	3.234e-05	0.0012904	0.007334	0.01538	0.02024	0.03982
0.57	3.072e-05	0.0012638	0.00733	0.01544	0.02044	0.03852
0.575	2.98e-05	0.0012254	0.007278	0.01406	0.02046	0.03748
0.58	2.984e-05	0.001235	0.007204	0.0133	0.02044	0.03672
0.585	2.934e-05	0.0011886	0.007182	0.01274	0.02014	0.03594
0.59	2.902e-05	0.0011618	0.007154	0.01164	0.01988	0.03562
0.595	2.934e-05	0.0012404	0.007112	0.01214	0.01952	0.0356
0.6	3.032e-05	0.0012746	0.007126	0.01366	0.01872	0.03502
0.605	3.132e-05	0.0012448	0.007154	0.01368	0.01804	0.0343
0.61	3.118e-05	0.0012704	0.00708	0.01326	0.01824	0.03368
0.615	3.154e-05	0.0013046	0.007148	0.01318	0.01858	0.0326
0.62	3.234e-05	0.0012712	0.007414	0.01262	0.01856	0.03126
0.625	3.21e-05	0.001266	0.00747	0.01234	0.01884	0.03034
0.63	3.228e-05	0.0013944	0.00737	0.01284	0.0191	0.02966
0.635	3.382e-05	0.0014398	0.007434	0.01304	0.01856	0.02874
0.64	3.484e-05	0.0013112	0.007444	0.01284	0.018	0.02782
0.645	3.452e-05	0.0012798	0.007318	0.01278	0.0179	0.02742
0.65	3.396e-05	0.0012944	0.007294	0.01276	0.01784	0.02714
0.655	3.382e-05	0.0011816	0.00722	0.0127	0.01784	0.0265
0.66	3.388e-05	0.001137	0.006976	0.0126	0.01782	0.02614
0.665	3.364e-05	0.0012448	0.00678	0.01264	0.0175	0.02608
0.67	3.412e-05	0.0013186	0.006752	0.0127	0.01712	0.02564
0.675	3.554e-05	0.0013416	0.006758	0.01254	0.01694	0.02502
0.68	3.636e-05	0.001351	0.006856	0.01302	0.01688	0.02464
0.685	3.644e-05	0.0013348	0.007134	0.01378	0.0168	0.02432
0.69	3.658e-05	0.001348	0.007406	0.01332	0.0167	0.02376
0.695	3.646e-05	0.0013708	0.007494	0.01262	0.01672	0.02314
0.7	3.616e-05	0.0013618	0.007524	0.0125	0.01682	0.02296
0.705	3.642e-05	0.0013512	0.007552	0.01192	0.0167	0.02292
0.71	3.736e-05	0.0013658	0.007422	0.0113	0.01638	0.0224
0.715	3.76e-05	0.0013802	0.007258	0.01166	0.01638	0.02192
0.72	3.752e-05	0.0013706	0.007186	0.01208	0.01652	0.0218
0.725	3.92e-05	0.0013728	0.007106	0.01228	0.01636	0.02154
0.73	4.052e-05	0.0014026	0.007012	0.0125	0.01604	0.02112
0.735	4.016e-05	0.0014304	0.00699	0.0125	0.01586	0.02092
