Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	1.153706e-05	0.00146003324	0.0171108	0.016784	0.178612	0.202716
0.005	1.07549033333333e-05	0.00137442382666667	0.0310960333333333	0.0785637333333333	0.177567666666667	0.201955333333333
0.01	9.52328e-06	0.001232521296	0.03476072	0.10123312	0.1761472	0.2009508
0.015	8.438468e-06	0.001104814648	0.03798496	0.12152832	0.1747348	0.2000436
0.02	7.306657e-06	0.000966862662	0.03834444	0.13085384	0.1734084	0.1992946
0.025	6.318138e-06	0.000843067	0.0347349	0.12365688	0.1720246	0.1985196
0.03	5.509962e-06	0.00073806	0.0310802	0.11587	0.170558	0.197756
0.035	4.8518e-06	0.00064718	0.0288252	0.113296	0.169228	0.197208
0.04	4.3116e-06	0.00057178	0.0267168	0.110676	0.16782	0.196592
0.045	3.8178e-06	0.00050752	0.0246822	0.107918	0.166256	0.195968
0.05	3.3558e-06	0.00044894	0.0227754	0.105154	0.164746	0.195522
0.055	2.9964e-06	0.00039856	0.021008	0.10235	0.163342	0.194804
0.06	2.7294e-06	0.00035658	0.01933	0.099522	0.162046	0.193934
0.065	2.4786e-06	0.00031924	0.017766	0.09665	0.160514	0.193014
0.07	2.2672e-06	0.00028632	0.016322	0.093756	0.158782	0.191862
0.075	2.1062e-06	0.00026056	0.014976	0.090888	0.15702	0.190618
0.08	1.9528e-06	0.00024068	0.013762	0.088016	0.155058	0.18958
0.085	1.8498e-06	0.00022292	0.012624	0.085172	0.15303	0.18862
0.09	1.8216e-06	0.00020732	0.011552	0.08238	0.15124	0.18764
0.095	1.7326e-06	0.00019498	0.010608	0.079526	0.14946	0.18662
0.1	1.5576e-06	0.00018384	0.009744	0.076652	0.14754	0.18558
0.105	1.4168e-06	0.00017848	0.00895200000000001	0.074056	0.14566	0.18468
0.11	1.2774e-06	0.00017464	0.00828	0.071624	0.14372	0.18368
0.115	1.1102e-06	0.0001607	0.007666	0.069002	0.14172	0.18264
0.12	1.068e-06	0.00014896	0.007076	0.06624	0.13962	0.18152
0.125	1.158e-06	0.00014556	0.00655999999999999	0.063464	0.13754	0.1802
0.13	1.2902e-06	0.00013638	0.00609999999999999	0.06052	0.13552	0.1789
0.135	1.4622e-06	0.00012498	0.005698	0.057486	0.1334	0.17776
0.14	1.4772e-06	0.00012566	0.00535	0.05476	0.13122	0.17662
0.145	1.2798e-06	0.00012822	0.00502	0.05236	0.1292	0.17554
0.15	1.1402e-06	0.0001252	0.00474000000000001	0.04998	0.12714	0.17452
0.155	1.028e-06	0.00012374	0.004532	0.04758	0.12474	0.17322
0.16	8.232e-07	0.00012462	0.004298	0.04526	0.12238	0.17178
0.165	8.09800000000001e-07	0.00012532	0.004022	0.04306	0.12022	0.17042
0.17	1.006e-06	0.00012328	0.003846	0.04082	0.1179	0.16904
0.175	1.086e-06	0.00011942	0.003718	0.03856	0.11536	0.16752
0.18	1.0746e-06	0.00011914	0.003534	0.03658	0.11302	0.16618
0.185	1.1406e-06	0.0001267	0.0034	0.03462	0.11076	0.16502
0.19	1.1966e-06	0.0001309	0.00336599999999999	0.03246	0.10832	0.1637
0.195	1.1554e-06	0.00012436	0.00333399999999999	0.03048	0.10592	0.1623
0.2	1.1136e-06	0.00011814	0.00332599999999999	0.02888	0.10374	0.16098
