Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	-9.29999999999999e-08	-2.5344e-07	6.71199999999999e-08	1.7234e-07	2.5166e-07	-2.7932e-07
-0.295	-3.94366666666666e-08	-1.68501666666667e-07	2.95483333333333e-08	1.24413333333333e-07	1.60775e-07	-2.03273333333333e-07
-0.29	-1.31719999999999e-08	-7.09419999999998e-08	-4.49300000000013e-09	8.2085e-08	7.86309999999999e-08	-1.02382e-07
-0.285	7.00700000000006e-09	-1.50649999999998e-08	-3.12510000000001e-08	4.9672e-08	1.60709999999999e-08	-6.88239999999998e-08
-0.28	1.4948e-08	2.98660000000001e-08	-5.12940000000001e-08	2.2311e-08	-3.42280000000001e-08	-5.06999999999998e-08
-0.275	5.47600000000005e-09	4.05560000000001e-08	-5.70670000000001e-08	5.38200000000003e-09	-5.826e-08	-3.31999999999999e-08
-0.27	-7.34099999999998e-09	2.08370000000001e-08	-5.3808e-08	-6.92099999999997e-09	-6.6629e-08	-2.86579999999999e-08
-0.265	-1.6962e-08	1.081e-09	-4.6293e-08	-1.9212e-08	-7.00729999999999e-08	-4.14099999999999e-08
-0.26	-1.9858e-08	-1.21e-08	-3.4205e-08	-3.1486e-08	-6.8821e-08	-3.5662e-08
-0.255	-1.1211e-08	-2.5927e-08	-2.0107e-08	-4.3322e-08	-6.4046e-08	-3.59200000000002e-09
-0.25	-1.79999999999972e-11	-3.957e-08	-6.693e-09	-5.2306e-08	-5.5209e-08	-8.11400000000003e-09
-0.245	7.565e-09	-3.9965e-08	5.64200000000001e-09	-5.853e-08	-4.2154e-08	-4.0094e-08
-0.24	1.2165e-08	-2.5695e-08	1.7296e-08	-6.1699e-08	-2.7667e-08	-3.1178e-08
-0.235	8.69899999999999e-09	-1.8682e-08	2.7055e-08	-5.9266e-08	-1.4448e-08	-2.0566e-08
-0.23	-4.014e-09	-2.0115e-08	3.2734e-08	-5.1711e-08	-2.50599999999999e-09	-4.0254e-08
-0.225	-1.6732e-08	-8.54899999999998e-09	3.4342e-08	-3.9457e-08	8.60699999999999e-09	-3.3296e-08
-0.22	-1.8218e-08	3.77000000000021e-10	3.3187e-08	-2.2988e-08	1.7339e-08	-1.6e-08
-0.215	-7.10399999999997e-09	-5.71699999999999e-09	2.9711e-08	-6.77199999999998e-09	2.1879e-08	-2.9926e-08
-0.21	3.09800000000004e-09	-3.57499999999999e-09	2.3926e-08	6.02600000000002e-09	2.2946e-08	-4.75770000000001e-08
-0.205	6.52600000000004e-09	6.957e-09	1.5352e-08	1.6669e-08	2.1985e-08	-6.2368e-08
-0.2	7.89800000000004e-09	1.5376e-08	4.02800000000002e-09	2.4036e-08	1.8544e-08	-7.9548e-08
-0.195	1.69900000000004e-09	1.8336e-08	-8.30999999999997e-09	2.497e-08	1.1704e-08	-8.3007e-08
-0.19	-7.97199999999998e-09	1.6841e-08	-2.1416e-08	2.1565e-08	1.80300000000002e-09	-7.292e-08
-0.185	-7.12499999999998e-09	1.3483e-08	-3.5507e-08	1.8471e-08	-9.98400000000001e-09	-4.7982e-08
-0.18	-3.62099999999997e-09	1.099e-08	-4.7445e-08	1.5862e-08	-2.264e-08	-1.367e-08
-0.175	-3.94799999999998e-09	4.38399999999998e-09	-5.3968e-08	1.2965e-08	-3.5798e-08	6.56400000000003e-09
-0.17	9.01000000000017e-10	-3.50000000000016e-10	-4.632e-08	1.208e-08	-4.8298e-08	1.264e-08
