Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	-4.586e-08	-2.098e-08	2.2878e-07	-4.69399999999999e-08	2.576e-08	2.1734e-07	-1.118e-08	2.6262e-07	9.80799999999999e-08	-1.694e-08
-0.295	-3.22333333333333e-08	-2.44366666666666e-08	1.51275e-07	-9.74499999999998e-09	1.16316666666667e-08	1.42585e-07	-1.62833333333333e-08	1.80116666666666e-07	6.6245e-08	2.178e-08
-0.29	-1.20109999999999e-08	-2.1533e-08	8.59679999999999e-08	-9.45700000000001e-09	-3.21600000000006e-09	7.64269999999999e-08	-1.6543e-08	1.07124e-07	3.27559999999999e-08	2.0935e-08
-0.285	-6.80499999999995e-09	-9.62300000000003e-09	3.5042e-08	-9.06000000000019e-10	-8.41400000000005e-09	3.18939999999999e-08	-8.20600000000003e-09	5.0138e-08	6.97699999999996e-09	2.0618e-08
-0.28	-1.13999999999958e-10	-3.13600000000003e-09	-3.57000000000022e-10	6.55199999999997e-09	-5.33000000000005e-09	4.64299999999994e-09	-2.04000000000039e-10	4.38e-09	-9.45200000000003e-09	1.1006e-08
-0.275	3.86600000000003e-09	-2.99500000000004e-09	-8.10700000000002e-09	2.24299999999997e-09	-2.49300000000005e-09	-3.57500000000005e-09	3.80299999999996e-09	-1.6877e-08	-8.07800000000003e-09	-7.96899999999995e-09
-0.27	-2.60799999999999e-09	2.881e-09	-7.74400000000001e-09	-3.10200000000003e-09	-8.12000000000026e-10	-4.43100000000003e-09	5.73199999999999e-09	-1.7406e-08	-9.90000000000024e-10	-1.6239e-08
-0.265	-6.122e-09	9.26999999999999e-09	-6.39599999999999e-09	-3.197e-09	4.198e-09	-4.46e-09	1.466e-09	-6.13299999999999e-09	2.678e-09	-8.04599999999999e-09
-0.26	2.10000000000011e-11	2.48e-09	9.74999999999998e-10	-2.906e-09	3.618e-09	-3.763e-09	-5.534e-09	2.995e-09	4.52e-09	7.54e-10
-0.255	7.64000000000001e-10	-6.939e-09	2.255e-09	-2.62099999999999e-09	-6.471e-09	-2.452e-09	-5.192e-09	5.16699999999999e-09	1.84999999999998e-10	4.79899999999999e-09
-0.25	-3.07199999999999e-09	-3.214e-09	-1.281e-09	-2.65299999999999e-09	-9.396e-09	-6.50000000000001e-11	-3.279e-09	5.89699999999999e-09	-6.735e-09	6.24899999999999e-09
-0.245	-3.59999999999908e-11	4.23500000000001e-09	2.648e-09	-2.954e-09	-3.67899999999999e-09	4.065e-09	-4.18500000000001e-09	4.46699999999999e-09	-5.60599999999998e-09	-3.20000000000214e-11
-0.24	5.81000000000003e-10	-1.05999999999978e-10	4.095e-09	5.93999999999986e-10	-4.38099999999999e-09	9.28499999999999e-09	-3.70200000000003e-09	-4.54999999999994e-10	-2.61599999999998e-09	-8.70200000000001e-09
-0.235	-3.302e-09	-5.66699999999997e-09	-3.13399999999999e-09	3.54399999999998e-09	-5.04399999999999e-09	7.24899999999999e-09	-5.87700000000002e-09	-4.88999999999999e-09	-2.79599999999998e-09	-7.22400000000001e-09
-0.23	-6.24999999999999e-10	-1.53899999999998e-09	-4.65999999999999e-09	-2.89200000000001e-09	1.56100000000001e-09	-4.682e-09	-9.08400000000002e-09	-4.70999999999999e-09	-3.23599999999997e-09	-3.90500000000002e-09
-0.225	-3.79999999999982e-11	-1.83599999999998e-09	-2.13099999999999e-09	-5.92000000000001e-09	1.71100000000001e-09	-1.0242e-08	-6.23900000000002e-09	-1.26799999999999e-09	-3.47799999999997e-09	-9.91000000000018e-10
-0.22	-3.656e-09	-7.76799999999999e-09	-4.279e-09	8.29999999999995e-10	-2.435e-09	-7.32999999999999e-09	-3.04200000000001e-09	-2.69999999999868e-11	-3.23799999999999e-09	6.80199999999999e-09
-0.215	-7.69999999999993e-10	-5.69099999999999e-09	-3.976e-09	1.654e-09	1.50800000000001e-09	-8.476e-09	6.18999999999997e-10	-1.85499999999999e-09	-3.72399999999999e-09	6.18699999999999e-09
-0.21	3.87000000000006e-10	-1.91599999999999e-09	1.199e-09	-2.33800000000001e-09	1.663e-09	-7.41e-09	6.451e-09	-3.134e-09	-4.43800000000001e-09	-5.78100000000001e-09
-0.205	-2.89599999999999e-09	-8.89999999999915e-11	4.308e-09	5.12999999999992e-10	-2.70499999999999e-09	3.6799999999999e-10	3.025e-09	-1.522e-09	-3.00000000000113e-11	-8.42000000000001e-09
-0.2	-5.40999999999997e-10	4.31400000000001e-09	1.672e-09	6.86999999999992e-10	1e-09	4.44999999999988e-10	-2.84699999999999e-09	2.415e-09	3.20099999999999e-09	-1.10800000000002e-09
-0.195	1.50000000000001e-11	1.87100000000001e-09	-7.34000000000002e-10	-3.478e-09	1.552e-09	-3.64100000000001e-09	1.079e-09	1.026e-09	-4.522e-09	-7.05000000000017e-10
-0.19	-3.416e-09	-3.293e-09	-9.37000000000002e-10	-8.37000000000005e-10	-2.733e-09	8.09999999999994e-10	1.45600000000001e-09	-3.137e-09	-7.32500000000001e-09	-3.94800000000001e-09
-0.185	-2.32e-09	9.14000000000011e-10	-3.76600000000001e-09	-3.95000000000003e-10	5.68000000000004e-10	1.442e-09	-2.78e-09	1.00000000000068e-11	3.47000000000007e-10	-3.86000000000004e-10
-0.18	-3.151e-09	1.57300000000001e-09	-5.45300000000001e-09	-3.78e-09	1.604e-09	-2.592e-09	9.71999999999999e-10	1.01000000000001e-09	4.72000000000002e-10	3.235e-09
-0.175	-2.26633e-08	-2.39399999999999e-09	-3.03800000000001e-09	-4.26000000000006e-10	-2.43199999999999e-09	1.349e-09	1.947e-09	-5.78699999999999e-09	-3.497e-09	-3.132e-09
-0.17	-5.271e-08	2.008e-09	-5.844e-09	5.22999999999994e-10	-1.46199999999999e-09	2.32499999999999e-09	-2.195e-09	-6.27799999999999e-09	5.00999999999998e-10	-6.35199999999999e-09
-0.165	-6.63935999999999e-08	2.376e-09	-9.884e-09	-2.866e-09	-2.59299999999999e-09	-2.17e-09	5.35000000000001e-10	-2.15899999999999e-09	5.23000000000001e-10	3.39000000000003e-10
-0.16	-6.62600999999999e-08	-2.385e-09	-3.058e-09	2.23999999999993e-10	-5.332e-09	-1.269e-09	1.23500000000001e-09	-2.776e-09	-3.452e-09	9.38000000000009e-10
-0.155	-6.23267999999999e-08	1.569e-09	1.13200000000001e-09	1.12999999999999e-09	-1.36999999999999e-09	-2.196e-09	-2.733e-09	-3.299e-09	6.11000000000006e-10	-3.132e-09
-0.15	-4.17279e-08	2.97200000000001e-09	-5.398e-09	-2.64400000000001e-09	-3.74999999999995e-10	-4.873e-09	-4.89999999999999e-10	-1.21000000000008e-10	3.44300000000001e-09	4.30000000000045e-11
-0.145	-7.80319999999998e-09	-1.38999999999999e-09	-5.577e-09	-1.54600000000001e-09	-2.12399999999999e-09	-1.48300000000001e-09	1.36000000000001e-10	2.25699999999999e-09	1.69100000000001e-09	2.86000000000003e-10
-0.14	9.9964e-09	1.23100000000001e-09	-1.44239e-08	-4.46e-09	2.13000000000001e-09	-1.33100000000001e-09	-3.278e-09	8.67999999999993e-10	2.15600000000001e-09	-3.753e-09
-0.135	1.23578e-08	1.77500000000001e-09	-4.73872e-08	-1.0999e-08	1.59200000000001e-09	-2.06856e-08	-9.81000000000003e-10	-1.361e-09	2.30400000000001e-09	-5.30000000000001e-10
-0.13	1.46615e-08	-2.68e-09	-6.68589e-08	-6.28499999999999e-09	-3.176e-09	-5.01367e-08	-4.23e-10	-3.376e-09	-4.81999999999996e-10	-2.49999999999999e-10
-0.125	1.66158e-08	-2.13000000000001e-10	-6.15073e-08	-6.55999999999987e-10	-1.865e-09	-6.4615e-08	-3.417e-09	-1.99197e-08	-4.635e-09	-4.217e-09
-0.12	1.87079e-08	1.148e-09	-5.54523e-08	-5.96399999999998e-09	-2.671e-09	-6.63255e-08	-1.939e-09	-5.18608e-08	-5.651e-09	-6.74000000000006e-10
-0.115	2.12337e-08	-2.187e-09	-3.97661e-08	-6.01899999999999e-09	-2.2301e-08	-6.27179e-08	-4.908e-09	-6.8008e-08	-1.773e-09	3.88999999999994e-10
-0.11	2.36754e-08	-1.601e-09	-8.1012e-09	3.28000000000001e-09	-5.21767e-08	-4.06551e-08	-1.0852e-08	-6.61488e-08	-1.787e-09	-3.161e-09
-0.105	2.50292e-08	-2.709e-09	1.01107e-08	3.339e-09	-6.57224e-08	-5.86330000000001e-09	-5.55600000000001e-09	-6.05822e-08	-2.0585e-08	-1.15000000000003e-10
-0.1	2.48802e-08	-4.651e-09	1.2706e-08	-5.687e-09	-6.52694e-08	1.18127e-08	-4.00000000000784e-12	-3.8965e-08	-4.98604e-08	2.52e-09
-0.095	2.37266e-08	-6.52999999999994e-10	1.57403e-08	-4.95700000000001e-09	-6.07245e-08	1.36359e-08	-5.02000000000001e-09	-4.54070000000001e-09	-6.45847e-08	-1.309e-09
-0.09	2.20076e-08	1.07000000000005e-10	1.86217e-08	4.46399999999999e-09	-4.00167e-08	1.46942e-08	-5.083e-09	1.35405e-08	-6.62709e-08	-1.9521e-08
-0.085	1.98086e-08	-1.242e-09	2.09981e-08	3.45999999999999e-09	-6.65639999999999e-09	1.57312e-08	-1.4389e-08	1.58036e-08	-6.27689e-08	-5.09206e-08
-0.08	1.76253e-08	3.279e-09	2.32531e-08	-3.31500000000001e-09	1.06858e-08	1.77329e-08	-4.78377e-08	1.7411e-08	-4.0949e-08	-6.75504e-08
-0.075	1.59781e-08	2.313e-09	2.49637e-08	-1.55672e-08	1.26603e-08	2.01183e-08	-6.73849e-08	1.88474e-08	-5.87940000000001e-09	-6.70075e-08
-0.07	1.47784e-08	-2.682e-09	2.69664e-08	-4.24401e-08	1.43429e-08	2.19487e-08	-6.19735e-08	2.07313e-08	1.22714e-08	-6.30137e-08
-0.065	1.32314e-08	-1.506e-09	2.93268e-08	-6.28457e-08	1.59906e-08	2.31853e-08	-5.55197e-08	2.26689e-08	1.43117e-08	-4.091e-08
-0.06	1.02965e-08	-2.518e-09	2.92112e-08	-6.57392e-08	1.85542e-08	2.3402e-08	-3.91411e-08	2.43015e-08	1.5713e-08	-4.83800000000001e-09
-0.055	6.0064e-09	-4.516e-09	2.68617e-08	-6.13606e-08	2.16628e-08	2.21394e-08	-7.13079999999999e-09	2.50753e-08	1.72116e-08	1.29801e-08
-0.05	7.27499999999997e-10	-1.674e-09	2.42083e-08	-4.1369e-08	2.36967e-08	2.00387e-08	1.12638e-08	2.43103e-08	1.90003e-08	1.47419e-08
-0.045	-5.1856e-09	-5.644e-09	2.01855e-08	-7.05510000000001e-09	2.4484e-08	1.80632e-08	1.38373e-08	2.24509e-08	2.10014e-08	1.62201e-08
-0.04	-1.04006e-08	-1.1172e-08	1.43641e-08	1.13471e-08	2.47425e-08	1.62306e-08	1.59838e-08	2.04116e-08	2.29474e-08	1.83318e-08
-0.035	-1.41855e-08	-4.14699999999999e-09	9.4842e-09	1.37176e-08	2.37596e-08	1.46852e-08	1.7599e-08	1.83581e-08	2.38528e-08	2.13853e-08
-0.03	-1.66274e-08	-7.62999999999998e-10	5.6489e-09	1.60147e-08	2.13719e-08	1.3877e-08	1.9615e-08	1.62629e-08	2.3387e-08	2.42055e-08
-0.025	-1.80825e-08	-9.016e-09	8.08599999999998e-10	1.73974e-08	1.92358e-08	1.31793e-08	2.19252e-08	1.43141e-08	2.19757e-08	2.6062e-08
-0.02	-1.97081e-08	-1.5637e-08	-4.7462e-09	1.83394e-08	1.73109e-08	1.15501e-08	2.31961e-08	1.24695e-08	1.96887e-08	2.65278e-08
-0.015	-2.27807e-08	-2.4602e-08	-1.00353e-08	2.06333e-08	1.54129e-08	8.2009e-09	2.42054e-08	9.6022e-09	1.75169e-08	2.53713e-08
-0.01	-2.7363e-08	-4.2895e-08	-1.46427e-08	2.40485e-08	1.45593e-08	2.8346e-09	2.51369e-08	4.7801e-09	1.6509e-08	2.3381e-08
-0.005	-3.14613e-08	-5.8018e-08	-1.77807e-08	2.63709e-08	1.34144e-08	-3.3721e-09	2.38798e-08	-1.0375e-09	1.5795e-08	2.12088e-08
0	-3.31377e-08	-5.8107e-08	-1.95164e-08	2.69468e-08	1.05643e-08	-8.9106e-09	2.11174e-08	-6.3784e-09	1.47861e-08	1.89898e-08
0.005	-3.22641e-08	-4.3031e-08	-2.1369e-08	2.61267e-08	6.6998e-09	-1.33707e-08	1.90598e-08	-1.10909e-08	1.33064e-08	1.71428e-08
0.01	-2.90998e-08	-1.6346e-08	-2.3399e-08	2.3917e-08	1.5658e-09	-1.62958e-08	1.71508e-08	-1.51611e-08	1.02771e-08	1.51053e-08
0.015	-2.37503e-08	1.5572e-08	-2.49248e-08	2.0322e-08	-4.9105e-09	-1.71594e-08	1.51769e-08	-1.78231e-08	5.3367e-09	1.17279e-08
0.02	-1.79913e-08	4.4278e-08	-2.63425e-08	1.65097e-08	-1.03349e-08	-1.73734e-08	1.41884e-08	-1.96785e-08	-4.07599999999999e-10	7.1756e-09
0.025	-1.37444e-08	6.1476e-08	-2.75175e-08	1.42614e-08	-1.40711e-08	-1.89181e-08	1.31867e-08	-2.27e-08	-5.7735e-09	1.6826e-09
0.03	-1.09438e-08	6.0197e-08	-2.7457e-08	1.33422e-08	-1.68713e-08	-2.12629e-08	1.07252e-08	-2.70351e-08	-1.01322e-08	-4.3683e-09
