I/V Sweep,id_vds
RecordTime,12/06/2023 09:12:46
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-6.9524E-09,-1.3022000000000002E-10,5.451E-09,5.3584E-07,-5.3336E-07
0.005,0,3.33856E-08,-1.3120000000000002E-10,-3.5756399999999995E-08,5.3684E-07,-5.3408E-07
0.01,0,6.89912E-08,-1.3015E-10,-7.15548E-08,5.3686E-07,-5.3422E-07
0.015000000000000001,0,1.000328E-07,-1.3017E-10,-1.0255219999999999E-07,5.37E-07,-5.3462E-07
0.02,0,1.2766E-07,-1.3272E-10,-1.3E-07,5.3738E-07,-5.3497999999999994E-07
0.025,0,1.5164E-07,-1.3213000000000001E-10,-1.5378E-07,5.3752E-07,-5.3496E-07
0.030000000000000002,0,1.7307999999999999E-07,-1.3021E-10,-1.7482E-07,5.3754E-07,-5.351E-07
0.035,0,1.92E-07,-1.3354E-10,-1.9373999999999999E-07,5.3748E-07,-5.3552E-07
0.04,0,2.0904E-07,-1.3292000000000002E-10,-2.1084E-07,5.3759999999999994E-07,-5.3556E-07
0.045000000000000005,0,2.2484E-07,-1.3208E-10,-2.2613999999999999E-07,5.3759999999999994E-07,-5.3562E-07
0.05,0,2.3876E-07,-1.3127E-10,-2.4014E-07,5.3772E-07,-5.3568E-07
0.055,0,2.516E-07,-1.3346000000000002E-10,-2.5324E-07,5.3778E-07,-5.3596E-07
0.060000000000000005,0,2.6352E-07,-1.3511E-10,-2.6476E-07,5.3792E-07,-5.3606E-07
0.065,0,2.7476E-07,-1.3311000000000002E-10,-2.7634E-07,5.3776E-07,-5.3604E-07
0.07,0,2.8527999999999997E-07,-1.3302000000000002E-10,-2.8674E-07,5.3798E-07,-5.3632E-07
0.075,0,2.954E-07,-1.3490000000000002E-10,-2.9688E-07,5.381E-07,-5.3644E-07
0.08,0,3.049E-07,-1.3346000000000002E-10,-3.064E-07,5.3824E-07,-5.3637999999999994E-07
0.085,0,3.1438E-07,-1.3383000000000002E-10,-3.159E-07,5.3826E-07,-5.3675999999999994E-07
0.090000000000000011,0,3.2378E-07,-1.3538E-10,-3.2484E-07,5.3822E-07,-5.3706E-07
0.095,0,3.3247999999999997E-07,-1.3634000000000002E-10,-3.3387999999999997E-07,5.3826E-07,-5.3716E-07
0.1,0,3.4174E-07,-1.3409E-10,-3.4228E-07,5.3838E-07,-5.3734E-07
0.10500000000000001,0,3.5018E-07,-1.3648E-10,-3.5086E-07,5.383E-07,-5.3716E-07
0.11,0,3.5846E-07,-1.3788000000000002E-10,-3.5958E-07,5.384E-07,-5.3731999999999994E-07
0.115,0,3.6722E-07,-1.3544E-10,-3.679E-07,5.3856E-07,-5.3766E-07
0.12000000000000001,0,3.7568E-07,-1.3704E-10,-3.7642E-07,5.3858E-07,-5.3742E-07
0.125,0,3.849E-07,-1.3913000000000002E-10,-3.849E-07,5.3862E-07,-5.3772E-07
0.13,0,3.9348E-07,-1.3546000000000002E-10,-3.9402E-07,5.3874E-07,-5.379E-07
0.135,0,4.017E-07,-1.3874E-10,-4.0222E-07,5.3866E-07,-5.3786E-07
0.14,0,4.1039999999999997E-07,-1.4085E-10,-4.1128E-07,5.3882E-07,-5.3812E-07
0.14500000000000002,0,4.1912E-07,-1.3952E-10,-4.1959999999999997E-07,5.3886E-07,-5.38E-07
