vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	-2.4058e-09	-2.78366e-08	-1.8963e-10	5.3316e-07	-5.0288e-07	2.0442e-09	-2.7891e-08	-2.4459e-09	5.439e-07	-5.1548e-07	6.0034e-09	-2.80914e-08	-4.602e-09	5.4632e-07	-5.1988e-07	1.11982e-08	-2.85422e-08	-7.6513e-09	5.495e-07	-5.2456e-07	1.83412e-08	-2.9353e-08	-1.2099e-08	5.5406e-07	-5.3076e-07	2.94384e-08	-3.04492e-08	-1.92546e-08	5.5858e-07	-5.3846e-07	4.69442e-08	-3.15248e-08	-3.0781e-08	5.6122e-07	-5.459e-07
-0.295	-2.4432e-09	-2.51596e-08	-1.9498e-10	5.3348e-07	-5.0552e-07	2.0745e-09	-2.52218e-08	-2.4925e-09	5.4382e-07	-5.1804e-07	6.1383e-09	-2.54118e-08	-4.6704e-09	5.4646e-07	-5.2246e-07	1.13334e-08	-2.5827e-08	-7.7662e-09	5.4952e-07	-5.2694e-07	1.86214e-08	-2.65712e-08	-1.2406e-08	5.5346e-07	-5.3318e-07	2.9952e-08	-2.7581e-08	-1.98504e-08	5.5808e-07	-5.4042e-07	4.77588e-08	-2.86362e-08	-3.16256e-08	5.6076e-07	-5.482e-07
-0.29	-2.4395e-09	-2.27538e-08	-1.9467e-10	5.337e-07	-5.0828e-07	2.1152e-09	-2.27996e-08	-2.5319e-09	5.4372e-07	-5.2046e-07	6.1651e-09	-2.30014e-08	-4.7779e-09	5.465e-07	-5.2466e-07	1.14942e-08	-2.34018e-08	-7.8894e-09	5.4926e-07	-5.2944e-07	1.89186e-08	-2.40866e-08	-1.26718e-08	5.532e-07	-5.352e-07	3.04482e-08	-2.50486e-08	-2.02236e-08	5.577e-07	-5.4238e-07	4.8911e-08	-2.60898e-08	-3.29096e-08	5.6e-07	-5.4982e-07
-0.285	-2.4416e-09	-2.06104e-08	-1.9456e-10	5.3388e-07	-5.1078e-07	2.1601e-09	-2.06686e-08	-2.6078e-09	5.4386e-07	-5.228e-07	6.2644e-09	-2.08488e-08	-4.8405e-09	5.4628e-07	-5.2696e-07	1.1688e-08	-2.1216e-08	-8.0808e-09	5.4934e-07	-5.3128e-07	1.92474e-08	-2.18626e-08	-1.30238e-08	5.5292e-07	-5.3738e-07	3.0869e-08	-2.27766e-08	-2.09556e-08	5.571e-07	-5.4438e-07	4.98014e-08	-2.38344e-08	-3.3683e-08	5.5992e-07	-5.5172e-07
-0.28	-2.4505e-09	-1.86108e-08	-2.0343e-10	5.3394e-07	-5.1264e-07	2.2072e-09	-1.86922e-08	-2.6387e-09	5.4402e-07	-5.2478e-07	6.3527e-09	-1.88422e-08	-4.9345e-09	5.4612e-07	-5.2886e-07	1.18184e-08	-1.92076e-08	-8.3312e-09	5.4928e-07	-5.3338e-07	1.95114e-08	-1.98312e-08	-1.33836e-08	5.5282e-07	-5.3918e-07	3.13928e-08	-2.0703e-08	-2.14388e-08	5.5692e-07	-5.4596e-07	5.09068e-08	-2.17458e-08	-3.4992e-08	5.5938e-07	-5.5326e-07
-0.275	-2.4548e-09	-1.68444e-08	-1.9905e-10	5.3442e-07	-5.1484e-07	2.2646e-09	-1.69258e-08	-2.6871e-09	5.4382e-07	-5.2642e-07	6.461e-09	-1.70824e-08	-5.0795e-09	5.4642e-07	-5.3064e-07	1.19836e-08	-1.7423e-08	-8.5193e-09	5.4894e-07	-5.3498e-07	1.9861e-08	-1.80136e-08	-1.37422e-08	5.5274e-07	-5.41e-07	3.20318e-08	-1.88554e-08	-2.21478e-08	5.5648e-07	-5.4744e-07	5.19458e-08	-1.98804e-08	-3.62056e-08	5.5906e-07	-5.5508e-07
-0.27	-2.46e-09	-1.52316e-08	-2.027e-10	5.343e-07	-5.1636e-07	2.295e-09	-1.53006e-08	-2.7579e-09	5.439e-07	-5.282e-07	6.5565e-09	-1.54688e-08	-5.1964e-09	5.461e-07	-5.3218e-07	1.21856e-08	-1.57952e-08	-8.7221e-09	5.4888e-07	-5.3668e-07	2.02022e-08	-1.63578e-08	-1.40378e-08	5.5264e-07	-5.4208e-07	3.28602e-08	-1.71618e-08	-2.30288e-08	5.5616e-07	-5.4886e-07	5.3396e-08	-1.81812e-08	-3.74314e-08	5.5884e-07	-5.5594e-07
-0.265	-2.4565e-09	-1.37862e-08	-2.0446e-10	5.3478e-07	-5.1818e-07	2.3656e-09	-1.38496e-08	-2.8153e-09	5.4402e-07	-5.2944e-07	6.6925e-09	-1.3999e-08	-5.3451e-09	5.464e-07	-5.335e-07	1.24612e-08	-1.4339e-08	-9.0239e-09	5.4902e-07	-5.3804e-07	2.06284e-08	-1.48734e-08	-1.46504e-08	5.5232e-07	-5.4346e-07	3.38052e-08	-1.56434e-08	-2.3905e-08	5.5594e-07	-5.498e-07	5.46792e-08	-1.66438e-08	-3.90704e-08	5.5848e-07	-5.5762e-07
-0.26	-2.4623e-09	-1.24634e-08	-2.0639e-10	5.3458e-07	-5.1962e-07	2.4452e-09	-1.2531e-08	-2.9008e-09	5.4408e-07	-5.31e-07	6.8333e-09	-1.2673e-08	-5.4569e-09	5.4642e-07	-5.3522e-07	1.27324e-08	-1.29872e-08	-9.315e-09	5.4894e-07	-5.3916e-07	2.11236e-08	-1.35046e-08	-1.49978e-08	5.5214e-07	-5.4462e-07	3.45926e-08	-1.42524e-08	-2.47608e-08	5.5582e-07	-5.5096e-07	5.62468e-08	-1.52298e-08	-4.08322e-08	5.5812e-07	-5.5826e-07
-0.255	-2.4755e-09	-1.12726e-08	-2.1054e-10	5.347e-07	-5.2076e-07	2.5131e-09	-1.1341e-08	-2.976e-09	5.4406e-07	-5.3226e-07	6.9773e-09	-1.14846e-08	-5.6355e-09	5.4626e-07	-5.3604e-07	1.30294e-08	-1.17832e-08	-9.5875e-09	5.49e-07	-5.404e-07	2.16994e-08	-1.22754e-08	-1.55768e-08	5.521e-07	-5.4572e-07	3.54314e-08	-1.30198e-08	-2.5626e-08	5.5518e-07	-5.5196e-07	5.80336e-08	-1.39654e-08	-4.25412e-08	5.579e-07	-5.5948e-07
