vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	-2.3824e-09	-2.86486e-08	-1.9195e-10	5.2962e-07	-4.9906e-07	-2.0836e-09	-2.84984e-08	-4.2689e-10	5.412e-07	-5.1032e-07	-1.6996e-09	-2.83202e-08	-6.2491e-10	5.4426e-07	-5.136e-07	-1.336e-09	-2.8301e-08	-8.0386e-10	5.4588e-07	-5.1544e-07	-1.0027e-09	-2.82118e-08	-9.8434e-10	5.472e-07	-5.1682e-07	-6.7433e-10	-2.81194e-08	-1.1383e-09	5.4812e-07	-5.1828e-07	-3.7428e-10	-2.80534e-08	-1.2959e-09	5.4886e-07	-5.1922e-07	-7.142e-11	-2.80276e-08	-1.4531e-09	5.4972e-07	-5.1994e-07	2.0556e-10	-2.80126e-08	-1.5787e-09	5.503e-07	-5.2116e-07	4.7344e-10	-2.79616e-08	-1.7205e-09	5.51e-07	-5.2196e-07	7.2675e-10	-2.787e-08	-1.852e-09	5.5176e-07	-5.227e-07
-0.295	-2.4134e-09	-2.58024e-08	-1.9538e-10	5.3038e-07	-5.019e-07	-2.0736e-09	-2.57754e-08	-4.2629e-10	5.4128e-07	-5.1294e-07	-1.6899e-09	-2.5603e-08	-6.3827e-10	5.4414e-07	-5.162e-07	-1.3297e-09	-2.55816e-08	-8.1821e-10	5.456e-07	-5.1804e-07	-9.8289e-10	-2.5512e-08	-9.9671e-10	5.4714e-07	-5.195e-07	-6.5705e-10	-2.5462e-08	-1.1563e-09	5.4824e-07	-5.2068e-07	-3.514e-10	-2.53798e-08	-1.3174e-09	5.4894e-07	-5.2182e-07	-4.207e-11	-2.53526e-08	-1.4764e-09	5.4958e-07	-5.2282e-07	2.2726e-10	-2.53076e-08	-1.6037e-09	5.505e-07	-5.2362e-07	5.1153e-10	-2.52928e-08	-1.7501e-09	5.512e-07	-5.2458e-07	7.6529e-10	-2.52318e-08	-1.8642e-09	5.5142e-07	-5.25e-07
-0.29	-2.4279e-09	-2.33342e-08	-1.988e-10	5.3048e-07	-5.0456e-07	-2.0812e-09	-2.33026e-08	-4.4654e-10	5.4104e-07	-5.1538e-07	-1.6896e-09	-2.31768e-08	-6.4645e-10	5.4408e-07	-5.1846e-07	-1.3101e-09	-2.31248e-08	-8.3266e-10	5.4582e-07	-5.2046e-07	-9.7206e-10	-2.3054e-08	-1.0176e-09	5.4716e-07	-5.2206e-07	-6.3609e-10	-2.30286e-08	-1.181e-09	5.4822e-07	-5.2324e-07	-3.232e-10	-2.2964e-08	-1.3393e-09	5.4924e-07	-5.2432e-07	-1.998e-11	-2.29354e-08	-1.5079e-09	5.4982e-07	-5.2528e-07	2.52e-10	-2.29134e-08	-1.6352e-09	5.506e-07	-5.2618e-07	5.2467e-10	-2.28714e-08	-1.7798e-09	5.5124e-07	-5.2706e-07	7.7911e-10	-2.28072e-08	-1.9121e-09	5.515e-07	-5.2766e-07
-0.285	-2.4375e-09	-2.11384e-08	-1.9656e-10	5.3066e-07	-5.0692e-07	-2.0793e-09	-2.11198e-08	-4.4717e-10	5.4148e-07	-5.1774e-07	-1.6645e-09	-2.0994e-08	-6.6055e-10	5.44e-07	-5.2066e-07	-1.2968e-09	-2.09642e-08	-8.5403e-10	5.4566e-07	-5.2256e-07	-9.5654e-10	-2.08886e-08	-1.0351e-09	5.471e-07	-5.2402e-07	-6.2704e-10	-2.08802e-08	-1.2049e-09	5.4816e-07	-5.253e-07	-3.0719e-10	-2.08056e-08	-1.3686e-09	5.4898e-07	-5.2644e-07	6.13e-12	-2.07696e-08	-1.5356e-09	5.4958e-07	-5.2742e-07	2.7862e-10	-2.0751e-08	-1.6561e-09	5.5044e-07	-5.2822e-07	5.6465e-10	-2.07102e-08	-1.8118e-09	5.5122e-07	-5.2918e-07	8.1502e-10	-2.06644e-08	-1.937e-09	5.5172e-07	-5.2986e-07
-0.28	-2.4348e-09	-1.9121e-08	-1.9513e-10	5.3078e-07	-5.0912e-07	-2.0576e-09	-1.91092e-08	-4.4607e-10	5.4142e-07	-5.1962e-07	-1.6626e-09	-1.8995e-08	-6.784e-10	5.4394e-07	-5.2262e-07	-1.2887e-09	-1.89364e-08	-8.7484e-10	5.457e-07	-5.2448e-07	-9.3614e-10	-1.89156e-08	-1.05264e-09	5.4724e-07	-5.2624e-07	-5.9972e-10	-1.88892e-08	-1.2324e-09	5.48e-07	-5.2722e-07	-2.87e-10	-1.88216e-08	-1.3921e-09	5.49e-07	-5.284e-07	3.379e-11	-1.8796e-08	-1.5603e-09	5.497e-07	-5.2922e-07	3.0075e-10	-1.87606e-08	-1.7048e-09	5.5036e-07	-5.3008e-07	5.7975e-10	-1.87202e-08	-1.8531e-09	5.5124e-07	-5.3102e-07	8.3728e-10	-1.86814e-08	-1.9679e-09	5.516e-07	-5.3158e-07
-0.275	-2.4331e-09	-1.7316e-08	-2.028e-10	5.3114e-07	-5.1112e-07	-2.0405e-09	-1.7297e-08	-4.6366e-10	5.4134e-07	-5.2138e-07	-1.6499e-09	-1.7218e-08	-6.9681e-10	5.4408e-07	-5.2452e-07	-1.2762e-09	-1.71602e-08	-8.946e-10	5.4576e-07	-5.2636e-07	-9.1602e-10	-1.71228e-08	-1.08287e-09	5.4704e-07	-5.2788e-07	-5.7631e-10	-1.71002e-08	-1.2651e-09	5.4828e-07	-5.2928e-07	-2.5926e-10	-1.70352e-08	-1.4307e-09	5.491e-07	-5.3038e-07	5.726e-11	-1.70126e-08	-1.5993e-09	5.4948e-07	-5.3098e-07	3.387e-10	-1.69914e-08	-1.7408e-09	5.5026e-07	-5.3212e-07	6.1893e-10	-1.69406e-08	-1.8865e-09	5.5118e-07	-5.3264e-07	8.8008e-10	-1.69244e-08	-2.0218e-09	5.5148e-07	-5.3344e-07
-0.27	-2.4484e-09	-1.56576e-08	-2.0539e-10	5.3108e-07	-5.1272e-07	-2.0656e-09	-1.56104e-08	-4.7503e-10	5.411e-07	-5.2294e-07	-1.646e-09	-1.5566e-08	-7.1019e-10	5.4402e-07	-5.262e-07	-1.2462e-09	-1.55224e-08	-9.1584e-10	5.458e-07	-5.2802e-07	-8.9272e-10	-1.54626e-08	-1.10899e-09	5.4714e-07	-5.2954e-07	-5.5032e-10	-1.54512e-08	-1.2796e-09	5.4806e-07	-5.307e-07	-2.2744e-10	-1.53996e-08	-1.4587e-09	5.4892e-07	-5.3176e-07	8.504e-11	-1.53726e-08	-1.6285e-09	5.496e-07	-5.3258e-07	3.6179e-10	-1.535e-08	-1.7634e-09	5.5028e-07	-5.3372e-07	6.639e-10	-1.53222e-08	-1.9263e-09	5.5108e-07	-5.3462e-07	9.3688e-10	-1.52986e-08	-2.0696e-09	5.5154e-07	-5.3504e-07
-0.265	-2.4579e-09	-1.4174e-08	-2.0506e-10	5.3148e-07	-5.1456e-07	-2.0548e-09	-1.41448e-08	-4.8804e-10	5.4112e-07	-5.2454e-07	-1.6198e-09	-1.40852e-08	-7.2538e-10	5.4412e-07	-5.2748e-07	-1.233e-09	-1.40532e-08	-9.4006e-10	5.4586e-07	-5.294e-07	-8.6384e-10	-1.40028e-08	-1.13989e-09	5.4732e-07	-5.3106e-07	-5.149e-10	-1.39954e-08	-1.3249e-09	5.4806e-07	-5.3216e-07	-1.9004e-10	-1.39412e-08	-1.4943e-09	5.4914e-07	-5.3342e-07	1.1848e-10	-1.3917e-08	-1.6703e-09	5.4964e-07	-5.3398e-07	4.0719e-10	-1.39006e-08	-1.8147e-09	5.5062e-07	-5.3514e-07	7.0244e-10	-1.38768e-08	-1.9738e-09	5.5126e-07	-5.3588e-07	9.714e-10	-1.38482e-08	-2.123e-09	5.5142e-07	-5.3656e-07
-0.26	-2.4486e-09	-1.28136e-08	-2.0069e-10	5.3156e-07	-5.16e-07	-2.0313e-09	-1.27896e-08	-4.8796e-10	5.4118e-07	-5.2592e-07	-1.6026e-09	-1.27492e-08	-7.4786e-10	5.4396e-07	-5.2892e-07	-1.2036e-09	-1.26952e-08	-9.6762e-10	5.4566e-07	-5.3082e-07	-8.3835e-10	-1.26586e-08	-1.1728e-09	5.4736e-07	-5.3244e-07	-4.8121e-10	-1.26506e-08	-1.3632e-09	5.4802e-07	-5.337e-07	-1.6717e-10	-1.25982e-08	-1.5395e-09	5.491e-07	-5.3458e-07	1.6762e-10	-1.2589e-08	-1.7169e-09	5.4994e-07	-5.3538e-07	4.6996e-10	-1.25746e-08	-1.8707e-09	5.5054e-07	-5.3636e-07	7.5727e-10	-1.25386e-08	-2.0363e-09	5.51e-07	-5.3708e-07	1.02379e-09	-1.2508e-08	-2.1745e-09	5.5134e-07	-5.377e-07
-0.255	-2.4532e-09	-1.15916e-08	-2.0592e-10	5.3164e-07	-5.1724e-07	-2.0176e-09	-1.15834e-08	-5.2119e-10	5.413e-07	-5.2726e-07	-1.5886e-09	-1.153e-08	-7.707e-10	5.4396e-07	-5.2998e-07	-1.184e-09	-1.14758e-08	-9.9611e-10	5.4588e-07	-5.3212e-07	-8.1185e-10	-1.14538e-08	-1.2045e-09	5.4718e-07	-5.3348e-07	-4.6262e-10	-1.14522e-08	-1.3961e-09	5.4798e-07	-5.3462e-07	-1.2441e-10	-1.13992e-08	-1.5789e-09	5.4916e-07	-5.3592e-07	2.0718e-10	-1.13832e-08	-1.7667e-09	5.4984e-07	-5.3686e-07	5.0315e-10	-1.13782e-08	-1.9139e-09	5.5028e-07	-5.3756e-07	8.0979e-10	-1.13498e-08	-2.0938e-09	5.513e-07	-5.3842e-07	1.08797e-09	-1.13244e-08	-2.236e-09	5.5168e-07	-5.3914e-07
