Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	1.471928e-05	0.0016817	0.0167384	0.131436	0.180316	0.204552
0.005	1.36453966666667e-05	0.00157315	0.0313263	0.128823	0.178849333333333	0.203302333333333
0.01	1.189908e-05	0.00138818	0.03495992	0.1268288	0.177214	0.2022016
0.015	1.0374024e-05	0.00122474	0.03814164	0.1241576	0.1757228	0.2012532
0.02	8.75329e-06	0.001047175	0.03821574	0.1213788	0.174069	0.2002422
0.025	7.317642e-06	0.00088471	0.03413434	0.118667	0.1725204	0.1994922
0.03	6.1422e-06	0.00074824	0.0300644	0.1154332	0.17098	0.198822
0.035	5.1508e-06	0.00063198	0.0274244	0.112062	0.169304	0.197924
0.04	4.3128e-06	0.00053256	0.024967	0.108908	0.167558	0.197008
0.045	3.616e-06	0.00044922	0.0226754	0.105666	0.165774	0.196534
0.05	3.0342e-06	0.0003797	0.0205062	0.102372	0.163962	0.196384
0.055	2.5434e-06	0.00032046	0.018488	0.099034	0.162352	0.195694
0.06	2.1412e-06	0.00027028	0.016652	0.095728	0.161062	0.1946
0.065	1.8224e-06	0.00022904	0.014962	0.092506	0.159484	0.193474
0.07	1.5606e-06	0.00019468	0.013408	0.089234	0.157558	0.191912
0.075	1.3424e-06	0.00016508	0.012004	0.085936	0.155596	0.190068
0.08	1.1644e-06	0.00014052	0.010722	0.082694	0.1533	0.1887
0.085	1.0086e-06	0.0001206	0.009546	0.079416	0.150648	0.1877
0.09	8.676e-07	0.00010298	0.008482	0.076104	0.1482	0.18666
0.095	7.51200000000001e-07	8.792e-05	0.00753	0.072868	0.14594	0.18556
0.1	6.54600000000001e-07	7.65e-05	0.00667800000000001	0.069632	0.14366	0.18434
0.105	5.752e-07	6.66000000000001e-05	0.00592800000000001	0.066458	0.14142	0.18312
0.11	5.198e-07	5.69600000000001e-05	0.005274	0.063392	0.13904	0.18186
0.115	4.762e-07	4.956e-05	0.00468399999999999	0.0607	0.13668	0.18048
0.12	4.274e-07	4.43800000000001e-05	0.00413399999999999	0.058376	0.13432	0.17898
0.125	3.80199999999999e-07	3.97600000000001e-05	0.003656	0.0558	0.13188	0.17756
0.13	3.418e-07	3.58399999999999e-05	0.003248	0.052934	0.12946	0.17624
