Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	3.37200000000002e-08	1.1908e-07	1.74400000000002e-07	2.15999999999999e-07	1.51999999999998e-07	3.20000000000003e-07
-0.295	3.71133333333335e-08	9.85233333333335e-08	1.18376666666667e-07	1.62999999999999e-07	1.58999999999998e-07	3.71000000000001e-07
-0.29	3.52420000000001e-08	7.91500000000001e-08	1.26368000000001e-07	1.51e-07	2.108e-07	3.66800000000001e-07
-0.285	3.42380000000001e-08	6.92420000000001e-08	1.17328000000001e-07	1.518e-07	2.592e-07	4.10000000000001e-07
-0.28	3.1434e-08	6.34880000000001e-08	1.2048e-07	1.76e-07	2.97400000000001e-07	4.54800000000001e-07
-0.275	2.7896e-08	6.31520000000001e-08	1.3636e-07	2.008e-07	3.21400000000001e-07	4.71000000000001e-07
-0.27	2.938e-08	6.6144e-08	1.37856e-07	2.136e-07	3.622e-07	5.30600000000001e-07
-0.265	3.2658e-08	6.8476e-08	1.31732e-07	2.338e-07	4.01799999999999e-07	6.096e-07
-0.26	3.395e-08	7.181e-08	1.34022e-07	2.444e-07	4.02199999999999e-07	6.612e-07
-0.255	3.8254e-08	7.51979999999999e-08	1.43718e-07	2.25e-07	4.15599999999999e-07	7.26999999999999e-07
-0.25	4.3742e-08	8.00479999999999e-08	1.55864e-07	2.17e-07	4.50799999999999e-07	7.76999999999999e-07
-0.245	4.532e-08	8.5696e-08	1.6047e-07	2.376e-07	4.692e-07	7.79399999999999e-07
-0.24	4.8348e-08	9.193e-08	1.64866e-07	2.598e-07	4.964e-07	8.192e-07
-0.235	5.252e-08	1.04882e-07	1.7684e-07	2.948e-07	5.398e-07	9.176e-07
-0.23	5.346e-08	1.18566e-07	1.85076e-07	3.384e-07	5.846e-07	1.008e-06
-0.225	5.503e-08	1.22822e-07	1.96116e-07	3.742e-07	6.592e-07	1.095e-06
-0.22	5.9212e-08	1.26336e-07	2.16294e-07	4.19e-07	7.378e-07	1.239e-06
-0.215	6.5366e-08	1.3475e-07	2.41756e-07	4.686e-07	7.89e-07	1.4242e-06
-0.21	7.49040000000001e-08	1.41158e-07	2.7519e-07	4.988e-07	8.42600000000001e-07	1.5452e-06
-0.205	8.76300000000001e-08	1.53936e-07	3.08202e-07	5.296e-07	9.062e-07	1.6374e-06
-0.2	1.01174e-07	1.80186e-07	3.36122e-07	5.904e-07	9.714e-07	1.776e-06
-0.195	1.13362e-07	2.0905e-07	3.67784e-07	6.564e-07	1.0646e-06	1.9104e-06
-0.19	1.22562e-07	2.36846e-07	3.99464e-07	7.108e-07	1.1904e-06	2.0504e-06
-0.185	1.33918e-07	2.67112e-07	4.32876e-07	8.014e-07	1.3472e-06	2.2732e-06
-0.18	1.5009e-07	2.91712e-07	4.79454e-07	9.17200000000001e-07	1.5286e-06	2.5774e-06
-0.175	1.66658e-07	3.1337e-07	5.3938e-07	1.0132e-06	1.7204e-06	2.9508e-06
-0.17	1.84484e-07	3.485e-07	6.16218e-07	1.1112e-06	1.9082e-06	3.3526e-06
-0.165	2.06302e-07	3.91168e-07	7.02188e-07	1.2272e-06	2.0954e-06	3.702e-06
-0.16	2.31828e-07	4.30912e-07	7.84078e-07	1.3448e-06	2.3332e-06	4.0488e-06
-0.155	2.61126e-07	4.80438e-07	8.69854e-07	1.476e-06	2.6058e-06	4.4484e-06
-0.15	2.95746e-07	5.45088e-07	9.68404e-07	1.6506e-06	2.8844e-06	4.8768e-06
-0.145	3.34588e-07	6.15864e-07	1.08601e-06	1.866e-06	3.2156e-06	5.3668e-06
-0.14	3.79022e-07	6.95298000000001e-07	1.223098e-06	2.1074e-06	3.6262e-06	5.9962e-06
-0.135	4.3166e-07	7.8653e-07	1.373458e-06	2.3654e-06	4.0864e-06	6.7768e-06
-0.13	4.87248e-07	8.8767e-07	1.54974e-06	2.6656e-06	4.56e-06	7.6538e-06
-0.125	5.47332e-07	1.002312e-06	1.7546e-06	3.0226e-06	5.0778e-06	8.591e-06
-0.12	6.21212e-07	1.138912e-06	1.9726e-06	3.4068e-06	5.6996e-06	9.6434e-06
-0.115	7.09292e-07	1.294326e-06	2.222e-06	3.8242e-06	6.4056e-06	1.08322e-05
-0.11	8.04814e-07	1.460894e-06	2.5284e-06	4.322e-06	7.2048e-06	1.211e-05
-0.105	9.08972e-07	1.661188e-06	2.8762e-06	4.9084e-06	8.1702e-06	1.35774e-05
-0.1	1.030778e-06	1.894484e-06	3.2542e-06	5.5512e-06	9.2986e-06	1.53584e-05
-0.095	1.172382e-06	2.130722e-06	3.6782e-06	6.2706e-06	1.05434e-05	1.7358e-05
-0.09	1.330332e-06	2.394632e-06	4.1646e-06	7.1092e-06	1.1902e-05	1.95126e-05
-0.085	1.510554e-06	2.72142e-06	4.7216e-06	8.0408e-06	1.34094e-05	2.19504e-05
-0.08	1.725258e-06	3.0938e-06	5.3472e-06	9.0714e-06	1.51022e-05	2.47194e-05
-0.075	1.971602e-06	3.5172e-06	6.0662e-06	1.02518e-05	1.70252e-05	2.77586e-05
-0.07	2.247906e-06	4.027e-06	6.9124e-06	1.15902e-05	1.92174e-05	3.11948e-05
-0.065	2.565668e-06	4.6106e-06	7.8788e-06	1.31206e-05	2.17178e-05	3.5249e-05
-0.06	2.930262e-06	5.2454e-06	8.9592e-06	1.48886e-05	2.45552e-05	3.9814e-05
-0.055	3.343846e-06	5.9618e-06	1.01846e-05	1.69324e-05	2.78012e-05	4.4837e-05
-0.05	3.812366e-06	6.7978e-06	1.1578e-05	1.9275e-05	3.15028e-05	5.0579e-05
-0.045	4.3468e-06	7.7498e-06	1.31636e-05	2.19202e-05	3.56152e-05	5.7086e-05
-0.04	4.9616e-06	8.8304e-06	1.49774e-05	2.4905e-05	4.0317e-05	6.4387e-05
-0.035	5.665e-06	1.00654e-05	1.7031e-05	2.82556e-05	4.5692e-05	7.2678e-05
-0.03	6.4718e-06	1.14634e-05	1.94198e-05	3.20124e-05	5.1733e-05	8.2092e-05
-0.025	7.395e-06	1.30374e-05	2.21716e-05	3.6264e-05	5.8593e-05	9.2785e-05
-0.02	8.4494e-06	1.48474e-05	2.52478e-05	4.1085e-05	6.6382e-05	0.00010484
-0.015	9.643e-06	1.69394e-05	2.8718e-05	4.6582e-05	7.5157e-05	0.000118288
-0.01	1.09766e-05	1.93134e-05	3.26204e-05	5.289e-05	8.4947e-05	0.000133458
-0.005	1.25096e-05	2.20536e-05	3.70398e-05	6.0107e-05	9.5963e-05	0.000150852
0	1.4285e-05	2.52028e-05	4.20924e-05	6.8285e-05	0.000108549	0.000170401
0.005	1.62996e-05	2.87226e-05	4.782e-05	7.7492e-05	0.000123031	0.000192205
0.01	1.86036e-05	3.26838e-05	5.4345e-05	8.7861e-05	0.00013931	0.000216999
0.015	2.12754e-05	3.72148e-05	6.1929e-05	9.9688e-05	0.000157672	0.000245048
0.02	2.43142e-05	4.2401e-05	7.0595e-05	0.000113213	0.000178482	0.000276113
0.025	2.77408e-05	4.8313e-05	8.0325e-05	0.000128644	0.000201939	0.000311333
0.03	3.16282e-05	5.5123e-05	9.1387e-05	0.000146163	0.000228817	0.000351552
0.035	3.61014e-05	6.2949e-05	0.000104064	0.000166104	0.000259311	0.000396239
0.04	4.1263e-05	7.1775e-05	0.000118396	0.000188565	0.000293309	0.00044656
0.045	4.71194e-05	8.1779e-05	0.000134489	0.000213704	0.000331619	0.00050344
0.05	5.3752e-05	9.3184e-05	0.000152853	0.000242149	0.000374842	0.000567
0.055	6.1275e-05	0.000106122	0.000173772	0.00027453	0.000422866	0.00063828
