vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	-6.0296e-09	-3.64564e-08	-4.7018e-10	1.2337e-06	-1.1901e-06	-2.4252e-09	-3.61716e-08	-4.5098e-09	1.2827e-06	-1.2371e-06	1.4392e-09	-3.60976e-08	-8.2209e-09	1.2946e-06	-1.2483e-06	5.1517e-09	-3.60908e-08	-1.17486e-08	1.3015e-06	-1.2562e-06	8.6254e-09	-3.60174e-08	-1.49438e-08	1.3074e-06	-1.2624e-06	1.19798e-08	-3.58762e-08	-1.82152e-08	1.3133e-06	-1.2689e-06	1.51646e-08	-3.58464e-08	-2.11198e-08	1.3178e-06	-1.2742e-06	1.82674e-08	-3.59054e-08	-2.41926e-08	1.32e-06	-1.2765e-06	2.13164e-08	-3.59268e-08	-2.70158e-08	1.3241e-06	-1.2802e-06	2.40426e-08	-3.59582e-08	-2.94608e-08	1.3276e-06	-1.2842e-06	2.70546e-08	-3.57834e-08	-3.2175e-08	1.331e-06	-1.288e-06
-0.295	-6.1857e-09	-3.27312e-08	-4.8563e-10	1.2368e-06	-1.1948e-06	-2.3908e-09	-3.2662e-08	-4.5473e-09	1.283e-06	-1.2404e-06	1.4869e-09	-3.25482e-08	-8.2257e-09	1.2949e-06	-1.253e-06	5.2629e-09	-3.25438e-08	-1.18464e-08	1.3017e-06	-1.26e-06	8.7353e-09	-3.25396e-08	-1.5066e-08	1.3066e-06	-1.2653e-06	1.21784e-08	-3.23456e-08	-1.82474e-08	1.3129e-06	-1.272e-06	1.54166e-08	-3.24028e-08	-2.12936e-08	1.3182e-06	-1.2782e-06	1.86886e-08	-3.23754e-08	-2.4263e-08	1.3214e-06	-1.2809e-06	2.1583e-08	-3.23968e-08	-2.71162e-08	1.3236e-06	-1.284e-06	2.44032e-08	-3.23984e-08	-2.96994e-08	1.3279e-06	-1.2872e-06	2.7301e-08	-3.23614e-08	-3.23662e-08	1.3319e-06	-1.2916e-06
-0.29	-6.1782e-09	-2.95336e-08	-5.0525e-10	1.2373e-06	-1.1988e-06	-2.3616e-09	-2.94344e-08	-4.5806e-09	1.2823e-06	-1.2438e-06	1.4826e-09	-2.93456e-08	-8.2881e-09	1.2941e-06	-1.2554e-06	5.3264e-09	-2.93466e-08	-1.18916e-08	1.3012e-06	-1.2622e-06	8.7812e-09	-2.9364e-08	-1.513e-08	1.3076e-06	-1.2691e-06	1.22698e-08	-2.9158e-08	-1.84104e-08	1.3136e-06	-1.2754e-06	1.55308e-08	-2.91734e-08	-2.13908e-08	1.3185e-06	-1.2805e-06	1.87108e-08	-2.9176e-08	-2.44004e-08	1.3205e-06	-1.2834e-06	2.18744e-08	-2.92258e-08	-2.72964e-08	1.3238e-06	-1.2871e-06	2.4496e-08	-2.9246e-08	-2.9824e-08	1.3269e-06	-1.2904e-06	2.76294e-08	-2.91692e-08	-3.26588e-08	1.3313e-06	-1.2952e-06
-0.285	-6.1968e-09	-2.66588e-08	-5.0551e-10	1.2381e-06	-1.2022e-06	-2.3654e-09	-2.65798e-08	-4.6146e-09	1.2827e-06	-1.2463e-06	1.5444e-09	-2.65638e-08	-8.3294e-09	1.2946e-06	-1.2588e-06	5.3716e-09	-2.65408e-08	-1.1974e-08	1.3017e-06	-1.2657e-06	8.8514e-09	-2.65278e-08	-1.53064e-08	1.3075e-06	-1.2717e-06	1.24126e-08	-2.63588e-08	-1.85236e-08	1.3126e-06	-1.2781e-06	1.56418e-08	-2.64166e-08	-2.14936e-08	1.3174e-06	-1.2831e-06	1.87696e-08	-2.6399e-08	-2.45226e-08	1.3213e-06	-1.2864e-06	2.19742e-08	-2.63928e-08	-2.73722e-08	1.3229e-06	-1.2891e-06	2.4757e-08	-2.64076e-08	-2.99598e-08	1.3275e-06	-1.2931e-06	2.76764e-08	-2.63298e-08	-3.28284e-08	1.3313e-06	-1.2975e-06
-0.28	-6.2318e-09	-2.40396e-08	-5.1964e-10	1.2387e-06	-1.2056e-06	-2.349e-09	-2.39874e-08	-4.6544e-09	1.2829e-06	-1.2491e-06	1.5626e-09	-2.39258e-08	-8.3941e-09	1.2947e-06	-1.2612e-06	5.4423e-09	-2.39532e-08	-1.20428e-08	1.3012e-06	-1.2679e-06	8.9157e-09	-2.39404e-08	-1.54024e-08	1.3079e-06	-1.2748e-06	1.25008e-08	-2.37906e-08	-1.86078e-08	1.3138e-06	-1.2805e-06	1.57232e-08	-2.38492e-08	-2.16764e-08	1.3179e-06	-1.2858e-06	1.8951e-08	-2.38208e-08	-2.46668e-08	1.3215e-06	-1.2883e-06	2.21054e-08	-2.38448e-08	-2.75184e-08	1.3239e-06	-1.2924e-06	2.48716e-08	-2.3864e-08	-3.0135e-08	1.3276e-06	-1.2962e-06	2.80182e-08	-2.38424e-08	-3.29436e-08	1.3308e-06	-1.2991e-06
-0.275	-6.2365e-09	-2.1757e-08	-5.3032e-10	1.2385e-06	-1.208e-06	-2.343e-09	-2.17132e-08	-4.685e-09	1.2833e-06	-1.2513e-06	1.5954e-09	-2.1651e-08	-8.4548e-09	1.2945e-06	-1.2631e-06	5.437e-09	-2.16522e-08	-1.20728e-08	1.3009e-06	-1.2707e-06	9.0565e-09	-2.16204e-08	-1.5496e-08	1.3078e-06	-1.2765e-06	1.25918e-08	-2.15082e-08	-1.8756e-08	1.3127e-06	-1.2827e-06	1.57692e-08	-2.15716e-08	-2.1743e-08	1.3169e-06	-1.2874e-06	1.90796e-08	-2.15514e-08	-2.48468e-08	1.3206e-06	-1.2908e-06	2.2053e-08	-2.1545e-08	-2.76308e-08	1.3234e-06	-1.2948e-06	2.49972e-08	-2.15722e-08	-3.02732e-08	1.3266e-06	-1.2972e-06	2.8086e-08	-2.15266e-08	-3.31964e-08	1.3319e-06	-1.3027e-06
-0.27	-6.2535e-09	-1.9651e-08	-5.3706e-10	1.2404e-06	-1.2114e-06	-2.3141e-09	-1.95726e-08	-4.7099e-09	1.2825e-06	-1.2536e-06	1.6304e-09	-1.95638e-08	-8.4894e-09	1.2944e-06	-1.2656e-06	5.5215e-09	-1.95504e-08	-1.21622e-08	1.3016e-06	-1.2726e-06	9.1063e-09	-1.94958e-08	-1.55384e-08	1.3065e-06	-1.2782e-06	1.27024e-08	-1.94354e-08	-1.88578e-08	1.3122e-06	-1.2841e-06	1.59126e-08	-1.94556e-08	-2.19084e-08	1.3171e-06	-1.2898e-06	1.9216e-08	-1.9469e-08	-2.49234e-08	1.3208e-06	-1.2931e-06	2.23332e-08	-1.94534e-08	-2.78146e-08	1.324e-06	-1.2962e-06	2.51704e-08	-1.94872e-08	-3.04748e-08	1.326e-06	-1.299e-06	2.82832e-08	-1.94382e-08	-3.35458e-08	1.3316e-06	-1.304e-06
-0.265	-6.268e-09	-1.77318e-08	-5.4575e-10	1.242e-06	-1.2148e-06	-2.2958e-09	-1.76946e-08	-4.7452e-09	1.2822e-06	-1.2555e-06	1.6574e-09	-1.76806e-08	-8.5505e-09	1.2952e-06	-1.268e-06	5.5317e-09	-1.76434e-08	-1.2275e-08	1.3012e-06	-1.2742e-06	9.1821e-09	-1.7647e-08	-1.56652e-08	1.307e-06	-1.2806e-06	1.28198e-08	-1.75474e-08	-1.90192e-08	1.313e-06	-1.2868e-06	1.60142e-08	-1.76086e-08	-2.19966e-08	1.3174e-06	-1.2911e-06	1.92508e-08	-1.7619e-08	-2.51306e-08	1.3211e-06	-1.2954e-06	2.24256e-08	-1.75746e-08	-2.79968e-08	1.324e-06	-1.2983e-06	2.53522e-08	-1.7609e-08	-3.06586e-08	1.3278e-06	-1.3014e-06	2.8466e-08	-1.76004e-08	-3.35582e-08	1.3324e-06	-1.3064e-06
-0.26	-6.2869e-09	-1.59962e-08	-5.5008e-10	1.2419e-06	-1.2157e-06	-2.2903e-09	-1.59972e-08	-4.7727e-09	1.2829e-06	-1.2572e-06	1.714e-09	-1.59502e-08	-8.5829e-09	1.2946e-06	-1.269e-06	5.6933e-09	-1.59484e-08	-1.23692e-08	1.3017e-06	-1.2757e-06	9.2239e-09	-1.59206e-08	-1.5768e-08	1.3075e-06	-1.2818e-06	1.28234e-08	-1.5873e-08	-1.90938e-08	1.3131e-06	-1.2883e-06	1.61638e-08	-1.589e-08	-2.2166e-08	1.3185e-06	-1.2937e-06	1.94716e-08	-1.59146e-08	-2.53066e-08	1.3214e-06	-1.2967e-06	2.25022e-08	-1.58788e-08	-2.8069e-08	1.3236e-06	-1.2996e-06	2.54474e-08	-1.5885e-08	-3.08538e-08	1.3268e-06	-1.3036e-06	2.86598e-08	-1.58602e-08	-3.38368e-08	1.3315e-06	-1.3069e-06
-0.255	-6.2986e-09	-1.4479e-08	-5.6584e-10	1.2423e-06	-1.2182e-06	-2.2586e-09	-1.445e-08	-4.8001e-09	1.2829e-06	-1.2584e-06	1.7658e-09	-1.44262e-08	-8.6804e-09	1.2946e-06	-1.2711e-06	5.7407e-09	-1.44142e-08	-1.24306e-08	1.3007e-06	-1.2775e-06	9.3076e-09	-1.4402e-08	-1.5799e-08	1.3069e-06	-1.2838e-06	1.29576e-08	-1.43692e-08	-1.91462e-08	1.3141e-06	-1.2898e-06	1.621e-08	-1.4383e-08	-2.21768e-08	1.3168e-06	-1.2944e-06	1.96194e-08	-1.43962e-08	-2.54754e-08	1.3211e-06	-1.2985e-06	2.25984e-08	-1.4373e-08	-2.82e-08	1.3241e-06	-1.3015e-06	2.56456e-08	-1.43816e-08	-3.09382e-08	1.3279e-06	-1.3049e-06	2.88032e-08	-1.43648e-08	-3.40336e-08	1.3317e-06	-1.3094e-06
