vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	-6.612e-09	-4.61768e-08	-4.6949e-10	1.2508e-06	-1.1966e-06	3.80294e-08	-4.54142e-08	-4.20986e-08	1.2933e-06	-1.2415e-06	7.43776e-08	-4.58676e-08	-7.48186e-08	1.3051e-06	-1.2563e-06	1.1472e-07	-4.71692e-08	-1.1116e-07	1.3217e-06	-1.2757e-06	1.6518e-07	-4.92362e-08	-1.5482e-07	1.3411e-06	-1.2993e-06	2.2808e-07	-5.20518e-08	-2.0864e-07	1.3621e-06	-1.3258e-06	3.0288e-07	-5.54792e-08	-2.7198e-07	1.3696e-06	-1.3418e-06
-0.295	-6.7674e-09	-4.11092e-08	-4.7239e-10	1.2524e-06	-1.202e-06	3.85506e-08	-4.09136e-08	-4.2545e-08	1.293e-06	-1.2457e-06	7.51044e-08	-4.12958e-08	-7.55224e-08	1.3053e-06	-1.2609e-06	1.158e-07	-4.2495e-08	-1.1156e-07	1.3206e-06	-1.2793e-06	1.6636e-07	-4.44952e-08	-1.5598e-07	1.3386e-06	-1.3019e-06	2.271e-07	-4.72638e-08	-2.0944e-07	1.3602e-06	-1.3277e-06	3.033e-07	-5.07388e-08	-2.7346e-07	1.3693e-06	-1.3443e-06
-0.29	-6.7888e-09	-3.70514e-08	-4.921e-10	1.2533e-06	-1.2066e-06	3.87758e-08	-3.6959e-08	-4.27636e-08	1.2931e-06	-1.2501e-06	7.57158e-08	-3.72154e-08	-7.61072e-08	1.3044e-06	-1.2649e-06	1.1596e-07	-3.84536e-08	-1.1132e-07	1.3196e-06	-1.2833e-06	1.6688e-07	-4.04142e-08	-1.5658e-07	1.3379e-06	-1.3049e-06	2.2782e-07	-4.3126e-08	-2.1084e-07	1.359e-06	-1.3303e-06	3.0354e-07	-4.65758e-08	-2.745e-07	1.3671e-06	-1.3475e-06
-0.285	-6.8038e-09	-3.34322e-08	-4.9664e-10	1.2539e-06	-1.2111e-06	3.89638e-08	-3.33836e-08	-4.2966e-08	1.2937e-06	-1.2539e-06	7.63528e-08	-3.37292e-08	-7.64508e-08	1.3043e-06	-1.268e-06	1.1636e-07	-3.48258e-08	-1.1236e-07	1.3188e-06	-1.2865e-06	1.6716e-07	-3.68514e-08	-1.573e-07	1.3375e-06	-1.3076e-06	2.2946e-07	-3.94146e-08	-2.1156e-07	1.3571e-06	-1.3319e-06	3.0422e-07	-4.28888e-08	-2.7542e-07	1.3663e-06	-1.3491e-06
-0.28	-6.8166e-09	-3.0111e-08	-5.1105e-10	1.2547e-06	-1.2149e-06	3.93168e-08	-3.01232e-08	-4.3421e-08	1.2935e-06	-1.2569e-06	7.65808e-08	-3.0533e-08	-7.68774e-08	1.3048e-06	-1.2715e-06	1.1716e-07	-3.15162e-08	-1.1288e-07	1.318e-06	-1.2885e-06	1.679e-07	-3.34762e-08	-1.5808e-07	1.3357e-06	-1.3101e-06	2.3008e-07	-3.60336e-08	-2.1302e-07	1.3562e-06	-1.3345e-06	3.0614e-07	-3.94026e-08	-2.7822e-07	1.3657e-06	-1.3512e-06
-0.275	-6.8429e-09	-2.71452e-08	-5.1896e-10	1.2554e-06	-1.2188e-06	3.97594e-08	-2.71638e-08	-4.35484e-08	1.2941e-06	-1.2601e-06	7.69904e-08	-2.7658e-08	-7.7398e-08	1.3044e-06	-1.2738e-06	1.1766e-07	-2.85592e-08	-1.134e-07	1.318e-06	-1.291e-06	1.6854e-07	-3.05064e-08	-1.5902e-07	1.3355e-06	-1.3128e-06	2.3152e-07	-3.30258e-08	-2.1486e-07	1.3547e-06	-1.336e-06	3.0782e-07	-3.64054e-08	-2.7894e-07	1.3636e-06	-1.3532e-06
-0.27	-6.8477e-09	-2.4462e-08	-5.2531e-10	1.2561e-06	-1.2215e-06	3.9813e-08	-2.44964e-08	-4.39946e-08	1.2937e-06	-1.2628e-06	7.75464e-08	-2.50134e-08	-7.79522e-08	1.3038e-06	-1.2766e-06	1.182e-07	-2.59508e-08	-1.1408e-07	1.3172e-06	-1.2937e-06	1.6906e-07	-2.782e-08	-1.592e-07	1.3348e-06	-1.3138e-06	2.3226e-07	-3.03092e-08	-2.1486e-07	1.3528e-06	-1.337e-06	3.0778e-07	-3.36444e-08	-2.7974e-07	1.3629e-06	-1.3545e-06
-0.265	-6.8779e-09	-2.21002e-08	-5.2946e-10	1.2567e-06	-1.2244e-06	4.00934e-08	-2.21312e-08	-4.42388e-08	1.2936e-06	-1.2652e-06	7.79186e-08	-2.2634e-08	-7.83308e-08	1.3039e-06	-1.2785e-06	1.189e-07	-2.36088e-08	-1.1442e-07	1.3174e-06	-1.2953e-06	1.6896e-07	-2.53992e-08	-1.5958e-07	1.3338e-06	-1.3143e-06	2.3262e-07	-2.78686e-08	-2.1582e-07	1.3518e-06	-1.3383e-06	3.0928e-07	-3.11782e-08	-2.8124e-07	1.3626e-06	-1.3568e-06
-0.26	-6.8922e-09	-1.99048e-08	-5.4078e-10	1.2576e-06	-1.228e-06	4.03614e-08	-1.99542e-08	-4.44176e-08	1.2937e-06	-1.2673e-06	7.85442e-08	-2.0467e-08	-7.88652e-08	1.3043e-06	-1.2809e-06	1.197e-07	-2.14262e-08	-1.1576e-07	1.317e-06	-1.2968e-06	1.6992e-07	-2.31412e-08	-1.61e-07	1.3332e-06	-1.3166e-06	2.3354e-07	-2.56312e-08	-2.168e-07	1.3504e-06	-1.3401e-06	3.101e-07	-2.88834e-08	-2.8278e-07	1.3615e-06	-1.3562e-06
-0.255	-6.9089e-09	-1.79956e-08	-5.4789e-10	1.2583e-06	-1.2299e-06	4.0556e-08	-1.80254e-08	-4.47034e-08	1.2935e-06	-1.2692e-06	7.87166e-08	-1.85272e-08	-7.92536e-08	1.3035e-06	-1.2823e-06	1.2052e-07	-1.9497e-08	-1.1636e-07	1.3166e-06	-1.2985e-06	1.7122e-07	-2.11778e-08	-1.6172e-07	1.3325e-06	-1.3179e-06	2.3404e-07	-2.36462e-08	-2.1754e-07	1.3491e-06	-1.3403e-06	3.1102e-07	-2.68878e-08	-2.848e-07	1.3594e-06	-1.3573e-06
-0.25	-6.9233e-09	-1.62186e-08	-5.5338e-10	1.2577e-06	-1.2324e-06	4.08672e-08	-1.63008e-08	-4.49796e-08	1.2938e-06	-1.2704e-06	7.91408e-08	-1.67886e-08	-7.99202e-08	1.3037e-06	-1.2837e-06	1.2084e-07	-1.76664e-08	-1.1694e-07	1.3171e-06	-1.3005e-06	1.7142e-07	-1.93664e-08	-1.6222e-07	1.3319e-06	-1.3184e-06	2.3536e-07	-2.18138e-08	-2.1862e-07	1.3494e-06	-1.3414e-06	3.1292e-07	-2.50086e-08	-2.8586e-07	1.3594e-06	-1.3591e-06
-0.245	-6.9247e-09	-1.46336e-08	-5.6888e-10	1.2585e-06	-1.2342e-06	4.09962e-08	-1.47232e-08	-4.51226e-08	1.2935e-06	-1.2719e-06	7.97794e-08	-1.52006e-08	-8.0253e-08	1.3037e-06	-1.2856e-06	1.2122e-07	-1.60984e-08	-1.1724e-07	1.3164e-06	-1.3019e-06	1.7166e-07	-1.77732e-08	-1.6294e-07	1.3307e-06	-1.3204e-06	2.3616e-07	-2.01532e-08	-2.1968e-07	1.3482e-06	-1.3416e-06	3.1284e-07	-2.33236e-08	-2.862e-07	1.3577e-06	-1.3591e-06
-0.24	-6.9324e-09	-1.31968e-08	-5.6948e-10	1.2595e-06	-1.2364e-06	4.1179e-08	-1.32804e-08	-4.52682e-08	1.2945e-06	-1.2734e-06	7.97616e-08	-1.3781e-08	-8.04232e-08	1.3038e-06	-1.2871e-06	1.2166e-07	-1.4654e-08	-1.1842e-07	1.3164e-06	-1.3034e-06	1.74e-07	-1.6271e-08	-1.647e-07	1.3303e-06	-1.3207e-06	2.3668e-07	-1.86356e-08	-2.1986e-07	1.3467e-06	-1.3421e-06	3.142e-07	-2.17804e-08	-2.8906e-07	1.3578e-06	-1.3601e-06
-0.235	-6.9457e-09	-1.19358e-08	-5.7308e-10	1.2604e-06	-1.2385e-06	4.13436e-08	-1.20302e-08	-4.57614e-08	1.2946e-06	-1.2757e-06	8.03936e-08	-1.24976e-08	-8.10222e-08	1.304e-06	-1.2888e-06	1.2206e-07	-1.3361e-08	-1.183e-07	1.3164e-06	-1.3046e-06	1.7474e-07	-1.49826e-08	-1.6594e-07	1.3304e-06	-1.3223e-06	2.3722e-07	-1.729e-08	-2.2084e-07	1.3473e-06	-1.3429e-06	3.1598e-07	-2.0438e-08	-2.8976e-07	1.3572e-06	-1.3605e-06
-0.23	-6.9528e-09	-1.07514e-08	-5.8096e-10	1.2604e-06	-1.2394e-06	4.17154e-08	-1.08498e-08	-4.59654e-08	1.2936e-06	-1.2767e-06	8.08512e-08	-1.13456e-08	-8.14734e-08	1.3046e-06	-1.2903e-06	1.2338e-07	-1.22208e-08	-1.1918e-07	1.3161e-06	-1.3046e-06	1.7446e-07	-1.37762e-08	-1.6568e-07	1.3305e-06	-1.3233e-06	2.3902e-07	-1.60542e-08	-2.2278e-07	1.3462e-06	-1.3437e-06	3.1826e-07	-1.91586e-08	-2.927e-07	1.3562e-06	-1.3605e-06
