I/V Sweep,id_vds
RecordTime,12/20/2023 08:56:16
Device ID,
Count,1
Flag,
Remarks,\
vd,vg,id,ig,is,iavdd,ignd
0,0,-3.6139E-09,-1.7367E-10,-8.802000000000001E-11,6.4122E-07,-6.3766E-07
0.005,0,-1.3557E-09,-1.7409000000000002E-10,-2.241E-09,6.4263999999999994E-07,-6.3858E-07
0.01,0,6.0605000000000009E-10,-1.7595000000000002E-10,-4.0452E-09,6.43E-07,-6.3922E-07
0.015000000000000001,0,2.3226E-09,-1.7327E-10,-5.5935E-09,6.4385999999999994E-07,-6.4026E-07
0.02,0,3.7731E-09,-1.7531000000000001E-10,-6.8953E-09,6.44E-07,-6.4082E-07
0.025,0,5.0665E-09,-1.715E-10,-8.0368E-09,6.4424E-07,-6.4112E-07
0.030000000000000002,0,6.1822E-09,-1.7421E-10,-9.0217E-09,6.4458E-07,-6.4164E-07
0.035,0,7.1683E-09,-1.7397000000000002E-10,-9.8738999999999992E-09,6.4478E-07,-6.4184E-07
0.04,0,8.0318E-09,-1.7485000000000002E-10,-1.0598E-08,6.4492E-07,-6.4212E-07
0.045000000000000005,0,8.7976E-09,-1.7494000000000002E-10,-1.12615E-08,6.452E-07,-6.4248E-07
0.05,0,9.4566E-09,-1.7379E-10,-1.1835399999999998E-08,6.4564E-07,-6.4308E-07
0.055,0,1.01065E-08,-1.7654000000000002E-10,-1.2349399999999999E-08,6.4592E-07,-6.4344E-07
0.060000000000000005,0,1.06671E-08,-1.7354E-10,-1.2816599999999998E-08,6.4612E-07,-6.4366E-07
0.065,0,1.11532E-08,-1.8142E-10,-1.32004E-08,6.466E-07,-6.4412E-07
0.07,0,1.1712599999999999E-08,-1.7395E-10,-1.3620799999999999E-08,6.4637999999999994E-07,-6.4431999999999994E-07
0.075,0,1.2153599999999999E-08,-1.7617000000000002E-10,-1.3930999999999999E-08,6.4654E-07,-6.4458E-07
0.08,0,1.2565599999999998E-08,-1.7629000000000002E-10,-1.4245399999999998E-08,6.466E-07,-6.4474E-07
0.085,0,1.2954399999999998E-08,-1.7834E-10,-1.4548599999999998E-08,6.4698E-07,-6.453E-07
0.090000000000000011,0,1.3323199999999999E-08,-1.7622E-10,-1.4814999999999999E-08,6.4716E-07,-6.4536E-07
0.095,0,1.3691399999999998E-08,-1.8154000000000003E-10,-1.5091999999999997E-08,6.47E-07,-6.4525999999999994E-07
0.1,0,1.4027199999999998E-08,-1.7633000000000003E-10,-1.5353E-08,6.47E-07,-6.4538E-07
0.10500000000000001,0,1.4353399999999998E-08,-1.8387E-10,-1.55936E-08,6.4702E-07,-6.4564E-07
0.11,0,1.4666399999999999E-08,-1.7726000000000002E-10,-1.5803399999999998E-08,6.4738E-07,-6.4616E-07
0.115,0,1.4957199999999997E-08,-1.8335000000000002E-10,-1.59938E-08,6.4738E-07,-6.4618E-07
