vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	-3.3837e-09	-4.0438e-08	-2.8392e-10	6.5686e-07	-6.1386e-07	3.3909e-09	-3.98662e-08	-3.7556e-09	6.7268e-07	-6.3258e-07	8.3828e-09	-3.9845e-08	-6.1856e-09	6.7638e-07	-6.3886e-07	1.36288e-08	-3.98942e-08	-8.7323e-09	6.7992e-07	-6.4502e-07	1.96516e-08	-4.0904e-08	-1.1472e-08	6.8618e-07	-6.5364e-07	2.73724e-08	-4.18778e-08	-1.47446e-08	6.914e-07	-6.62e-07	3.77186e-08	-4.27326e-08	-1.86912e-08	6.9436e-07	-6.702e-07
-0.295	-3.4343e-09	-3.6214e-08	-2.8758e-10	6.5802e-07	-6.1778e-07	3.4196e-09	-3.6024e-08	-3.7629e-09	6.7266e-07	-6.3644e-07	8.4198e-09	-3.60118e-08	-6.2011e-09	6.7646e-07	-6.4232e-07	1.36816e-08	-3.6099e-08	-8.8534e-09	6.7986e-07	-6.4872e-07	1.95528e-08	-3.69174e-08	-1.15378e-08	6.857e-07	-6.57e-07	2.7151e-08	-3.78742e-08	-1.47812e-08	6.9068e-07	-6.6508e-07	3.73964e-08	-3.88344e-08	-1.88258e-08	6.9342e-07	-6.7336e-07
-0.29	-3.4384e-09	-3.28372e-08	-2.9326e-10	6.5808e-07	-6.2166e-07	3.4311e-09	-3.2656e-08	-3.7766e-09	6.7274e-07	-6.3966e-07	8.4355e-09	-3.26586e-08	-6.263e-09	6.764e-07	-6.4584e-07	1.37608e-08	-3.27684e-08	-8.8651e-09	6.7992e-07	-6.5208e-07	1.96688e-08	-3.35144e-08	-1.1552e-08	6.854e-07	-6.5974e-07	2.7098e-08	-3.4442e-08	-1.47814e-08	6.9022e-07	-6.6794e-07	3.75646e-08	-3.54074e-08	-1.88194e-08	6.9294e-07	-6.7614e-07
-0.285	-3.4464e-09	-2.9741e-08	-2.9067e-10	6.5816e-07	-6.2496e-07	3.4416e-09	-2.95802e-08	-3.7997e-09	6.7262e-07	-6.4274e-07	8.4828e-09	-2.9589e-08	-6.3169e-09	6.7636e-07	-6.4896e-07	1.37166e-08	-2.97256e-08	-8.8917e-09	6.7994e-07	-6.5478e-07	1.96086e-08	-3.0432e-08	-1.16128e-08	6.8508e-07	-6.6248e-07	2.7036e-08	-3.12988e-08	-1.49054e-08	6.8956e-07	-6.7044e-07	3.73568e-08	-3.22758e-08	-1.88442e-08	6.924e-07	-6.7852e-07
-0.28	-3.4485e-09	-2.69654e-08	-2.9606e-10	6.586e-07	-6.2794e-07	3.4245e-09	-2.68304e-08	-3.8041e-09	6.728e-07	-6.4566e-07	8.4629e-09	-2.68198e-08	-6.3317e-09	6.7628e-07	-6.5134e-07	1.37958e-08	-2.69774e-08	-8.9369e-09	6.7988e-07	-6.5744e-07	1.96878e-08	-2.76544e-08	-1.17018e-08	6.8506e-07	-6.653e-07	2.7181e-08	-2.8491e-08	-1.4902e-08	6.8934e-07	-6.729e-07	3.7329e-08	-2.9476e-08	-1.89744e-08	6.9206e-07	-6.8094e-07
-0.275	-3.4535e-09	-2.4415e-08	-2.968e-10	6.5894e-07	-6.3078e-07	3.4483e-09	-2.42698e-08	-3.838e-09	6.7278e-07	-6.48e-07	8.4914e-09	-2.43198e-08	-6.3511e-09	6.76e-07	-6.5412e-07	1.37556e-08	-2.44696e-08	-8.9928e-09	6.7962e-07	-6.5994e-07	1.9713e-08	-2.51156e-08	-1.18092e-08	6.8462e-07	-6.6734e-07	2.71004e-08	-2.59036e-08	-1.49672e-08	6.8874e-07	-6.7484e-07	3.7443e-08	-2.69098e-08	-1.90108e-08	6.914e-07	-6.8272e-07
-0.27	-3.4581e-09	-2.21396e-08	-2.9647e-10	6.5928e-07	-6.3336e-07	3.4887e-09	-2.19986e-08	-3.8605e-09	6.7292e-07	-6.5056e-07	8.5049e-09	-2.20388e-08	-6.4044e-09	6.7606e-07	-6.5608e-07	1.37858e-08	-2.22218e-08	-8.9805e-09	6.795e-07	-6.622e-07	1.96868e-08	-2.28312e-08	-1.1863e-08	6.841e-07	-6.6924e-07	2.72574e-08	-2.36028e-08	-1.50708e-08	6.8856e-07	-6.7688e-07	3.73584e-08	-2.4593e-08	-1.91654e-08	6.9118e-07	-6.8468e-07
-0.265	-3.4666e-09	-2.00392e-08	-3.0347e-10	6.5904e-07	-6.3534e-07	3.5114e-09	-1.992e-08	-3.8834e-09	6.7288e-07	-6.5244e-07	8.5552e-09	-1.99594e-08	-6.3989e-09	6.7646e-07	-6.586e-07	1.38078e-08	-2.01464e-08	-9.0482e-09	6.798e-07	-6.6446e-07	1.98114e-08	-2.07154e-08	-1.19204e-08	6.8386e-07	-6.7098e-07	2.7252e-08	-2.15086e-08	-1.5165e-08	6.8814e-07	-6.7844e-07	3.74052e-08	-2.24774e-08	-1.91726e-08	6.906e-07	-6.8636e-07
-0.26	-3.4705e-09	-1.81414e-08	-2.9909e-10	6.5944e-07	-6.3752e-07	3.5208e-09	-1.8069e-08	-3.9203e-09	6.7262e-07	-6.5436e-07	8.5691e-09	-1.81046e-08	-6.4545e-09	6.7628e-07	-6.5988e-07	1.3803e-08	-1.82976e-08	-9.0666e-09	6.7938e-07	-6.6592e-07	1.97906e-08	-1.88364e-08	-1.19404e-08	6.839e-07	-6.7278e-07	2.72378e-08	-1.9608e-08	-1.53286e-08	6.8796e-07	-6.8012e-07	3.7265e-08	-2.05718e-08	-1.91194e-08	6.905e-07	-6.8784e-07
-0.255	-3.4716e-09	-1.6431e-08	-3.0366e-10	6.5968e-07	-6.3944e-07	3.5619e-09	-1.63502e-08	-3.9369e-09	6.7268e-07	-6.561e-07	8.556e-09	-1.64164e-08	-6.471e-09	6.7626e-07	-6.6176e-07	1.38562e-08	-1.65786e-08	-9.1132e-09	6.7958e-07	-6.6758e-07	1.9802e-08	-1.71132e-08	-1.206e-08	6.838e-07	-6.7448e-07	2.72538e-08	-1.78512e-08	-1.52912e-08	6.8732e-07	-6.8134e-07	3.72424e-08	-1.882e-08	-1.9249e-08	6.9022e-07	-6.894e-07
-0.25	-3.475e-09	-1.48846e-08	-3.0606e-10	6.598e-07	-6.4112e-07	3.5909e-09	-1.48038e-08	-3.9735e-09	6.7292e-07	-6.5776e-07	8.61e-09	-1.48668e-08	-6.5221e-09	6.7582e-07	-6.6316e-07	1.3848e-08	-1.5064e-08	-9.1549e-09	6.7936e-07	-6.6884e-07	1.98358e-08	-1.5585e-08	-1.21268e-08	6.834e-07	-6.7548e-07	2.72382e-08	-1.6318e-08	-1.54974e-08	6.8708e-07	-6.8282e-07	3.73916e-08	-1.72544e-08	-1.95434e-08	6.9006e-07	-6.9054e-07
-0.245	-3.4764e-09	-1.34398e-08	-3.0436e-10	6.6016e-07	-6.4276e-07	3.5889e-09	-1.3395e-08	-3.9858e-09	6.7302e-07	-6.5914e-07	8.6133e-09	-1.34558e-08	-6.5614e-09	6.7618e-07	-6.6474e-07	1.39056e-08	-1.3662e-08	-9.2262e-09	6.7914e-07	-6.7018e-07	1.99272e-08	-1.41594e-08	-1.2205e-08	6.8328e-07	-6.7668e-07	2.74002e-08	-1.48796e-08	-1.54176e-08	6.8688e-07	-6.8398e-07	3.74658e-08	-1.58016e-08	-1.96464e-08	6.897e-07	-6.9162e-07
-0.24	-3.4827e-09	-1.21756e-08	-3.0876e-10	6.6006e-07	-6.4432e-07	3.5984e-09	-1.21508e-08	-4.0292e-09	6.7274e-07	-6.6032e-07	8.6133e-09	-1.22206e-08	-6.5776e-09	6.7602e-07	-6.6584e-07	1.39446e-08	-1.2406e-08	-9.236e-09	6.7942e-07	-6.7152e-07	1.9957e-08	-1.28876e-08	-1.22766e-08	6.8318e-07	-6.779e-07	2.73758e-08	-1.35888e-08	-1.56598e-08	6.8682e-07	-6.8468e-07	3.75406e-08	-1.45276e-08	-1.96652e-08	6.8952e-07	-6.9276e-07
-0.235	-3.4885e-09	-1.09952e-08	-3.148e-10	6.6072e-07	-6.4564e-07	3.6351e-09	-1.0977e-08	-4.0315e-09	6.7298e-07	-6.6132e-07	8.7103e-09	-1.10574e-08	-6.6369e-09	6.7604e-07	-6.6702e-07	1.39656e-08	-1.12552e-08	-9.3296e-09	6.7896e-07	-6.7234e-07	1.99682e-08	-1.1719e-08	-1.22634e-08	6.8298e-07	-6.7878e-07	2.73916e-08	-1.23998e-08	-1.55744e-08	6.864e-07	-6.8598e-07	3.75208e-08	-1.33428e-08	-1.98496e-08	6.8924e-07	-6.936e-07
-0.23	-3.4886e-09	-9.9686e-09	-3.0729e-10	6.6048e-07	-6.4676e-07	3.633e-09	-9.9186e-09	-4.0653e-09	6.7268e-07	-6.6228e-07	8.7369e-09	-1.0018e-08	-6.7035e-09	6.7602e-07	-6.6802e-07	1.4063e-08	-1.0225e-08	-9.3517e-09	6.7928e-07	-6.7368e-07	2e-08	-1.06724e-08	-1.23414e-08	6.8282e-07	-6.7986e-07	2.73778e-08	-1.13458e-08	-1.5688e-08	6.8624e-07	-6.8656e-07	3.76244e-08	-1.22838e-08	-2.00358e-08	6.8922e-07	-6.944e-07
-0.225	-3.4957e-09	-9.0166e-09	-3.1257e-10	6.6082e-07	-6.4804e-07	3.6628e-09	-8.9837e-09	-4.0732e-09	6.7296e-07	-6.6354e-07	8.7737e-09	-9.0802e-09	-6.678e-09	6.7596e-07	-6.6898e-07	1.40792e-08	-9.2988e-09	-9.4978e-09	6.7896e-07	-6.7432e-07	2.0022e-08	-9.7258e-09	-1.23752e-08	6.8286e-07	-6.8082e-07	2.75064e-08	-1.0382e-08	-1.58428e-08	6.859e-07	-6.8728e-07	3.78376e-08	-1.13042e-08	-2.01408e-08	6.8896e-07	-6.9506e-07
