I/V Sweep,id_vgs
RecordTime,12/20/2023 09:29:00
Device ID,
Count,2
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-2.2272E-09,-3.91848E-08,8.5518E-10,6.6034E-07,-6.2018E-07
-0.29500000000000004,0,-2.3099E-09,-3.5474199999999995E-08,8.071E-10,6.6112E-07,-6.2408E-07
-0.29000000000000004,0,-2.3529E-09,-3.22714E-08,7.6866E-10,6.613E-07,-6.273E-07
-0.28500000000000003,0,-2.3977E-09,-2.9347999999999996E-08,7.2460000000000006E-10,6.6182E-07,-6.3072E-07
-0.28,0,-2.4376E-09,-2.66742E-08,6.8121000000000007E-10,6.6182E-07,-6.3346E-07
-0.275,0,-2.4786E-09,-2.4259199999999997E-08,6.4845000000000007E-10,6.62E-07,-6.36E-07
-0.27,0,-2.5151E-09,-2.2067E-08,6.0848000000000005E-10,6.6236E-07,-6.3836E-07
-0.265,0,-2.5513E-09,-2.0048E-08,5.6958E-10,6.626E-07,-6.4067999999999994E-07
-0.26,0,-2.5859E-09,-1.82442E-08,5.3529E-10,6.6264E-07,-6.4244E-07
-0.255,0,-2.6263E-09,-1.65716E-08,4.9912E-10,6.6312E-07,-6.4424E-07
-0.25,0,-2.6534E-09,-1.5106E-08,4.6587000000000007E-10,6.6302E-07,-6.4581999999999994E-07
-0.24500000000000002,0,-2.6912E-09,-1.37244E-08,4.3496E-10,6.6334E-07,-6.4738E-07
-0.24000000000000002,0,-2.7245E-09,-1.24884E-08,3.9901000000000005E-10,6.6338E-07,-6.4866E-07
-0.23500000000000001,0,-2.7574E-09,-1.13572E-08,3.6453000000000003E-10,6.6388E-07,-6.4972E-07
-0.23,0,-2.7858E-09,-1.0323199999999998E-08,3.3605000000000004E-10,6.6366E-07,-6.5113999999999994E-07
-0.225,0,-2.8145E-09,-9.4135E-09,3.0969000000000004E-10,6.6406E-07,-6.5232E-07
-0.22,0,-2.85E-09,-8.5755E-09,2.8157000000000004E-10,6.646E-07,-6.5322E-07
-0.215,0,-2.8745E-09,-7.7864E-09,2.4663E-10,6.649E-07,-6.5436E-07
-0.21000000000000002,0,-2.9002E-09,-7.1032E-09,2.2735000000000002E-10,6.649E-07,-6.5504E-07
-0.20500000000000002,0,-2.9314E-09,-6.4558E-09,1.9563000000000003E-10,6.6514E-07,-6.5602E-07
-0.2,0,-2.9566E-09,-5.8909E-09,1.7173E-10,6.6526E-07,-6.568E-07
-0.195,0,-2.9841E-09,-5.3604E-09,1.5073E-10,6.655E-07,-6.5742E-07
-0.19,0,-3.0045E-09,-4.8891E-09,1.2088E-10,6.6576E-07,-6.5802E-07
-0.185,0,-3.0263E-09,-4.4526E-09,9.8410000000000012E-11,6.659E-07,-6.5864E-07
-0.18000000000000002,0,-3.0458E-09,-4.0616E-09,7.348E-11,6.6607999999999994E-07,-6.5914E-07
