I/V Sweep,id_vgs_2
RecordTime,12/20/2023 09:24:51
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-3.3362E-09,-3.30092E-08,-1.6100000000000002E-12,6.5978E-07,-6.2404E-07
-0.29500000000000004,0,-3.4026E-09,-2.9813799999999994E-08,2.8E-13,6.6064E-07,-6.2748E-07
-0.29000000000000004,0,-3.4184E-09,-2.7001999999999996E-08,1.1000000000000002E-12,6.6108E-07,-6.3077999999999993E-07
-0.28500000000000003,0,-3.4413E-09,-2.4435799999999997E-08,1.31E-12,6.6152E-07,-6.3336E-07
-0.28,0,-3.45E-09,-2.2185799999999997E-08,3.9000000000000005E-13,6.6176E-07,-6.3619999999999994E-07
-0.275,0,-3.4658E-09,-2.00904E-08,2.19E-12,6.619E-07,-6.3832E-07
-0.27,0,-3.4839E-09,-1.8234199999999997E-08,-1.69E-12,6.623E-07,-6.4038E-07
-0.265,0,-3.491E-09,-1.6500399999999997E-08,1.88E-12,6.6232E-07,-6.4266E-07
-0.26,0,-3.5096E-09,-1.49426E-08,8.6000000000000007E-13,6.6261999999999993E-07,-6.4438E-07
-0.255,0,-3.5198E-09,-1.3529199999999999E-08,-2.75E-12,6.6298E-07,-6.4574E-07
-0.25,0,-3.5338E-09,-1.2263799999999999E-08,-2.7E-13,6.6312E-07,-6.4744E-07
-0.24500000000000002,0,-3.5488E-09,-1.10834E-08,-3.02E-12,6.6322E-07,-6.4856E-07
-0.24000000000000002,0,-3.5574E-09,-1.0048399999999999E-08,-3.4E-13,6.6358E-07,-6.498E-07
-0.23500000000000001,0,-3.568E-09,-9.1075E-09,-2.0200000000000003E-12,6.6386E-07,-6.5113999999999994E-07
-0.23,0,-3.5877E-09,-8.2562E-09,-2.3500000000000003E-12,6.6402E-07,-6.5214E-07
-0.225,0,-3.6003E-09,-7.4668E-09,-1.6E-12,6.6432E-07,-6.5318E-07
-0.22,0,-3.6059E-09,-6.7652E-09,-1.2800000000000002E-12,6.6448E-07,-6.5403999999999995E-07
-0.215,0,-3.6216E-09,-6.1121E-09,3.3E-13,6.6502E-07,-6.554E-07
-0.21000000000000002,0,-3.6347E-09,-5.5353E-09,-1.2500000000000001E-12,6.6518E-07,-6.5602E-07
-0.20500000000000002,0,-3.6421E-09,-5.0127E-09,7.7000000000000005E-13,6.6532E-07,-6.5668E-07
-0.2,0,-3.6516E-09,-4.5409E-09,-2.23E-12,6.6576E-07,-6.5726E-07
-0.195,0,-3.6602E-09,-4.1082E-09,1.0600000000000001E-12,6.6558E-07,-6.5798E-07
-0.19,0,-3.6686E-09,-3.7227E-09,2.3000000000000003E-13,6.6564E-07,-6.5841999999999994E-07
-0.185,0,-3.6811E-09,-3.3721E-09,-9.7000000000000011E-13,6.6596E-07,-6.5897999999999994E-07
-0.18000000000000002,0,-3.693E-09,-3.06E-09,9.5E-13,6.6635999999999994E-07,-6.5956E-07
-0.17500000000000002,0,-3.697E-09,-2.765E-09,8.300000000000001E-13,6.6644E-07,-6.5978E-07
-0.17,0,-3.7022E-09,-2.5099E-09,2.3000000000000003E-13,6.6634E-07,-6.6037999999999994E-07
-0.165,0,-3.7099E-09,-2.2742E-09,1.5E-12,6.6658E-07,-6.6068E-07
-0.16,0,-3.7214E-09,-2.061E-09,-1.6E-12,6.667E-07,-6.6093999999999993E-07
-0.155,0,-3.7323E-09,-1.8675E-09,5.2E-13,6.6724E-07,-6.6138E-07
-0.15,0,-3.7389E-09,-1.698E-09,1.5200000000000002E-12,6.6734E-07,-6.6192E-07
-0.14500000000000002,0,-3.744E-09,-1.5442E-09,5.4E-13,6.6722E-07,-6.62E-07
-0.14,0,-3.7456E-09,-1.4031E-09,7.5E-13,6.6736E-07,-6.6226E-07
-0.135,0,-3.7531E-09,-1.2756E-09,2.3000000000000003E-12,6.6762E-07,-6.6266E-07
-0.13,0,-3.7605E-09,-1.1603E-09,3.3100000000000002E-12,6.6785999999999995E-07,-6.6288E-07
-0.125,0,-3.7654E-09,-1.0588E-09,2.57E-12,6.6812E-07,-6.6324E-07
-0.12000000000000001,0,-3.7674E-09,-9.6573000000000014E-10,3.3100000000000002E-12,6.6792E-07,-6.6308E-07
-0.115,0,-3.7729E-09,-8.8008E-10,-1E-13,6.6812E-07,-6.6374E-07
-0.11,0,-3.7782E-09,-8.058E-10,-3.0000000000000005E-14,6.6822E-07,-6.636E-07
-0.10500000000000001,0,-3.7782E-09,-7.367900000000001E-10,1.27E-12,6.6852E-07,-6.6383999999999994E-07
-0.1,0,-3.7869E-09,-6.7606E-10,1.83E-12,6.6859999999999994E-07,-6.6392E-07
-0.095,0,-3.7878E-09,-6.204E-10,2.1000000000000003E-12,6.6882E-07,-6.643E-07
-0.090000000000000011,0,-3.7924E-09,-5.7124000000000009E-10,1.64E-12,6.6868E-07,-6.643E-07
-0.085,0,-3.7969E-09,-5.2626E-10,2.3000000000000003E-13,6.6876E-07,-6.6432E-07
-0.08,0,-3.7995E-09,-4.8426E-10,1.6E-12,6.691E-07,-6.6467999999999994E-07
-0.075,0,-3.7997E-09,-4.4838000000000006E-10,3.97E-12,6.6892E-07,-6.6486E-07
-0.07,0,-3.8077E-09,-4.1465E-10,1.6100000000000002E-12,6.6928E-07,-6.6512E-07
-0.065,0,-3.8136E-09,-3.8439000000000006E-10,1.8700000000000003E-12,6.6922E-07,-6.6528E-07
-0.060000000000000005,0,-3.8138E-09,-3.5777000000000005E-10,1.2900000000000002E-12,6.6948E-07,-6.6514E-07
-0.055,0,-3.8208E-09,-3.3267000000000005E-10,1.45E-12,6.6922E-07,-6.65E-07
-0.05,0,-3.8198E-09,-3.1118E-10,2.9600000000000003E-12,6.6946E-07,-6.6532E-07
-0.045000000000000005,0,-3.826E-09,-2.9002E-10,-1.1000000000000001E-13,6.6971999999999994E-07,-6.6538E-07
-0.04,0,-3.8242E-09,-2.7247000000000004E-10,1.18E-12,6.696E-07,-6.6551999999999994E-07
-0.035,0,-3.8268E-09,-2.5366000000000003E-10,4.3000000000000004E-13,6.6984E-07,-6.6586E-07
-0.030000000000000002,0,-3.8343E-09,-2.3766000000000004E-10,1.4E-13,6.6996E-07,-6.6582E-07
-0.025,0,-3.8347E-09,-2.2181E-10,1.95E-12,6.6994E-07,-6.6584E-07
-0.02,0,-3.8367E-09,-2.1107000000000003E-10,1.3800000000000002E-12,6.7004E-07,-6.66E-07
-0.015000000000000001,0,-3.8383E-09,-1.9965E-10,1.3800000000000002E-12,6.6984E-07,-6.6579999999999994E-07
-0.01,0,-3.8362E-09,-1.8707E-10,1E-13,6.7009999999999995E-07,-6.6598E-07
-0.005,0,-3.8368E-09,-1.7742000000000002E-10,9.8E-13,6.7032E-07,-6.6632E-07
0,0,-3.8401E-09,-1.6702E-10,3E-12,6.7037999999999995E-07,-6.6626E-07
0.005,0,-3.8429E-09,-1.6000000000000002E-10,1.08E-12,6.7054E-07,-6.6658E-07
0.01,0,-3.8487E-09,-1.4906E-10,3.1000000000000004E-13,6.706E-07,-6.665E-07
0.015000000000000001,0,-3.8512E-09,-1.4082E-10,2.82E-12,6.7062E-07,-6.6646E-07
0.02,0,-3.8541E-09,-1.3271E-10,1.1100000000000001E-12,6.7055999999999994E-07,-6.6656E-07
0.025,0,-3.855E-09,-1.2652000000000002E-10,1.23E-12,6.7074E-07,-6.6674E-07
0.030000000000000002,0,-3.8562E-09,-1.1909E-10,2.3000000000000003E-13,6.7072E-07,-6.6668E-07
0.035,0,-3.8586E-09,-1.1110000000000001E-10,-2E-13,6.707E-07,-6.6663999999999994E-07
0.04,0,-3.8629999999999996E-09,-1.0467000000000001E-10,3.1000000000000004E-13,6.7074E-07,-6.6691999999999994E-07
0.045000000000000005,0,-3.8646E-09,-9.8220000000000011E-11,-1.31E-12,6.7093999999999995E-07,-6.6694E-07
0.05,0,-3.8668E-09,-9.1330000000000009E-11,3.1000000000000004E-13,6.7118E-07,-6.6726E-07
0.055,0,-3.8739E-09,-8.301E-11,6.1E-13,6.71E-07,-6.6726E-07
0.060000000000000005,0,-3.8749E-09,-7.7400000000000012E-11,-9.0000000000000008E-14,6.712E-07,-6.6706E-07
0.065,0,-3.8782E-09,-7.0730000000000011E-11,1.9000000000000002E-13,6.7136E-07,-6.674E-07
0.07,0,-3.8794E-09,-6.4890000000000008E-11,3.3E-13,6.7136E-07,-6.6747999999999994E-07
0.075,0,-3.8821E-09,-5.6760000000000006E-11,-2.1000000000000003E-12,6.7152E-07,-6.6757999999999995E-07
0.08,0,-3.8817E-09,-5.004E-11,6.400000000000001E-13,6.718E-07,-6.6754E-07
0.085,0,-3.8898E-09,-4.3860000000000004E-11,-1.7100000000000002E-12,6.716E-07,-6.6757999999999995E-07
0.090000000000000011,0,-3.896E-09,-3.6650000000000004E-11,9.8E-13,6.7166E-07,-6.6778E-07
0.095,0,-3.8966E-09,-3.0500000000000005E-11,0,6.7177999999999994E-07,-6.6774E-07
0.1,0,-3.9007E-09,-2.2840000000000002E-11,-4.9E-13,6.7162E-07,-6.6798E-07
0.10500000000000001,0,-3.9007E-09,-1.5760000000000002E-11,4.2000000000000003E-13,6.718E-07,-6.678E-07
0.11,0,-3.9097E-09,-7.4600000000000009E-12,1.9000000000000002E-13,6.718E-07,-6.6803999999999994E-07
0.115,0,-3.9137E-09,1.4700000000000002E-12,8E-13,6.7198E-07,-6.6788E-07
0.12000000000000001,0,-3.9158E-09,9.43E-12,7E-14,6.719E-07,-6.6816E-07
0.125,0,-3.9261E-09,1.717E-11,-1.31E-12,6.721E-07,-6.682E-07
0.13,0,-3.9265E-09,2.538E-11,-7.6000000000000009E-13,6.722E-07,-6.6852E-07
0.135,0,-3.9335E-09,3.6070000000000004E-11,-3.2600000000000002E-12,6.7214E-07,-6.6834E-07
0.14,0,-3.9374E-09,4.5500000000000004E-11,-1.07E-12,6.7223999999999994E-07,-6.6831999999999994E-07
0.14500000000000002,0,-3.9505E-09,5.426E-11,-4.2000000000000003E-13,6.7214E-07,-6.6818E-07
0.15,0,-3.9533E-09,6.3150000000000009E-11,-3.13E-12,6.7218E-07,-6.683E-07
0.155,0,-3.9613E-09,7.5720000000000011E-11,-1.5E-12,6.721E-07,-6.6816E-07
0.16,0,-3.9646E-09,8.668E-11,9.0000000000000008E-14,6.7242E-07,-6.6876E-07
0.165,0,-3.9724E-09,9.8160000000000013E-11,-1.4800000000000002E-12,6.724E-07,-6.6848E-07
0.17,0,-3.9816E-09,1.0988000000000001E-10,-1.1100000000000001E-12,6.7226E-07,-6.6841999999999995E-07
0.17500000000000002,0,-3.9887E-09,1.2218E-10,-3.5E-13,6.7261999999999994E-07,-6.6876E-07
0.18000000000000002,0,-4.0001E-09,1.356E-10,-9.000000000000001E-13,6.7254E-07,-6.6859999999999994E-07
0.185,0,-4.0082E-09,1.4739000000000002E-10,-6.400000000000001E-13,6.7256E-07,-6.6886E-07
0.19,0,-4.0221E-09,1.6151000000000002E-10,-1.41E-12,6.7279999999999994E-07,-6.689E-07
0.195,0,-4.028E-09,1.7679000000000002E-10,-1.1000000000000001E-13,6.726E-07,-6.6887999999999994E-07
0.2,0,-4.0466E-09,1.914E-10,-8.8000000000000009E-13,6.7296E-07,-6.6896E-07
0.20500000000000002,0,-4.0574E-09,2.0677000000000003E-10,-1.6E-12,6.7268E-07,-6.689E-07
0.21000000000000002,0,-4.0676E-09,2.2397000000000003E-10,-1.1000000000000001E-13,6.7268E-07,-6.6896E-07
0.215,0,-4.0837E-09,2.4067E-10,-2.24E-12,6.7274E-07,-6.6904E-07
