I/V Sweep,id_vgs
RecordTime,04/24/2024 09:35:27
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-1.50856E-08,-5.3115199999999994E-08,-1.1808E-09,3.6416000000000004E-06,-3.5636000000000005E-06
-0.29500000000000004,0,-1.53888E-08,-4.74342E-08,-1.2E-09,3.6299E-06,-3.5620000000000004E-06
-0.29000000000000004,0,-1.5440799999999998E-08,-4.2497999999999994E-08,-1.1933E-09,3.6231000000000005E-06,-3.5631000000000002E-06
-0.28500000000000003,0,-1.5461399999999997E-08,-3.8145999999999996E-08,-1.2081E-09,3.6249000000000002E-06,-3.5669000000000005E-06
-0.28,0,-1.54814E-08,-3.4261E-08,-1.1975E-09,3.6187E-06,-3.5653000000000004E-06
-0.275,0,-1.55094E-08,-3.0654799999999995E-08,-1.2158E-09,3.6187E-06,-3.5711000000000004E-06
-0.27,0,-1.55304E-08,-2.7607999999999998E-08,-1.2124E-09,3.6163000000000004E-06,-3.5660000000000002E-06
-0.265,0,-1.5551599999999997E-08,-2.4733999999999998E-08,-1.2103E-09,3.6104E-06,-3.5627E-06
-0.26,0,-1.5587E-08,-2.22862E-08,-1.2177E-09,3.6049000000000004E-06,-3.5656000000000002E-06
-0.255,0,-1.55922E-08,-2.0063199999999997E-08,-1.2181E-09,3.6043000000000004E-06,-3.5635000000000003E-06
-0.25,0,-1.5620799999999997E-08,-1.81148E-08,-1.2104E-09,3.5981000000000003E-06,-3.5616000000000003E-06
-0.24500000000000002,0,-1.56236E-08,-1.6247E-08,-1.2176E-09,3.5946000000000003E-06,-3.5622000000000004E-06
-0.24000000000000002,0,-1.56166E-08,-1.4698199999999998E-08,-1.2306E-09,3.5946000000000003E-06,-3.5607000000000005E-06
-0.23500000000000001,0,-1.5668599999999998E-08,-1.3288799999999998E-08,-1.2409E-09,3.5893000000000005E-06,-3.5573000000000002E-06
-0.23,0,-1.5666999999999997E-08,-1.1997399999999998E-08,-1.2315E-09,3.5868000000000005E-06,-3.5549000000000005E-06
-0.225,0,-1.5687E-08,-1.0845399999999999E-08,-1.2365E-09,3.5919000000000003E-06,-3.5632000000000005E-06
-0.22,0,-1.5701E-08,-9.8219999999999985E-09,-1.2323E-09,3.5839000000000005E-06,-3.5557000000000005E-06
-0.215,0,-1.57092E-08,-8.9043E-09,-1.2531E-09,3.5821000000000004E-06,-3.5603000000000005E-06
-0.21000000000000002,0,-1.5713399999999998E-08,-8.0721E-09,-1.2388E-09,3.5808000000000005E-06,-3.5541000000000004E-06
-0.20500000000000002,0,-1.57746E-08,-7.3432E-09,-1.2396E-09,3.5757000000000003E-06,-3.5494000000000003E-06
-0.2,0,-1.5823399999999997E-08,-6.6835E-09,-1.234E-09,3.5801000000000002E-06,-3.5544000000000002E-06
-0.195,0,-1.58224E-08,-6.093E-09,-1.2424E-09,3.5733E-06,-3.5544000000000002E-06
-0.19,0,-1.58538E-08,-5.5504E-09,-1.2411E-09,3.5695000000000003E-06,-3.5479000000000004E-06
-0.185,0,-1.59034E-08,-5.0706E-09,-1.2439E-09,3.5725000000000005E-06,-3.5546000000000002E-06
-0.18000000000000002,0,-1.58924E-08,-4.6318E-09,-1.2423E-09,3.5705000000000004E-06,-3.5449000000000006E-06
-0.17500000000000002,0,-1.59012E-08,-4.2304E-09,-1.2505E-09,3.5704E-06,-3.5497000000000005E-06
-0.17,0,-1.5911999999999997E-08,-3.8862E-09,-1.2532E-09,3.5691000000000003E-06,-3.5482E-06
-0.165,0,-1.5908999999999997E-08,-3.5511E-09,-1.2474E-09,3.5669000000000005E-06,-3.5478E-06
-0.16,0,-1.5931399999999997E-08,-3.2852E-09,-1.245E-09,3.5638000000000005E-06,-3.5383000000000005E-06
-0.155,0,-1.59618E-08,-3.0265E-09,-1.2482E-09,3.5597000000000004E-06,-3.5345E-06
-0.15,0,-1.59458E-08,-2.7969E-09,-1.2469E-09,3.5562000000000004E-06,-3.5369000000000004E-06
-0.14500000000000002,0,-1.5978999999999997E-08,-2.5691E-09,-1.2498E-09,3.5566000000000004E-06,-3.5395E-06
-0.14,0,-1.5981999999999997E-08,-2.383E-09,-1.264E-09,3.5580000000000005E-06,-3.5351000000000003E-06
-0.135,0,-1.5991799999999998E-08,-2.2236E-09,-1.2688E-09,3.5536E-06,-3.5328000000000003E-06
-0.13,0,-1.60116E-08,-2.0746E-09,-1.2811E-09,3.5503000000000006E-06,-3.5319000000000004E-06
-0.125,0,-1.60042E-08,-1.9236E-09,-1.2685E-09,3.5569E-06,-3.5358000000000005E-06
-0.12000000000000001,0,-1.60002E-08,-1.7964E-09,-1.2733E-09,3.5546000000000002E-06,-3.5345E-06
-0.115,0,-1.6023199999999998E-08,-1.6806E-09,-1.2715E-09,3.5505000000000006E-06,-3.5323000000000005E-06
-0.11,0,-1.6003599999999997E-08,-1.5796E-09,-1.2775E-09,3.5517000000000002E-06,-3.5287E-06
-0.10500000000000001,0,-1.6042E-08,-1.4849E-09,-1.2764E-09,3.554E-06,-3.5322000000000002E-06
-0.1,0,-1.6010399999999998E-08,-1.3902E-09,-1.291E-09,3.5569E-06,-3.5340000000000004E-06
-0.095,0,-1.60496E-08,-1.3228E-09,-1.2821E-09,3.5534E-06,-3.5328000000000003E-06
-0.090000000000000011,0,-1.6049799999999997E-08,-1.251E-09,-1.3114E-09,3.5500000000000003E-06,-3.5308000000000006E-06
-0.085,0,-1.6069199999999997E-08,-1.1814E-09,-1.3164E-09,3.5505000000000006E-06,-3.5287E-06
-0.08,0,-1.6045399999999998E-08,-1.1311E-09,-1.3169E-09,3.5425000000000004E-06,-3.5259000000000004E-06
-0.075,0,-1.6016E-08,-1.08E-09,-1.3232E-09,3.5430000000000002E-06,-3.5251000000000004E-06
-0.07,0,-1.6031199999999997E-08,-1.0325E-09,-1.345E-09,3.5496000000000003E-06,-3.526E-06
-0.065,0,-1.6028999999999997E-08,-9.8839000000000014E-10,-1.3545E-09,3.5483000000000004E-06,-3.5247000000000003E-06
-0.060000000000000005,0,-1.6054E-08,-9.3579000000000014E-10,-1.3548E-09,3.5454000000000004E-06,-3.5219000000000005E-06
