Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	5.89136e-06	0.000388776	0.01184172	0.0173008	0.0161284	0.0152404
0.005	5.64099333333333e-06	0.000364772333333333	0.0113820133333333	0.0356069666666667	0.0567068666666667	0.0713505666666667
0.01	5.178328e-06	0.0003217994	0.010897408	0.0416412	0.07169624	0.092738
0.015	4.76471e-06	0.0002838832	0.010224864	0.04705924	0.08522056	0.11204992
0.02	4.314098e-06	0.0002428508	0.009484086	0.0489897	0.09157178	0.121671
0.025	3.8919e-06	0.000204994	0.0086912	0.04591982	0.08714412	0.11649766
0.03	3.5361e-06	0.000173191	0.00781356	0.0427402	0.0823902	0.1108856
0.035	3.242568e-06	0.000146714	0.0070146	0.0411308	0.081034	0.109996
0.04	2.988314e-06	0.000124258	0.0063386	0.0395306	0.079648	0.109054
0.045	2.760478e-06	0.000105296	0.0057132	0.037964	0.07822	0.108036
0.05	2.5666e-06	9.0019e-05	0.0051438	0.03645	0.076852	0.107126
0.055	2.399e-06	7.7423e-05	0.0046206	0.034934	0.075492	0.106204
0.06	2.2472e-06	6.6248e-05	0.0041388	0.033422	0.074076	0.10517
0.065	2.1204e-06	5.6894e-05	0.0037024	0.031958	0.072668	0.104152
0.07	2.0142e-06	5.1451e-05	0.0033102	0.030496	0.071246	0.103128
0.075	1.9214e-06	4.6554e-05	0.0029564	0.029054	0.069768	0.102074
0.08	1.8444e-06	3.8079e-05	0.002632	0.027664	0.068256	0.10099
0.085	1.778e-06	3.1269e-05	0.0023392	0.026308	0.066764	0.099886
0.09	1.7136e-06	2.722e-05	0.002077	0.024966	0.065238	0.098672
0.095	1.6554e-06	2.096e-05	0.0018364	0.023652	0.063712	0.09717
0.1	1.5894e-06	1.59e-05	0.0016204	0.022388	0.062232	0.09595
0.105	1.5096e-06	1.61e-05	0.0014376	0.0212	0.06076	0.09546
0.11	1.4366e-06	1.63e-05	0.0012818	0.02004	0.059292	0.094772
0.115	1.383e-06	1.464e-05	0.0011442	0.01889	0.057834	0.093706
0.12	1.3526e-06	1.476e-05	0.0010236	0.017828	0.056358	0.092902
0.125	1.3384e-06	1.472e-05	0.0009196	0.016816	0.054882	0.091764
0.13	1.3244e-06	1.172e-05	0.0008272	0.015786	0.053422	0.08981
0.135	1.3128e-06	9.51999999999996e-06	0.000738000000000001	0.01476	0.051932	0.08804
0.14	1.2962e-06	9.35999999999998e-06	0.0006574	0.013826	0.050472	0.0868
0.145	1.2518e-06	7.55999999999999e-06	0.000592399999999999	0.012968	0.04899	0.08544
0.15	1.2106e-06	5.99999999999999e-06	0.000535599999999999	0.012118	0.04748	0.08402
0.155	1.186e-06	7.50000000000001e-06	0.000482599999999999	0.011334	0.046002	0.08276
0.16	1.153e-06	8.22000000000001e-06	0.000435399999999999	0.010662	0.044542	0.0814999999999999
0.165	1.1272e-06	7.46000000000001e-06	0.000397399999999999	0.00998800000000001	0.043362	0.08014
0.17	1.1122e-06	7.26000000000001e-06	0.000371600000000001	0.009264	0.042496	0.07886
0.175	1.087e-06	6.56e-06	0.000344200000000001	0.008612	0.0414	0.07764
0.18	1.1072e-06	6.15999999999999e-06	0.000311799999999999	0.008022	0.04004	0.07632
0.185	1.1554e-06	6.59999999999999e-06	0.000290399999999999	0.007436	0.038706	0.07498
0.19	1.1316e-06	6.61999999999998e-06	0.000272800000000001	0.006914	0.037114	0.0736600000000001
0.195	1.0892e-06	6.47999999999998e-06	0.0002494	0.00646200000000001	0.035272	0.0723400000000001
0.2	1.0716e-06	6.77999999999999e-06	0.000236599999999999	0.00599600000000002	0.03374	0.0710000000000001
0.205	1.0152e-06	6.92e-06	0.000237	0.00553000000000002	0.03248	0.06964
0.21	9.42000000000001e-07	6.66e-06	0.000231	0.00513	0.03116	0.0682
0.215	9.62800000000001e-07	6.14000000000001e-06	0.000217799999999999	0.00476799999999998	0.02986	0.06676
0.22	1.024e-06	5.42000000000001e-06	0.000206799999999999	0.00443399999999999	0.02866	0.06542
0.225	1.0128e-06	4.96000000000002e-06	0.0001932	0.00414	0.0275	0.06406
0.23	9.68800000000001e-07	4.82000000000003e-06	0.0001794	0.003848	0.02636	0.06264
0.235	9.56e-07	4.86000000000002e-06	0.000176800000000001	0.003568	0.0253	0.06128
0.24	9.58199999999999e-07	5.31999999999999e-06	0.00018	0.00333800000000001	0.02428	0.05994
0.245	9.33999999999999e-07	5.71999999999999e-06	0.000179199999999999	0.003116	0.02318	0.05854
0.25	9.30399999999999e-07	5.43999999999998e-06	0.000180799999999999	0.00289999999999998	0.02206	0.0571799999999999
0.255	9.58999999999999e-07	4.83999999999997e-06	0.000180800000000001	0.00274399999999999	0.0210599999999999	0.0558599999999999
0.26	9.42999999999999e-07	4.29999999999997e-06	0.000169800000000001	0.0026	0.02014	0.0545999999999999
0.265	8.67799999999999e-07	3.78e-06	0.000159800000000001	0.002418	0.01918	0.0532999999999999
0.27	8.356e-07	3.60000000000002e-06	0.000153800000000002	0.002272	0.01826	0.05186
0.275	8.67400000000001e-07	3.96e-06	0.000148400000000002	0.00217400000000002	0.01742	0.05046
0.28	9.362e-07	4.22000000000001e-06	0.000146800000000001	0.00205400000000001	0.01652	0.04916
0.285	1.019e-06	4.00000000000003e-06	0.0001484	0.001932	0.01562	0.04782
0.29	1.012e-06	3.98000000000001e-06	0.0001532	0.00184199999999999	0.01486	0.0465000000000001
0.295	9.28e-07	4.07999999999999e-06	0.000157199999999999	0.00176799999999999	0.0142	0.04528
0.3	8.47799999999999e-07	3.76000000000001e-06	0.000152599999999999	0.00169199999999999	0.01354	0.044
0.305	7.654e-07	3.68e-06	0.000143599999999999	0.00161599999999999	0.01284	0.04268
0.31	7.166e-07	4.13999999999998e-06	0.000137999999999999	0.001548	0.01212	0.04146
0.315	7.634e-07	4.28e-06	0.0001326	0.00148	0.0115	0.04024
0.32	8.35400000000001e-07	4.12000000000002e-06	0.0001282	0.00138600000000001	0.01094	0.039
0.325	8.608e-07	4.56e-06	0.000127399999999999	0.001316	0.0103	0.03784
0.33	8.408e-07	4.89999999999999e-06	0.000131000000000001	0.00128799999999999	0.00976	0.03666
0.335	8.02800000000001e-07	4.56000000000001e-06	0.000136000000000001	0.001246	0.00937999999999997	0.03542
0.34	7.96200000000001e-07	4.50000000000002e-06	0.0001332	0.00122200000000001	0.00889999999999998	0.03424
0.345	8.148e-07	4.75999999999999e-06	0.000131199999999999	0.00120600000000002	0.00834000000000003	0.0331200000000001
0.35	8.15000000000002e-07	4.78e-06	0.000141400000000001	0.00115800000000002	0.00794000000000003	0.0320000000000001
0.355	8.23200000000002e-07	4.96000000000002e-06	0.0001442	0.00112400000000001	0.00760000000000001	0.03092
0.36	8.61600000000001e-07	5.14e-06	0.000137199999999999	0.00111600000000001	0.00718000000000001	0.02984
0.365	8.56600000000001e-07	4.81999999999999e-06	0.0001416	0.001084	0.00682	0.02874
0.37	8.14799999999999e-07	4.6e-06	0.000143800000000001	0.00105399999999999	0.00653999999999998	0.0276399999999999
