vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	-1.3579e-08	-5.33782e-08	-1.0355e-09	3.7597e-06	-3.6822e-06	1.159e-07	-5.39256e-08	-1.251e-07	3.6304e-06	-3.5654e-06	1.934e-07	-5.48432e-08	-1.9906e-07	3.6099e-06	-3.5522e-06	2.5858e-07	-5.65126e-08	-2.5538e-07	3.614e-06	-3.5614e-06	3.1734e-07	-5.90352e-08	-3.0624e-07	3.6308e-06	-3.5821e-06	3.7896e-07	-6.20892e-08	-3.5694e-07	3.631e-06	-3.5919e-06	4.5186e-07	-6.58402e-08	-4.1852e-07	3.6308e-06	-3.6058e-06
-0.295	-1.39084e-08	-4.76438e-08	-1.0571e-09	3.7458e-06	-3.6863e-06	1.1664e-07	-4.83952e-08	-1.2596e-07	3.626e-06	-3.5677e-06	1.9682e-07	-4.92632e-08	-2.005e-07	3.6162e-06	-3.5592e-06	2.6116e-07	-5.07972e-08	-2.5712e-07	3.6188e-06	-3.5724e-06	3.2092e-07	-5.321e-08	-3.0746e-07	3.6255e-06	-3.5812e-06	3.8322e-07	-5.63106e-08	-3.601e-07	3.6345e-06	-3.5939e-06	4.5722e-07	-6.024e-08	-4.2076e-07	3.636e-06	-3.6099e-06
-0.29	-1.39472e-08	-4.28168e-08	-1.0827e-09	3.7412e-06	-3.6822e-06	1.1724e-07	-4.34826e-08	-1.2626e-07	3.6199e-06	-3.5665e-06	1.9904e-07	-4.45466e-08	-2.0176e-07	3.6132e-06	-3.5589e-06	2.6412e-07	-4.59894e-08	-2.5922e-07	3.6173e-06	-3.5722e-06	3.217e-07	-4.81216e-08	-3.0904e-07	3.6289e-06	-3.5902e-06	3.8844e-07	-5.13818e-08	-3.6334e-07	3.6297e-06	-3.601e-06	4.6122e-07	-5.52954e-08	-4.218e-07	3.639e-06	-3.6233e-06
-0.285	-1.40176e-08	-3.85022e-08	-1.0749e-09	3.7359e-06	-3.6833e-06	1.176e-07	-3.89626e-08	-1.272e-07	3.6242e-06	-3.5739e-06	1.9964e-07	-4.0065e-08	-2.0288e-07	3.6076e-06	-3.5648e-06	2.6386e-07	-4.15652e-08	-2.61e-07	3.6233e-06	-3.5827e-06	3.2388e-07	-4.37386e-08	-3.107e-07	3.6309e-06	-3.5973e-06	3.8954e-07	-4.68196e-08	-3.6594e-07	3.6268e-06	-3.6012e-06	4.6222e-07	-5.08482e-08	-4.257e-07	3.6374e-06	-3.6261e-06
-0.28	-1.4056e-08	-3.4626e-08	-1.0772e-09	3.7306e-06	-3.6754e-06	1.1876e-07	-3.51372e-08	-1.278e-07	3.6228e-06	-3.5771e-06	2.023e-07	-3.61892e-08	-2.0384e-07	3.6138e-06	-3.5754e-06	2.6656e-07	-3.76036e-08	-2.6114e-07	3.6217e-06	-3.5864e-06	3.2662e-07	-3.9838e-08	-3.1508e-07	3.6336e-06	-3.6008e-06	3.916e-07	-4.3027e-08	-3.6938e-07	3.6239e-06	-3.6031e-06	4.6674e-07	-4.67126e-08	-4.2836e-07	3.6362e-06	-3.623e-06
-0.275	-1.4097e-08	-3.11142e-08	-1.1033e-09	3.7231e-06	-3.6782e-06	1.1916e-07	-3.1739e-08	-1.2808e-07	3.623e-06	-3.5782e-06	2.0248e-07	-3.26256e-08	-2.0496e-07	3.6166e-06	-3.579e-06	2.6636e-07	-3.41084e-08	-2.6358e-07	3.6217e-06	-3.588e-06	3.307e-07	-3.63316e-08	-3.1748e-07	3.6324e-06	-3.6087e-06	3.9384e-07	-3.92744e-08	-3.715e-07	3.6231e-06	-3.6002e-06	4.6686e-07	-4.32504e-08	-4.3064e-07	3.6303e-06	-3.623e-06
-0.27	-1.4103e-08	-2.802e-08	-1.1198e-09	3.7216e-06	-3.6813e-06	1.2034e-07	-2.86182e-08	-1.2976e-07	3.6208e-06	-3.5869e-06	2.0328e-07	-2.95424e-08	-2.0618e-07	3.6139e-06	-3.582e-06	2.713e-07	-3.1008e-08	-2.6738e-07	3.6174e-06	-3.5869e-06	3.312e-07	-3.32122e-08	-3.2054e-07	3.6301e-06	-3.6061e-06	3.9622e-07	-3.61084e-08	-3.7192e-07	3.6222e-06	-3.6076e-06	4.687e-07	-4.00214e-08	-4.344e-07	3.6296e-06	-3.6223e-06
-0.265	-1.41266e-08	-2.51588e-08	-1.1562e-09	3.7231e-06	-3.6788e-06	1.2078e-07	-2.57348e-08	-1.305e-07	3.6273e-06	-3.591e-06	2.0434e-07	-2.67756e-08	-2.0834e-07	3.6177e-06	-3.5919e-06	2.7296e-07	-2.81492e-08	-2.6944e-07	3.6144e-06	-3.5898e-06	3.3428e-07	-3.02732e-08	-3.2096e-07	3.6268e-06	-3.6049e-06	3.9886e-07	-3.31406e-08	-3.7616e-07	3.6225e-06	-3.6157e-06	4.718e-07	-3.70452e-08	-4.3584e-07	3.6273e-06	-3.6289e-06
-0.26	-1.41572e-08	-2.27016e-08	-1.1464e-09	3.7122e-06	-3.6745e-06	1.215e-07	-2.32562e-08	-1.3068e-07	3.6246e-06	-3.588e-06	2.0498e-07	-2.423e-08	-2.088e-07	3.6188e-06	-3.5889e-06	2.7308e-07	-2.5661e-08	-2.702e-07	3.6138e-06	-3.587e-06	3.352e-07	-2.77172e-08	-3.237e-07	3.6269e-06	-3.6105e-06	4.018e-07	-3.05498e-08	-3.7828e-07	3.6253e-06	-3.6147e-06	4.7314e-07	-3.4484e-08	-4.3908e-07	3.6282e-06	-3.6297e-06
-0.255	-1.42184e-08	-2.04924e-08	-1.1577e-09	3.7083e-06	-3.6731e-06	1.2206e-07	-2.09884e-08	-1.3144e-07	3.6253e-06	-3.5941e-06	2.067e-07	-2.18926e-08	-2.105e-07	3.6157e-06	-3.5912e-06	2.7644e-07	-2.33462e-08	-2.7234e-07	3.6187e-06	-3.5936e-06	3.3884e-07	-2.53636e-08	-3.2634e-07	3.6221e-06	-3.6048e-06	4.0522e-07	-2.82912e-08	-3.8172e-07	3.6254e-06	-3.6206e-06	4.765e-07	-3.21096e-08	-4.4056e-07	3.6254e-06	-3.6256e-06
