vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-1.49352e-08	-6.0749e-10	-1.19e-12	3.7742e-06	-3.7513e-06	-1.5622e-08	-1.5063e-10	9.4e-13	3.6602e-06	-3.6383e-06	-1.63518e-08	8.4653e-10	-3.9e-13	3.6465e-06	-3.63e-06	-1.87466e-08	3.6494e-09	9.8e-13	3.6507e-06	-3.6332e-06	-2.57466e-08	1.10774e-08	-1.43e-12	3.6506e-06	-3.6306e-06	-4.86584e-08	3.44398e-08	-5.3e-13	3.6533e-06	-3.6345e-06	-1.337e-07	1.2014e-07	2.52e-12	3.6486e-06	-3.632e-06
0.005	-1.50632e-08	-6.105e-10	-1.02e-12	3.7692e-06	-3.7476e-06	-1.53882e-08	-1.5836e-10	2.1e-12	3.657e-06	-3.6386e-06	-1.60418e-08	8.0363e-10	-1.25e-12	3.6554e-06	-3.6404e-06	-1.83794e-08	3.5235e-09	9.7e-13	3.6458e-06	-3.6342e-06	-2.51132e-08	1.06794e-08	-2.09e-12	3.6505e-06	-3.6333e-06	-4.70822e-08	3.31138e-08	-1.85e-12	3.652e-06	-3.6377e-06	-1.2826e-07	1.1518e-07	-1.02e-12	3.6466e-06	-3.6334e-06
0.01	-1.47686e-08	-6.1043e-10	7.1e-13	3.7594e-06	-3.7453e-06	-1.5108e-08	-1.6604e-10	9.8e-13	3.6554e-06	-3.6384e-06	-1.57644e-08	7.5922e-10	-1.54e-12	3.6506e-06	-3.6354e-06	-1.8001e-08	3.4043e-09	7.8e-13	3.651e-06	-3.6355e-06	-2.44848e-08	1.0316e-08	-2.32e-12	3.6489e-06	-3.63e-06	-4.55552e-08	3.18546e-08	-1.39e-12	3.6552e-06	-3.6383e-06	-1.2314e-07	1.1014e-07	-2.65e-12	3.6476e-06	-3.6368e-06
0.015	-1.4551e-08	-6.1936e-10	-1.72e-12	3.761e-06	-3.7427e-06	-1.48694e-08	-1.7109e-10	-6.6e-13	3.6525e-06	-3.6387e-06	-1.54588e-08	7.211e-10	-2.7e-12	3.6519e-06	-3.6308e-06	-1.76334e-08	3.283e-09	1.39e-12	3.6469e-06	-3.6241e-06	-2.38836e-08	9.9652e-09	-1.9e-12	3.6487e-06	-3.632e-06	-4.4106e-08	3.06556e-08	-2.9e-12	3.6496e-06	-3.6345e-06	-1.1822e-07	1.0548e-07	2.62e-12	3.65e-06	-3.6323e-06
0.02	-1.43238e-08	-6.1705e-10	1.33e-12	3.7509e-06	-3.7287e-06	-1.46178e-08	-1.752e-10	1.78e-12	3.6544e-06	-3.6381e-06	-1.51622e-08	6.9055e-10	-4.09e-12	3.6536e-06	-3.636e-06	-1.72646e-08	3.1644e-09	1.7e-12	3.6436e-06	-3.6298e-06	-2.32776e-08	9.6009e-09	2.8e-13	3.6492e-06	-3.6314e-06	-4.26826e-08	2.9493e-08	-1.66e-12	3.6482e-06	-3.6338e-06	-1.1344e-07	1.0096e-07	-9.2e-13	3.6451e-06	-3.6351e-06
0.025	-1.40616e-08	-6.2333e-10	3.5e-13	3.7439e-06	-3.7292e-06	-1.43608e-08	-1.8386e-10	3.5e-13	3.654e-06	-3.6342e-06	-1.49134e-08	6.497e-10	-1.17e-12	3.6529e-06	-3.6339e-06	-1.69264e-08	3.05e-09	2.59e-12	3.6445e-06	-3.6291e-06	-2.27166e-08	9.282e-09	-2e-13	3.6427e-06	-3.6325e-06	-4.12998e-08	2.83656e-08	-1.7e-13	3.652e-06	-3.6362e-06	-1.0898e-07	9.67506e-08	1.06e-12	3.6557e-06	-3.643e-06
0.03	-1.38482e-08	-6.2873e-10	1.49e-12	3.7434e-06	-3.7282e-06	-1.41018e-08	-1.8934e-10	-9.2e-13	3.6566e-06	-3.6383e-06	-1.46208e-08	6.1631e-10	-5e-13	3.6574e-06	-3.6404e-06	-1.6558e-08	2.948e-09	2.53e-12	3.6425e-06	-3.6234e-06	-2.21544e-08	8.9519e-09	-1.27e-12	3.6439e-06	-3.6304e-06	-3.99892e-08	2.72762e-08	-6e-13	3.649e-06	-3.6404e-06	-1.0464e-07	9.25878e-08	1.64e-12	3.6513e-06	-3.6349e-06
0.035	-1.36152e-08	-6.3387e-10	9.4e-13	3.7413e-06	-3.7275e-06	-1.38708e-08	-1.9192e-10	-1.1e-12	3.6615e-06	-3.6446e-06	-1.43614e-08	5.8275e-10	-1.26e-12	3.6546e-06	-3.6375e-06	-1.62508e-08	2.8421e-09	1.7e-13	3.6397e-06	-3.6289e-06	-2.16132e-08	8.6476e-09	-3.71e-12	3.6525e-06	-3.6325e-06	-3.87368e-08	2.62722e-08	1.91e-12	3.6557e-06	-3.6398e-06	-1.006e-07	8.87482e-08	7.5e-13	3.6488e-06	-3.638e-06
0.04	-1.33882e-08	-6.3208e-10	1.6e-13	3.7362e-06	-3.7198e-06	-1.365e-08	-2.0015e-10	-1.87e-12	3.6619e-06	-3.6467e-06	-1.41076e-08	5.5227e-10	-1.44e-12	3.6555e-06	-3.635e-06	-1.591e-08	2.7418e-09	3.5e-13	3.6412e-06	-3.6264e-06	-2.11242e-08	8.3716e-09	-2.25e-12	3.6526e-06	-3.6327e-06	-3.75318e-08	2.5247e-08	2.31e-12	3.6556e-06	-3.6424e-06	-9.67134e-08	8.51382e-08	1.72e-12	3.6545e-06	-3.6414e-06
0.045	-1.3183e-08	-6.3606e-10	-1.8e-13	3.7364e-06	-3.7213e-06	-1.34014e-08	-2.079e-10	-1.79e-12	3.6599e-06	-3.6466e-06	-1.38446e-08	5.27e-10	5.4e-13	3.6472e-06	-3.6328e-06	-1.5595e-08	2.6421e-09	1.34e-12	3.6465e-06	-3.6336e-06	-2.05728e-08	8.0811e-09	-1.4e-12	3.6501e-06	-3.6337e-06	-3.63322e-08	2.43086e-08	1.98e-12	3.6551e-06	-3.6399e-06	-9.2865e-08	8.15246e-08	2.16e-12	3.6501e-06	-3.6355e-06
