vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	-1.46418e-08	-6.06634e-08	-2.19e-12	3.7994e-06	-3.7156e-06	-8.4903e-09	-5.9764e-08	2e-12	3.6525e-06	-3.5807e-06	-1.452e-09	-6.02798e-08	1.23e-12	3.648e-06	-3.5825e-06	6.7424e-09	-6.24764e-08	5.4e-13	3.6436e-06	-3.5858e-06	1.7359e-08	-6.61062e-08	1.03e-12	3.6446e-06	-3.5961e-06	3.16108e-08	-7.12204e-08	-2.39e-12	3.6397e-06	-3.5993e-06	5.18104e-08	-7.85078e-08	-1.81e-12	3.6499e-06	-3.6215e-06
-0.295	-1.4966e-08	-5.34858e-08	2.69e-12	3.7908e-06	-3.7178e-06	-8.53e-09	-5.33886e-08	1.96e-12	3.6582e-06	-3.5868e-06	-1.5224e-09	-5.40464e-08	1.23e-12	3.6501e-06	-3.5914e-06	6.6277e-09	-5.6288e-08	1.15e-12	3.6439e-06	-3.5892e-06	1.72362e-08	-5.96726e-08	9.9e-13	3.6399e-06	-3.5927e-06	3.13686e-08	-6.49662e-08	-2.38e-12	3.6431e-06	-3.609e-06	5.14362e-08	-7.21908e-08	-2.6e-13	3.6431e-06	-3.6234e-06
-0.29	-1.4993e-08	-4.79964e-08	1.49e-12	3.785e-06	-3.716e-06	-8.5411e-09	-4.77774e-08	2.56e-12	3.6531e-06	-3.5932e-06	-1.5783e-09	-4.85568e-08	2.15e-12	3.6494e-06	-3.5938e-06	6.5305e-09	-5.06236e-08	-5.7e-13	3.6386e-06	-3.594e-06	1.70694e-08	-5.43236e-08	1.59e-12	3.6367e-06	-3.5979e-06	3.11028e-08	-5.93888e-08	-2.5e-12	3.6483e-06	-3.62e-06	5.10456e-08	-6.65336e-08	9.8e-13	3.6473e-06	-3.6341e-06
-0.285	-1.50206e-08	-4.28232e-08	4e-14	3.7785e-06	-3.7141e-06	-8.5726e-09	-4.28928e-08	1.64e-12	3.6568e-06	-3.6037e-06	-1.621e-09	-4.35834e-08	2.7e-12	3.6458e-06	-3.6031e-06	6.4271e-09	-4.57574e-08	-1.1e-12	3.6471e-06	-3.6019e-06	1.68852e-08	-4.92572e-08	1.66e-12	3.6428e-06	-3.6052e-06	3.08806e-08	-5.42982e-08	-9.1e-13	3.6409e-06	-3.6191e-06	5.05844e-08	-6.15138e-08	9.4e-13	3.6452e-06	-3.6369e-06
-0.28	-1.5066e-08	-3.8499e-08	1.12e-12	3.7701e-06	-3.717e-06	-8.6422e-09	-3.84638e-08	7e-13	3.6564e-06	-3.6052e-06	-1.6865e-09	-3.92446e-08	1.4e-13	3.6461e-06	-3.6007e-06	6.3347e-09	-4.14388e-08	-3.12e-12	3.6425e-06	-3.6079e-06	1.67614e-08	-4.4992e-08	4.6e-13	3.6388e-06	-3.6103e-06	3.06588e-08	-4.98794e-08	5.1e-13	3.6463e-06	-3.625e-06	5.0193e-08	-5.71366e-08	7.8e-13	3.6411e-06	-3.6336e-06
-0.275	-1.51118e-08	-3.43818e-08	-1.13e-12	3.7652e-06	-3.715e-06	-8.6325e-09	-3.44632e-08	1.42e-12	3.6526e-06	-3.6072e-06	-1.7355e-09	-3.53378e-08	5.8e-13	3.6413e-06	-3.6043e-06	6.2296e-09	-3.74576e-08	-1.7e-12	3.64e-06	-3.6102e-06	1.6596e-08	-4.08068e-08	-5e-14	3.6423e-06	-3.6163e-06	3.04224e-08	-4.5888e-08	9e-14	3.6454e-06	-3.6275e-06	4.9765e-08	-5.30664e-08	1e-14	3.646e-06	-3.6377e-06
-0.27	-1.51154e-08	-3.08876e-08	-2.6e-12	3.766e-06	-3.7135e-06	-8.6559e-09	-3.1037e-08	2.11e-12	3.6507e-06	-3.6062e-06	-1.7959e-09	-3.18484e-08	2.6e-13	3.6476e-06	-3.6128e-06	6.1459e-09	-3.39064e-08	-4.9e-13	3.6444e-06	-3.6141e-06	1.6646e-08	-3.72454e-08	-1.02e-12	3.6404e-06	-3.6187e-06	3.01882e-08	-4.23046e-08	1.8e-12	3.6448e-06	-3.6323e-06	4.94182e-08	-4.94196e-08	1.16e-12	3.6464e-06	-3.6429e-06
-0.265	-1.51882e-08	-2.77102e-08	-1.62e-12	3.7556e-06	-3.7101e-06	-8.6836e-09	-2.7859e-08	5.4e-13	3.6524e-06	-3.614e-06	-1.866e-09	-2.87586e-08	-2.1e-13	3.6466e-06	-3.614e-06	6.0478e-09	-3.07276e-08	-1.27e-12	3.6397e-06	-3.6145e-06	1.62956e-08	-3.4024e-08	-2.04e-12	3.644e-06	-3.6207e-06	2.99326e-08	-3.91574e-08	1.76e-12	3.6429e-06	-3.6337e-06	4.9048e-08	-4.6134e-08	5.1e-13	3.6451e-06	-3.6474e-06
-0.26	-1.5191e-08	-2.48892e-08	-6.1e-13	3.7606e-06	-3.7148e-06	-8.7294e-09	-2.50676e-08	-2.3e-13	3.6527e-06	-3.619e-06	-1.9179e-09	-2.59732e-08	-1.44e-12	3.6436e-06	-3.608e-06	5.9879e-09	-2.7887e-08	-1.51e-12	3.6422e-06	-3.6196e-06	1.61632e-08	-3.1259e-08	-3e-12	3.6455e-06	-3.6297e-06	2.97286e-08	-3.62482e-08	2.1e-13	3.6495e-06	-3.6427e-06	4.86746e-08	-4.31958e-08	2.6e-13	3.6452e-06	-3.649e-06
-0.255	-1.52558e-08	-2.23288e-08	-9e-14	3.7514e-06	-3.7165e-06	-8.7544e-09	-2.25634e-08	-1.45e-12	3.6534e-06	-3.623e-06	-1.9857e-09	-2.34116e-08	-3.24e-12	3.6419e-06	-3.6186e-06	5.8786e-09	-2.53792e-08	-2.29e-12	3.6411e-06	-3.6203e-06	1.6005e-08	-2.86754e-08	-2.75e-12	3.648e-06	-3.6356e-06	2.95066e-08	-3.36056e-08	1.91e-12	3.6543e-06	-3.646e-06	4.82698e-08	-4.04592e-08	5e-13	3.6515e-06	-3.6565e-06
