I/V Sweep,id_vgs_2
RecordTime,04/24/2024 10:15:23
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-1.44952E-08,-5.1379599999999992E-08,-2.5800000000000003E-12,3.8217E-06,-3.7385000000000003E-06
-0.29500000000000004,0,-1.4828599999999998E-08,-4.59576E-08,1.1500000000000002E-12,3.8039000000000005E-06,-3.74E-06
-0.29000000000000004,0,-1.48482E-08,-4.12318E-08,5.6E-13,3.7945000000000003E-06,-3.7363000000000005E-06
-0.28500000000000003,0,-1.4898999999999998E-08,-3.6958399999999994E-08,2.08E-12,3.7926000000000003E-06,-3.7371E-06
-0.28,0,-1.4953599999999998E-08,-3.32574E-08,2.6300000000000003E-12,3.7833000000000003E-06,-3.7305000000000005E-06
-0.275,0,-1.49794E-08,-2.9815799999999996E-08,1.93E-12,3.7796E-06,-3.7299000000000005E-06
-0.27,0,-1.5016199999999998E-08,-2.68448E-08,1.55E-12,3.7768000000000004E-06,-3.7343000000000004E-06
-0.265,0,-1.5049599999999997E-08,-2.4175399999999998E-08,-5E-14,3.7729000000000003E-06,-3.7355000000000005E-06
-0.26,0,-1.5084599999999997E-08,-2.16872E-08,-2.46E-12,3.7776000000000005E-06,-3.7370000000000004E-06
-0.255,0,-1.50986E-08,-1.9490599999999997E-08,-3.35E-12,3.7700000000000003E-06,-3.7332000000000005E-06
-0.25,0,-1.5127999999999998E-08,-1.7593799999999998E-08,-3.58E-12,3.7676000000000006E-06,-3.7327000000000003E-06
-0.24500000000000002,0,-1.51922E-08,-1.58262E-08,-3.15E-12,3.7647000000000006E-06,-3.7328000000000005E-06
-0.24000000000000002,0,-1.51908E-08,-1.43228E-08,-1.74E-12,3.7606000000000005E-06,-3.7317E-06
-0.23500000000000001,0,-1.5208399999999998E-08,-1.2902799999999999E-08,1.4200000000000002E-12,3.7603000000000002E-06,-3.7293000000000004E-06
-0.23,0,-1.5229799999999997E-08,-1.1653799999999999E-08,2.3000000000000003E-12,3.7551000000000003E-06,-3.7251000000000006E-06
-0.225,0,-1.5247799999999998E-08,-1.0526E-08,3.8300000000000004E-12,3.7535000000000006E-06,-3.7241000000000005E-06
-0.22,0,-1.53062E-08,-9.5475E-09,1.93E-12,3.7499000000000003E-06,-3.7276000000000005E-06
-0.215,0,-1.5315399999999997E-08,-8.6437E-09,2.4000000000000004E-13,3.7454E-06,-3.7212000000000005E-06
-0.21000000000000002,0,-1.5335599999999997E-08,-7.8222E-09,1.3400000000000002E-12,3.7440000000000005E-06,-3.7190000000000003E-06
-0.20500000000000002,0,-1.5362E-08,-7.0857E-09,-9.1000000000000016E-13,3.7423000000000006E-06,-3.7199000000000006E-06
-0.2,0,-1.54014E-08,-6.4464E-09,-9.3E-13,3.7377000000000002E-06,-3.7138000000000003E-06
-0.195,0,-1.5413799999999997E-08,-5.8538E-09,-2.03E-12,3.7372000000000004E-06,-3.7133000000000005E-06
-0.19,0,-1.5439E-08,-5.3244E-09,-2.46E-12,3.7298000000000003E-06,-3.7102000000000005E-06
-0.185,0,-1.5483799999999997E-08,-4.8463E-09,2.3000000000000003E-13,3.7324000000000005E-06,-3.7139000000000006E-06
-0.18000000000000002,0,-1.5518199999999998E-08,-4.4182E-09,-9.6000000000000015E-13,3.7271000000000003E-06,-3.7038000000000004E-06
-0.17500000000000002,0,-1.5516599999999997E-08,-4.0353E-09,2.9400000000000004E-12,3.7283000000000004E-06,-3.7059000000000004E-06
-0.17,0,-1.55706E-08,-3.6846E-09,1.8900000000000002E-12,3.7254000000000004E-06,-3.7074000000000003E-06
-0.165,0,-1.5575599999999998E-08,-3.3639E-09,2.2700000000000002E-12,3.7246000000000003E-06,-3.7011000000000004E-06
-0.16,0,-1.56244E-08,-3.0967E-09,6.0000000000000009E-14,3.7239000000000005E-06,-3.7049000000000003E-06
-0.155,0,-1.56518E-08,-2.818E-09,-9.3E-13,3.7204000000000004E-06,-3.6988000000000005E-06
-0.15,0,-1.5646199999999998E-08,-2.5947E-09,-1.98E-12,3.7187000000000005E-06,-3.6992000000000005E-06
-0.14500000000000002,0,-1.56578E-08,-2.389E-09,-2.8600000000000003E-12,3.7199000000000006E-06,-3.7019000000000005E-06
-0.14,0,-1.56948E-08,-2.2153E-09,-1.2800000000000002E-12,3.7206000000000004E-06,-3.6961000000000005E-06
-0.135,0,-1.5724399999999998E-08,-2.0425E-09,-9.000000000000001E-13,3.7131000000000005E-06,-3.6958000000000003E-06
-0.13,0,-1.57354E-08,-1.8902E-09,1.04E-12,3.7115000000000004E-06,-3.6906000000000003E-06
-0.125,0,-1.57866E-08,-1.7533E-09,1.51E-12,3.7094000000000004E-06,-3.6929000000000003E-06
-0.12000000000000001,0,-1.5789799999999997E-08,-1.6326E-09,3E-12,3.7143E-06,-3.6901000000000005E-06
-0.115,0,-1.57946E-08,-1.5146E-09,1.7700000000000001E-12,3.7125000000000005E-06,-3.6920000000000004E-06
-0.11,0,-1.58028E-08,-1.417E-09,-6.1E-13,3.7140000000000004E-06,-3.6951000000000004E-06
-0.10500000000000001,0,-1.5788399999999997E-08,-1.323E-09,-6.3E-13,3.7046000000000005E-06,-3.6888000000000006E-06
-0.1,0,-1.5801999999999998E-08,-1.2454E-09,-3.3200000000000004E-12,3.7039000000000002E-06,-3.6854000000000003E-06
-0.095,0,-1.57822E-08,-1.175E-09,-2.5800000000000003E-12,3.7032000000000004E-06,-3.6865E-06
-0.090000000000000011,0,-1.5789199999999998E-08,-1.1002E-09,-2.59E-12,3.7024000000000003E-06,-3.6786000000000002E-06
-0.085,0,-1.5826E-08,-1.0386E-09,5.1E-13,3.7013000000000005E-06,-3.6811000000000002E-06
-0.08,0,-1.5835999999999997E-08,-9.8733000000000015E-10,-6.3E-13,3.7007000000000004E-06,-3.6846000000000003E-06
-0.075,0,-1.58454E-08,-9.3671000000000017E-10,1.4200000000000002E-12,3.7020000000000003E-06,-3.6832000000000006E-06
-0.07,0,-1.5866599999999997E-08,-8.9046E-10,2.1000000000000003E-12,3.7017000000000005E-06,-3.6834E-06
-0.065,0,-1.5867E-08,-8.4245E-10,1.31E-12,3.6984000000000005E-06,-3.6821000000000003E-06
-0.060000000000000005,0,-1.5865999999999998E-08,-8.009000000000001E-10,2.09E-12,3.6934000000000005E-06,-3.6755000000000002E-06
-0.055,0,-1.5882E-08,-7.6292000000000009E-10,-2.3500000000000003E-12,3.7009000000000004E-06,-3.6804000000000004E-06
-0.05,0,-1.59148E-08,-7.285700000000001E-10,-1E-12,3.6982000000000004E-06,-3.6793000000000005E-06
-0.045000000000000005,0,-1.5912799999999997E-08,-6.9817000000000008E-10,-3.02E-12,3.6964000000000003E-06,-3.6767000000000003E-06
-0.04,0,-1.5922599999999998E-08,-6.7007E-10,-1.4300000000000002E-12,3.6974000000000004E-06,-3.6844000000000002E-06
-0.035,0,-1.5927799999999998E-08,-6.4975000000000006E-10,1.5000000000000002E-13,3.6985000000000002E-06,-3.6792000000000003E-06
-0.030000000000000002,0,-1.59482E-08,-6.2132000000000008E-10,8.0000000000000013E-14,3.7018000000000003E-06,-3.6821000000000003E-06
-0.025,0,-1.59482E-08,-5.9799E-10,3.72E-12,3.6984000000000005E-06,-3.678E-06
-0.02,0,-1.59566E-08,-5.7946000000000009E-10,4.4000000000000004E-13,3.6962000000000003E-06,-3.6788000000000003E-06
-0.015000000000000001,0,-1.59654E-08,-5.5487000000000007E-10,1.9E-12,3.6932000000000005E-06,-3.6791000000000005E-06
-0.01,0,-1.59726E-08,-5.3669E-10,-2.2700000000000002E-12,3.7027000000000006E-06,-3.6838E-06
-0.005,0,-1.60054E-08,-5.151E-10,-7.3E-13,3.6962000000000003E-06,-3.6855000000000005E-06
0,0,-1.6016399999999998E-08,-5.0198000000000006E-10,-2.4300000000000003E-12,3.6995000000000003E-06,-3.6835000000000004E-06
0.005,0,-1.6023199999999998E-08,-4.8503E-10,-3.1700000000000004E-12,3.6943000000000004E-06,-3.6765000000000003E-06
0.01,0,-1.59972E-08,-4.6881000000000006E-10,1.5E-12,3.6941000000000003E-06,-3.6731000000000005E-06
0.015000000000000001,0,-1.6006599999999997E-08,-4.5295E-10,-1.8000000000000002E-13,3.6985000000000002E-06,-3.6782E-06
0.02,0,-1.60452E-08,-4.3990000000000005E-10,3.1E-12,3.6885000000000003E-06,-3.6705000000000003E-06
0.025,0,-1.60546E-08,-4.2554E-10,4.1E-13,3.6857000000000006E-06,-3.6714000000000005E-06
0.030000000000000002,0,-1.6060199999999997E-08,-4.1191000000000003E-10,3.6000000000000003E-13,3.6859000000000006E-06,-3.6699000000000002E-06
0.035,0,-1.60882E-08,-3.9448E-10,-1.27E-12,3.6935000000000003E-06,-3.6748000000000004E-06
0.04,0,-1.6086399999999998E-08,-3.8035000000000004E-10,-1.3800000000000002E-12,3.6908000000000003E-06,-3.6745000000000006E-06
0.045000000000000005,0,-1.60778E-08,-3.6300000000000004E-10,-1.4800000000000002E-12,3.6868000000000004E-06,-3.6681000000000005E-06
0.05,0,-1.60926E-08,-3.5122E-10,-2.0500000000000004E-12,3.6853000000000005E-06,-3.6700000000000004E-06
0.055,0,-1.6097E-08,-3.3641000000000003E-10,1.79E-12,3.6845000000000005E-06,-3.6621000000000005E-06
0.060000000000000005,0,-1.61084E-08,-3.2972E-10,1.26E-12,3.6833000000000004E-06,-3.6645000000000002E-06
0.065,0,-1.6099599999999997E-08,-3.1657E-10,3.07E-12,3.6768000000000005E-06,-3.6556E-06
0.07,0,-1.6072999999999998E-08,-3.0415000000000003E-10,6.400000000000001E-13,3.6794000000000003E-06,-3.6622000000000003E-06
