Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	7.14400000000003e-08	2.0048e-07	2.2e-07	3.55999999999996e-07	2.55999999999999e-07	4.64000000000002e-07	2.24e-07	3.96000000000004e-07	7.80000000000005e-07	4.91999999999996e-07
-0.295	6.53500000000002e-08	1.67786666666666e-07	1.86003333333334e-07	2.89999999999998e-07	2.73666666666666e-07	3.82666666666667e-07	3.06666666666666e-07	3.55333333333334e-07	6.4966666666667e-07	4.73333333333332e-07
-0.29	6.07220000000002e-08	1.31106e-07	1.74282e-07	2.68999999999999e-07	2.34599999999999e-07	3.36400000000001e-07	2.88e-07	3.68000000000001e-07	5.35600000000002e-07	4.13e-07
-0.285	5.48340000000001e-08	1.1043e-07	1.63866e-07	2.408e-07	2.238e-07	2.862e-07	3.104e-07	3.73600000000001e-07	4.594e-07	3.97400000000001e-07
-0.28	4.96400000000001e-08	9.39320000000001e-08	1.51708e-07	2.106e-07	2.13e-07	2.656e-07	3.208e-07	3.722e-07	3.978e-07	3.66200000000001e-07
-0.275	4.71240000000001e-08	8.89540000000001e-08	1.51986e-07	1.99e-07	2.088e-07	2.578e-07	3.112e-07	3.836e-07	3.588e-07	3.54e-07
-0.27	4.5254e-08	9.3272e-08	1.55628e-07	1.912e-07	2.246e-07	2.526e-07	3.08e-07	3.84200000000001e-07	3.58799999999999e-07	3.83199999999999e-07
-0.265	4.4906e-08	9.48439999999999e-08	1.43408e-07	1.724e-07	2.4e-07	2.746e-07	3.032e-07	3.642e-07	3.78799999999999e-07	4.098e-07
-0.26	4.8252e-08	9.47859999999999e-08	1.33218e-07	1.71e-07	2.458e-07	2.848e-07	2.948e-07	3.562e-07	3.81e-07	3.93199999999999e-07
-0.255	5.1316e-08	9.96139999999998e-08	1.4019e-07	1.874e-07	2.58799999999999e-07	2.714e-07	2.938e-07	3.512e-07	3.68e-07	3.59599999999999e-07
