vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	-1.41782e-08	-5.02562e-08	-5.7805e-10	3.8147e-06	-3.7408e-06	2.2426e-08	-4.99296e-08	-3.81744e-08	3.6688e-06	-3.6036e-06	5.7702e-08	-4.99418e-08	-7.35318e-08	3.6628e-06	-3.5999e-06	9.23276e-08	-4.9393e-08	-1.0768e-07	3.6529e-06	-3.5846e-06	1.231e-07	-4.96104e-08	-1.382e-07	3.651e-06	-3.5813e-06	1.555e-07	-4.97024e-08	-1.7e-07	3.6527e-06	-3.5868e-06	1.8738e-07	-4.9531e-08	-2.0158e-07	3.6564e-06	-3.5924e-06	2.1652e-07	-4.93468e-08	-2.2992e-07	3.6572e-06	-3.5917e-06	2.4534e-07	-4.94032e-08	-2.5802e-07	3.6486e-06	-3.5841e-06	2.7246e-07	-4.95434e-08	-2.874e-07	3.656e-06	-3.5923e-06	3.05e-07	-4.91284e-08	-3.1672e-07	3.6488e-06	-3.5837e-06
-0.295	-1.44968e-08	-4.4769e-08	-6.3175e-10	3.8022e-06	-3.7393e-06	2.27832e-08	-4.45822e-08	-3.8466e-08	3.6696e-06	-3.6065e-06	5.87044e-08	-4.47364e-08	-7.40786e-08	3.6661e-06	-3.6019e-06	9.34276e-08	-4.42716e-08	-1.0832e-07	3.6469e-06	-3.5878e-06	1.2488e-07	-4.44466e-08	-1.394e-07	3.6497e-06	-3.5901e-06	1.5678e-07	-4.45828e-08	-1.7092e-07	3.6532e-06	-3.5944e-06	1.897e-07	-4.45608e-08	-2.0312e-07	3.6549e-06	-3.5934e-06	2.1764e-07	-4.44046e-08	-2.3114e-07	3.6531e-06	-3.5972e-06	2.4732e-07	-4.42318e-08	-2.6018e-07	3.6461e-06	-3.5872e-06	2.7636e-07	-4.41842e-08	-2.8984e-07	3.6529e-06	-3.5967e-06	3.0746e-07	-4.39392e-08	-3.183e-07	3.6538e-06	-3.5951e-06
-0.29	-1.45316e-08	-4.02148e-08	-6.1039e-10	3.7978e-06	-3.7385e-06	2.3029e-08	-4.0255e-08	-3.8643e-08	3.6678e-06	-3.6108e-06	5.93272e-08	-4.02382e-08	-7.47516e-08	3.6596e-06	-3.6051e-06	9.39918e-08	-3.98022e-08	-1.0902e-07	3.6488e-06	-3.5936e-06	1.2554e-07	-4.00424e-08	-1.4044e-07	3.6504e-06	-3.5908e-06	1.5846e-07	-4.00892e-08	-1.7362e-07	3.6532e-06	-3.5965e-06	1.905e-07	-3.99794e-08	-2.0436e-07	3.6563e-06	-3.6001e-06	2.204e-07	-3.99108e-08	-2.3372e-07	3.6566e-06	-3.5972e-06	2.4856e-07	-3.98774e-08	-2.6108e-07	3.6454e-06	-3.5955e-06	2.7832e-07	-3.98568e-08	-2.913e-07	3.6579e-06	-3.6009e-06	3.1014e-07	-3.9701e-08	-3.2114e-07	3.6496e-06	-3.597e-06
-0.285	-1.45604e-08	-3.61674e-08	-6.0903e-10	3.7913e-06	-3.7382e-06	2.3355e-08	-3.60656e-08	-3.92004e-08	3.6648e-06	-3.6076e-06	5.95068e-08	-3.61534e-08	-7.50608e-08	3.6652e-06	-3.6114e-06	9.46594e-08	-3.5797e-08	-1.0962e-07	3.6483e-06	-3.5997e-06	1.2672e-07	-3.59434e-08	-1.4204e-07	3.6518e-06	-3.6011e-06	1.596e-07	-3.6e-08	-1.74e-07	3.6516e-06	-3.5979e-06	1.925e-07	-3.58512e-08	-2.0602e-07	3.6544e-06	-3.6058e-06	2.2156e-07	-3.5799e-08	-2.3456e-07	3.6603e-06	-3.6077e-06	2.5032e-07	-3.57834e-08	-2.637e-07	3.6458e-06	-3.5963e-06	2.8022e-07	-3.58352e-08	-2.931e-07	3.6582e-06	-3.6109e-06	3.1082e-07	-3.56222e-08	-3.2316e-07	3.6483e-06	-3.6037e-06
-0.28	-1.4604e-08	-3.24238e-08	-5.8127e-10	3.7813e-06	-3.7369e-06	2.35902e-08	-3.24682e-08	-3.9304e-08	3.6658e-06	-3.6182e-06	5.99794e-08	-3.24864e-08	-7.54988e-08	3.6688e-06	-3.6171e-06	9.55778e-08	-3.21584e-08	-1.1038e-07	3.6491e-06	-3.5988e-06	1.281e-07	-3.23232e-08	-1.4284e-07	3.6523e-06	-3.6082e-06	1.5964e-07	-3.24538e-08	-1.7412e-07	3.6565e-06	-3.6055e-06	1.9356e-07	-3.22092e-08	-2.0692e-07	3.6566e-06	-3.6077e-06	2.2216e-07	-3.21692e-08	-2.3608e-07	3.652e-06	-3.6048e-06	2.5248e-07	-3.20906e-08	-2.6512e-07	3.6483e-06	-3.5961e-06	2.8194e-07	-3.22324e-08	-2.952e-07	3.658e-06	-3.6092e-06	3.126e-07	-3.19518e-08	-3.2544e-07	3.6541e-06	-3.6086e-06
-0.275	-1.46882e-08	-2.92178e-08	-6.4862e-10	3.7859e-06	-3.7368e-06	2.3812e-08	-2.91906e-08	-3.95884e-08	3.6657e-06	-3.6187e-06	6.04434e-08	-2.91396e-08	-7.5901e-08	3.6713e-06	-3.624e-06	9.65236e-08	-2.88684e-08	-1.1186e-07	3.6489e-06	-3.601e-06	1.2926e-07	-2.90638e-08	-1.4352e-07	3.6482e-06	-3.6022e-06	1.6146e-07	-2.91682e-08	-1.7524e-07	3.6559e-06	-3.6102e-06	1.9426e-07	-2.89344e-08	-2.0786e-07	3.6593e-06	-3.615e-06	2.2452e-07	-2.88542e-08	-2.3718e-07	3.6537e-06	-3.6142e-06	2.5496e-07	-2.8992e-08	-2.6876e-07	3.6418e-06	-3.5988e-06	2.837e-07	-2.8963e-08	-2.9646e-07	3.6556e-06	-3.6125e-06	3.1544e-07	-2.87846e-08	-3.2668e-07	3.6494e-06	-3.6054e-06
-0.27	-1.4675e-08	-2.63128e-08	-6.4196e-10	3.7772e-06	-3.7322e-06	2.39732e-08	-2.62536e-08	-3.98138e-08	3.6664e-06	-3.6237e-06	6.09848e-08	-2.63184e-08	-7.63592e-08	3.6708e-06	-3.624e-06	9.7072e-08	-2.60688e-08	-1.1226e-07	3.6459e-06	-3.6045e-06	1.2986e-07	-2.6226e-08	-1.4394e-07	3.6525e-06	-3.6094e-06	1.6182e-07	-2.62366e-08	-1.7658e-07	3.6545e-06	-3.615e-06	1.9606e-07	-2.60996e-08	-2.0934e-07	3.6621e-06	-3.6194e-06	2.2592e-07	-2.60218e-08	-2.3874e-07	3.6523e-06	-3.6132e-06	2.5632e-07	-2.60964e-08	-2.6956e-07	3.6492e-06	-3.6065e-06	2.8644e-07	-2.60094e-08	-2.9822e-07	3.6556e-06	-3.6156e-06	3.1626e-07	-2.59406e-08	-3.2842e-07	3.6531e-06	-3.6129e-06
-0.265	-1.46904e-08	-2.35546e-08	-6.2801e-10	3.7747e-06	-3.7316e-06	2.4227e-08	-2.35582e-08	-4.00898e-08	3.6645e-06	-3.6223e-06	6.14182e-08	-2.37002e-08	-7.68442e-08	3.6692e-06	-3.6275e-06	9.76778e-08	-2.34262e-08	-1.1266e-07	3.6496e-06	-3.6062e-06	1.3048e-07	-2.35594e-08	-1.457e-07	3.6551e-06	-3.6163e-06	1.6372e-07	-2.3581e-08	-1.7916e-07	3.6527e-06	-3.6162e-06	1.9746e-07	-2.34444e-08	-2.1124e-07	3.6643e-06	-3.6193e-06	2.2792e-07	-2.34698e-08	-2.4104e-07	3.6488e-06	-3.6096e-06	2.5816e-07	-2.34004e-08	-2.72e-07	3.6478e-06	-3.6122e-06	2.867e-07	-2.35158e-08	-2.998e-07	3.6546e-06	-3.6163e-06	3.1872e-07	-2.3278e-08	-3.3024e-07	3.6523e-06	-3.6129e-06
-0.26	-1.47184e-08	-2.12732e-08	-6.5795e-10	3.7686e-06	-3.7308e-06	2.44814e-08	-2.14006e-08	-4.02548e-08	3.6636e-06	-3.6224e-06	6.19398e-08	-2.1307e-08	-7.74042e-08	3.6668e-06	-3.6302e-06	9.88416e-08	-2.11434e-08	-1.1366e-07	3.6491e-06	-3.6111e-06	1.3176e-07	-2.12552e-08	-1.4634e-07	3.6584e-06	-3.6202e-06	1.6492e-07	-2.11464e-08	-1.7916e-07	3.6574e-06	-3.6205e-06	1.98e-07	-2.12626e-08	-2.128e-07	3.6584e-06	-3.6239e-06	2.2936e-07	-2.1203e-08	-2.4236e-07	3.6462e-06	-3.6116e-06	2.6048e-07	-2.11806e-08	-2.7354e-07	3.6467e-06	-3.6093e-06	2.8926e-07	-2.12102e-08	-3.0244e-07	3.652e-06	-3.616e-06	3.2026e-07	-2.10054e-08	-3.324e-07	3.6505e-06	-3.6184e-06
-0.255	-1.4748e-08	-1.91302e-08	-6.594e-10	3.7634e-06	-3.7285e-06	2.46648e-08	-1.93142e-08	-4.07044e-08	3.6614e-06	-3.6235e-06	6.23496e-08	-1.92216e-08	-7.77288e-08	3.672e-06	-3.6365e-06	9.90902e-08	-1.90736e-08	-1.1406e-07	3.6522e-06	-3.6214e-06	1.322e-07	-1.90544e-08	-1.471e-07	3.6559e-06	-3.6217e-06	1.662e-07	-1.90906e-08	-1.8082e-07	3.654e-06	-3.6221e-06	2.0086e-07	-1.9077e-08	-2.159e-07	3.6552e-06	-3.6232e-06	2.2984e-07	-1.90612e-08	-2.44e-07	3.6466e-06	-3.6114e-06	2.6098e-07	-1.90748e-08	-2.7588e-07	3.6457e-06	-3.6166e-06	2.9136e-07	-1.91076e-08	-3.0378e-07	3.6611e-06	-3.6284e-06	3.2346e-07	-1.89984e-08	-3.3458e-07	3.6541e-06	-3.6221e-06
