Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	-7.88000000000001e-09	-6.34e-09	-8.02000000000001e-09	-6.95999999999998e-09	-7.42000000000004e-09	-4.51999999999998e-09	-2.00000000000061e-11	-3.39999999999939e-10	2.39999999999991e-10	-3.63999999999996e-09
-0.295	-7.99666666666667e-09	-7.11666666666666e-09	-7.35833333333334e-09	-6.65499999999998e-09	-6.34833333333335e-09	-5.14833333333332e-09	-1.89666666666666e-09	-1.90666666666664e-09	-1.34166666666668e-09	-3.5133333333333e-09
-0.29	-7.76080000000001e-09	-7.08100000000001e-09	-7.17800000000002e-09	-6.54400000000001e-09	-6.50400000000002e-09	-5.397e-09	-3.21200000000001e-09	-2.85999999999999e-09	-2.51700000000001e-09	-3.529e-09
-0.285	-7.68110000000001e-09	-7.24700000000001e-09	-6.89900000000002e-09	-6.35600000000001e-09	-6.26800000000001e-09	-5.66800000000001e-09	-4.21400000000001e-09	-3.826e-09	-3.34300000000001e-09	-3.36500000000001e-09
-0.28	-7.40800000000001e-09	-7.26000000000001e-09	-6.72200000000001e-09	-6.19400000000001e-09	-6.17300000000001e-09	-5.74800000000001e-09	-4.66200000000001e-09	-4.309e-09	-3.98900000000001e-09	-3.06000000000001e-09
-0.275	-7.14740000000001e-09	-6.99800000000001e-09	-6.64900000000001e-09	-6.14000000000001e-09	-6.21100000000001e-09	-5.623e-09	-4.67700000000002e-09	-4.377e-09	-4.49200000000001e-09	-3.08900000000001e-09
-0.27	-7.0132e-09	-6.846e-09	-6.547e-09	-6.067e-09	-5.96900000000001e-09	-5.287e-09	-4.79800000000001e-09	-4.35699999999999e-09	-4.611e-09	-2.904e-09
-0.265	-6.85979999999999e-09	-6.91699999999999e-09	-6.463e-09	-5.88199999999999e-09	-5.654e-09	-4.792e-09	-4.697e-09	-4.07399999999999e-09	-4.079e-09	-2.45599999999999e-09
-0.26	-6.5752e-09	-6.82299999999999e-09	-6.351e-09	-5.758e-09	-5.549e-09	-4.55299999999999e-09	-4.385e-09	-3.73599999999999e-09	-3.50399999999999e-09	-2.55199999999999e-09
-0.255	-6.3951e-09	-6.59799999999999e-09	-6.207e-09	-5.718e-09	-5.343e-09	-4.41e-09	-4.418e-09	-3.677e-09	-3.10999999999999e-09	-2.86399999999999e-09
-0.25	-6.3085e-09	-6.47099999999999e-09	-5.983e-09	-5.63799999999999e-09	-5.1e-09	-4.289e-09	-4.502e-09	-3.671e-09	-2.536e-09	-2.98199999999999e-09
-0.245	-6.1509e-09	-6.2546e-09	-5.69e-09	-5.511e-09	-4.973e-09	-4.492e-09	-4.194e-09	-3.81000000000001e-09	-2.246e-09	-3.26099999999999e-09
-0.24	-5.8824e-09	-5.7246e-09	-5.528e-09	-5.267e-09	-4.846e-09	-4.63000000000001e-09	-3.83400000000001e-09	-3.92600000000001e-09	-2.602e-09	-3.445e-09
-0.235	-5.6957e-09	-5.2809e-09	-5.356e-09	-4.963e-09	-4.609e-09	-4.48700000000001e-09	-3.758e-09	-3.81600000000001e-09	-3.06100000000001e-09	-3.17600000000002e-09
-0.23	-5.5762e-09	-5.1928e-09	-5.15e-09	-4.768e-09	-4.48199999999999e-09	-4.31800000000001e-09	-3.704e-09	-3.646e-09	-3.10100000000001e-09	-2.75700000000002e-09
-0.225	-5.2862e-09	-5.0432e-09	-4.975e-09	-4.585e-09	-4.366e-09	-4.2e-09	-3.518e-09	-3.229e-09	-3.052e-09	-2.29600000000001e-09
-0.22	-5.0559e-09	-4.7896e-09	-4.839e-09	-4.318e-09	-4.102e-09	-4.033e-09	-3.387e-09	-2.789e-09	-2.884e-09	-1.98000000000001e-09
-0.215	-4.8744e-09	-4.6809e-09	-4.583e-09	-4.104e-09	-3.908e-09	-3.815e-09	-3.51899999999999e-09	-2.66599999999999e-09	-2.584e-09	-1.872e-09
-0.21	-4.6956e-09	-4.5881e-09	-4.299e-09	-4.028e-09	-3.755e-09	-3.497e-09	-3.676e-09	-2.56499999999999e-09	-2.49799999999999e-09	-1.76599999999999e-09
-0.205	-4.4944e-09	-4.3057e-09	-4.121e-09	-3.924e-09	-3.553e-09	-3.30599999999999e-09	-3.583e-09	-2.365e-09	-2.62899999999999e-09	-1.77599999999999e-09
