vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	8.2274e-10	-7.5485e-09	1.0546e-09	3.1662e-07	-3.1092e-07	1.1334e-09	-7.5893e-09	8.4979e-10	3.1638e-07	-3.1092e-07	1.4413e-09	-7.6661e-09	6.5168e-10	3.1636e-07	-3.1076e-07	1.7498e-09	-7.7386e-09	4.5186e-10	3.1628e-07	-3.1068e-07	2.0586e-09	-7.8309e-09	2.4892e-10	3.1624e-07	-3.109e-07	2.3907e-09	-7.9193e-09	4.899e-11	3.1642e-07	-3.1108e-07	2.6965e-09	-8.0199e-09	-1.4824e-10	3.1642e-07	-3.109e-07	3.0056e-09	-8.1197e-09	-3.4932e-10	3.162e-07	-3.108e-07	3.3312e-09	-8.2413e-09	-5.3818e-10	3.1628e-07	-3.11e-07	3.664e-09	-8.3601e-09	-7.4746e-10	3.1642e-07	-3.109e-07	3.9949e-09	-8.5001e-09	-9.2115e-10	3.162e-07	-3.1068e-07
-0.295	7.8272e-10	-6.9655e-09	1.0165e-09	3.167e-07	-3.1158e-07	1.094e-09	-7.0057e-09	8.1095e-10	3.1662e-07	-3.1124e-07	1.4096e-09	-7.0743e-09	6.0161e-10	3.1656e-07	-3.113e-07	1.7097e-09	-7.1514e-09	3.9709e-10	3.1628e-07	-3.1118e-07	2.0238e-09	-7.2441e-09	1.9556e-10	3.1644e-07	-3.113e-07	2.3536e-09	-7.3295e-09	-1.903e-11	3.1632e-07	-3.1128e-07	2.6739e-09	-7.4348e-09	-2.184e-10	3.1624e-07	-3.1126e-07	3.0055e-09	-7.5295e-09	-4.2314e-10	3.162e-07	-3.112e-07	3.3295e-09	-7.6445e-09	-6.2134e-10	3.1626e-07	-3.1124e-07	3.6652e-09	-7.7621e-09	-8.1904e-10	3.1644e-07	-3.1148e-07	3.9767e-09	-7.8927e-09	-9.993e-10	3.1646e-07	-3.114e-07
-0.29	7.4586e-10	-6.4046e-09	9.7256e-10	3.1662e-07	-3.1188e-07	1.0494e-09	-6.4471e-09	7.5655e-10	3.166e-07	-3.1176e-07	1.3635e-09	-6.5192e-09	5.5492e-10	3.1636e-07	-3.119e-07	1.6841e-09	-6.5969e-09	3.4692e-10	3.165e-07	-3.1168e-07	1.9946e-09	-6.6867e-09	1.3421e-10	3.1632e-07	-3.1178e-07	2.3394e-09	-6.7744e-09	-8.5e-11	3.1642e-07	-3.1196e-07	2.6381e-09	-6.8738e-09	-2.7381e-10	3.1644e-07	-3.1192e-07	2.9737e-09	-6.9692e-09	-5.0475e-10	3.164e-07	-3.1172e-07	3.3029e-09	-7.0834e-09	-6.9779e-10	3.1644e-07	-3.1182e-07	3.6408e-09	-7.1999e-09	-9.1166e-10	3.1636e-07	-3.117e-07	3.9566e-09	-7.3264e-09	-1.0936e-09	3.163e-07	-3.1164e-07
-0.285	7.1453e-10	-5.8959e-09	9.2459e-10	3.1664e-07	-3.123e-07	1.0186e-09	-5.9454e-09	7.1681e-10	3.1634e-07	-3.123e-07	1.3284e-09	-6.0212e-09	5.0576e-10	3.1642e-07	-3.1222e-07	1.6402e-09	-6.0976e-09	2.9567e-10	3.1652e-07	-3.122e-07	1.9613e-09	-6.1812e-09	8.191e-11	3.1638e-07	-3.1236e-07	2.2979e-09	-6.2709e-09	-1.4858e-10	3.1642e-07	-3.1238e-07	2.6174e-09	-6.3686e-09	-3.5163e-10	3.1616e-07	-3.1206e-07	2.9561e-09	-6.4641e-09	-5.7714e-10	3.162e-07	-3.1212e-07	3.2819e-09	-6.5775e-09	-7.6901e-10	3.1618e-07	-3.1204e-07	3.6239e-09	-6.6907e-09	-9.9381e-10	3.1634e-07	-3.1226e-07	3.9517e-09	-6.8082e-09	-1.1797e-09	3.1614e-07	-3.1208e-07
-0.28	6.6629e-10	-5.4326e-09	8.9271e-10	3.1678e-07	-3.1278e-07	9.7997e-10	-5.4876e-09	6.8081e-10	3.1656e-07	-3.1274e-07	1.2989e-09	-5.5531e-09	4.5816e-10	3.1642e-07	-3.1252e-07	1.6135e-09	-5.6307e-09	2.4335e-10	3.1644e-07	-3.127e-07	1.9291e-09	-5.7137e-09	2.386e-11	3.1638e-07	-3.1276e-07	2.2638e-09	-5.7987e-09	-2.0837e-10	3.1652e-07	-3.127e-07	2.582e-09	-5.8965e-09	-4.1946e-10	3.1644e-07	-3.1266e-07	2.9234e-09	-5.9943e-09	-6.3416e-10	3.1616e-07	-3.1268e-07	3.2692e-09	-6.0993e-09	-8.5438e-10	3.162e-07	-3.1254e-07	3.598e-09	-6.2083e-09	-1.06182e-09	3.1618e-07	-3.1246e-07	3.9191e-09	-6.329e-09	-1.2747e-09	3.164e-07	-3.1264e-07
-0.275	6.3612e-10	-5.0133e-09	8.4654e-10	3.1658e-07	-3.13e-07	9.3658e-10	-5.067e-09	6.3281e-10	3.166e-07	-3.1294e-07	1.2577e-09	-5.1323e-09	4.151e-10	3.1644e-07	-3.1288e-07	1.5746e-09	-5.211e-09	1.985e-10	3.1644e-07	-3.1284e-07	1.8997e-09	-5.2905e-09	-3.05e-11	3.1656e-07	-3.1302e-07	2.2353e-09	-5.3759e-09	-2.4612e-10	3.1628e-07	-3.128e-07	2.5553e-09	-5.4706e-09	-4.6424e-10	3.1648e-07	-3.1282e-07	2.8987e-09	-5.564e-09	-7.0037e-10	3.1648e-07	-3.1288e-07	3.2253e-09	-5.671e-09	-9.2982e-10	3.1628e-07	-3.1284e-07	3.5796e-09	-5.7778e-09	-1.14343e-09	3.1622e-07	-3.1282e-07	3.9096e-09	-5.8955e-09	-1.3573e-09	3.162e-07	-3.1296e-07
-0.27	5.9508e-10	-4.6237e-09	8.1476e-10	3.1652e-07	-3.1332e-07	9.1236e-10	-4.6749e-09	5.8775e-10	3.1644e-07	-3.1332e-07	1.2262e-09	-4.7427e-09	3.6546e-10	3.1636e-07	-3.1316e-07	1.5466e-09	-4.8188e-09	1.4193e-10	3.1628e-07	-3.1332e-07	1.8703e-09	-4.9006e-09	-8.316e-11	3.1654e-07	-3.1336e-07	2.2016e-09	-4.9792e-09	-3.2397e-10	3.165e-07	-3.1314e-07	2.5266e-09	-5.0729e-09	-5.3679e-10	3.1624e-07	-3.1314e-07	2.8802e-09	-5.1663e-09	-7.7283e-10	3.162e-07	-3.1316e-07	3.2224e-09	-5.2719e-09	-9.9236e-10	3.1642e-07	-3.132e-07	3.5645e-09	-5.3736e-09	-1.2216e-09	3.1618e-07	-3.1308e-07	3.9048e-09	-5.4867e-09	-1.4412e-09	3.1636e-07	-3.1312e-07
-0.265	5.5852e-10	-4.2703e-09	7.7942e-10	3.1668e-07	-3.1358e-07	8.687e-10	-4.3243e-09	5.5555e-10	3.1636e-07	-3.1366e-07	1.1879e-09	-4.3885e-09	3.166e-10	3.1656e-07	-3.1366e-07	1.5133e-09	-4.4634e-09	1.0159e-10	3.1636e-07	-3.1358e-07	1.8411e-09	-4.5401e-09	-1.3778e-10	3.1636e-07	-3.137e-07	2.1815e-09	-4.6206e-09	-3.6352e-10	3.1632e-07	-3.1346e-07	2.4991e-09	-4.7139e-09	-5.9006e-10	3.1638e-07	-3.136e-07	2.865e-09	-4.8053e-09	-8.4077e-10	3.163e-07	-3.134e-07	3.1921e-09	-4.906e-09	-1.06407e-09	3.1644e-07	-3.1342e-07	3.5277e-09	-5.0108e-09	-1.2864e-09	3.162e-07	-3.1362e-07	3.8797e-09	-5.1168e-09	-1.5165e-09	3.1644e-07	-3.136e-07
-0.26	5.3063e-10	-3.9422e-09	7.3871e-10	3.1674e-07	-3.1402e-07	8.469e-10	-3.9927e-09	5.0538e-10	3.1634e-07	-3.1372e-07	1.1632e-09	-4.064e-09	2.847e-10	3.166e-07	-3.1394e-07	1.48e-09	-4.1322e-09	5.511e-11	3.1636e-07	-3.139e-07	1.8078e-09	-4.2112e-09	-1.8196e-10	3.164e-07	-3.1388e-07	2.1446e-09	-4.2899e-09	-4.2227e-10	3.1632e-07	-3.1372e-07	2.4804e-09	-4.3763e-09	-6.4059e-10	3.1644e-07	-3.137e-07	2.8311e-09	-4.4628e-09	-9.0056e-10	3.1628e-07	-3.1394e-07	3.1729e-09	-4.5673e-09	-1.13672e-09	3.1628e-07	-3.1384e-07	3.5016e-09	-4.6657e-09	-1.3608e-09	3.1636e-07	-3.1366e-07	3.8685e-09	-4.7742e-09	-1.5855e-09	3.1622e-07	-3.1384e-07
-0.255	4.867e-10	-3.6442e-09	7.0417e-10	3.167e-07	-3.1406e-07	8.0275e-10	-3.6985e-09	4.7774e-10	3.1636e-07	-3.1388e-07	1.1203e-09	-3.7632e-09	2.3986e-10	3.1632e-07	-3.1412e-07	1.45e-09	-3.8314e-09	1.519e-11	3.1636e-07	-3.1408e-07	1.7829e-09	-3.9052e-09	-2.3395e-10	3.1652e-07	-3.1412e-07	2.1314e-09	-3.9838e-09	-4.7797e-10	3.165e-07	-3.1406e-07	2.4663e-09	-4.0711e-09	-7.183e-10	3.1622e-07	-3.1388e-07	2.8023e-09	-4.1604e-09	-9.5967e-10	3.165e-07	-3.141e-07	3.1623e-09	-4.2542e-09	-1.1881e-09	3.1628e-07	-3.1408e-07	3.4946e-09	-4.3544e-09	-1.4393e-09	3.1638e-07	-3.1382e-07	3.872e-09	-4.459e-09	-1.6832e-09	3.1638e-07	-3.1404e-07
