vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	2.944e-09	-1.114e-11	-3.0545e-09	3.1674e-07	-3.1652e-07	3.8504e-07	6.504e-11	-3.4774e-07	3.168e-07	-3.1634e-07	-5.1875e-06	5.8832e-10	5.5296e-06	3.166e-07	-3.1644e-07	-1.5228e-05	2.8514e-09	3.1708e-05	3.1684e-07	-3.1652e-07	-1.665e-05	9.7938e-09	4.751e-05	3.1752e-07	-3.171e-07	-1.6978e-05	3.43072e-08	5.3562e-05	3.187e-07	-3.1836e-07	-0.00010658	1.3204e-07	0.00010574	3.1928e-07	-3.1894e-07
0.005	1.98154e-08	-1.313e-11	-2.00402e-08	3.1684e-07	-3.1632e-07	1.6348e-06	6.314e-11	-1.6635e-06	3.1664e-07	-3.1628e-07	7.0838e-05	5.6678e-10	-6.6186e-05	3.166e-07	-3.1642e-07	6.9038e-05	2.5946e-09	-0.0006164	3.168e-07	-3.1624e-07	5.1912e-05	9.8608e-09	-0.00098066	3.1738e-07	-3.1682e-07	4.5596e-05	3.3467e-08	-0.00111216	3.1814e-07	-3.1788e-07	0.00115008	1.2804e-07	-0.00115008	3.192e-07	-3.1864e-07
0.01	3.20648e-08	-1.297e-11	-3.24416e-08	3.1668e-07	-3.1634e-07	2.7734e-06	6.105e-11	-2.7797e-06	3.1662e-07	-3.1644e-07	0.000146	5.4791e-10	-0.00014594	3.1672e-07	-3.1624e-07	0.0012546	2.5262e-09	-0.0012516	3.1656e-07	-3.1642e-07	0.0020272	9.2837e-09	-0.0020274	3.1734e-07	-3.1706e-07	0.0022982	3.2595e-08	-0.0022974	3.1818e-07	-3.1784e-07	0.002417	1.244e-07	-0.0024156	3.1902e-07	-3.1852e-07
0.015	4.37294e-08	-1.41e-11	-4.4094e-08	3.1686e-07	-3.1628e-07	3.7656e-06	5.792e-11	-3.7957e-06	3.166e-07	-3.1644e-07	0.00021046	5.2557e-10	-0.00021102	3.1676e-07	-3.1648e-07	0.0018768	2.459e-09	-0.0018776	3.1676e-07	-3.1644e-07	0.0030796	9.0572e-09	-0.0030788	3.1702e-07	-3.1666e-07	0.003501	3.16286e-08	-0.0035036	3.1788e-07	-3.1778e-07	0.0036836	1.2068e-07	-0.0036858	3.1898e-07	-3.1844e-07
0.02	5.36068e-08	-1.413e-11	-5.38682e-08	3.1686e-07	-3.1636e-07	4.6675e-06	5.715e-11	-4.6936e-06	3.166e-07	-3.1624e-07	0.00026842	5.0881e-10	-0.0002691	3.1648e-07	-3.1646e-07	0.002468	2.5802e-09	-0.0024696	3.1676e-07	-3.165e-07	0.0041022	8.9e-09	-0.0041012	3.1714e-07	-3.167e-07	0.0046856	3.07798e-08	-0.004687	3.1804e-07	-3.1748e-07	0.0049294	1.1706e-07	-0.0049282	3.19e-07	-3.1854e-07
0.025	6.27966e-08	-1.32e-11	-6.31008e-08	3.1686e-07	-3.1656e-07	5.4727e-06	5.514e-11	-5.4587e-06	3.1652e-07	-3.1638e-07	0.00032138	4.9117e-10	-0.00032172	3.1656e-07	-3.1634e-07	0.0030462	2.5143e-09	-0.0030482	3.1686e-07	-3.1644e-07	0.0051318	8.611e-09	-0.0051302	3.1702e-07	-3.168e-07	0.0058786	3.0035e-08	-0.0058788	3.1782e-07	-3.176e-07	0.0061928	1.1364e-07	-0.0061916	3.1876e-07	-3.1842e-07
0.03	7.07824e-08	-1.354e-11	-7.14472e-08	3.1682e-07	-3.1634e-07	6.1781e-06	5.125e-11	-6.1787e-06	3.1662e-07	-3.1648e-07	0.0003686	4.7595e-10	-0.00036956	3.1656e-07	-3.1632e-07	0.0035976	2.455e-09	-0.0035958	3.1678e-07	-3.1654e-07	0.006135	8.4522e-09	-0.0061324	3.1698e-07	-3.1692e-07	0.0070546	2.92826e-08	-0.0070534	3.178e-07	-3.1748e-07	0.0074358	1.104e-07	-0.0074372	3.1864e-07	-3.1844e-07
0.035	7.83114e-08	-1.462e-11	-7.88124e-08	3.1668e-07	-3.1658e-07	6.7854e-06	5.126e-11	-6.8343e-06	3.1656e-07	-3.1628e-07	0.00041278	4.6142e-10	-0.00041346	3.1664e-07	-3.1636e-07	0.0041312	2.3967e-09	-0.0041316	3.1658e-07	-3.1646e-07	0.0071456	8.2206e-09	-0.0071418	3.1696e-07	-3.1666e-07	0.0082384	2.85406e-08	-0.0082422	3.1792e-07	-3.176e-07	0.0086944	1.0734e-07	-0.008699	3.1858e-07	-3.1834e-07
0.04	8.50752e-08	-1.769e-11	-8.52288e-08	3.1684e-07	-3.1656e-07	7.4196e-06	4.976e-11	-7.4082e-06	3.1672e-07	-3.1646e-07	0.00045152	4.4946e-10	-0.00045246	3.1674e-07	-3.1624e-07	0.0046294	2.3442e-09	-0.004634	3.1676e-07	-3.1652e-07	0.008129	8.0169e-09	-0.0081308	3.1708e-07	-3.1666e-07	0.0094048	2.78228e-08	-0.0094058	3.1776e-07	-3.1746e-07	0.0099348	1.0428e-07	-0.0099344	3.1854e-07	-3.1838e-07
0.045	9.1464e-08	-1.767e-11	-9.20276e-08	3.1682e-07	-3.166e-07	7.9225e-06	4.825e-11	-7.9382e-06	3.165e-07	-3.1626e-07	0.00048816	4.3365e-10	-0.00048932	3.166e-07	-3.1632e-07	0.0051126	2.2633e-09	-0.0051108	3.1652e-07	-3.163e-07	0.0091036	7.8129e-09	-0.0091046	3.172e-07	-3.1686e-07	0.0105668	2.71368e-08	-0.0105702	3.177e-07	-3.1742e-07	0.011171	1.0126e-07	-0.0111732	3.1852e-07	-3.1844e-07
0.05	9.78176e-08	-1.875e-11	-9.82702e-08	3.1678e-07	-3.164e-07	8.4047e-06	4.798e-11	-8.4275e-06	3.1672e-07	-3.1638e-07	0.0005215	4.2183e-10	-0.00052286	3.1682e-07	-3.1658e-07	0.0055806	2.0935e-09	-0.0055856	3.1668e-07	-3.1636e-07	0.010077	7.6338e-09	-0.0100802	3.1698e-07	-3.1666e-07	0.011758	2.6492e-08	-0.011752	3.1766e-07	-3.1754e-07	0.012444	9.86136e-08	-0.012442	3.185e-07	-3.181e-07
0.055	1.030906e-07	-2.092e-11	-1.04131e-07	3.1684e-07	-3.1638e-07	8.8525e-06	4.769e-11	-8.8988e-06	3.1674e-07	-3.1652e-07	0.00055262	4.1216e-10	-0.00055368	3.1654e-07	-3.1646e-07	0.0060234	2.1929e-09	-0.0060264	3.1666e-07	-3.1648e-07	0.0110312	7.4521e-09	-0.0110314	3.1696e-07	-3.1688e-07	0.012914	2.57712e-08	-0.012902	3.1778e-07	-3.1744e-07	0.013676	9.58024e-08	-0.013676	3.1836e-07	-3.1808e-07
0.06	1.086044e-07	-1.967e-11	-1.086536e-07	3.1686e-07	-3.1638e-07	9.2814e-06	4.566e-11	-9.2847e-06	3.167e-07	-3.165e-07	0.0005818	4.0212e-10	-0.0005817	3.1672e-07	-3.1638e-07	0.0064482	2.1428e-09	-0.006451	3.1664e-07	-3.165e-07	0.012	7.3311e-09	-0.011996	3.169e-07	-3.1674e-07	0.014078	2.51434e-08	-0.014066	3.1772e-07	-3.1742e-07	0.014924	9.31624e-08	-0.014914	3.184e-07	-3.1814e-07
0.065	1.132854e-07	-1.928e-11	-1.137584e-07	3.1672e-07	-3.1644e-07	9.6743e-06	4.406e-11	-9.712e-06	3.1672e-07	-3.1628e-07	0.00060816	3.9514e-10	-0.00060912	3.1656e-07	-3.1634e-07	0.0068494	2.1003e-09	-0.0068528	3.1684e-07	-3.1634e-07	0.012926	7.2033e-09	-0.012926	3.1712e-07	-3.1682e-07	0.015218	2.44776e-08	-0.015216	3.1756e-07	-3.1726e-07	0.016162	9.04348e-08	-0.016154	3.1836e-07	-3.1808e-07
0.07	1.1776e-07	-2.227e-11	-1.1896e-07	3.1666e-07	-3.1634e-07	1.0063e-05	4.281e-11	-1.00995e-05	3.166e-07	-3.1644e-07	0.00063342	3.8653e-10	-0.00063306	3.167e-07	-3.1628e-07	0.0072332	2.0045e-09	-0.0072376	3.1678e-07	-3.1638e-07	0.01386	6.9325e-09	-0.01386	3.1694e-07	-3.1674e-07	0.016376	2.37904e-08	-0.016366	3.177e-07	-3.1724e-07	0.017402	8.78162e-08	-0.017396	3.1826e-07	-3.1806e-07
