vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	6.16e-11	-1.6266e-10	-3.4397e-09	9.4628e-07	-9.4254e-07	1.54928e-08	4.343e-11	-7.7288e-09	9.7228e-07	-9.6794e-07	-1.13423e-05	3.1923e-10	1.14337e-05	9.79e-07	-9.7446e-07	-2.5244e-05	1.0107e-09	3.9718e-05	9.8496e-07	-9.806e-07	-0.00010746	2.9927e-09	0.00010562	9.9522e-07	-9.9062e-07	-0.000128	9.1847e-09	0.00012718	1.00898e-06	-1.00466e-06	-0.00013868	3.17206e-08	0.0001351	1.01658e-06	-1.0124e-06
0.005	4.6735e-08	-1.6794e-10	-5.08302e-08	9.4886e-07	-9.4468e-07	2.5199e-06	4.303e-11	-2.5025e-06	9.7244e-07	-9.6822e-07	6.458e-05	3.1645e-10	-6.0706e-05	9.792e-07	-9.7484e-07	5.07e-05	9.92e-10	-0.00039282	9.85e-07	-9.792e-07	0.00065116	2.9444e-09	-0.00065228	9.948e-07	-9.9052e-07	0.0007642	8.9782e-09	-0.00076426	1.00836e-06	-1.00416e-06	0.0008219	3.09382e-08	-0.00081702	1.01624e-06	-1.01202e-06
0.01	8.80462e-08	-1.651e-10	-9.24272e-08	9.4918e-07	-9.453e-07	4.7456e-06	4.216e-11	-4.7386e-06	9.7262e-07	-9.681e-07	0.00014248	3.1494e-10	-0.00014194	9.7956e-07	-9.7514e-07	0.000842	9.816e-10	-0.00084178	9.8486e-07	-9.791e-07	0.0014112	2.8856e-09	-0.001413	9.9398e-07	-9.9014e-07	0.0016666	8.7816e-09	-0.0016638	1.00564e-06	-1.00148e-06	0.0017908	3.01292e-08	-0.0017886	1.01328e-06	-1.00948e-06
0.015	1.2376e-07	-1.6605e-10	-1.2774e-07	9.5062e-07	-9.4628e-07	6.637e-06	4.332e-11	-6.6549e-06	9.7242e-07	-9.683e-07	0.0002076	3.0689e-10	-0.00020712	9.7966e-07	-9.756e-07	0.00127	9.55e-10	-0.0012678	9.8494e-07	-9.8112e-07	0.0021548	2.8167e-09	-0.002151	9.9344e-07	-9.899e-07	0.0025522	8.5947e-09	-0.0025486	1.00484e-06	-1.00096e-06	0.002738	2.93682e-08	-0.0027406	1.0127e-06	-1.00934e-06
0.02	1.552e-07	-1.6647e-10	-1.5962e-07	9.5074e-07	-9.4688e-07	8.3228e-06	4.064e-11	-8.3347e-06	9.7238e-07	-9.6852e-07	0.0002679	3.0827e-10	-0.00026758	9.7934e-07	-9.7576e-07	0.001686	9.4949e-10	-0.0016838	9.8492e-07	-9.8112e-07	0.0028978	2.7703e-09	-0.0028958	9.9354e-07	-9.903e-07	0.003444	8.4031e-09	-0.0034424	1.00474e-06	-1.00098e-06	0.0037036	2.86534e-08	-0.0037018	1.01246e-06	-1.00872e-06
0.025	1.8294e-07	-1.6701e-10	-1.8662e-07	9.5108e-07	-9.471e-07	9.8004e-06	3.973e-11	-9.8026e-06	9.725e-07	-9.6894e-07	0.00032148	3.0808e-10	-0.0003211	9.794e-07	-9.7608e-07	0.00208	9.4118e-10	-0.0020802	9.8464e-07	-9.8134e-07	0.0036178	2.7222e-09	-0.0036192	9.9372e-07	-9.9022e-07	0.0043218	8.2111e-09	-0.0043182	1.00396e-06	-1.00058e-06	0.0046484	2.7903e-08	-0.0046496	1.01174e-06	-1.00846e-06
0.03	2.081e-07	-1.6855e-10	-2.107e-07	9.5164e-07	-9.4776e-07	1.11355e-05	3.771e-11	-1.1126e-05	9.723e-07	-9.691e-07	0.0003709	3.0068e-10	-0.0003706	9.7982e-07	-9.7636e-07	0.0024654	9.2722e-10	-0.0024648	9.8488e-07	-9.8176e-07	0.0043448	2.666e-09	-0.0043434	9.9314e-07	-9.8992e-07	0.0052032	8.041e-09	-0.0052018	1.00378e-06	-1.00052e-06	0.0056098	2.72154e-08	-0.0056106	1.01102e-06	-1.00822e-06
0.035	2.299e-07	-1.6872e-10	-2.327e-07	9.5142e-07	-9.4834e-07	1.2322e-05	3.958e-11	-1.2308e-05	9.7304e-07	-9.6952e-07	0.00041534	3.0012e-10	-0.00041496	9.7946e-07	-9.763e-07	0.0028298	9.1e-10	-0.0028304	9.8488e-07	-9.8194e-07	0.0050498	2.6271e-09	-0.0050508	9.9336e-07	-9.903e-07	0.0060706	7.8717e-09	-0.0060698	1.0033e-06	-1.00032e-06	0.006555	2.65624e-08	-0.0065518	1.01104e-06	-1.008e-06
0.04	2.4868e-07	-1.6856e-10	-2.5184e-07	9.5196e-07	-9.4868e-07	1.3388e-05	4.119e-11	-1.3386e-05	9.728e-07	-9.6948e-07	0.00045564	3.0139e-10	-0.00045576	9.7936e-07	-9.7654e-07	0.0031776	8.9592e-10	-0.0031798	9.849e-07	-9.8182e-07	0.0057472	2.5722e-09	-0.005746	9.9334e-07	-9.9014e-07	0.006931	7.6974e-09	-0.0069306	1.00308e-06	-9.9988e-07	0.0074944	2.59092e-08	-0.0074942	1.01086e-06	-1.00792e-06
0.045	2.6726e-07	-1.6808e-10	-2.7056e-07	9.5198e-07	-9.4904e-07	1.4356e-05	3.758e-11	-1.4318e-05	9.7298e-07	-9.6992e-07	0.00049354	2.9562e-10	-0.0004934	9.7984e-07	-9.7672e-07	0.0035164	8.7928e-10	-0.003517	9.8478e-07	-9.82e-07	0.0064442	2.5337e-09	-0.0064406	9.934e-07	-9.9052e-07	0.007804	7.5283e-09	-0.0078034	1.00284e-06	-1.00002e-06	0.0084482	2.52948e-08	-0.008446	1.01008e-06	-1.00746e-06
