vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	-4.1013e-09	-3.92322e-08	-3.9565e-10	9.4588e-07	-9.0384e-07	-3.3237e-09	-3.90478e-08	-1.0483e-09	9.8358e-07	-9.3998e-07	-2.38e-09	-3.88828e-08	-1.6402e-09	9.916e-07	-9.4882e-07	-1.484e-09	-3.88266e-08	-2.216e-09	9.9622e-07	-9.534e-07	-6.6878e-10	-3.88286e-08	-2.7338e-09	1.00002e-06	-9.5814e-07	1.2773e-10	-3.87966e-08	-3.2171e-09	1.0033e-06	-9.6134e-07	8.9005e-10	-3.87092e-08	-3.7272e-09	1.00644e-06	-9.6474e-07	1.6067e-09	-3.8698e-08	-4.2014e-09	1.0079e-06	-9.6664e-07	2.2342e-09	-3.87626e-08	-4.6317e-09	1.01006e-06	-9.6932e-07	2.9219e-09	-3.86468e-08	-5.0476e-09	1.0117e-06	-9.711e-07	3.551e-09	-3.87322e-08	-5.4823e-09	1.01332e-06	-9.7294e-07
-0.295	-4.1728e-09	-3.52876e-08	-4.0202e-10	9.4792e-07	-9.0794e-07	-3.3249e-09	-3.52958e-08	-1.0518e-09	9.833e-07	-9.4346e-07	-2.3589e-09	-3.51476e-08	-1.6682e-09	9.916e-07	-9.5236e-07	-1.462e-09	-3.51526e-08	-2.2327e-09	9.9654e-07	-9.5752e-07	-6.3962e-10	-3.50652e-08	-2.7451e-09	9.9994e-07	-9.615e-07	1.2061e-10	-3.50998e-08	-3.2515e-09	1.00324e-06	-9.6498e-07	8.8747e-10	-3.50318e-08	-3.7479e-09	1.00662e-06	-9.6846e-07	1.6421e-09	-3.50504e-08	-4.2242e-09	1.00788e-06	-9.7012e-07	2.2859e-09	-3.49798e-08	-4.6494e-09	1.0103e-06	-9.7274e-07	2.9315e-09	-3.50006e-08	-5.059e-09	1.0117e-06	-9.7454e-07	3.585e-09	-3.49738e-08	-5.5411e-09	1.01342e-06	-9.7632e-07
-0.29	-4.1763e-09	-3.19178e-08	-3.9895e-10	9.4836e-07	-9.122e-07	-3.3159e-09	-3.19132e-08	-1.0656e-09	9.833e-07	-9.471e-07	-2.3503e-09	-3.17616e-08	-1.673e-09	9.9136e-07	-9.5578e-07	-1.4564e-09	-3.17656e-08	-2.2352e-09	9.9646e-07	-9.6092e-07	-6.4911e-10	-3.17338e-08	-2.7602e-09	9.9972e-07	-9.6474e-07	1.3237e-10	-3.16914e-08	-3.2655e-09	1.00332e-06	-9.6848e-07	9.1607e-10	-3.16288e-08	-3.7855e-09	1.00654e-06	-9.7154e-07	1.6412e-09	-3.17268e-08	-4.2437e-09	1.00796e-06	-9.7382e-07	2.2868e-09	-3.16552e-08	-4.6507e-09	1.00996e-06	-9.759e-07	2.9498e-09	-3.16446e-08	-5.0764e-09	1.01208e-06	-9.7816e-07	3.6519e-09	-3.16148e-08	-5.5781e-09	1.0133e-06	-9.7986e-07
-0.285	-4.1878e-09	-2.89348e-08	-4.0483e-10	9.4924e-07	-9.1584e-07	-3.3124e-09	-2.89078e-08	-1.0723e-09	9.8354e-07	-9.5038e-07	-2.3453e-09	-2.8786e-08	-1.6781e-09	9.915e-07	-9.589e-07	-1.4584e-09	-2.87706e-08	-2.2483e-09	9.9638e-07	-9.6348e-07	-6.3908e-10	-2.8733e-08	-2.758e-09	9.9978e-07	-9.6744e-07	1.5219e-10	-2.87136e-08	-3.2717e-09	1.0031e-06	-9.7128e-07	9.3588e-10	-2.86142e-08	-3.7777e-09	1.0063e-06	-9.75e-07	1.6565e-09	-2.86728e-08	-4.2788e-09	1.00792e-06	-9.7662e-07	2.3012e-09	-2.86592e-08	-4.6707e-09	1.00998e-06	-9.7874e-07	2.9625e-09	-2.8654e-08	-5.0946e-09	1.012e-06	-9.8104e-07	3.6681e-09	-2.8622e-08	-5.5613e-09	1.01366e-06	-9.829e-07
-0.28	-4.1915e-09	-2.61128e-08	-4.098e-10	9.4978e-07	-9.1882e-07	-3.3119e-09	-2.61062e-08	-1.0701e-09	9.8388e-07	-9.5298e-07	-2.3493e-09	-2.59902e-08	-1.6937e-09	9.9148e-07	-9.6146e-07	-1.4607e-09	-2.60222e-08	-2.2564e-09	9.9638e-07	-9.667e-07	-6.3223e-10	-2.59814e-08	-2.8095e-09	9.9964e-07	-9.7028e-07	1.5922e-10	-2.59222e-08	-3.2856e-09	1.00336e-06	-9.7426e-07	9.1228e-10	-2.5873e-08	-3.7862e-09	1.00634e-06	-9.7726e-07	1.669e-09	-2.58888e-08	-4.282e-09	1.00808e-06	-9.7964e-07	2.3254e-09	-2.5889e-08	-4.699e-09	1.00968e-06	-9.8106e-07	2.9924e-09	-2.58968e-08	-5.1524e-09	1.01172e-06	-9.8378e-07	3.6705e-09	-2.58946e-08	-5.59e-09	1.0134e-06	-9.856e-07
-0.275	-4.1934e-09	-2.36678e-08	-4.0679e-10	9.5e-07	-9.22e-07	-3.3124e-09	-2.36402e-08	-1.0861e-09	9.836e-07	-9.5552e-07	-2.3378e-09	-2.3548e-08	-1.7009e-09	9.917e-07	-9.6366e-07	-1.4414e-09	-2.35642e-08	-2.2655e-09	9.9646e-07	-9.692e-07	-6.2143e-10	-2.35096e-08	-2.8135e-09	9.9966e-07	-9.7304e-07	1.8089e-10	-2.34728e-08	-3.2964e-09	1.00316e-06	-9.766e-07	9.4373e-10	-2.34434e-08	-3.8149e-09	1.00618e-06	-9.7986e-07	1.668e-09	-2.34556e-08	-4.2645e-09	1.00802e-06	-9.8176e-07	2.3382e-09	-2.34672e-08	-4.7093e-09	1.00984e-06	-9.8392e-07	3.0156e-09	-2.34544e-08	-5.1289e-09	1.012e-06	-9.8636e-07	3.669e-09	-2.3419e-08	-5.6007e-09	1.01356e-06	-9.884e-07
-0.27	-4.1995e-09	-2.1429e-08	-4.1118e-10	9.5058e-07	-9.2452e-07	-3.3078e-09	-2.13552e-08	-1.081e-09	9.84e-07	-9.5812e-07	-2.3423e-09	-2.12944e-08	-1.7088e-09	9.9142e-07	-9.6604e-07	-1.441e-09	-2.12884e-08	-2.2801e-09	9.9662e-07	-9.715e-07	-6.2323e-10	-2.12408e-08	-2.8087e-09	9.9948e-07	-9.7492e-07	1.7672e-10	-2.12344e-08	-3.314e-09	1.00312e-06	-9.7866e-07	9.5707e-10	-2.11962e-08	-3.8498e-09	1.0061e-06	-9.8186e-07	1.6879e-09	-2.11916e-08	-4.3183e-09	1.00752e-06	-9.8424e-07	2.3396e-09	-2.11972e-08	-4.7451e-09	1.01014e-06	-9.8646e-07	3.0325e-09	-2.12008e-08	-5.2065e-09	1.0118e-06	-9.883e-07	3.7016e-09	-2.1186e-08	-5.6378e-09	1.01334e-06	-9.9032e-07
-0.265	-4.204e-09	-1.94052e-08	-4.1255e-10	9.5102e-07	-9.2728e-07	-3.3071e-09	-1.93508e-08	-1.0885e-09	9.8376e-07	-9.598e-07	-2.337e-09	-1.92654e-08	-1.7098e-09	9.9168e-07	-9.681e-07	-1.4243e-09	-1.92734e-08	-2.2709e-09	9.966e-07	-9.7368e-07	-5.8695e-10	-1.92452e-08	-2.8193e-09	9.9988e-07	-9.7696e-07	1.8255e-10	-1.92216e-08	-3.3427e-09	1.00294e-06	-9.8074e-07	9.6295e-10	-1.9193e-08	-3.8676e-09	1.00626e-06	-9.8396e-07	1.7068e-09	-1.9178e-08	-4.3185e-09	1.00796e-06	-9.8622e-07	2.3672e-09	-1.92108e-08	-4.7825e-09	1.0098e-06	-9.8836e-07	3.0611e-09	-1.91804e-08	-5.2166e-09	1.01154e-06	-9.903e-07	3.71e-09	-1.91874e-08	-5.6594e-09	1.01362e-06	-9.9228e-07
-0.26	-4.211e-09	-1.75452e-08	-4.1049e-10	9.5154e-07	-9.2932e-07	-3.3106e-09	-1.75004e-08	-1.098e-09	9.8352e-07	-9.6164e-07	-2.329e-09	-1.74192e-08	-1.7258e-09	9.9136e-07	-9.702e-07	-1.4131e-09	-1.7441e-08	-2.3054e-09	9.9656e-07	-9.753e-07	-6.0564e-10	-1.73802e-08	-2.8346e-09	9.9948e-07	-9.7858e-07	2.1169e-10	-1.73676e-08	-3.332e-09	1.00304e-06	-9.8262e-07	9.9122e-10	-1.73486e-08	-3.8637e-09	1.00622e-06	-9.861e-07	1.7319e-09	-1.73488e-08	-4.3707e-09	1.0078e-06	-9.8772e-07	2.4004e-09	-1.73588e-08	-4.8174e-09	1.00972e-06	-9.902e-07	3.0636e-09	-1.7347e-08	-5.2253e-09	1.01198e-06	-9.9238e-07	3.7089e-09	-1.735e-08	-5.6901e-09	1.01366e-06	-9.9428e-07
-0.255	-4.2162e-09	-1.5861e-08	-4.1814e-10	9.519e-07	-9.3134e-07	-3.3097e-09	-1.58216e-08	-1.1035e-09	9.8354e-07	-9.6366e-07	-2.3317e-09	-1.57972e-08	-1.7272e-09	9.9164e-07	-9.716e-07	-1.4168e-09	-1.57694e-08	-2.3166e-09	9.9662e-07	-9.7696e-07	-5.8529e-10	-1.57286e-08	-2.841e-09	9.9978e-07	-9.807e-07	2.1665e-10	-1.5715e-08	-3.3547e-09	1.00306e-06	-9.8394e-07	1.00718e-09	-1.5701e-08	-3.8941e-09	1.00668e-06	-9.8768e-07	1.7458e-09	-1.56762e-08	-4.3547e-09	1.00806e-06	-9.8972e-07	2.4535e-09	-1.57072e-08	-4.842e-09	1.00946e-06	-9.9142e-07	3.1013e-09	-1.57142e-08	-5.2971e-09	1.01176e-06	-9.9364e-07	3.7385e-09	-1.5705e-08	-5.7315e-09	1.0135e-06	-9.9574e-07
