I/V Sweep,id_vds
RecordTime,02/01/2024 07:31:49
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-4.5234E-09,-1.6422E-10,1.5000000000000002E-13,9.4339999999999994E-07,-9.3992E-07
0.005,0,-4.3565E-09,-1.7146000000000002E-10,-4.2500000000000007E-12,9.4601999999999994E-07,-9.4148E-07
0.01,0,-4.136E-09,-1.7472000000000002E-10,-4.79E-12,9.4678E-07,-9.4242E-07
0.015000000000000001,0,-3.927E-09,-1.7753E-10,-2.3800000000000004E-12,9.4769999999999994E-07,-9.4338E-07
0.02,0,-3.735E-09,-1.8041000000000003E-10,-5.5000000000000008E-13,9.4815999999999994E-07,-9.4418E-07
0.025,0,-3.5541E-09,-1.8239E-10,2.21E-12,9.4906E-07,-9.4545999999999994E-07
0.030000000000000002,0,-3.379E-09,-1.8248000000000003E-10,4.07E-12,9.4988E-07,-9.4624E-07
0.035,0,-3.2116E-09,-1.8212000000000001E-10,1.7500000000000002E-12,9.502E-07,-9.4718E-07
0.04,0,-3.0537E-09,-1.8147000000000002E-10,-1.32E-12,9.5094E-07,-9.4794E-07
0.045000000000000005,0,-2.9005E-09,-1.8382000000000002E-10,-1.91E-12,9.5182E-07,-9.4874E-07
0.05,0,-2.7575E-09,-1.8368E-10,-6.8300000000000006E-12,9.5216E-07,-9.4912E-07
0.055,0,-2.6242E-09,-1.851E-10,-7.32E-12,9.5244E-07,-9.4982E-07
0.060000000000000005,0,-2.4836E-09,-1.9077E-10,-5.33E-12,9.5319999999999993E-07,-9.5018E-07
0.065,0,-2.3553E-09,-1.9228E-10,-6.0700000000000006E-12,9.5347999999999993E-07,-9.5104E-07
0.07,0,-2.2313E-09,-1.9529E-10,-6.3E-13,9.5408E-07,-9.5151999999999993E-07
0.075,0,-2.1172E-09,-1.9599E-10,1.7600000000000002E-12,9.545E-07,-9.522E-07
0.08,0,-1.9951E-09,-1.9584000000000002E-10,1.0500000000000002E-12,9.5508E-07,-9.5248E-07
0.085,0,-1.8784E-09,-1.9676000000000003E-10,2.03E-12,9.5492E-07,-9.5286E-07
0.090000000000000011,0,-1.7651E-09,-1.9707000000000002E-10,-1.7700000000000001E-12,9.5534E-07,-9.5376E-07
0.095,0,-1.6548E-09,-1.9854000000000002E-10,-1.8900000000000002E-12,9.5566E-07,-9.5418E-07
0.1,0,-1.5479E-09,-2.0222000000000003E-10,-1.6200000000000002E-12,9.5644E-07,-9.5445999999999988E-07
0.10500000000000001,0,-1.443E-09,-2.0627000000000003E-10,-2.72E-12,9.5628E-07,-9.5458E-07
0.11,0,-1.3437E-09,-2.1466E-10,-1.7100000000000002E-12,9.5682E-07,-9.5518E-07
0.115,0,-1.2432E-09,-2.1843000000000002E-10,-6.2000000000000008E-13,9.5758E-07,-9.5594E-07
0.12000000000000001,0,-1.1368E-09,-2.2510000000000003E-10,2.01E-12,9.5764E-07,-9.5608E-07
0.125,0,-1.0345E-09,-2.2971000000000003E-10,2.42E-12,9.5784E-07,-9.5656E-07
0.13,0,-9.4296E-10,-2.2946000000000003E-10,-3.7000000000000004E-13,9.585E-07,-9.5704E-07
0.135,0,-8.425800000000001E-10,-2.3153000000000003E-10,4.8000000000000008E-13,9.5836E-07,-9.5742E-07
0.14,0,-7.4672000000000008E-10,-2.3427E-10,-3.53E-12,9.5844E-07,-9.5776E-07
0.14500000000000002,0,-6.5399E-10,-2.3603E-10,-4.13E-12,9.588E-07,-9.5786E-07
0.15,0,-5.6077E-10,-2.4475E-10,-2.6000000000000002E-12,9.5916E-07,-9.5814E-07
0.155,0,-4.6517000000000006E-10,-2.4827E-10,-3.85E-12,9.5926E-07,-9.5847999999999988E-07
0.16,0,-3.7151000000000004E-10,-2.5369000000000003E-10,-6.2000000000000008E-13,9.5934E-07,-9.5884E-07
0.165,0,-2.7376000000000005E-10,-2.6211000000000004E-10,1.12E-12,9.5976E-07,-9.5928E-07
0.17,0,-1.9027E-10,-2.6324E-10,1.31E-12,9.602E-07,-9.5952E-07
0.17500000000000002,0,-8.7660000000000011E-11,-2.6852E-10,1.6600000000000002E-12,9.6044E-07,-9.6005999999999988E-07
0.18000000000000002,0,9.27E-12,-2.7450000000000003E-10,7.3E-13,9.6054E-07,-9.6004E-07
0.185,0,1.2421E-10,-2.7863E-10,-4.2000000000000003E-13,9.6061999999999988E-07,-9.6042E-07
0.19,0,1.7438000000000002E-10,-2.8427000000000004E-10,-1.3800000000000002E-12,9.61E-07,-9.6074E-07
0.195,0,2.8406E-10,-2.9268E-10,-1.6100000000000002E-12,9.6102E-07,-9.6094E-07
0.2,0,3.6733E-10,-2.9818E-10,-1.03E-12,9.6156E-07,-9.6127999999999988E-07
0.20500000000000002,0,4.5564000000000004E-10,-3.0581E-10,2.1500000000000003E-12,9.6152E-07,-9.6193999999999989E-07
0.21000000000000002,0,5.5177E-10,-3.1473E-10,3.0900000000000004E-12,9.6132E-07,-9.6154E-07
0.215,0,6.4093000000000008E-10,-3.225E-10,3.91E-12,9.6182E-07,-9.6173999999999988E-07
0.22,0,7.4005E-10,-3.2965000000000005E-10,5.02E-12,9.619E-07,-9.6212E-07
0.225,0,8.2709000000000009E-10,-3.3582000000000004E-10,1.7000000000000002E-12,9.6242E-07,-9.6264E-07
0.23,0,9.2520000000000007E-10,-3.4791000000000004E-10,1.6300000000000001E-12,9.6249999999999989E-07,-9.6308E-07
0.23500000000000001,0,1.0176E-09,-3.5639000000000005E-10,2.47E-12,9.6298E-07,-9.6326E-07
0.24000000000000002,0,1.1163E-09,-3.6486E-10,2.0000000000000003E-14,9.6256E-07,-9.6348E-07
0.24500000000000002,0,1.2002E-09,-3.7146000000000003E-10,-2.87E-12,9.6284E-07,-9.6396E-07
0.25,0,1.3077E-09,-3.8055000000000005E-10,-4.13E-12,9.631E-07,-9.6448E-07
0.255,0,1.3911E-09,-3.9031E-10,-4.6100000000000008E-12,9.6338E-07,-9.6434E-07
0.26,0,1.478E-09,-4.002E-10,-3.6900000000000006E-12,9.635E-07,-9.6468E-07
0.265,0,1.5774E-09,-4.1186E-10,-1.83E-12,9.6348E-07,-9.6466E-07
0.27,0,1.6789E-09,-4.2334E-10,-1.2000000000000001E-12,9.6406E-07,-9.6528E-07
0.275,0,1.7756E-09,-4.3127000000000005E-10,1.98E-12,9.6416E-07,-9.657E-07
0.28,0,1.8633E-09,-4.4228000000000005E-10,1.6000000000000003E-13,9.639E-07,-9.6538E-07
0.28500000000000003,0,1.9661E-09,-4.5225E-10,-3.7400000000000006E-12,9.644E-07,-9.6585999999999989E-07
0.29000000000000004,0,2.0605E-09,-4.6279E-10,-2.7600000000000004E-12,9.6432E-07,-9.6594E-07
0.29500000000000004,0,2.153E-09,-4.7338000000000008E-10,-7.0500000000000009E-12,9.6458E-07,-9.6638E-07
0.3,0,2.2506E-09,-4.8564E-10,-6.46E-12,9.6518E-07,-9.6682E-07
0.305,0,2.3475E-09,-5.0198000000000006E-10,-4.58E-12,9.65E-07,-9.6658E-07
0.31,0,2.4385E-09,-5.1283000000000008E-10,-4.1000000000000007E-12,9.6512E-07,-9.668E-07
0.315,0,2.5394E-09,-5.2619E-10,-1.2000000000000001E-12,9.6488E-07,-9.6712E-07
0.32,0,2.6344E-09,-5.4200000000000009E-10,1.18E-12,9.6512E-07,-9.674E-07
0.325,0,2.7377E-09,-5.5119E-10,2.2000000000000002E-13,9.6506E-07,-9.6722E-07
0.33,0,2.8328E-09,-5.6554E-10,8.6000000000000007E-13,9.654E-07,-9.6798E-07
0.335,0,2.9322E-09,-5.8117000000000007E-10,-8E-13,9.6582E-07,-9.684E-07
0.34,0,3.0382E-09,-5.9543000000000008E-10,-1.59E-12,9.656E-07,-9.679E-07
0.34500000000000003,0,3.1338E-09,-6.1341000000000006E-10,-1.5800000000000001E-12,9.657E-07,-9.6824E-07
0.35000000000000003,0,3.2339E-09,-6.3111E-10,-1.7200000000000001E-12,9.6608E-07,-9.6864E-07
0.35500000000000004,0,3.3365E-09,-6.5104000000000006E-10,7.7000000000000005E-13,9.6618E-07,-9.6884E-07
0.36000000000000004,0,3.4293E-09,-6.6859000000000007E-10,1.5600000000000002E-12,9.6574E-07,-9.6884E-07
0.365,0,3.5295E-09,-6.8423E-10,3.07E-12,9.6646E-07,-9.6914E-07
0.37,0,3.6345E-09,-7.0286000000000009E-10,4.13E-12,9.6646E-07,-9.6924E-07
0.375,0,3.7385E-09,-7.2070000000000011E-10,2.57E-12,9.6686E-07,-9.699E-07
0.38,0,3.8458E-09,-7.3804000000000007E-10,5.9E-13,9.6702E-07,-9.7028E-07
0.385,0,3.949E-09,-7.5353000000000009E-10,-1.31E-12,9.667E-07,-9.699E-07
0.39,0,4.052E-09,-7.7456000000000006E-10,-2.9400000000000004E-12,9.6678E-07,-9.7028E-07
0.395,0,4.1634E-09,-7.9565E-10,-9.6000000000000015E-13,9.6668E-07,-9.701E-07
0.4,0,4.2598E-09,-8.1895E-10,-1.6100000000000002E-12,9.6697999999999989E-07,-9.7028E-07
0.405,0,4.3657E-09,-8.3966000000000008E-10,2.0000000000000003E-14,9.6724E-07,-9.7068E-07
0.41000000000000003,0,4.4706E-09,-8.6045000000000006E-10,2.67E-12,9.6712E-07,-9.7066E-07
