I/V Sweep,id_vgs
RecordTime,02/01/2024 07:33:36
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-4.1754E-09,-4.73954E-08,1.3800000000000002E-12,9.4834E-07,-8.9808E-07
-0.29500000000000004,0,-4.2572E-09,-4.2402799999999995E-08,-1.1500000000000002E-12,9.4992E-07,-9.035E-07
-0.29000000000000004,0,-4.2828E-09,-3.8270399999999993E-08,-2.74E-12,9.508E-07,-9.083E-07
-0.28500000000000003,0,-4.2974E-09,-3.4645799999999994E-08,-6.7000000000000007E-13,9.515E-07,-9.1252E-07
-0.28,0,-4.3173E-09,-3.1301799999999994E-08,-4.5000000000000006E-12,9.5178E-07,-9.1636E-07
-0.275,0,-4.3358E-09,-2.83536E-08,-1.37E-12,9.5244E-07,-9.1954E-07
-0.27,0,-4.3467E-09,-2.5624399999999997E-08,-3.92E-12,9.531E-07,-9.2296E-07
-0.265,0,-4.3689E-09,-2.3230599999999996E-08,-2.7000000000000002E-12,9.5319999999999993E-07,-9.2564E-07
-0.26,0,-4.3837E-09,-2.0995999999999998E-08,-1.22E-12,9.5396E-07,-9.2848E-07
-0.255,0,-4.3971E-09,-1.89868E-08,-2.29E-12,9.5416E-07,-9.3066E-07
-0.25,0,-4.4126E-09,-1.7153599999999998E-08,-2.0000000000000003E-14,9.5444E-07,-9.329E-07
-0.24500000000000002,0,-4.4201E-09,-1.5525E-08,-8.9E-13,9.5498E-07,-9.3524E-07
-0.24000000000000002,0,-4.4388E-09,-1.4001199999999998E-08,-8.9E-13,9.5518E-07,-9.3702E-07
-0.23500000000000001,0,-4.4513E-09,-1.26784E-08,-1.26E-12,9.5566E-07,-9.3853999999999993E-07
-0.23,0,-4.4609E-09,-1.1430599999999998E-08,-3.6900000000000006E-12,9.558E-07,-9.4003999999999994E-07
-0.225,0,-4.4708E-09,-1.0361999999999999E-08,-1.21E-12,9.5654E-07,-9.4146E-07
-0.22,0,-4.4877E-09,-9.3619E-09,-1.6600000000000002E-12,9.5698E-07,-9.4314E-07
-0.215,0,-4.499E-09,-8.4687E-09,-2.75E-12,9.577E-07,-9.4468E-07
-0.21000000000000002,0,-4.5131E-09,-7.6525E-09,-1.5700000000000002E-12,9.5834E-07,-9.4619999999999994E-07
-0.20500000000000002,0,-4.5258E-09,-6.9205E-09,-2.9E-12,9.5857999999999989E-07,-9.47E-07
-0.2,0,-4.5355E-09,-6.2398E-09,-2.8600000000000003E-12,9.5896E-07,-9.4828E-07
-0.195,0,-4.5463E-09,-5.6341E-09,-1.4E-13,9.5974E-07,-9.4983999999999993E-07
-0.19,0,-4.5588E-09,-5.0975E-09,3.0000000000000003E-13,9.6024E-07,-9.5032E-07
-0.185,0,-4.5662E-09,-4.6089E-09,1.7E-13,9.6038E-07,-9.5126E-07
-0.18000000000000002,0,-4.5775E-09,-4.1648E-09,1.6800000000000001E-12,9.6081999999999989E-07,-9.5226E-07
-0.17500000000000002,0,-4.586E-09,-3.7667E-09,2.3200000000000002E-12,9.6114E-07,-9.5268E-07
-0.17,0,-4.5934E-09,-3.4063E-09,1.9400000000000002E-12,9.6152E-07,-9.5342E-07
-0.165,0,-4.6117E-09,-3.0821E-09,1.17E-12,9.6229999999999988E-07,-9.5474E-07
-0.16,0,-4.6141E-09,-2.7782E-09,3.3E-13,9.6244E-07,-9.5482E-07
-0.155,0,-4.6262E-09,-2.5173E-09,1.7E-13,9.6276E-07,-9.5564E-07
-0.15,0,-4.6278E-09,-2.2722E-09,-2.3800000000000004E-12,9.6342E-07,-9.5598E-07
-0.14500000000000002,0,-4.632E-09,-2.059E-09,-1.9700000000000003E-12,9.6351999999999988E-07,-9.5679999999999989E-07
-0.14,0,-4.635E-09,-1.8637E-09,-1.26E-12,9.637E-07,-9.5712E-07
-0.135,0,-4.6481E-09,-1.6889E-09,-1.79E-12,9.6406E-07,-9.5784E-07
-0.13,0,-4.6526E-09,-1.5293E-09,-1.12E-12,9.642E-07,-9.579E-07
-0.125,0,-4.6581E-09,-1.3919E-09,1E-13,9.6468E-07,-9.5852E-07
-0.12000000000000001,0,-4.6684E-09,-1.2628E-09,-8.2E-13,9.6484E-07,-9.5928E-07
-0.115,0,-4.6727E-09,-1.1422E-09,1.8000000000000002E-12,9.6512E-07,-9.5928E-07
-0.11,0,-4.6818E-09,-1.0358E-09,1.0500000000000002E-12,9.6536E-07,-9.5958E-07
-0.10500000000000001,0,-4.6822E-09,-9.4401000000000013E-10,2.85E-12,9.6575999999999988E-07,-9.6044E-07
-0.1,0,-4.6888E-09,-8.5792000000000007E-10,5.6E-13,9.6585999999999989E-07,-9.6044E-07
-0.095,0,-4.6942E-09,-7.798E-10,-8.9E-13,9.6626E-07,-9.6086E-07
-0.090000000000000011,0,-4.6952E-09,-7.1342000000000011E-10,-1.8900000000000002E-12,9.6634E-07,-9.6084E-07
-0.085,0,-4.6994E-09,-6.5015000000000008E-10,-3.7900000000000006E-12,9.6678E-07,-9.6108E-07
-0.08,0,-4.7019E-09,-5.9544000000000007E-10,-4.6500000000000006E-12,9.6696E-07,-9.6204E-07
-0.075,0,-4.7110999999999996E-09,-5.4636000000000007E-10,-2.8300000000000003E-12,9.673E-07,-9.62E-07
-0.07,0,-4.7103E-09,-5.0284E-10,-2.1700000000000002E-12,9.6738E-07,-9.6234E-07
-0.065,0,-4.7198E-09,-4.5902000000000003E-10,-1.23E-12,9.6764E-07,-9.6238E-07
-0.060000000000000005,0,-4.7197E-09,-4.2118000000000004E-10,-3.8000000000000005E-13,9.682E-07,-9.6276E-07
-0.055,0,-4.7214E-09,-3.8637000000000003E-10,6.3E-13,9.6806E-07,-9.6318E-07
-0.05,0,-4.729E-09,-3.5507000000000005E-10,8.2E-13,9.6862E-07,-9.6366E-07
-0.045000000000000005,0,-4.7325E-09,-3.2742000000000004E-10,-3.3E-13,9.6864E-07,-9.6344E-07
-0.04,0,-4.7327E-09,-3.0023E-10,-1.4300000000000002E-12,9.6924E-07,-9.6388E-07
-0.035,0,-4.7352E-09,-2.7815E-10,-3.2200000000000004E-12,9.6906E-07,-9.6444E-07
-0.030000000000000002,0,-4.7417E-09,-2.5729E-10,-2.24E-12,9.693E-07,-9.646E-07
-0.025,0,-4.7456E-09,-2.4332E-10,-1.8400000000000002E-12,9.695E-07,-9.646E-07
-0.02,0,-4.7466E-09,-2.2856E-10,-2.7E-13,9.6998E-07,-9.648E-07
-0.015000000000000001,0,-4.7457E-09,-2.1378E-10,-3.0000000000000003E-13,9.6972E-07,-9.6518E-07
-0.01,0,-4.7501999999999996E-09,-2.0193000000000002E-10,6.8E-13,9.7016E-07,-9.6504E-07
-0.005,0,-4.7505E-09,-1.8948000000000003E-10,1.6700000000000002E-12,9.6992E-07,-9.6498E-07
0,0,-4.7566E-09,-1.7461E-10,2.41E-12,9.6998E-07,-9.6524E-07
0.005,0,-4.7579E-09,-1.6087E-10,3.1200000000000004E-12,9.703E-07,-9.6562E-07
0.01,0,-4.7608E-09,-1.4855000000000002E-10,2.6100000000000004E-12,9.7068E-07,-9.6598E-07
0.015000000000000001,0,-4.7661E-09,-1.362E-10,1.5600000000000002E-12,9.7078E-07,-9.6584E-07
0.02,0,-4.7694E-09,-1.2424E-10,9.3E-13,9.7078E-07,-9.6614E-07
0.025,0,-4.7666E-09,-1.1363000000000001E-10,-7E-13,9.7068E-07,-9.6604E-07
0.030000000000000002,0,-4.772E-09,-1.0496E-10,-2.74E-12,9.7122E-07,-9.6622E-07
0.035,0,-4.773E-09,-9.793E-11,-2.2500000000000003E-12,9.7155999999999989E-07,-9.6658E-07
0.04,0,-4.7748E-09,-8.996E-11,-3.0400000000000004E-12,9.715E-07,-9.664E-07
0.045000000000000005,0,-4.7818E-09,-8.1040000000000012E-11,-2.7300000000000003E-12,9.7154E-07,-9.6654E-07
0.05,0,-4.7875E-09,-7.472E-11,-7.4000000000000008E-13,9.7176E-07,-9.6697999999999989E-07
0.055,0,-4.7855E-09,-6.785E-11,6.3E-13,9.7164E-07,-9.6697999999999989E-07
0.060000000000000005,0,-4.7904E-09,-5.6360000000000006E-11,1.31E-12,9.7164E-07,-9.6718E-07
0.065,0,-4.7914E-09,-4.4820000000000007E-11,2E-12,9.7178E-07,-9.6728E-07
0.07,0,-4.7974E-09,-3.879E-11,1.4700000000000002E-12,9.7278E-07,-9.6774E-07
0.075,0,-4.7967E-09,-2.5940000000000003E-11,-6.3E-13,9.7247999999999988E-07,-9.6766E-07
0.08,0,-4.8034E-09,-1.8330000000000003E-11,-9.4E-13,9.7228E-07,-9.6734E-07
0.085,0,-4.8102E-09,-1.2260000000000002E-11,-3.35E-12,9.7256E-07,-9.6802E-07
0.090000000000000011,0,-4.8134E-09,-5.75E-12,-2.01E-12,9.7306E-07,-9.6782E-07
0.095,0,-4.8145E-09,2.19E-12,-2.5000000000000003E-12,9.7296E-07,-9.6818E-07
0.1,0,-4.8195E-09,8.15E-12,-3.7000000000000004E-13,9.7352E-07,-9.6854E-07
0.10500000000000001,0,-4.8237E-09,1.498E-11,2.4000000000000004E-13,9.73E-07,-9.6812E-07
0.11,0,-4.8293E-09,2.4230000000000003E-11,1.3400000000000002E-12,9.7318E-07,-9.6858E-07
0.115,0,-4.8395E-09,3.2500000000000004E-11,7.9000000000000007E-13,9.735E-07,-9.6855999999999988E-07
0.12000000000000001,0,-4.8454E-09,4.7210000000000004E-11,1.0600000000000001E-12,9.7336E-07,-9.6882E-07
0.125,0,-4.8432E-09,5.828E-11,4.6000000000000006E-13,9.7352E-07,-9.6906E-07
0.13,0,-4.8527E-09,7.0710000000000007E-11,-1.2500000000000001E-12,9.7406E-07,-9.6928E-07
0.135,0,-4.8609E-09,8.31E-11,-1.64E-12,9.739E-07,-9.696E-07
0.14,0,-4.8681E-09,9.344E-11,-1.8200000000000003E-12,9.7398E-07,-9.6934E-07
0.14500000000000002,0,-4.8703E-09,1.0308000000000001E-10,-1.7100000000000002E-12,9.7424E-07,-9.6972E-07
0.15,0,-4.878E-09,1.1558E-10,-2.62E-12,9.744E-07,-9.6958E-07
0.155,0,-4.8884E-09,1.2403E-10,-5.9E-13,9.7448E-07,-9.6987999999999989E-07
0.16,0,-4.8964E-09,1.3743E-10,-1.18E-12,9.7454E-07,-9.6958E-07
0.165,0,-4.901E-09,1.5231000000000002E-10,-3.3E-13,9.747E-07,-9.699E-07
0.17,0,-4.9054E-09,1.6749E-10,-6.0000000000000007E-13,9.7496E-07,-9.7012E-07
0.17500000000000002,0,-4.9203E-09,1.7996000000000002E-10,0,9.7488E-07,-9.705E-07
0.18000000000000002,0,-4.9261E-09,1.9799E-10,8.0000000000000013E-14,9.749E-07,-9.702E-07
0.185,0,-4.9414E-09,2.1483000000000002E-10,-1.6000000000000003E-13,9.7526E-07,-9.7062E-07
0.19,0,-4.9579E-09,2.3278000000000002E-10,-2.44E-12,9.7502E-07,-9.702E-07
0.195,0,-4.969E-09,2.5033E-10,-1.7500000000000002E-12,9.7524E-07,-9.706E-07
0.2,0,-4.9818E-09,2.6638E-10,-1.8400000000000002E-12,9.7547999999999989E-07,-9.7062E-07
0.20500000000000002,0,-4.9934E-09,2.8283000000000005E-10,-1.8100000000000002E-12,9.7534E-07,-9.711E-07
0.21000000000000002,0,-5.0095E-09,3.0080000000000004E-10,-1.03E-12,9.7536E-07,-9.7092E-07
0.215,0,-5.0279E-09,3.1933E-10,4E-13,9.7562E-07,-9.7118E-07
0.22,0,-5.043E-09,3.3878000000000004E-10,9.3E-13,9.7582E-07,-9.7134E-07
0.225,0,-5.0581E-09,3.6057000000000003E-10,1.1100000000000001E-12,9.76E-07,-9.7124E-07
0.23,0,-5.0722E-09,3.8099000000000005E-10,2.47E-12,9.7583999999999988E-07,-9.7148E-07
0.23500000000000001,0,-5.0916E-09,4.0644000000000005E-10,1.9700000000000003E-12,9.763E-07,-9.7148E-07
0.24000000000000002,0,-5.1138E-09,4.3030000000000005E-10,1.6600000000000002E-12,9.7656E-07,-9.718E-07
0.24500000000000002,0,-5.1337E-09,4.5740000000000004E-10,1.14E-12,9.7668E-07,-9.7174E-07
0.25,0,-5.156E-09,4.8399E-10,5E-13,9.7684E-07,-9.721E-07
0.255,0,-5.1759E-09,5.1281E-10,-2.01E-12,9.7686E-07,-9.7186E-07
0.26,0,-5.2004E-09,5.3828E-10,-1.9700000000000003E-12,9.7666E-07,-9.7196E-07
0.265,0,-5.2237E-09,5.6618E-10,-1.37E-12,9.7684E-07,-9.7236E-07
0.27,0,-5.2472E-09,5.9716E-10,-1.1900000000000002E-12,9.7662E-07,-9.7166E-07
0.275,0,-5.2717E-09,6.2722E-10,-1.64E-12,9.7686E-07,-9.7222E-07
0.28,0,-5.2981E-09,6.5655000000000007E-10,9.5E-13,9.7682E-07,-9.724E-07
0.28500000000000003,0,-5.3273E-09,6.8825000000000008E-10,1.36E-12,9.7732E-07,-9.7242E-07
0.29000000000000004,0,-5.3542E-09,7.2285E-10,1.5800000000000001E-12,9.773E-07,-9.7264E-07
0.29500000000000004,0,-5.3831E-09,7.592E-10,9.1000000000000016E-13,9.7738E-07,-9.7274E-07
0.3,0,-5.4098E-09,7.9270000000000006E-10,1.3000000000000001E-12,9.7774E-07,-9.7316E-07
0.305,0,-5.4485E-09,8.3420000000000008E-10,3.0000000000000005E-14,9.7766E-07,-9.7274E-07
0.31,0,-5.4836E-09,8.731700000000001E-10,-1.51E-12,9.7742E-07,-9.7296E-07
0.315,0,-5.5133E-09,9.1371E-10,-2.23E-12,9.7771999999999989E-07,-9.729E-07
0.32,0,-5.5514E-09,9.5407E-10,-1.3900000000000001E-12,9.7742E-07,-9.7298E-07
0.325,0,-5.5865E-09,9.9226E-10,-1.6200000000000002E-12,9.7766E-07,-9.7274E-07
0.33,0,-5.627E-09,1.03244E-09,-1.1600000000000001E-12,9.7774E-07,-9.7308E-07
0.335,0,-5.6629E-09,1.0759200000000002E-09,7.7000000000000005E-13,9.775E-07,-9.7303999999999988E-07
0.34,0,-5.7075E-09,1.1253E-09,-6.8E-13,9.7807999999999987E-07,-9.7328E-07
