Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	7.31199999999999e-08	4.93999999999991e-08	4.30400000000006e-08	-2.32399999999993e-08	-2.60000000000001e-07	-1.24000000000003e-07
-0.295	5.21166666666666e-08	4.66899999999995e-08	4.19133333333335e-08	1.14000000000054e-09	-1.38666666666667e-07	-4.46666666666679e-08
-0.29	4.0706e-08	4.09319999999997e-08	3.70280000000003e-08	1.73560000000004e-08	-5.67999999999999e-08	-2.02000000000009e-08
-0.285	2.97240000000001e-08	3.51819999999999e-08	3.61720000000002e-08	2.93980000000002e-08	4.20000000000027e-09	3.39999999999992e-09
-0.28	2.13080000000001e-08	3.0116e-08	3.62240000000001e-08	3.98900000000002e-08	4.42000000000003e-08	3.12000000000002e-08
-0.275	1.985e-08	2.90759999999999e-08	3.72300000000001e-08	4.7862e-08	5.22000000000001e-08	3.60000000000001e-08
-0.27	2.0454e-08	2.74819999999999e-08	4.1244e-08	4.97259999999999e-08	4.91999999999998e-08	2.92000000000002e-08
-0.265	2.02639999999999e-08	2.491e-08	4.63759999999998e-08	4.4904e-08	4.87999999999997e-08	4.00000000000003e-08
-0.26	2.0708e-08	2.75000000000001e-08	4.50439999999998e-08	4.3952e-08	5.39999999999998e-08	5.72e-08
-0.255	2.1804e-08	3.21e-08	3.79499999999999e-08	4.43859999999999e-08	6.61999999999998e-08	5.75999999999999e-08
-0.25	2.29419999999999e-08	3.3184e-08	3.65760000000001e-08	3.69160000000001e-08	6.99999999999998e-08	6.12e-08
-0.245	2.24059999999999e-08	3.44880000000001e-08	3.86420000000001e-08	3.19440000000002e-08	6.55999999999998e-08	8.24e-08
-0.24	2.1006e-08	3.8864e-08	3.75540000000001e-08	3.7646e-08	7.08000000000001e-08	9.52e-08
-0.235	2.1234e-08	4.06439999999999e-08	4.06660000000002e-08	4.58979999999999e-08	7.62000000000001e-08	1.012e-07
-0.23	2.233e-08	3.756e-08	4.7904e-08	5.005e-08	7.42e-08	1.128e-07
-0.225	2.3386e-08	3.5698e-08	5.16859999999998e-08	5.32019999999998e-08	7.96e-08	1.152e-07
-0.22	2.4974e-08	3.48219999999999e-08	5.35719999999998e-08	5.81199999999997e-08	8.66000000000001e-08	1.164e-07
-0.215	2.653e-08	3.31019999999999e-08	5.59699999999999e-08	6.46999999999999e-08	8.06e-08	1.242e-07
-0.21	2.7994e-08	3.5936e-08	5.90139999999999e-08	6.8982e-08	7.32e-08	1.242e-07
-0.205	2.9032e-08	4.0372e-08	6.30160000000001e-08	7.0266e-08	7.1e-08	1.208e-07
-0.2	2.9638e-08	4.2148e-08	6.47180000000002e-08	7.64340000000001e-08	7.1e-08	1.192e-07
-0.195	3.0604e-08	4.67200000000002e-08	6.60100000000002e-08	8.95540000000001e-08	8.06000000000001e-08	1.176e-07
-0.19	3.125e-08	5.10700000000002e-08	7.09480000000001e-08	9.53079999999999e-08	9.43999999999999e-08	1.248e-07
-0.185	3.259e-08	5.26680000000002e-08	7.3536e-08	9.17299999999999e-08	1.06e-07	1.376e-07
-0.18	3.57340000000001e-08	5.66880000000002e-08	7.3458e-08	9.68500000000001e-08	1.222e-07	1.548e-07
-0.175	3.76160000000001e-08	6.2092e-08	7.83499999999999e-08	1.08414e-07	1.366e-07	1.724e-07
-0.17	3.8736e-08	6.73859999999999e-08	8.81e-08	1.14804e-07	1.384e-07	1.806e-07
-0.165	4.3044e-08	7.20099999999999e-08	9.50700000000001e-08	1.18368e-07	1.374e-07	1.856e-07
-0.16	4.7598e-08	7.52079999999999e-08	9.86700000000001e-08	1.22714e-07	1.46e-07	1.894e-07
-0.155	4.9512e-08	7.8404e-08	1.04978e-07	1.27468e-07	1.578e-07	1.956e-07
-0.15	5.2518e-08	8.23960000000001e-08	1.13898e-07	1.33914e-07	1.702e-07	2.164e-07
-0.145	5.81820000000001e-08	8.7222e-08	1.20696e-07	1.43542e-07	1.902e-07	2.38000000000001e-07
-0.14	6.4128e-08	9.4504e-08	1.26318e-07	1.59522e-07	2.126e-07	2.476e-07
