Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	1.54222e-06	0.0001532652	0.00604596	0.02236766	0.019332	0.0205704
0.005	1.43986e-06	0.0001492578	0.00577667333333333	0.0248521733333333	0.0369403333333333	0.0464863666666667
0.01	1.258308e-06	0.00013306588	0.005368224	0.025145384	0.0429294	0.05616124
0.015	1.100788e-06	0.00011888284	0.004984872	0.025373652	0.0484098	0.06491216
0.02	9.32673e-07	0.00010220886	0.004552858	0.024978023	0.0506942	0.06912478
0.025	7.80444e-07	8.53652e-05	0.00412986	0.02379188	0.048299	0.06651642
0.03	6.54638e-07	7.1166e-05	0.00373278	0.022603	0.0458794	0.0637312
0.035	5.51096e-07	5.9749e-05	0.00335684	0.0216804	0.0450178	0.063087
0.04	4.6453e-07	5.0166e-05	0.0030038	0.0207728	0.044129	0.062384
0.045	3.9117e-07	4.208e-05	0.0026842	0.0198836	0.04321	0.061666
0.05	3.29812e-07	3.535e-05	0.0023998	0.0190074	0.042312	0.060958
0.055	2.79552e-07	2.9804e-05	0.0021386	0.0181428	0.041442	0.06025
0.06	2.3801e-07	2.5052e-05	0.0018998	0.0173068	0.04057	0.059578
0.065	2.02786e-07	2.117e-05	0.0016886	0.0164926	0.039702	0.058944
0.07	1.73078e-07	1.8031e-05	0.0014994	0.0156786	0.038842	0.058286
0.075	1.4906e-07	1.5073e-05	0.001326	0.014878	0.037958	0.057598
0.08	1.2918e-07	1.2508e-05	0.0011718	0.01411	0.03706	0.056906
0.085	1.12194e-07	1.0734e-05	0.0010376	0.013364	0.036156	0.056168
0.09	9.87439999999998e-08	9.393e-06	0.000918800000000001	0.012638	0.035246	0.0554
0.095	8.6818e-08	8.16800000000002e-06	0.000810600000000001	0.011932	0.03432	0.054614
0.1	7.58660000000001e-08	7.06400000000001e-06	0.000713800000000001	0.011258	0.03341	0.053822
0.105	6.79540000000001e-08	6.085e-06	0.000628400000000001	0.010616	0.032504	0.053014
0.11	6.07700000000002e-08	5.28700000000001e-06	0.0005518	0.009986	0.031582	0.05222
0.115	5.35400000000001e-08	4.52200000000001e-06	0.0004852	0.009374	0.030686	0.051474
0.12	4.8134e-08	3.805e-06	0.0004284	0.00880999999999999	0.029824	0.050732
0.125	4.2874e-08	3.55800000000001e-06	0.0003792	0.00827199999999999	0.028958	0.049958
0.13	3.7346e-08	3.60900000000002e-06	0.000337	0.00774199999999999	0.028088	0.049168
0.135	3.3546e-08	3.22200000000001e-06	0.000298599999999999	0.007242	0.02724	0.048376
0.14	3.0334e-08	2.57999999999999e-06	0.0002622	0.00676399999999999	0.026396	0.047558
0.145	2.79460000000001e-08	2.28299999999998e-06	0.0002324	0.006304	0.025544	0.046722
0.15	2.704e-08	2.08299999999999e-06	0.0002102	0.00587000000000001	0.024672	0.045838
0.155	2.56319999999999e-08	1.68299999999999e-06	0.0001912	0.00545600000000001	0.023802	0.044974
0.16	2.48019999999999e-08	1.575e-06	0.0001756	0.00507400000000001	0.022974	0.044166
0.165	2.4304e-08	1.73600000000001e-06	0.0001646	0.00473000000000001	0.02217	0.04334
0.17	2.2648e-08	1.67100000000001e-06	0.0001534	0.00438600000000001	0.021362	0.042518
0.175	2.2272e-08	1.65200000000001e-06	0.00014	0.00405200000000001	0.020586	0.04176
0.18	2.2856e-08	1.705e-06	0.000127800000000001	0.003752	0.019846	0.040982
0.185	2.22400000000001e-08	1.56599999999999e-06	0.0001174	0.00346599999999999	0.019078	0.040116
0.19	2.18960000000001e-08	1.41499999999999e-06	0.0001066	0.00319999999999999	0.018296	0.039226
0.195	2.20380000000001e-08	1.32199999999999e-06	9.67999999999998e-05	0.00297799999999999	0.017552	0.038334
0.2	2.10320000000001e-08	1.207e-06	8.88000000000001e-05	0.00277599999999999	0.016834	0.037474
0.205	1.9962e-08	1.19399999999998e-06	8.32000000000003e-05	0.002578	0.01612	0.036628
0.21	1.9376e-08	1.22899999999999e-06	8.23999999999996e-05	0.00240000000000001	0.015432	0.035792
0.215	1.88179999999999e-08	1.12800000000001e-06	8.21999999999997e-05	0.00222800000000001	0.014778	0.035114
0.22	1.85839999999999e-08	1.136e-06	8.18000000000004e-05	0.00204800000000001	0.014138	0.03456
0.225	1.81379999999999e-08	1.267e-06	8.36000000000001e-05	0.00188800000000001	0.01351	0.03386
0.23	1.84499999999999e-08	1.33200000000002e-06	8.15999999999995e-05	0.00176	0.012902	0.033048
0.235	1.87479999999999e-08	1.46400000000001e-06	7.35999999999999e-05	0.001628	0.012308	0.032232
0.24	1.7638e-08	1.56099999999999e-06	6.82e-05	0.001502	0.011736	0.0312700000000001
0.245	1.6878e-08	1.40699999999999e-06	6.63999999999998e-05	0.00141	0.01121	0.030206
0.25	1.70379999999999e-08	1.18899999999999e-06	6.34000000000002e-05	0.001332	0.010694	0.02926
0.255	1.64319999999999e-08	1.16499999999999e-06	6.36000000000006e-05	0.00125599999999999	0.010162	0.02844
0.26	1.604e-08	9.82000000000001e-07	6.72000000000004e-05	0.00119	0.00965200000000001	0.0276
0.265	1.7166e-08	7.49000000000007e-07	6.86000000000002e-05	0.00112599999999999	0.00917400000000001	0.0267799999999999
0.27	1.85180000000001e-08	1.006e-06	6.90000000000001e-05	0.001064	0.008714	0.02604
0.275	1.95120000000002e-08	1.268e-06	6.99999999999996e-05	0.001014	0.00827	0.02532
