I/V Sweep,id_vgs
RecordTime,08/01/2024 09:13:25
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-1.1626000000000001E-10,-3.8694E-09,-7.21E-12,5.9024E-07,-5.8626E-07
-0.29500000000000004,0,-1.1701000000000002E-10,-3.4587E-09,-5.3200000000000008E-12,5.9042E-07,-5.8654E-07
-0.29000000000000004,0,-1.1839000000000002E-10,-3.0967E-09,-9.44E-12,5.9044E-07,-5.8714E-07
-0.28500000000000003,0,-1.1774E-10,-2.7731E-09,-1.4560000000000003E-11,5.9058E-07,-5.8786E-07
-0.28,0,-1.2462E-10,-2.4875E-09,-6.21E-12,5.9062E-07,-5.8814E-07
-0.275,0,-1.2364E-10,-2.2351E-09,-1.783E-11,5.908E-07,-5.8822E-07
-0.27,0,-1.2402E-10,-2.0061E-09,-1.4080000000000001E-11,5.906E-07,-5.8862E-07
-0.265,0,-1.2397E-10,-1.798E-09,-1.577E-11,5.9102E-07,-5.888E-07
-0.26,0,-1.266E-10,-1.6142E-09,-1.8800000000000002E-11,5.908E-07,-5.8892E-07
-0.255,0,-1.2553E-10,-1.4462E-09,-1.808E-11,5.9078E-07,-5.8922E-07
-0.25,0,-1.2703E-10,-1.296E-09,-2.129E-11,5.9072E-07,-5.8922E-07
-0.24500000000000002,0,-1.2893000000000001E-10,-1.1636E-09,-2.3440000000000002E-11,5.9066E-07,-5.8934E-07
-0.24000000000000002,0,-1.2862000000000002E-10,-1.0456E-09,-1.921E-11,5.9081999999999994E-07,-5.895E-07
-0.23500000000000001,0,-1.2708000000000002E-10,-9.3631E-10,-2.316E-11,5.906E-07,-5.8966E-07
-0.23,0,-1.2905E-10,-8.3692E-10,-2.921E-11,5.908E-07,-5.8948E-07
-0.225,0,-1.3136E-10,-7.514100000000001E-10,-2.336E-11,5.9092E-07,-5.8978E-07
-0.22,0,-1.3053000000000001E-10,-6.7606E-10,-2.835E-11,5.9064E-07,-5.8976E-07
-0.215,0,-1.3139E-10,-6.0497E-10,-2.9010000000000002E-11,5.9056E-07,-5.8974E-07
-0.21000000000000002,0,-1.31E-10,-5.4171000000000009E-10,-2.982E-11,5.9084E-07,-5.9008E-07
-0.20500000000000002,0,-1.3045E-10,-4.8718000000000007E-10,-3.205E-11,5.9081999999999994E-07,-5.9034E-07
-0.2,0,-1.3007000000000002E-10,-4.3683000000000003E-10,-3.0610000000000005E-11,5.9086E-07,-5.9025999999999994E-07
-0.195,0,-1.3316E-10,-3.9156000000000004E-10,-3.488E-11,5.9068E-07,-5.9008E-07
-0.19,0,-1.3232000000000002E-10,-3.516E-10,-3.139E-11,5.908E-07,-5.9022E-07
-0.185,0,-1.3321E-10,-3.1277000000000005E-10,-3.6730000000000005E-11,5.9066E-07,-5.903E-07
-0.18000000000000002,0,-1.3292000000000002E-10,-2.822E-10,-3.8040000000000005E-11,5.9092E-07,-5.9052E-07
-0.17500000000000002,0,-1.357E-10,-2.5399E-10,-3.3740000000000004E-11,5.9078E-07,-5.9046E-07
-0.17,0,-1.3338E-10,-2.2682000000000002E-10,-4.3030000000000005E-11,5.9119999999999995E-07,-5.9032E-07
-0.165,0,-1.3342000000000002E-10,-2.0374E-10,-3.999E-11,5.91E-07,-5.9048E-07
-0.16,0,-1.3053000000000001E-10,-1.8275000000000002E-10,-4.192E-11,5.9092E-07,-5.9068E-07
-0.155,0,-1.3116000000000002E-10,-1.6431000000000003E-10,-3.988E-11,5.9108E-07,-5.9048E-07
-0.15,0,-1.3236000000000002E-10,-1.4581E-10,-4.6270000000000005E-11,5.91E-07,-5.907E-07
-0.14500000000000002,0,-1.3467E-10,-1.3157000000000002E-10,-4.753E-11,5.9116E-07,-5.904E-07
-0.14,0,-1.3306E-10,-1.2088E-10,-4.304E-11,5.9109999999999994E-07,-5.9053999999999994E-07
-0.135,0,-1.3177E-10,-1.0610000000000001E-10,-4.8520000000000004E-11,5.9104E-07,-5.9053999999999994E-07
-0.13,0,-1.2972000000000002E-10,-9.592E-11,-5.008E-11,5.9126E-07,-5.9084E-07
-0.125,0,-1.3038000000000002E-10,-8.5450000000000013E-11,-5.4380000000000004E-11,5.9114E-07,-5.908E-07
-0.12000000000000001,0,-1.3227E-10,-7.805E-11,-5.696E-11,5.9084E-07,-5.9053999999999994E-07
-0.115,0,-1.2790000000000002E-10,-6.996000000000001E-11,-5.2900000000000006E-11,5.9086E-07,-5.907E-07
-0.11,0,-1.2534E-10,-6.210000000000001E-11,-5.9020000000000007E-11,5.9109999999999994E-07,-5.9044E-07
-0.10500000000000001,0,-1.2587E-10,-5.6500000000000005E-11,-6.138E-11,5.9146E-07,-5.9084E-07
-0.1,0,-1.2323E-10,-5.0940000000000007E-11,-6.179E-11,5.9102E-07,-5.9036E-07
-0.095,0,-1.1864000000000002E-10,-4.4590000000000004E-11,-7.383E-11,5.913E-07,-5.9098E-07
-0.090000000000000011,0,-1.1801000000000001E-10,-4.213E-11,-6.455E-11,5.9114E-07,-5.9064E-07
-0.085,0,-1.1455000000000001E-10,-3.5890000000000005E-11,-7.48E-11,5.9098E-07,-5.905E-07
