I/V Sweep,id_vgs_2
RecordTime,08/01/2024 09:11:20
Device ID,
Count,2
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-1.164E-10,-3.9252E-09,-1.0110000000000001E-11,5.9068E-07,-5.866E-07
-0.29500000000000004,0,-1.1487000000000001E-10,-3.4995E-09,-1.1510000000000001E-11,5.9066E-07,-5.8704E-07
-0.29000000000000004,0,-1.1873E-10,-3.1406E-09,-1.2870000000000002E-11,5.9072E-07,-5.8756E-07
-0.28500000000000003,0,-1.1752E-10,-2.819E-09,-1.2160000000000002E-11,5.9094E-07,-5.882E-07
-0.28,0,-1.1785E-10,-2.5345E-09,-1.823E-11,5.9098E-07,-5.8806E-07
-0.275,0,-1.2134000000000002E-10,-2.2621E-09,-1.6850000000000002E-11,5.9096E-07,-5.8878E-07
-0.27,0,-1.2245E-10,-2.0335E-09,-2.0020000000000002E-11,5.9096E-07,-5.8888E-07
-0.265,0,-1.1979E-10,-1.8167E-09,-2.2590000000000003E-11,5.909E-07,-5.89E-07
-0.26,0,-1.2282000000000002E-10,-1.6316E-09,-1.522E-11,5.9119999999999995E-07,-5.891E-07
-0.255,0,-1.2345E-10,-1.4579E-09,-3.0970000000000004E-11,5.9119999999999995E-07,-5.896E-07
-0.25,0,-1.2536000000000002E-10,-1.313E-09,-2.0750000000000003E-11,5.9119999999999995E-07,-5.8952E-07
-0.24500000000000002,0,-1.2192E-10,-1.1774E-09,-2.6060000000000002E-11,5.9132E-07,-5.8994E-07
-0.24000000000000002,0,-1.2527E-10,-1.0489E-09,-3.11E-11,5.9108E-07,-5.8984E-07
-0.23500000000000001,0,-1.2695E-10,-9.3833E-10,-2.879E-11,5.9108E-07,-5.8994E-07
-0.23,0,-1.2579E-10,-8.4530000000000007E-10,-2.766E-11,5.915E-07,-5.903E-07
-0.225,0,-1.2632E-10,-7.5684E-10,-3.029E-11,5.9104E-07,-5.9036E-07
-0.22,0,-1.2822E-10,-6.8106E-10,-3.3520000000000004E-11,5.9116E-07,-5.9052E-07
-0.215,0,-1.2774000000000002E-10,-6.0841000000000007E-10,-3.142E-11,5.9122E-07,-5.9066E-07
-0.21000000000000002,0,-1.2968E-10,-5.4567E-10,-3.47E-11,5.9126E-07,-5.9042E-07
-0.20500000000000002,0,-1.3075000000000001E-10,-4.8985E-10,-3.205E-11,5.9116E-07,-5.908E-07
-0.2,0,-1.2804E-10,-4.3904E-10,-3.6100000000000003E-11,5.9126E-07,-5.9052E-07
-0.195,0,-1.293E-10,-3.9277000000000003E-10,-3.646E-11,5.9116E-07,-5.9038E-07
-0.19,0,-1.2952E-10,-3.5291E-10,-3.7010000000000003E-11,5.9119999999999995E-07,-5.9084E-07
-0.185,0,-1.3422E-10,-3.1462000000000005E-10,-4.2340000000000006E-11,5.9156E-07,-5.9102E-07
-0.18000000000000002,0,-1.3078E-10,-2.8394E-10,-3.7050000000000004E-11,5.9144E-07,-5.9078E-07
-0.17500000000000002,0,-1.3071E-10,-2.5292000000000004E-10,-4.5000000000000006E-11,5.9147999999999995E-07,-5.9096E-07
-0.17,0,-1.3122000000000001E-10,-2.2861000000000003E-10,-4.2480000000000005E-11,5.9128E-07,-5.9072E-07
-0.165,0,-1.3215E-10,-2.0455E-10,-4.669E-11,5.9124E-07,-5.9074E-07
-0.16,0,-1.303E-10,-1.8264E-10,-4.7840000000000006E-11,5.9128E-07,-5.907E-07
-0.155,0,-1.3029000000000002E-10,-1.6468000000000002E-10,-4.356E-11,5.9128E-07,-5.9098E-07
-0.15,0,-1.3159E-10,-1.4661000000000002E-10,-5.473E-11,5.9132E-07,-5.9108E-07
-0.14500000000000002,0,-1.2915000000000001E-10,-1.3286000000000002E-10,-4.607E-11,5.9122E-07,-5.9104E-07
-0.14,0,-1.2481E-10,-1.1867000000000002E-10,-5.4790000000000005E-11,5.9132E-07,-5.9088E-07
-0.135,0,-1.2945E-10,-1.0709E-10,-5.627E-11,5.915E-07,-5.9124E-07
-0.13,0,-1.2755000000000001E-10,-9.639E-11,-5.4860000000000005E-11,5.913E-07,-5.9092E-07
-0.125,0,-1.2688E-10,-8.4850000000000009E-11,-6.446E-11,5.9184E-07,-5.9132E-07
-0.12000000000000001,0,-1.2409E-10,-7.775E-11,-5.776E-11,5.9156E-07,-5.9106E-07
-0.115,0,-1.2343E-10,-6.8340000000000006E-11,-6.7760000000000007E-11,5.9154E-07,-5.9108E-07
-0.11,0,-1.2333E-10,-6.303E-11,-6.551E-11,5.9162E-07,-5.9109999999999994E-07
-0.10500000000000001,0,-1.1779000000000001E-10,-5.6530000000000004E-11,-6.386E-11,5.9128E-07,-5.9102E-07
-0.1,0,-1.1042E-10,-4.9610000000000004E-11,-7.717E-11,5.9124E-07,-5.9102E-07
-0.095,0,-1.1339000000000001E-10,-4.7360000000000005E-11,-7.078E-11,5.9104E-07,-5.91E-07
-0.090000000000000011,0,-1.0582E-10,-3.937E-11,-8.8960000000000009E-11,5.9126E-07,-5.9096E-07
-0.085,0,-1.0251E-10,-3.783E-11,-8.519E-11,5.9144E-07,-5.9118E-07
-0.08,0,-9.63E-11,-3.365E-11,-9.289E-11,5.9136E-07,-5.9112E-07
-0.075,0,-9.346E-11,-2.935E-11,-1.0346000000000001E-10,5.9134E-07,-5.9122E-07
-0.07,0,-8.2810000000000009E-11,-2.899E-11,-1.0582E-10,5.9108E-07,-5.906E-07
-0.065,0,-7.1510000000000007E-11,-2.555E-11,-1.1716E-10,5.9106E-07,-5.9104E-07
-0.060000000000000005,0,-6.553E-11,-2.067E-11,-1.2656E-10,5.9106E-07,-5.9086E-07
