Vgs	Gm_Vds=0.15V	Gm_Vds=0.3V	Gm_Vds=0.45V	Gm_Vds=0.6V	Gm_Vds=0.75V	Gm_Vds=0.9V
-0.3	-1.76000000000004e-09	-6.37999999999988e-09	-1.18200000000002e-08	-1.94799999999998e-08	-3.28399999999996e-08	-3.54000000000004e-08
-0.295	-2.24333333333334e-09	-6.10333333333327e-09	-1.10766666666668e-08	-1.76733333333332e-08	-2.67999999999998e-08	-3.18233333333336e-08
-0.29	-2.57400000000001e-09	-5.68699999999998e-09	-9.7690000000001e-09	-1.581e-08	-2.31219999999998e-08	-2.94800000000002e-08
-0.285	-2.833e-09	-5.71999999999999e-09	-9.09600000000005e-09	-1.4948e-08	-2.08779999999999e-08	-2.75420000000001e-08
-0.28	-2.714e-09	-5.505e-09	-8.69200000000001e-09	-1.3966e-08	-1.8802e-08	-2.7424e-08
-0.275	-2.67700000000001e-09	-5.30200000000001e-09	-8.149e-09	-1.2928e-08	-1.8196e-08	-2.7524e-08
-0.27	-2.90200000000002e-09	-5.39000000000001e-09	-7.757e-09	-1.245e-08	-1.85700000000001e-08	-2.6674e-08
-0.265	-2.89400000000001e-09	-5.208e-09	-7.62199999999999e-09	-1.2208e-08	-1.86400000000001e-08	-2.3264e-08
-0.26	-2.78e-09	-4.76600000000001e-09	-7.32899999999998e-09	-1.1678e-08	-1.8176e-08	-1.9594e-08
-0.255	-2.70699999999999e-09	-4.67600000000001e-09	-6.886e-09	-1.127e-08	-1.7728e-08	-2.136e-08
-0.25	-2.48299999999999e-09	-4.763e-09	-7.02e-09	-1.1212e-08	-1.799e-08	-2.4522e-08
-0.245	-2.27399999999999e-09	-4.755e-09	-7.36999999999997e-09	-1.11e-08	-1.8332e-08	-2.509e-08
-0.24	-2.07499999999999e-09	-4.566e-09	-7.24499999999998e-09	-1.098e-08	-1.76419999999999e-08	-2.7294e-08
-0.235	-1.87e-09	-4.26e-09	-7.09200000000001e-09	-1.0902e-08	-1.639e-08	-2.983e-08
-0.23	-1.90800000000002e-09	-4.03e-09	-7.09700000000002e-09	-1.0888e-08	-1.3486e-08	-2.6864e-08
-0.225	-2.00600000000001e-09	-3.752e-09	-6.92100000000001e-09	-1.1148e-08	-1.11660000000001e-08	-2.2544e-08
-0.22	-1.70500000000001e-09	-3.492e-09	-6.041e-09	-1.129e-08	-1.2856e-08	-2.1312e-08
-0.215	-1.308e-09	-3.53099999999999e-09	-5.46799999999999e-09	-1.0868e-08	-1.42140000000001e-08	-2.227e-08
-0.21	-9.00000000000002e-10	-3.795e-09	-6.17499999999997e-09	-1.0196e-08	-1.4588e-08	-2.2926e-08
-0.205	-3.25000000000004e-10	-3.86300000000001e-09	-5.53299999999997e-09	-9.744e-09	-1.775e-08	-2.1972e-08
-0.2	-1.62000000000008e-10	-3.64000000000001e-09	-4.06199999999998e-09	-9.44399999999997e-09	-1.9898e-08	-2.1436e-08
-0.195	-6.24000000000009e-10	-3.234e-09	-5.38200000000001e-09	-9.11599999999997e-09	-1.705e-08	-2.0558e-08
-0.19	-1.204e-09	-2.785e-09	-6.87600000000001e-09	-9.054e-09	-1.42939999999999e-08	-1.9042e-08
-0.185	-1.61699999999999e-09	-2.406e-09	-4.83699999999999e-09	-9.17400000000002e-09	-1.3882e-08	-1.8744e-08
-0.18	-1.85299999999998e-09	-2.164e-09	-3.974e-09	-8.75800000000002e-09	-1.3164e-08	-1.8752e-08
-0.175	-1.64599999999998e-09	-2.2e-09	-6.42300000000001e-09	-8.28000000000001e-09	-1.2262e-08	-1.8452e-08
-0.17	-1.07599999999999e-09	-2.29899999999999e-09	-6.87300000000001e-09	-8.4e-09	-1.17940000000001e-08	-1.9204e-08
-0.165	-4.48999999999993e-10	-2.31399999999999e-09	-5.673e-09	-8.29199999999998e-09	-1.1774e-08	-1.972e-08
