vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	2.5679e-10	-4.5871e-09	2.4257e-10	5.8746e-07	-5.8326e-07	4.2472e-09	-5.1462e-09	-1.354e-09	5.8786e-07	-5.857e-07	6.4958e-09	-6.111e-09	-1.8207e-09	5.8884e-07	-5.8736e-07	9.3153e-09	-7.5707e-09	-2.1772e-09	5.8912e-07	-5.8864e-07	1.32358e-08	-9.6705e-09	-2.529e-09	5.9018e-07	-5.9132e-07	1.86746e-08	-1.24864e-08	-2.8384e-09	5.915e-07	-5.9494e-07	2.6222e-08	-1.61544e-08	-3.1598e-09	5.917e-07	-5.9838e-07
-0.295	2.4513e-10	-4.1329e-09	2.3653e-10	5.8764e-07	-5.8416e-07	4.2384e-09	-4.702e-09	-1.3689e-09	5.8822e-07	-5.8664e-07	6.4639e-09	-5.6595e-09	-1.8571e-09	5.8848e-07	-5.874e-07	9.2562e-09	-7.1086e-09	-2.2025e-09	5.8928e-07	-5.8924e-07	1.31384e-08	-9.1731e-09	-2.5405e-09	5.903e-07	-5.9152e-07	1.85104e-08	-1.1938e-08	-2.87e-09	5.917e-07	-5.951e-07	2.6045e-08	-1.55698e-08	-3.1801e-09	5.9138e-07	-5.987e-07
-0.29	2.3674e-10	-3.7622e-09	2.1967e-10	5.8774e-07	-5.84e-07	4.2202e-09	-4.3178e-09	-1.3882e-09	5.8824e-07	-5.867e-07	6.4346e-09	-5.246e-09	-1.8768e-09	5.8876e-07	-5.8762e-07	9.2039e-09	-6.6775e-09	-2.2391e-09	5.8962e-07	-5.8946e-07	1.30666e-08	-8.7166e-09	-2.5643e-09	5.9002e-07	-5.9182e-07	1.8429e-08	-1.14666e-08	-2.8958e-09	5.9114e-07	-5.95e-07	2.59294e-08	-1.50814e-08	-3.2246e-09	5.912e-07	-5.987e-07
-0.285	2.2244e-10	-3.4118e-09	2.0603e-10	5.8746e-07	-5.8444e-07	4.2106e-09	-3.9529e-09	-1.4037e-09	5.885e-07	-5.8698e-07	6.4115e-09	-4.8689e-09	-1.9023e-09	5.8872e-07	-5.8842e-07	9.169e-09	-6.2752e-09	-2.2678e-09	5.892e-07	-5.8984e-07	1.30008e-08	-8.2964e-09	-2.5828e-09	5.9018e-07	-5.9198e-07	1.83788e-08	-1.10198e-08	-2.9347e-09	5.91e-07	-5.9524e-07	2.57828e-08	-1.46002e-08	-3.2585e-09	5.9096e-07	-5.988e-07
-0.28	2.0649e-10	-3.0977e-09	1.9902e-10	5.8762e-07	-5.8504e-07	4.193e-09	-3.6319e-09	-1.4293e-09	5.8818e-07	-5.8744e-07	6.3934e-09	-4.5415e-09	-1.9068e-09	5.8898e-07	-5.8868e-07	9.1245e-09	-5.9196e-09	-2.2912e-09	5.8914e-07	-5.9014e-07	1.29474e-08	-7.9222e-09	-2.623e-09	5.8982e-07	-5.9206e-07	1.8259e-08	-1.06184e-08	-2.9639e-09	5.9064e-07	-5.9532e-07	2.56522e-08	-1.41706e-08	-3.2803e-09	5.9108e-07	-5.9926e-07
-0.275	2.003e-10	-2.8085e-09	1.8524e-10	5.8796e-07	-5.854e-07	4.17e-09	-3.3297e-09	-1.456e-09	5.8844e-07	-5.8784e-07	6.3438e-09	-4.2315e-09	-1.9547e-09	5.8888e-07	-5.887e-07	9.1027e-09	-5.5979e-09	-2.3276e-09	5.8904e-07	-5.8992e-07	1.28562e-08	-7.5675e-09	-2.6393e-09	5.8964e-07	-5.9232e-07	1.81462e-08	-1.02448e-08	-2.9878e-09	5.907e-07	-5.9562e-07	2.55608e-08	-1.37666e-08	-3.3266e-09	5.9116e-07	-5.9928e-07
-0.27	1.8129e-10	-2.5613e-09	1.7952e-10	5.8822e-07	-5.857e-07	4.1725e-09	-3.0745e-09	-1.4739e-09	5.8828e-07	-5.8796e-07	6.3302e-09	-3.9488e-09	-1.9654e-09	5.8848e-07	-5.8918e-07	9.0217e-09	-5.2949e-09	-2.3289e-09	5.889e-07	-5.9028e-07	1.27886e-08	-7.2449e-09	-2.6698e-09	5.8942e-07	-5.9232e-07	1.80592e-08	-9.8904e-09	-3.0124e-09	5.9074e-07	-5.956e-07	2.536e-08	-1.33982e-08	-3.3581e-09	5.912e-07	-5.9962e-07
-0.265	1.7394e-10	-2.3262e-09	1.6518e-10	5.8774e-07	-5.8596e-07	4.1578e-09	-2.825e-09	-1.4908e-09	5.8848e-07	-5.8806e-07	6.3035e-09	-3.6892e-09	-1.9944e-09	5.8868e-07	-5.8928e-07	9.0163e-09	-5.0238e-09	-2.364e-09	5.8934e-07	-5.9052e-07	1.27492e-08	-6.9567e-09	-2.7033e-09	5.8974e-07	-5.926e-07	1.79796e-08	-9.5683e-09	-3.0407e-09	5.906e-07	-5.9554e-07	2.52182e-08	-1.30462e-08	-3.3811e-09	5.9098e-07	-5.9984e-07
-0.26	1.596e-10	-2.1152e-09	1.5607e-10	5.8774e-07	-5.8578e-07	4.1336e-09	-2.6121e-09	-1.5008e-09	5.8818e-07	-5.8796e-07	6.2772e-09	-3.4598e-09	-2.0111e-09	5.8856e-07	-5.891e-07	8.9638e-09	-4.7781e-09	-2.3946e-09	5.892e-07	-5.9074e-07	1.26926e-08	-6.6744e-09	-2.7402e-09	5.8924e-07	-5.9234e-07	1.79092e-08	-9.2765e-09	-3.0692e-09	5.9026e-07	-5.9594e-07	2.51378e-08	-1.27186e-08	-3.4034e-09	5.9068e-07	-5.996e-07
-0.255	1.52e-10	-1.9275e-09	1.4652e-10	5.8776e-07	-5.8604e-07	4.1192e-09	-2.4107e-09	-1.5317e-09	5.8852e-07	-5.888e-07	6.2541e-09	-3.2444e-09	-2.0425e-09	5.888e-07	-5.8968e-07	8.9468e-09	-4.5539e-09	-2.4195e-09	5.8912e-07	-5.9104e-07	1.26362e-08	-6.4295e-09	-2.7693e-09	5.8954e-07	-5.9292e-07	1.77906e-08	-8.9788e-09	-3.1013e-09	5.9018e-07	-5.9578e-07	2.4986e-08	-1.24028e-08	-3.4459e-09	5.909e-07	-5.997e-07
-0.25	1.3999e-10	-1.7591e-09	1.3882e-10	5.8762e-07	-5.8618e-07	4.1052e-09	-2.2277e-09	-1.5457e-09	5.8836e-07	-5.885e-07	6.2359e-09	-3.0522e-09	-2.0529e-09	5.886e-07	-5.8954e-07	8.9011e-09	-4.3425e-09	-2.4406e-09	5.8912e-07	-5.9096e-07	1.2566e-08	-6.1877e-09	-2.7973e-09	5.8962e-07	-5.9312e-07	1.76886e-08	-8.7312e-09	-3.1331e-09	5.9002e-07	-5.9592e-07	2.52118e-08	-1.20976e-08	-3.4837e-09	5.9108e-07	-6.0004e-07
-0.245	1.2845e-10	-1.6037e-09	1.2587e-10	5.8754e-07	-5.8626e-07	4.0979e-09	-2.0633e-09	-1.5623e-09	5.8822e-07	-5.8868e-07	6.2087e-09	-2.8746e-09	-2.091e-09	5.8834e-07	-5.9004e-07	8.8697e-09	-4.1457e-09	-2.474e-09	5.8882e-07	-5.91e-07	1.25124e-08	-5.9662e-09	-2.8148e-09	5.8958e-07	-5.9316e-07	1.76252e-08	-8.4911e-09	-3.1587e-09	5.9036e-07	-5.9616e-07	2.47648e-08	-1.183e-08	-3.51e-09	5.905e-07	-6.0016e-07
-0.24	1.1681e-10	-1.4644e-09	1.1923e-10	5.8788e-07	-5.8648e-07	4.1011e-09	-1.9138e-09	-1.5845e-09	5.885e-07	-5.89e-07	6.1868e-09	-2.715e-09	-2.1068e-09	5.8886e-07	-5.9e-07	8.8333e-09	-3.9629e-09	-2.5127e-09	5.8898e-07	-5.9138e-07	1.24648e-08	-5.7707e-09	-2.8373e-09	5.8924e-07	-5.9328e-07	1.75324e-08	-8.2686e-09	-3.1758e-09	5.903e-07	-5.964e-07	2.46216e-08	-1.15664e-08	-3.5312e-09	5.909e-07	-6.0014e-07
