vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	2.6371e-10	-4.5597e-09	2.4267e-10	5.863e-07	-5.8248e-07	8.3738e-10	-4.5751e-09	-6.44e-12	5.8728e-07	-5.8362e-07	1.3172e-09	-4.616e-09	-2.0537e-10	5.8762e-07	-5.8408e-07	1.7152e-09	-4.6174e-09	-3.7886e-10	5.8756e-07	-5.839e-07	2.0706e-09	-4.6528e-09	-5.2668e-10	5.88e-07	-5.8452e-07	2.3647e-09	-4.6994e-09	-6.52e-10	5.8808e-07	-5.8506e-07	2.6309e-09	-4.7289e-09	-7.6271e-10	5.8768e-07	-5.8512e-07	2.8637e-09	-4.7465e-09	-8.5536e-10	5.88e-07	-5.8536e-07	3.0745e-09	-4.7881e-09	-9.3033e-10	5.8764e-07	-5.85e-07	3.2723e-09	-4.8289e-09	-1.0209e-09	5.8762e-07	-5.8496e-07	3.4644e-09	-4.8702e-09	-1.0751e-09	5.8806e-07	-5.8562e-07
-0.295	2.5044e-10	-4.1239e-09	2.2872e-10	5.8652e-07	-5.8284e-07	8.204e-10	-4.1466e-09	-1.713e-11	5.8722e-07	-5.8394e-07	1.3031e-09	-4.1918e-09	-2.3006e-10	5.877e-07	-5.8434e-07	1.6962e-09	-4.21e-09	-3.9435e-10	5.8746e-07	-5.8468e-07	2.0503e-09	-4.2234e-09	-5.4889e-10	5.8796e-07	-5.8516e-07	2.3544e-09	-4.2694e-09	-6.7998e-10	5.8802e-07	-5.8532e-07	2.6103e-09	-4.2907e-09	-7.7557e-10	5.8774e-07	-5.8554e-07	2.8413e-09	-4.3424e-09	-8.6136e-10	5.8816e-07	-5.8574e-07	3.0641e-09	-4.3515e-09	-9.485e-10	5.8758e-07	-5.8542e-07	3.2624e-09	-4.3936e-09	-1.0366e-09	5.8786e-07	-5.855e-07	3.4585e-09	-4.4362e-09	-1.0984e-09	5.8778e-07	-5.857e-07
-0.29	2.4341e-10	-3.7388e-09	2.1421e-10	5.865e-07	-5.8326e-07	8.0692e-10	-3.7698e-09	-2.613e-11	5.8732e-07	-5.8458e-07	1.2891e-09	-3.8058e-09	-2.4067e-10	5.8744e-07	-5.8494e-07	1.6921e-09	-3.8312e-09	-4.0913e-10	5.8726e-07	-5.8456e-07	2.0375e-09	-3.8501e-09	-5.5468e-10	5.8786e-07	-5.8512e-07	2.3393e-09	-3.8849e-09	-6.9233e-10	5.877e-07	-5.8554e-07	2.5962e-09	-3.9029e-09	-7.7923e-10	5.8786e-07	-5.8586e-07	2.8347e-09	-3.9637e-09	-8.8239e-10	5.8814e-07	-5.857e-07	3.0509e-09	-3.9725e-09	-9.7379e-10	5.8762e-07	-5.8562e-07	3.2587e-09	-4.0102e-09	-1.054e-09	5.8816e-07	-5.8602e-07	3.431e-09	-4.0537e-09	-1.1091e-09	5.8802e-07	-5.8582e-07
-0.285	2.2859e-10	-3.3925e-09	2.079e-10	5.8668e-07	-5.837e-07	8.2318e-10	-3.4302e-09	-7.498e-11	5.8732e-07	-5.8442e-07	1.2786e-09	-3.4568e-09	-2.5759e-10	5.8764e-07	-5.8488e-07	1.6781e-09	-3.4773e-09	-4.3267e-10	5.8752e-07	-5.8502e-07	2.0284e-09	-3.4983e-09	-5.7554e-10	5.8772e-07	-5.8564e-07	2.339e-09	-3.5344e-09	-7.1298e-10	5.8764e-07	-5.8612e-07	2.5961e-09	-3.5545e-09	-8.0817e-10	5.877e-07	-5.8606e-07	2.8287e-09	-3.6113e-09	-9.1292e-10	5.8784e-07	-5.8596e-07	3.0362e-09	-3.6248e-09	-9.8469e-10	5.878e-07	-5.8594e-07	3.2541e-09	-3.6593e-09	-1.0726e-09	5.8792e-07	-5.859e-07	3.4216e-09	-3.7063e-09	-1.1287e-09	5.8786e-07	-5.865e-07
-0.28	2.1789e-10	-3.0854e-09	1.9149e-10	5.8662e-07	-5.8418e-07	7.8039e-10	-3.116e-09	-6.157e-11	5.8728e-07	-5.8504e-07	1.2637e-09	-3.1496e-09	-2.6406e-10	5.877e-07	-5.855e-07	1.668e-09	-3.1697e-09	-4.4667e-10	5.8764e-07	-5.8552e-07	2.0079e-09	-3.1901e-09	-5.8873e-10	5.8776e-07	-5.8602e-07	2.3199e-09	-3.2231e-09	-7.1816e-10	5.881e-07	-5.8622e-07	2.5771e-09	-3.2513e-09	-8.3016e-10	5.8768e-07	-5.8608e-07	2.8102e-09	-3.2971e-09	-9.2154e-10	5.8786e-07	-5.8624e-07	3.023e-09	-3.3125e-09	-1.00133e-09	5.8762e-07	-5.8624e-07	3.2254e-09	-3.3462e-09	-1.0957e-09	5.8782e-07	-5.8652e-07	3.3904e-09	-3.3878e-09	-1.1544e-09	5.8794e-07	-5.8666e-07
-0.275	1.994e-10	-2.8048e-09	1.8416e-10	5.8682e-07	-5.8438e-07	7.7089e-10	-2.8316e-09	-6.163e-11	5.8722e-07	-5.8502e-07	1.2595e-09	-2.865e-09	-2.8457e-10	5.8732e-07	-5.8572e-07	1.6566e-09	-2.889e-09	-4.5544e-10	5.8794e-07	-5.8598e-07	2.0027e-09	-2.9068e-09	-6.0808e-10	5.8794e-07	-5.863e-07	2.3124e-09	-2.9367e-09	-7.437e-10	5.8804e-07	-5.8666e-07	2.5665e-09	-2.9701e-09	-8.3781e-10	5.8798e-07	-5.866e-07	2.7986e-09	-3.0081e-09	-9.3756e-10	5.8788e-07	-5.8674e-07	3.013e-09	-3.0275e-09	-1.0248e-09	5.8746e-07	-5.8672e-07	3.211e-09	-3.0601e-09	-1.1129e-09	5.8776e-07	-5.8642e-07	3.3943e-09	-3.1021e-09	-1.1785e-09	5.8764e-07	-5.8686e-07
-0.27	1.9163e-10	-2.5525e-09	1.7615e-10	5.8722e-07	-5.846e-07	7.626e-10	-2.5788e-09	-7.857e-11	5.8722e-07	-5.8528e-07	1.2383e-09	-2.6112e-09	-2.9284e-10	5.8776e-07	-5.8588e-07	1.6446e-09	-2.6361e-09	-4.614e-10	5.8762e-07	-5.8628e-07	1.9906e-09	-2.6542e-09	-6.1585e-10	5.881e-07	-5.8656e-07	2.2994e-09	-2.6903e-09	-7.5866e-10	5.88e-07	-5.868e-07	2.5548e-09	-2.7148e-09	-8.5309e-10	5.8794e-07	-5.8698e-07	2.7869e-09	-2.7601e-09	-9.4776e-10	5.8786e-07	-5.8724e-07	2.9993e-09	-2.7694e-09	-1.04356e-09	5.8734e-07	-5.8666e-07	3.2057e-09	-2.8034e-09	-1.1162e-09	5.8746e-07	-5.8662e-07	3.3824e-09	-2.8489e-09	-1.1959e-09	5.8768e-07	-5.8732e-07
-0.265	1.7945e-10	-2.3213e-09	1.6237e-10	5.8678e-07	-5.8472e-07	7.4706e-10	-2.3481e-09	-9.32e-11	5.8768e-07	-5.8604e-07	1.2384e-09	-2.3787e-09	-3.1101e-10	5.876e-07	-5.8576e-07	1.6386e-09	-2.3984e-09	-4.8902e-10	5.8776e-07	-5.8638e-07	1.9825e-09	-2.4212e-09	-6.3291e-10	5.8782e-07	-5.866e-07	2.2921e-09	-2.4582e-09	-7.726e-10	5.8774e-07	-5.8656e-07	2.5457e-09	-2.4804e-09	-8.7745e-10	5.881e-07	-5.8728e-07	2.7806e-09	-2.5189e-09	-9.7274e-10	5.8782e-07	-5.869e-07	2.9874e-09	-2.5319e-09	-1.05137e-09	5.8756e-07	-5.8676e-07	3.1937e-09	-2.5722e-09	-1.1472e-09	5.8722e-07	-5.8684e-07	3.3654e-09	-2.6104e-09	-1.2067e-09	5.8776e-07	-5.8744e-07
-0.26	1.6285e-10	-2.1166e-09	1.5644e-10	5.8668e-07	-5.8476e-07	7.3253e-10	-2.1413e-09	-1.0015e-10	5.874e-07	-5.8582e-07	1.2215e-09	-2.1587e-09	-3.182e-10	5.8736e-07	-5.8608e-07	1.6318e-09	-2.1886e-09	-4.9726e-10	5.8756e-07	-5.8684e-07	1.9741e-09	-2.2127e-09	-6.5361e-10	5.8778e-07	-5.8702e-07	2.2826e-09	-2.2466e-09	-7.8201e-10	5.8794e-07	-5.874e-07	2.5301e-09	-2.2681e-09	-8.9775e-10	5.8786e-07	-5.8726e-07	2.7631e-09	-2.3072e-09	-9.86e-10	5.8788e-07	-5.8726e-07	2.9857e-09	-2.3277e-09	-1.07162e-09	5.8786e-07	-5.8704e-07	3.1784e-09	-2.3605e-09	-1.1544e-09	5.8758e-07	-5.8734e-07	3.3582e-09	-2.3975e-09	-1.2225e-09	5.88e-07	-5.8766e-07
-0.255	1.5807e-10	-1.9276e-09	1.4114e-10	5.8702e-07	-5.8512e-07	7.2846e-10	-1.9507e-09	-1.1261e-10	5.8738e-07	-5.8618e-07	1.2148e-09	-1.9713e-09	-3.3497e-10	5.8726e-07	-5.8622e-07	1.6162e-09	-1.9999e-09	-5.0534e-10	5.876e-07	-5.8666e-07	1.966e-09	-2.0209e-09	-6.6674e-10	5.8776e-07	-5.869e-07	2.2729e-09	-2.0586e-09	-8.0282e-10	5.8816e-07	-5.871e-07	2.5266e-09	-2.0801e-09	-8.9542e-10	5.8802e-07	-5.8742e-07	2.761e-09	-2.1165e-09	-1.00356e-09	5.8756e-07	-5.8732e-07	2.9781e-09	-2.1339e-09	-1.09212e-09	5.8776e-07	-5.8732e-07	3.1788e-09	-2.1671e-09	-1.1811e-09	5.8762e-07	-5.8722e-07	3.3445e-09	-2.2013e-09	-1.2446e-09	5.8814e-07	-5.8778e-07
