I/V Sweep,id_vgs
RecordTime,08/01/2024 09:34:45
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,-5.717E-11,-3.999E-09,-1.179E-11,5.8898E-07,-5.8504E-07
-0.29500000000000004,0,-5.7590000000000005E-11,-3.5781E-09,-1.2530000000000001E-11,5.8941999999999994E-07,-5.8582E-07
-0.29000000000000004,0,-6.76E-11,-3.2181E-09,-1.3590000000000002E-11,5.8966E-07,-5.8584E-07
-0.28500000000000003,0,-6.552000000000001E-11,-2.883E-09,-1.63E-11,5.893E-07,-5.8626E-07
-0.28,0,-6.756000000000001E-11,-2.5919E-09,-2.038E-11,5.8944E-07,-5.866E-07
-0.275,0,-7.058E-11,-2.3178E-09,-2.3550000000000002E-11,5.8932E-07,-5.8686E-07
-0.27,0,-6.925E-11,-2.0882E-09,-2.482E-11,5.8946E-07,-5.8696E-07
-0.265,0,-6.8500000000000009E-11,-1.8707E-09,-2.824E-11,5.8913999999999994E-07,-5.8714E-07
-0.26,0,-7.5450000000000008E-11,-1.6798E-09,-3.092E-11,5.8946E-07,-5.875E-07
-0.255,0,-7.6000000000000009E-11,-1.5052E-09,-3.242E-11,5.896E-07,-5.8794E-07
-0.25,0,-7.733E-11,-1.3527E-09,-3.7170000000000006E-11,5.8928E-07,-5.8776E-07
-0.24500000000000002,0,-7.9440000000000012E-11,-1.2106E-09,-4.0840000000000004E-11,5.8934E-07,-5.8773999999999994E-07
-0.24000000000000002,0,-8.0900000000000013E-11,-1.0921E-09,-4.188E-11,5.8964E-07,-5.8834E-07
-0.23500000000000001,0,-8.392E-11,-9.7759000000000014E-10,-4.4010000000000005E-11,5.893E-07,-5.8822E-07
-0.23,0,-8.236E-11,-8.7759000000000007E-10,-4.472E-11,5.894E-07,-5.8834E-07
-0.225,0,-7.881000000000001E-11,-7.8911000000000008E-10,-4.5060000000000004E-11,5.896E-07,-5.8852E-07
-0.22,0,-8.4080000000000008E-11,-7.099600000000001E-10,-5.0630000000000004E-11,5.8944E-07,-5.8874E-07
-0.215,0,-8.676E-11,-6.3409E-10,-5.266E-11,5.8946E-07,-5.888E-07
-0.21000000000000002,0,-8.347000000000001E-11,-5.7077000000000009E-10,-5.3120000000000006E-11,5.8946E-07,-5.8882E-07
-0.20500000000000002,0,-8.3850000000000013E-11,-5.1315E-10,-5.706E-11,5.9016E-07,-5.8885999999999994E-07
-0.2,0,-8.751E-11,-4.6101000000000004E-10,-5.3450000000000007E-11,5.8948E-07,-5.8868E-07
-0.195,0,-8.518000000000001E-11,-4.1454000000000005E-10,-5.7230000000000006E-11,5.8912E-07,-5.8862E-07
-0.19,0,-8.8080000000000008E-11,-3.7182E-10,-6.0090000000000009E-11,5.8913999999999994E-07,-5.8876E-07
-0.185,0,-8.9310000000000013E-11,-3.3352E-10,-6.135E-11,5.8916E-07,-5.8876E-07
-0.18000000000000002,0,-8.8660000000000007E-11,-2.9987E-10,-6.392000000000001E-11,5.8932E-07,-5.888E-07
-0.17500000000000002,0,-8.724E-11,-2.7038E-10,-6.802E-11,5.8946E-07,-5.8862E-07
-0.17,0,-8.53E-11,-2.4346E-10,-7.692E-11,5.894E-07,-5.8876E-07
-0.165,0,-8.269E-11,-2.1911E-10,-8.007E-11,5.8936E-07,-5.8878E-07
-0.16,0,-8.315E-11,-1.9675000000000002E-10,-8.2700000000000009E-11,5.8941999999999994E-07,-5.8913999999999994E-07
-0.155,0,-7.579E-11,-1.7704000000000002E-10,-8.508E-11,5.8958E-07,-5.8902E-07
-0.15,0,-7.4680000000000007E-11,-1.5908E-10,-9.2870000000000011E-11,5.8952E-07,-5.8912E-07
-0.14500000000000002,0,-7.7930000000000009E-11,-1.4340000000000002E-10,-9.711E-11,5.8938E-07,-5.891E-07
-0.14,0,-7.329E-11,-1.2841E-10,-1.0341000000000001E-10,5.8964E-07,-5.8916E-07
-0.135,0,-7.099E-11,-1.1820000000000002E-10,-1.0331E-10,5.8962E-07,-5.8948E-07
-0.13,0,-6.7260000000000009E-11,-1.0420000000000001E-10,-1.1233000000000001E-10,5.8966E-07,-5.8934E-07
-0.125,0,-6.305E-11,-9.564E-11,-1.1606000000000001E-10,5.8976E-07,-5.8936E-07
-0.12000000000000001,0,-5.9430000000000008E-11,-8.671E-11,-1.2173E-10,5.8972E-07,-5.8918E-07
-0.115,0,-5.7550000000000004E-11,-7.5780000000000009E-11,-1.2982E-10,5.8966E-07,-5.891E-07
-0.11,0,-4.8960000000000005E-11,-7.179E-11,-1.3034E-10,5.8934E-07,-5.8944E-07
-0.10500000000000001,0,-5.0600000000000005E-11,-6.235000000000001E-11,-1.4020000000000002E-10,5.8936E-07,-5.8926E-07
-0.1,0,-3.685E-11,-5.8440000000000007E-11,-1.4937000000000002E-10,5.8968E-07,-5.8946E-07
-0.095,0,-3.675E-11,-5.2890000000000004E-11,-1.5969000000000002E-10,5.8982E-07,-5.8936E-07
-0.090000000000000011,0,-2.407E-11,-4.5290000000000006E-11,-1.6504E-10,5.9006E-07,-5.896E-07
-0.085,0,-9.84E-12,-4.3720000000000005E-11,-1.6764E-10,5.8946E-07,-5.8924E-07
-0.08,0,-7.32E-12,-3.832E-11,-1.7942E-10,5.8932E-07,-5.893E-07
-0.075,0,5.6800000000000008E-12,-3.3880000000000003E-11,-1.9561E-10,5.8976E-07,-5.8918E-07
-0.07,0,3.2870000000000005E-11,-3.215E-11,-2.0139000000000002E-10,5.8969999999999994E-07,-5.8948E-07
-0.065,0,4.639E-11,-2.8190000000000002E-11,-2.2588000000000003E-10,5.8954E-07,-5.8941999999999994E-07
-0.060000000000000005,0,6.9460000000000011E-11,-2.584E-11,-2.6315E-10,5.8964E-07,-5.893E-07
-0.055,0,9.1170000000000007E-11,-2.3E-11,-2.8018E-10,5.8996E-07,-5.895E-07
-0.05,0,1.2445000000000002E-10,-2.0180000000000002E-11,-3.1657E-10,5.8958E-07,-5.8934E-07
-0.045000000000000005,0,1.4487E-10,-1.9040000000000003E-11,-3.4027E-10,5.8978E-07,-5.8934E-07
-0.04,0,1.9095000000000002E-10,-1.633E-11,-3.8111000000000004E-10,5.8982E-07,-5.8941999999999994E-07
-0.035,0,2.4197000000000004E-10,-1.423E-11,-4.2351E-10,5.8969999999999994E-07,-5.8978E-07
-0.030000000000000002,0,2.8192000000000005E-10,-1.4460000000000001E-11,-4.5280000000000003E-10,5.8966E-07,-5.894E-07
-0.025,0,3.4598000000000003E-10,-1.1940000000000001E-11,-5.2202E-10,5.8954E-07,-5.8934E-07
-0.02,0,3.8063E-10,-1.055E-11,-6.3979E-10,5.8968E-07,-5.8934E-07
-0.015000000000000001,0,5.1089000000000008E-10,-1.0010000000000001E-11,-6.8482E-10,5.8976E-07,-5.8968E-07
-0.01,0,6.0102000000000006E-10,-6.8400000000000007E-12,-7.4303000000000007E-10,5.8964E-07,-5.8944E-07
-0.005,0,6.5919000000000008E-10,-9.17E-12,-8.398200000000001E-10,5.8968E-07,-5.8934E-07
