Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.1V
-0.3	-5.94e-09	-5.98000000000001e-09	-4.53999999999998e-09	-6.34000000000004e-09	-5.18000000000001e-09	-5.00000000000004e-09	-4.92000000000002e-09	-7.02000000000008e-09	-5.99999999999985e-09	-5.39999999999983e-09
-0.295	-6.13333333333332e-09	-6.41333333333334e-09	-5.10166666666665e-09	-6.38499999999999e-09	-5.66166666666665e-09	-5.94000000000003e-09	-5.05333333333335e-09	-6.85333333333336e-09	-6.13333333333325e-09	-6.27833333333323e-09
-0.29	-6.43000000000001e-09	-6.38400000000002e-09	-5.71500000000001e-09	-6.14600000000001e-09	-5.52700000000001e-09	-5.87100000000003e-09	-5.89400000000002e-09	-6.40600000000003e-09	-6.43899999999997e-09	-6.84699999999996e-09
-0.285	-6.63400000000001e-09	-6.53700000000001e-09	-5.90300000000002e-09	-6.106e-09	-5.49300000000002e-09	-6.12900000000002e-09	-6.17900000000001e-09	-6.23700000000001e-09	-6.386e-09	-6.81599999999998e-09
-0.28	-6.70800000000001e-09	-6.526e-09	-6.21600000000002e-09	-6.072e-09	-5.70400000000002e-09	-6.22400000000001e-09	-6.044e-09	-6.46400000000001e-09	-6.71500000000001e-09	-6.691e-09
-0.275	-6.69000000000001e-09	-6.238e-09	-6.24800000000002e-09	-5.90000000000002e-09	-5.74900000000002e-09	-5.92000000000001e-09	-6.109e-09	-6.37300000000001e-09	-6.74000000000001e-09	-6.46700000000001e-09
-0.27	-6.577e-09	-6.051e-09	-5.88400000000001e-09	-5.65700000000002e-09	-5.58800000000001e-09	-5.65300000000001e-09	-6.016e-09	-6.08200000000001e-09	-6.091e-09	-5.972e-09
-0.265	-6.33499999999999e-09	-5.971e-09	-5.683e-09	-5.56300000000001e-09	-5.599e-09	-5.596e-09	-5.314e-09	-6.134e-09	-5.63699999999999e-09	-5.58899999999998e-09
-0.26	-6.14499999999999e-09	-5.721e-09	-5.57199999999999e-09	-5.46500000000001e-09	-5.62999999999998e-09	-5.30499999999999e-09	-4.66100000000001e-09	-5.84199999999999e-09	-5.564e-09	-5.56599999999999e-09
-0.255	-6.11e-09	-5.39e-09	-5.17099999999999e-09	-5.085e-09	-5.33699999999998e-09	-4.88599999999999e-09	-4.51000000000001e-09	-4.93199999999999e-09	-5.23900000000001e-09	-5.457e-09
