vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	2.2927e-09	-7.1e-13	-2.5216e-09	5.8846e-07	-5.8834e-07	1.1474e-07	1.8168e-10	-1.238e-07	5.8904e-07	-5.8872e-07	-5.6073e-06	1.1602e-09	5.6994e-06	5.8944e-07	-5.8894e-07	-1.6068e-05	4.5737e-09	3.178e-05	5.8954e-07	-5.8908e-07	-1.787e-05	1.48856e-08	4.9598e-05	5.9228e-07	-5.921e-07	-0.00010558	5.08796e-08	0.00010464	5.9838e-07	-5.9824e-07	-0.00011272	1.9286e-07	0.00010968	6.0318e-07	-6.0282e-07
0.005	1.80648e-08	-1.67e-12	-1.82622e-08	5.8904e-07	-5.8892e-07	8.9754e-07	1.7283e-10	-1.2835e-06	5.8934e-07	-5.8902e-07	5.9808e-05	1.1249e-09	-5.6802e-05	5.8964e-07	-5.8918e-07	8.16e-05	4.3347e-09	-0.00054308	5.8928e-07	-5.8916e-07	4.9912e-05	1.43364e-08	-0.00092426	5.9208e-07	-5.919e-07	0.00106084	4.9452e-08	-0.00106168	5.9806e-07	-5.977e-07	0.00111946	1.8712e-07	-0.00112324	6.028e-07	-6.0264e-07
0.01	3.12718e-08	-3.34e-12	-3.12046e-08	5.8876e-07	-5.8862e-07	2.2435e-06	1.6637e-10	-2.2283e-06	5.891e-07	-5.8914e-07	0.000111644	1.0904e-09	-0.00012018	5.8924e-07	-5.8934e-07	0.001109	4.1897e-09	-0.00111016	5.8936e-07	-5.8904e-07	0.0019062	1.39656e-08	-0.0019044	5.9158e-07	-5.918e-07	0.0022032	4.81736e-08	-0.0022062	5.9642e-07	-5.9674e-07	0.0023348	1.8168e-07	-0.0023308	6.0086e-07	-6.0112e-07
0.015	4.2822e-08	-4.58e-12	-4.27602e-08	5.8882e-07	-5.8874e-07	3.0555e-06	1.6141e-10	-3.066e-06	5.8922e-07	-5.8906e-07	0.00017228	1.0587e-09	-0.00017222	5.891e-07	-5.8936e-07	0.0016538	4.2717e-09	-0.0016584	5.8958e-07	-5.8962e-07	0.0028964	1.3679e-08	-0.002894	5.9142e-07	-5.9166e-07	0.0033636	4.68758e-08	-0.003363	5.9658e-07	-5.967e-07	0.0035618	1.763e-07	-0.0035618	6.0056e-07	-6.0074e-07
0.02	5.24604e-08	-5.9e-12	-5.23726e-08	5.8884e-07	-5.8864e-07	3.7733e-06	1.5451e-10	-3.7825e-06	5.8924e-07	-5.8924e-07	0.00021722	1.0309e-09	-0.000217	5.8884e-07	-5.896e-07	0.0021722	4.0021e-09	-0.0021714	5.8914e-07	-5.8936e-07	0.0038554	1.34072e-08	-0.0038562	5.915e-07	-5.916e-07	0.0044946	4.57676e-08	-0.0044986	5.9634e-07	-5.964e-07	0.0047726	1.709e-07	-0.0047678	6.0086e-07	-6.0086e-07
0.025	6.10406e-08	-7.78e-12	-6.08174e-08	5.8864e-07	-5.8882e-07	4.3817e-06	1.4947e-10	-4.3808e-06	5.8908e-07	-5.896e-07	0.00025706	1.0024e-09	-0.00025708	5.8918e-07	-5.8946e-07	0.0026698	4.0897e-09	-0.0026682	5.8942e-07	-5.8978e-07	0.0048206	1.30512e-08	-0.0048192	5.9168e-07	-5.9178e-07	0.005648	4.44528e-08	-0.0056452	5.9606e-07	-5.9644e-07	0.0059926	1.6592e-07	-0.0059922	6.0054e-07	-6.0094e-07
0.03	6.83598e-08	-8.89e-12	-6.8013e-08	5.8888e-07	-5.8888e-07	4.8983e-06	1.4596e-10	-4.8854e-06	5.891e-07	-5.8966e-07	0.00029164	9.7565e-10	-0.00029128	5.8936e-07	-5.8946e-07	0.003136	3.9995e-09	-0.0031344	5.8946e-07	-5.8956e-07	0.00576	1.2708e-08	-0.0057606	5.913e-07	-5.919e-07	0.006768	4.32572e-08	-0.0067664	5.962e-07	-5.9616e-07	0.0071948	1.6122e-07	-0.0071956	5.9986e-07	-6.0028e-07
0.035	7.47682e-08	-1.019e-11	-7.43488e-08	5.8884e-07	-5.891e-07	5.3681e-06	1.4061e-10	-5.3444e-06	5.891e-07	-5.8948e-07	0.00032212	9.5311e-10	-0.00032228	5.8914e-07	-5.8946e-07	0.0035836	3.7551e-09	-0.0035834	5.8934e-07	-5.8998e-07	0.0066986	1.23504e-08	-0.0066982	5.9142e-07	-5.9172e-07	0.007905	4.21238e-08	-0.0079078	5.9538e-07	-5.9584e-07	0.0084162	1.5678e-07	-0.008417	5.997e-07	-6.0022e-07
0.04	8.03256e-08	-1.156e-11	-7.99752e-08	5.888e-07	-5.8936e-07	5.7309e-06	1.3582e-10	-5.7494e-06	5.8934e-07	-5.8994e-07	0.00034902	9.3209e-10	-0.00034934	5.8902e-07	-5.8952e-07	0.0040012	3.8408e-09	-0.004	5.892e-07	-5.8972e-07	0.0076128	1.21366e-08	-0.007615	5.9152e-07	-5.921e-07	0.0090224	4.10788e-08	-0.0090216	5.9572e-07	-5.9616e-07	0.0096122	1.5242e-07	-0.0096104	5.9952e-07	-6.002e-07
0.045	8.5272e-08	-1.246e-11	-8.4802e-08	5.8906e-07	-5.8946e-07	6.0861e-06	1.3214e-10	-6.0699e-06	5.893e-07	-5.8952e-07	0.00037326	9.1174e-10	-0.00037334	5.8916e-07	-5.8952e-07	0.0044004	3.7677e-09	-0.0043992	5.8932e-07	-5.9002e-07	0.0085276	1.1773e-08	-0.0085272	5.9112e-07	-5.9186e-07	0.010149	3.993e-08	-0.0101476	5.955e-07	-5.9608e-07	0.0108302	1.481e-07	-0.0108268	5.9954e-07	-6.0046e-07
