I/V Sweep,id_vgs_2
RecordTime,08/01/2024 09:52:07
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,2.2693E-10,-4.2091E-09,3.129E-11,5.8862E-07,-5.845E-07
-0.29500000000000004,0,2.2591000000000002E-10,-3.7855E-09,2.016E-11,5.887E-07,-5.85E-07
-0.29000000000000004,0,2.0933000000000002E-10,-3.4353E-09,5.7700000000000007E-12,5.8896E-07,-5.8528E-07
-0.28500000000000003,0,2.0005000000000002E-10,-3.0997E-09,5.9200000000000006E-12,5.8898E-07,-5.86E-07
-0.28,0,1.9982000000000001E-10,-2.8055E-09,-6.3400000000000009E-12,5.8874E-07,-5.862E-07
-0.275,0,1.8312E-10,-2.5408E-09,-1.644E-11,5.8864E-07,-5.8626E-07
-0.27,0,1.8732E-10,-2.2988E-09,-2.3350000000000002E-11,5.887E-07,-5.8672E-07
-0.265,0,1.7932E-10,-2.0757E-09,-3.191E-11,5.8918E-07,-5.8686E-07
-0.26,0,1.7065000000000003E-10,-1.8849E-09,-4.5470000000000006E-11,5.8918E-07,-5.8704E-07
-0.255,0,1.6545E-10,-1.7051E-09,-4.684E-11,5.889E-07,-5.8726E-07
-0.25,0,1.6217000000000002E-10,-1.5494E-09,-5.1730000000000005E-11,5.89E-07,-5.8752E-07
-0.24500000000000002,0,1.5817E-10,-1.4022E-09,-5.835000000000001E-11,5.8882E-07,-5.8768E-07
-0.24000000000000002,0,1.5666E-10,-1.2774E-09,-6.804E-11,5.8906E-07,-5.8792E-07
-0.23500000000000001,0,1.5211E-10,-1.1549E-09,-8.6950000000000007E-11,5.8876E-07,-5.876E-07
-0.23,0,1.4191E-10,-1.0517E-09,-9.17E-11,5.8906E-07,-5.878E-07
-0.225,0,1.3561E-10,-9.5526E-10,-9.9950000000000014E-11,5.888E-07,-5.8806E-07
-0.22,0,1.3063000000000002E-10,-8.6893E-10,-1.0992000000000001E-10,5.8898E-07,-5.8824E-07
-0.215,0,1.2861E-10,-7.9170000000000007E-10,-1.15E-10,5.8928E-07,-5.8826E-07
-0.21000000000000002,0,1.2417000000000002E-10,-7.1938000000000005E-10,-1.2675E-10,5.8922E-07,-5.8836E-07
-0.20500000000000002,0,1.2724000000000002E-10,-6.5431000000000009E-10,-1.373E-10,5.8946E-07,-5.8868E-07
-0.2,0,1.2638E-10,-5.9641E-10,-1.4001000000000002E-10,5.8888E-07,-5.8852E-07
-0.195,0,1.2592000000000002E-10,-5.4392E-10,-1.5032E-10,5.8922E-07,-5.887E-07
-0.19,0,1.2458E-10,-4.9754E-10,-1.4481000000000002E-10,5.891E-07,-5.8838E-07
-0.185,0,1.1745000000000002E-10,-4.5142000000000003E-10,-1.5891000000000002E-10,5.8918E-07,-5.882E-07
-0.18000000000000002,0,1.1694E-10,-4.1475000000000004E-10,-1.5966000000000002E-10,5.89E-07,-5.884E-07
-0.17500000000000002,0,1.2499E-10,-3.7762000000000004E-10,-1.7201E-10,5.89E-07,-5.8844E-07
-0.17,0,1.1952000000000002E-10,-3.4474000000000004E-10,-1.8785E-10,5.8922E-07,-5.889E-07
-0.165,0,1.2542000000000002E-10,-3.1650000000000004E-10,-1.9669000000000002E-10,5.8924E-07,-5.8884E-07
-0.16,0,1.232E-10,-2.8792E-10,-2.0885E-10,5.8941999999999994E-07,-5.8906E-07
-0.155,0,1.2949E-10,-2.6349000000000004E-10,-2.0592000000000002E-10,5.8912E-07,-5.8884E-07
-0.15,0,1.2978000000000002E-10,-2.4098000000000003E-10,-2.2698000000000003E-10,5.8916E-07,-5.8902E-07
-0.14500000000000002,0,1.3757000000000002E-10,-2.2249000000000003E-10,-2.2507000000000003E-10,5.8934E-07,-5.8894E-07
-0.14,0,1.35E-10,-2.0272000000000003E-10,-2.4437E-10,5.8926E-07,-5.89E-07
-0.135,0,1.4065E-10,-1.8538E-10,-2.5451000000000003E-10,5.8928E-07,-5.8864E-07
