Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.10V
-0.3	-1.4967e-09	-7.013e-10	-2.4294e-09	-2.2473e-09	-2.0234e-09	-3.3896e-09	-2.4122e-09	-3.4315e-09	-2.3301e-09	-3.0707e-09
-0.295	-1.6718e-09	-1.0483e-09	-2.4057e-09	-2.321e-09	-2.1152e-09	-3.2448e-09	-2.493e-09	-3.3789e-09	-2.4171e-09	-3.1148e-09
-0.29	-1.8071e-09	-1.5302e-09	-2.3822e-09	-2.3273e-09	-2.2208e-09	-2.9778e-09	-2.5848e-09	-3.2603e-09	-2.6264e-09	-3.1254e-09
-0.285	-1.9372e-09	-2.007e-09	-2.3502e-09	-2.3345e-09	-2.404e-09	-2.6757e-09	-2.6569e-09	-3.25e-09	-2.7762e-09	-3.1268e-09
-0.28	-2.0714e-09	-2.2966e-09	-2.2935e-09	-2.3572e-09	-2.5566e-09	-2.5184e-09	-2.7196e-09	-3.276e-09	-2.8549e-09	-3.1316e-09
-0.275	-2.0098e-09	-2.2773e-09	-2.2231e-09	-2.2903e-09	-2.4114e-09	-2.458e-09	-2.7184e-09	-3.1678e-09	-2.8229e-09	-3.0807e-09
-0.27	-1.8549e-09	-2.1106e-09	-2.1381e-09	-2.1619e-09	-2.3441e-09	-2.3799e-09	-2.6461e-09	-3.047e-09	-2.6507e-09	-2.9722e-09
-0.265	-1.8387e-09	-1.9436e-09	-2.0873e-09	-2.1637e-09	-2.439e-09	-2.3525e-09	-2.5613e-09	-2.9369e-09	-2.4089e-09	-2.9306e-09
-0.26	-1.808e-09	-1.8384e-09	-2.0935e-09	-2.1779e-09	-2.365e-09	-2.3503e-09	-2.4645e-09	-2.6975e-09	-2.2575e-09	-2.9214e-09
-0.255	-1.6788e-09	-1.7598e-09	-2.0051e-09	-2.058e-09	-2.351e-09	-2.28e-09	-2.3681e-09	-2.4729e-09	-2.2863e-09	-2.7987e-09
-0.25	-1.6092e-09	-1.6431e-09	-1.8533e-09	-2.0343e-09	-2.4517e-09	-2.2237e-09	-2.2991e-09	-2.4272e-09	-2.3025e-09	-2.7068e-09
-0.245	-1.6326e-09	-1.622e-09	-1.8582e-09	-2.0557e-09	-2.4088e-09	-2.1851e-09	-2.2592e-09	-2.394e-09	-2.3088e-09	-2.7266e-09
-0.24	-1.599e-09	-1.6886e-09	-1.8445e-09	-1.9165e-09	-2.2642e-09	-2.0742e-09	-2.2477e-09	-2.3326e-09	-2.4125e-09	-2.6512e-09
-0.235	-1.5082e-09	-1.6054e-09	-1.6737e-09	-1.8333e-09	-2.1457e-09	-1.9748e-09	-2.2136e-09	-2.285e-09	-2.4587e-09	-2.5007e-09
-0.23	-1.5189e-09	-1.4876e-09	-1.6972e-09	-1.856e-09	-1.9845e-09	-1.9362e-09	-2.1455e-09	-2.2386e-09	-2.3188e-09	-2.4878e-09
-0.225	-1.5075e-09	-1.5348e-09	-1.8191e-09	-1.7484e-09	-1.8573e-09	-1.9142e-09	-2.1029e-09	-2.2214e-09	-2.261e-09	-2.4618e-09
-0.22	-1.3413e-09	-1.5266e-09	-1.7012e-09	-1.6478e-09	-1.7918e-09	-1.8951e-09	-2.0513e-09	-2.1402e-09	-2.2988e-09	-2.2867e-09
-0.215	-1.2763e-09	-1.3962e-09	-1.6276e-09	-1.6557e-09	-1.7564e-09	-1.8547e-09	-1.9527e-09	-2.0541e-09	-2.1762e-09	-2.2173e-09
-0.21	-1.3116e-09	-1.4034e-09	-1.7026e-09	-1.5535e-09	-1.7689e-09	-1.7932e-09	-1.9038e-09	-2.0133e-09	-2.0617e-09	-2.2538e-09
-0.205	-1.1935e-09	-1.4495e-09	-1.5875e-09	-1.4487e-09	-1.6455e-09	-1.7099e-09	-1.8844e-09	-1.8759e-09	-2.1367e-09	-2.145e-09
-0.2	-1.1219e-09	-1.3088e-09	-1.3819e-09	-1.4377e-09	-1.5326e-09	-1.6056e-09	-1.8012e-09	-1.7086e-09	-2.2777e-09	-2.0062e-09
-0.195	-1.1966e-09	-1.2093e-09	-1.3495e-09	-1.3789e-09	-1.5252e-09	-1.5365e-09	-1.7255e-09	-1.6967e-09	-2.2967e-09	-2.0269e-09
-0.19	-1.1767e-09	-1.2632e-09	-1.3045e-09	-1.3572e-09	-1.4347e-09	-1.5034e-09	-1.6671e-09	-1.6739e-09	-2.2612e-09	-1.979e-09
-0.185	-1.0432e-09	-1.2022e-09	-1.1416e-09	-1.2869e-09	-1.3529e-09	-1.437e-09	-1.5714e-09	-1.529e-09	-2.2465e-09	-1.816e-09
-0.18	-9.816e-10	-1.0554e-09	-1.0189e-09	-1.163e-09	-1.3004e-09	-1.4286e-09	-1.4786e-09	-1.5499e-09	-2.0241e-09	-1.8088e-09
-0.175	-9.922e-10	-1.0747e-09	-1.0332e-09	-1.1706e-09	-1.237e-09	-1.444e-09	-1.4312e-09	-1.5871e-09	-1.7113e-09	-1.8511e-09
-0.17	-9.107e-10	-1.1067e-09	-1.0336e-09	-1.0709e-09	-1.1922e-09	-1.3051e-09	-1.3532e-09	-1.4107e-09	-1.5804e-09	-1.8128e-09
-0.165	-7.893e-10	-9.623e-10	-9.023e-10	-8.933e-10	-1.1083e-09	-1.1637e-09	-1.2188e-09	-1.3323e-09	-1.4739e-09	-1.8869e-09
-0.16	-8.365e-10	-8.538e-10	-9.121e-10	-9.434e-10	-1.0091e-09	-1.1171e-09	-1.2506e-09	-1.3698e-09	-1.3403e-09	-1.9769e-09
-0.155	-8.857e-10	-8.623e-10	-9.684e-10	-9.386e-10	-1.0143e-09	-1.0218e-09	-1.4055e-09	-1.2464e-09	-1.3061e-09	-1.8474e-09
-0.15	-7.464e-10	-7.799e-10	-7.521e-10	-7.429e-10	-9.66e-10	-8.912e-10	-1.3828e-09	-1.1073e-09	-1.28e-09	-1.6505e-09
-0.145	-6.783e-10	-6.228e-10	-5.941e-10	-7.274e-10	-7.758e-10	-8.774e-10	-1.2859e-09	-1.0948e-09	-1.1499e-09	-1.4636e-09
-0.14	-6.753e-10	-5.982e-10	-6.427e-10	-7.081e-10	-7.345e-10	-9.053e-10	-1.2698e-09	-8.87e-10	-1.0336e-09	-1.1976e-09
-0.135	-5.475e-10	-6.106e-10	-5.258e-10	-5.016e-10	-7.16e-10	-8.033e-10	-1.0636e-09	-4.941e-10	-9.4e-10	-9.454e-10
-0.13	-4.313e-10	-4.756e-10	-3.631e-10	-4.311e-10	-5.21e-10	-6.42e-10	-6.556e-10	-2.812e-10	-7.704e-10	-8.089e-10
-0.125	-4.016e-10	-3.892e-10	-4.093e-10	-3.659e-10	-3.637e-10	-5.291e-10	-4.49e-10	-2.917e-10	-4.699e-10	-7.102e-10
-0.12	-3.658e-10	-3.95e-10	-2.781e-10	-2.07e-10	-2.756e-10	-3.688e-10	-3.48e-10	-3.299e-10	-1.562e-10	-5.665e-10
-0.115	-2.869e-10	-1.99e-10	7.05e-11	-1.214e-10	-1.412e-10	-1.314e-10	-1.165e-10	-3.091e-10	1.25e-11	-3.826e-10
-0.11	-2.013e-10	2.08e-11	2.076e-10	2.16e-11	8.63e-11	1.52e-11	6.64e-11	-3.415e-10	2.363e-10	-1.927e-10
-0.105	-1.459e-10	4.68e-11	3.13e-10	2.184e-10	2.956e-10	1.371e-10	1.643e-10	-2.674e-10	4.923e-10	3.9e-12
-0.1	-4.44e-11	2.29e-10	4.676e-10	4.149e-10	4.148e-10	3.592e-10	4.025e-10	1.654e-10	5.596e-10	3.112e-10
-0.095	1.567e-10	5.186e-10	5.908e-10	6.891e-10	6.742e-10	6.079e-10	7.494e-10	6.975e-10	7.042e-10	6.431e-10
-0.09	2.915e-10	6.239e-10	8.089e-10	9.992e-10	1.0377e-09	8.772e-10	1.0444e-09	1.0547e-09	1.0561e-09	9.425e-10
-0.085	3.8e-10	8.053e-10	1.0498e-09	1.3147e-09	1.2847e-09	1.2476e-09	1.4267e-09	1.4555e-09	1.3641e-09	1.3738e-09
-0.08	6.424e-10	1.1768e-09	1.4638e-09	1.697e-09	1.6142e-09	1.7596e-09	2.0156e-09	1.9489e-09	1.765e-09	1.894e-09
-0.075	8.667e-10	1.5023e-09	2.007e-09	2.1511e-09	2.162e-09	2.2976e-09	2.7011e-09	2.3832e-09	2.3727e-09	2.3844e-09
-0.07	9.979e-10	1.8028e-09	2.4044e-09	2.5885e-09	2.6892e-09	2.8207e-09	3.3212e-09	2.94e-09	2.9534e-09	3.0812e-09
-0.065	1.34e-09	2.2349e-09	2.8875e-09	3.142e-09	3.3212e-09	3.5011e-09	3.9866e-09	3.723e-09	3.6001e-09	4.0718e-09
-0.06	1.6935e-09	2.7554e-09	3.5465e-09	3.8562e-09	4.2627e-09	4.2909e-09	4.8443e-09	4.5774e-09	4.4897e-09	5.0055e-09
-0.055	1.9893e-09	3.2817e-09	4.1274e-09	4.6053e-09	5.2161e-09	5.1088e-09	5.7078e-09	5.5261e-09	5.4615e-09	5.9078e-09
-0.05	2.4826e-09	3.8833e-09	4.9705e-09	5.4727e-09	6.1788e-09	6.183e-09	6.6069e-09	6.7353e-09	6.4961e-09	7.0717e-09
-0.045	3.02e-09	4.7305e-09	6.1291e-09	6.5797e-09	7.4097e-09	7.5169e-09	7.9183e-09	8.1571e-09	7.8567e-09	8.3875e-09
-0.04	3.606e-09	5.7157e-09	7.2282e-09	7.9591e-09	8.8066e-09	8.918e-09	9.4919e-09	9.6806e-09	9.5185e-09	9.7777e-09
-0.035	4.4607e-09	6.6902e-09	8.681e-09	9.4257e-09	1.02987e-08	1.05863e-08	1.11843e-08	1.14823e-08	1.12901e-08	1.15547e-08
-0.03	5.3681e-09	7.9593e-09	1.04846e-08	1.11342e-08	1.20881e-08	1.26973e-08	1.34569e-08	1.37568e-08	1.33804e-08	1.38409e-08
-0.025	6.3264e-09	9.5715e-09	1.22778e-08	1.34244e-08	1.43641e-08	1.50595e-08	1.616e-08	1.64684e-08	1.60695e-08	1.64779e-08
-0.02	7.6554e-09	1.1254e-08	1.44316e-08	1.60778e-08	1.70749e-08	1.78392e-08	1.90223e-08	1.9589e-08	1.90833e-08	1.94702e-08
-0.015	9.0868e-09	1.3324e-08	1.70413e-08	1.89951e-08	2.02115e-08	2.13182e-08	2.25488e-08	2.31262e-08	2.25059e-08	2.31022e-08
-0.01	1.06662e-08	1.60727e-08	2.0021e-08	2.25818e-08	2.38937e-08	2.53396e-08	2.68629e-08	2.73218e-08	2.68599e-08	2.74707e-08
-0.005	1.27752e-08	1.9099e-08	2.36846e-08	2.69376e-08	2.83419e-08	2.99577e-08	3.1767e-08	3.25036e-08	3.20569e-08	3.26611e-08
0	1.51441e-08	2.24465e-08	2.81173e-08	3.17377e-08	3.37712e-08	3.54599e-08	3.76014e-08	3.84638e-08	3.80521e-08	3.89149e-08
0.005	1.77906e-08	2.67905e-08	3.31882e-08	3.73957e-08	4.01115e-08	4.201e-08	4.46192e-08	4.53694e-08	4.53082e-08	4.64177e-08
0.01	2.10819e-08	3.2006e-08	3.93441e-08	4.43992e-08	4.73903e-08	4.95567e-08	5.29142e-08	5.38245e-08	5.40098e-08	5.51372e-08
0.015	2.50585e-08	3.74412e-08	4.67358e-08	5.23007e-08	5.60491e-08	5.83392e-08	6.267e-08	6.3854e-08	6.3968e-08	6.4774e-08
0.02	2.97675e-08	4.37667e-08	5.51516e-08	6.13055e-08	6.6153e-08	6.8967e-08	7.4032e-08	7.5357e-08	7.5426e-08	7.6216e-08
0.025	3.53622e-08	5.21394e-08	6.55677e-08	7.2287e-08	7.7947e-08	8.1725e-08	8.7542e-08	8.9002e-08	8.8922e-08	9.0517e-08
0.03	4.17222e-08	6.19025e-08	7.8098e-08	8.4649e-08	9.2076e-08	9.6465e-08	1.03398e-07	1.05399e-07	1.05027e-07	1.07124e-07
0.035	4.92327e-08	7.2856e-08	9.1979e-08	9.8694e-08	1.08538e-07	1.14182e-07	1.21851e-07	1.25246e-07	1.23961e-07	1.26484e-07
0.04	5.8434e-08	8.6426e-08	1.08247e-07	1.16916e-07	1.28369e-07	1.35728e-07	1.43713e-07	1.48756e-07	1.46329e-07	1.49938e-07
0.045	6.87405e-08	1.02764e-07	1.28326e-07	1.39883e-07	1.52845e-07	1.60933e-07	1.70242e-07	1.76109e-07	1.73682e-07	1.77395e-07
0.05	8.0967e-08	1.21337e-07	1.51432e-07	1.6606e-07	1.80628e-07	1.90396e-07	2.02194e-07	2.087e-07	2.0588e-07	2.09842e-07
0.055	9.6339e-08	1.42132e-07	1.78376e-07	1.9593e-07	2.13161e-07	2.25553e-07	2.39999e-07	2.47474e-07	2.43788e-07	2.49548e-07
0.06	1.13667e-07	1.67219e-07	2.12985e-07	2.3243e-07	2.53885e-07	2.6809e-07	2.84735e-07	2.93013e-07	2.89947e-07	2.96291e-07
0.065	1.33249e-07	1.98833e-07	2.54664e-07	2.76131e-07	3.01319e-07	3.18009e-07	3.36254e-07	3.46722e-07	3.43893e-07	3.49455e-07
0.07	1.57834e-07	2.36787e-07	3.01671e-07	3.28103e-07	3.55738e-07	3.75291e-07	3.9508e-07	4.10935e-07	4.06873e-07	4.12418e-07
0.075	1.86151e-07	2.80703e-07	3.56914e-07	3.92171e-07	4.19829e-07	4.41247e-07	4.65117e-07	4.85204e-07	4.8181e-07	4.88146e-07
0.08	2.18576e-07	3.32464e-07	4.23828e-07	4.69266e-07	4.96359e-07	5.19832e-07	5.49382e-07	5.69997e-07	5.68403e-07	5.76658e-07
0.085	2.60569e-07	3.95027e-07	5.03031e-07	5.57491e-07	5.88102e-07	6.14857e-07	6.49506e-07	6.71013e-07	6.70293e-07	6.82315e-07
0.09	3.12169e-07	4.67461e-07	5.95116e-07	6.56579e-07	6.95298e-07	7.27496e-07	7.69388e-07	7.947e-07	7.9453e-07	8.09456e-07
0.095	3.70391e-07	5.49719e-07	7.03556e-07	7.723e-07	8.22544e-07	8.61502e-07	9.10914e-07	9.39404e-07	9.41644e-07	9.55754e-07
0.1	4.37058e-07	6.46914e-07	8.31412e-07	9.11576e-07	9.7621e-07	1.023822e-06	1.078384e-06	1.108452e-06	1.112154e-06	1.128042e-06
0.105	5.17497e-07	7.6284e-07	9.81164e-07	1.071764e-06	1.157232e-06	1.214088e-06	1.275232e-06	1.316308e-06	1.313112e-06	1.33717e-06
0.11	6.11188e-07	9.0212e-07	1.159672e-06	1.261554e-06	1.36902e-06	1.430814e-06	1.50238e-06	1.563584e-06	1.554122e-06	1.580742e-06
0.115	7.14265e-07	1.068922e-06	1.37648e-06	1.49818e-06	1.615396e-06	1.689432e-06	1.770294e-06	1.847638e-06	1.837976e-06	1.861742e-06
0.12	8.43214e-07	1.265354e-06	1.633888e-06	1.775368e-06	1.908042e-06	2.003526e-06	2.097186e-06	2.185076e-06	2.17029e-06	2.201238e-06
0.125	1.007092e-06	1.50207e-06	1.932018e-06	2.09287e-06	2.2644e-06	2.378324e-06	2.48637e-06	2.593986e-06	2.568286e-06	2.627786e-06
0.13	1.193898e-06	1.786868e-06	2.27712e-06	2.483382e-06	2.669562e-06	2.812446e-06	2.943948e-06	3.0724e-06	3.04257e-06	3.114254e-06
0.135	1.417044e-06	2.112316e-06	2.702912e-06	2.94762e-06	3.144254e-06	3.307302e-06	3.497252e-06	3.629808e-06	3.605332e-06	3.659476e-06
0.14	1.686066e-06	2.480152e-06	3.225488e-06	3.472456e-06	3.74029e-06	3.899892e-06	4.157582e-06	4.303698e-06	4.284754e-06	4.336718e-06
0.145	1.988224e-06	2.9197e-06	3.837802e-06	4.08827e-06	4.4271e-06	4.614948e-06	4.911732e-06	5.086488e-06	5.08171e-06	5.154668e-06
0.15	2.337298e-06	3.459802e-06	4.539956e-06	4.817888e-06	5.209868e-06	5.465398e-06	5.80546e-06	5.98066e-06	5.9939e-06	6.081214e-06
0.155	2.72517e-06	4.097578e-06	5.328964e-06	5.675102e-06	6.161228e-06	6.489296e-06	6.894394e-06	7.06691e-06	7.069774e-06	7.186e-06
0.16	3.163824e-06	4.827366e-06	6.258218e-06	6.728152e-06	7.2708e-06	7.6974e-06	8.1556e-06	8.3616e-06	8.3356e-06	8.4988e-06
0.165	3.73007e-06	5.709156e-06	7.36e-06	7.9804e-06	8.5786e-06	9.0942e-06	9.6546e-06	9.877e-06	9.8314e-06	1.0021e-05
0.17	4.413574e-06	6.771898e-06	8.643e-06	9.4334e-06	1.01764e-05	1.07092e-05	1.14232e-05	1.17188e-05	1.16376e-05	1.1838e-05
0.175	5.243932e-06	7.9632e-06	1.028e-05	1.11894e-05	1.20548e-05	1.26122e-05	1.34636e-05	1.39038e-05	1.37668e-05	1.3995e-05
0.18	6.275874e-06	9.3454e-06	1.22914e-05	1.31968e-05	1.42322e-05	1.49302e-05	1.5904e-05	1.63646e-05	1.62954e-05	1.6553e-05
0.185	7.4596e-06	1.10614e-05	1.44816e-05	1.55022e-05	1.68478e-05	1.77296e-05	1.87992e-05	1.9297e-05	1.93448e-05	1.9644e-05
0.19	8.754e-06	1.30762e-05	1.69616e-05	1.83128e-05	1.99066e-05	2.0974e-05	2.21672e-05	2.2907e-05	2.29148e-05	2.32866e-05
0.195	1.0261e-05	1.53586e-05	1.99988e-05	2.1673e-05	2.34688e-05	2.475e-05	2.62698e-05	2.7012e-05	2.7102e-05	2.75404e-05
0.2	1.21044e-05	1.81126e-05	2.36224e-05	2.57168e-05	2.7645e-05	2.92982e-05	3.11508e-05	3.17516e-05	3.20744e-05	3.2573e-05
0.205	1.41624e-05	2.1394e-05	2.77968e-05	3.03962e-05	3.24602e-05	3.4552e-05	3.6832e-05	3.7531e-05	3.76846e-05	3.8452e-05
0.21	1.65062e-05	2.52146e-05	3.2784e-05	3.5631e-05	3.81918e-05	4.05242e-05	4.34444e-05	4.42232e-05	4.40378e-05	4.53546e-05
0.215	1.9428e-05	2.96262e-05	3.8835e-05	4.20806e-05	4.51212e-05	4.7569e-05	5.07888e-05	5.19776e-05	5.18498e-05	5.34176e-05
0.22	2.28678e-05	3.47248e-05	4.56766e-05	4.97094e-05	5.30778e-05	5.58046e-05	5.94836e-05	6.11248e-05	6.11574e-05	6.26462e-05
0.225	2.6616e-05	4.08116e-05	5.31904e-05	5.79664e-05	6.22384e-05	6.5615e-05	7.0195e-05	7.1653e-05	7.1585e-05	7.3385e-05
0.23	3.1087e-05	4.78058e-05	6.19954e-05	6.78442e-05	7.339e-05	7.7455e-05	8.2344e-05	8.4004e-05	8.3813e-05	8.5913e-05
0.235	3.66534e-05	5.55912e-05	7.2491e-05	7.9947e-05	8.6296e-05	9.096e-05	9.6103e-05	9.8842e-05	9.877e-05	0.000100737
0.24	4.28486e-05	6.46108e-05	8.4532e-05	9.3758e-05	0.00010078	0.000106201	0.00011267	0.000115794	0.000115963	0.000118532
0.245	4.92618e-05	7.5096e-05	9.8345e-05	0.000109682	0.000118111	0.000124608	0.000132068	0.000134834	0.000135291	0.000139036
0.25	5.663e-05	8.7215e-05	0.000114317	0.000128284	0.000138391	0.000146205	0.000153931	0.000157356	0.000158659	0.000162397
0.255	6.5145e-05	0.000101597	0.000132467	0.000149043	0.000161154	0.000170468	0.0001798	0.000183357	0.000186336	0.000189873
0.26	7.3626e-05	0.000117991	0.000153072	0.000172062	0.000187148	0.000198785	0.000210118	0.000213053	0.000216674	0.000221644
0.265	8.2931e-05	0.000136339	0.000177008	0.000199245	0.000216951	0.000231711	0.000243209	0.000248259	0.000251182	0.000257266
0.27	9.5062e-05	0.000157516	0.000204736	0.000231849	0.000251834	0.000268721	0.000280835	0.000289112	0.000292568	0.000297915
0.275	0.000108936	0.000181115	0.000235577	0.000268076	0.000292318	0.000310541	0.000325602	0.000335135	0.000339969	0.000346107
0.28	0.000123728	0.000207042	0.000270029	0.00030861	0.000337679	0.000358658	0.000376969	0.000387718	0.000393801	0.000401428
0.285	0.000141958	0.000237052	0.00030991	0.00035651	0.000389434	0.000413956	0.000436105	0.000446879	0.000455312	0.000461991
0.29	0.000162519	0.000271039	0.000355518	0.000409907	0.000448939	0.000477672	0.000504997	0.000513745	0.000524632	0.000531587
0.295	0.000183032	0.000308099	0.000406515	0.000468097	0.000515485	0.000550844	0.000581699	0.000592721	0.00060373	0.00061416
0.3	0.000204995	0.000350838	0.000463863	0.000536655	0.00059116	0.0006341	0.00066492	0.00068338	0.00069424	0.00070806
0.305	0.000228179	0.000399103	0.000526951	0.00061614	0.00067882	0.0007275	0.00075814	0.00078476	0.00079784	0.00081364
0.31	0.000254323	0.000451555	0.00059606	0.00070306	0.00077764	0.00083206	0.00086818	0.00090042	0.00091746	0.0009358
0.315	0.00028518	0.00051085	0.00067472	0.00080132	0.00088728	0.00095118	0.00099612	0.0010304	0.0010535	0.00107396
0.32	0.00031866	0.0005759	0.00076464	0.00091336	0.00101108	0.00108652	0.00113968	0.00117634	0.00120594	0.00122694
0.325	0.000355263	0.0006464	0.00086482	0.00103428	0.00115158	0.00123662	0.00130284	0.00134382	0.00137824	0.00140162
0.33	0.000396657	0.00072776	0.00097772	0.00116846	0.00130998	0.00140566	0.0014874	0.0015338	0.00157356	0.001603
0.335	0.00044202	0.00081884	0.00110632	0.00132336	0.00148644	0.001599	0.00169006	0.001747	0.00179328	0.00182808
0.34	0.00049284	0.00091688	0.00124682	0.00149454	0.00168218	0.00181526	0.00191472	0.00198838	0.00204394	0.00208282
0.345	0.00054966	0.00102776	0.0013982	0.001683	0.00190034	0.00205808	0.0021711	0.0022624	0.0023289	0.00237472
0.35	0.00060948	0.00115112	0.00156652	0.00189622	0.00214436	0.00233108	0.0024607	0.00256668	0.00264274	0.00269656
0.355	0.00067456	0.00127996	0.00175092	0.00213144	0.00241462	0.00262814	0.00277892	0.0028976	0.00298524	0.00304788
0.36	0.00074558	0.00141966	0.00195078	0.00238646	0.00270718	0.00294966	0.00312408	0.00326014	0.00336264	0.0034376
0.365	0.00081898	0.00157494	0.00217002	0.00266154	0.00302408	0.00330046	0.00349858	0.0036569	0.00377506	0.00386408
0.37	0.00089828	0.00173738	0.00240454	0.00295138	0.00336604	0.00367622	0.00390522	0.0040834	0.00422376	0.00432636
0.375	0.00098628	0.00190672	0.00265148	0.0032579	0.00372306	0.00407608	0.0043404	0.00454358	0.004713	0.00483
0.38	0.00107858	0.00209148	0.0029103	0.00358362	0.004096	0.0045082	0.0048046	0.005049	0.005241	0.0053752
0.385	0.00117046	0.0022851	0.0031737	0.00392296	0.0044972	0.0049668	0.005307	0.0055944	0.0058066	0.0059618
0.39	0.001264	0.00247616	0.00344418	0.0042774	0.0049228	0.0054442	0.005844	0.00617	0.0064092	0.0065916
0.395	0.00136152	0.00266764	0.0037332	0.0046488	0.0053648	0.0059496	0.0063994	0.0067734	0.0070472	0.0072574
0.4	0.00145738	0.002866	0.0040342	0.0050336	0.0058272	0.006486	0.0069798	0.0074048	0.0077198	0.0079564
0.405	0.00155796	0.00306568	0.0043378	0.0054296	0.0063084	0.0070384	0.0075968	0.008064	0.0084288	0.0086966
0.41	0.0016691	0.0032636	0.0046462	0.0058328	0.0068028	0.007601	0.0082354	0.008752	0.0091762	0.009477
0.415	0.00177644	0.0034702	0.004958	0.0062394	0.0073076	0.0081816	0.0088848	0.0094646	0.0099482	0.010286
0.42	0.0018741	0.0036822	0.00527	0.0066472	0.0078142	0.0087708	0.0095516	0.010194	0.010733	0.0111214
0.425	0.00196916	0.0038868	0.0055776	0.0070562	0.0083236	0.0093596	0.0102288	0.0109402	0.0115362	0.0119862
0.43	0.00205564	0.0040846	0.005881	0.0074628	0.0088338	0.0099602	0.0109092	0.0117034	0.0123608	0.0128704
0.435	0.00212866	0.004277	0.0061824	0.0078656	0.0093336	0.010568	0.0115898	0.0124736	0.0131952	0.0137644
