vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	2.6334e-10	-5.6624e-10	2.8392e-10	3.198e-07	-3.1962e-07	3.0204e-10	-5.8412e-10	2.9547e-10	3.1948e-07	-3.1946e-07	3.3963e-10	-6.0766e-10	2.8256e-10	3.1942e-07	-3.194e-07	3.8907e-10	-6.3774e-10	2.9189e-10	3.194e-07	-3.1934e-07	4.2671e-10	-6.5725e-10	2.8208e-10	3.1944e-07	-3.1946e-07	4.7036e-10	-6.8175e-10	2.8709e-10	3.1938e-07	-3.1934e-07	5.1439e-10	-7.1247e-10	2.8341e-10	3.1946e-07	-3.1948e-07	5.5597e-10	-7.3322e-10	2.9456e-10	3.1936e-07	-3.1946e-07	6.0438e-10	-7.6891e-10	2.8557e-10	3.1942e-07	-3.1954e-07	6.3477e-10	-7.8608e-10	2.8915e-10	3.1942e-07	-3.1948e-07	7.0115e-10	-8.2724e-10	2.9554e-10	3.1942e-07	-3.1956e-07
-0.295	2.517e-10	-5.405e-10	2.7776e-10	3.1972e-07	-3.1966e-07	2.9612e-10	-5.6017e-10	2.6883e-10	3.1946e-07	-3.1942e-07	3.3994e-10	-5.8892e-10	2.6252e-10	3.1946e-07	-3.1938e-07	3.778e-10	-6.066e-10	2.6434e-10	3.1938e-07	-3.1936e-07	4.1573e-10	-6.3031e-10	2.6089e-10	3.1938e-07	-3.1942e-07	4.624e-10	-6.5645e-10	2.6585e-10	3.1938e-07	-3.1942e-07	4.9511e-10	-6.7829e-10	2.6332e-10	3.194e-07	-3.194e-07	5.4422e-10	-7.1244e-10	2.6978e-10	3.1934e-07	-3.1952e-07	5.8593e-10	-7.378e-10	2.6152e-10	3.1942e-07	-3.1942e-07	6.2367e-10	-7.7117e-10	2.9164e-10	3.1938e-07	-3.1952e-07	6.8652e-10	-7.9833e-10	2.6394e-10	3.1932e-07	-3.194e-07
-0.29	2.4607e-10	-5.1865e-10	2.6087e-10	3.1962e-07	-3.1958e-07	2.8443e-10	-5.4046e-10	2.5618e-10	3.1944e-07	-3.1942e-07	3.2394e-10	-5.5758e-10	2.5521e-10	3.1942e-07	-3.194e-07	3.619e-10	-5.8023e-10	2.5795e-10	3.1932e-07	-3.194e-07	4.0489e-10	-6.0748e-10	2.6839e-10	3.1942e-07	-3.1946e-07	4.4438e-10	-6.3034e-10	2.6128e-10	3.1942e-07	-3.1942e-07	4.8633e-10	-6.5674e-10	2.6403e-10	3.1934e-07	-3.1942e-07	5.3156e-10	-6.8376e-10	2.5918e-10	3.1936e-07	-3.1942e-07	5.7415e-10	-7.1182e-10	2.6239e-10	3.1942e-07	-3.1946e-07	6.0951e-10	-7.446e-10	2.6206e-10	3.1946e-07	-3.1952e-07	6.6896e-10	-7.6748e-10	2.5316e-10	3.1936e-07	-3.1948e-07
-0.285	2.3811e-10	-4.99e-10	2.4561e-10	3.1966e-07	-3.1964e-07	2.7032e-10	-5.1448e-10	2.5354e-10	3.1942e-07	-3.1944e-07	3.1316e-10	-5.3413e-10	2.6014e-10	3.1938e-07	-3.194e-07	3.5161e-10	-5.5918e-10	2.6159e-10	3.1938e-07	-3.1938e-07	3.8822e-10	-5.8304e-10	2.5632e-10	3.1942e-07	-3.1946e-07	4.3352e-10	-6.0574e-10	2.5942e-10	3.1936e-07	-3.1948e-07	4.7169e-10	-6.367e-10	2.5756e-10	3.1926e-07	-3.1936e-07	5.1723e-10	-6.5486e-10	2.6135e-10	3.1932e-07	-3.1946e-07	5.5487e-10	-6.8819e-10	2.6415e-10	3.1938e-07	-3.1952e-07	5.9964e-10	-7.0581e-10	2.3828e-10	3.1934e-07	-3.1946e-07	6.5158e-10	-7.4811e-10	2.5652e-10	3.1936e-07	-3.1948e-07
-0.28	2.266e-10	-4.7242e-10	2.4199e-10	3.1962e-07	-3.1966e-07	2.6327e-10	-4.964e-10	2.3881e-10	3.195e-07	-3.1942e-07	3.0095e-10	-5.2224e-10	2.4225e-10	3.1938e-07	-3.1934e-07	3.4075e-10	-5.4015e-10	2.4061e-10	3.1936e-07	-3.1934e-07	3.8125e-10	-5.5941e-10	2.3087e-10	3.194e-07	-3.194e-07	4.2218e-10	-5.8279e-10	2.3692e-10	3.1936e-07	-3.1936e-07	4.5761e-10	-6.0054e-10	2.3424e-10	3.193e-07	-3.1938e-07	5.0256e-10	-6.3543e-10	2.3928e-10	3.1938e-07	-3.1942e-07	5.4334e-10	-6.5541e-10	2.3082e-10	3.1936e-07	-3.195e-07	5.7738e-10	-6.9424e-10	2.3438e-10	3.1936e-07	-3.1948e-07	6.3804e-10	-7.1768e-10	2.4008e-10	3.194e-07	-3.1942e-07
-0.275	2.1588e-10	-4.5644e-10	2.4227e-10	3.1964e-07	-3.196e-07	2.5427e-10	-4.7654e-10	2.2148e-10	3.1944e-07	-3.1938e-07	2.892e-10	-4.9169e-10	2.2797e-10	3.1932e-07	-3.193e-07	3.3003e-10	-5.1504e-10	2.2132e-10	3.1942e-07	-3.1944e-07	3.6731e-10	-5.3999e-10	2.3042e-10	3.1948e-07	-3.1948e-07	4.1332e-10	-5.624e-10	2.24e-10	3.1948e-07	-3.1946e-07	4.4999e-10	-5.8555e-10	2.2684e-10	3.1926e-07	-3.1928e-07	4.9005e-10	-6.098e-10	2.1799e-10	3.193e-07	-3.1946e-07	5.2374e-10	-6.395e-10	2.2431e-10	3.1944e-07	-3.1952e-07	5.6644e-10	-6.6322e-10	2.2732e-10	3.1934e-07	-3.1942e-07	6.2292e-10	-6.8939e-10	2.2186e-10	3.1942e-07	-3.1948e-07
-0.27	2.0523e-10	-4.3621e-10	2.1485e-10	3.1968e-07	-3.196e-07	2.4263e-10	-4.5143e-10	2.2377e-10	3.1938e-07	-3.1942e-07	2.7847e-10	-4.7196e-10	2.2943e-10	3.1938e-07	-3.1942e-07	3.2045e-10	-4.9219e-10	2.2433e-10	3.1944e-07	-3.1934e-07	3.5752e-10	-5.1835e-10	2.3208e-10	3.1948e-07	-3.195e-07	3.9222e-10	-5.3184e-10	2.2827e-10	3.1936e-07	-3.1948e-07	4.324e-10	-5.5996e-10	2.2956e-10	3.1932e-07	-3.193e-07	4.7553e-10	-5.834e-10	2.2176e-10	3.1938e-07	-3.1942e-07	5.017e-10	-6.0881e-10	2.2826e-10	3.1938e-07	-3.1948e-07	5.512e-10	-6.3382e-10	2.1405e-10	3.1936e-07	-3.1946e-07	6.0804e-10	-6.7042e-10	2.2757e-10	3.1944e-07	-3.1964e-07
-0.265	2.0411e-10	-4.1847e-10	2.0423e-10	3.1966e-07	-3.1964e-07	2.3204e-10	-4.3819e-10	2.2357e-10	3.195e-07	-3.1946e-07	2.6765e-10	-4.5682e-10	2.1638e-10	3.1944e-07	-3.1934e-07	3.0629e-10	-4.787e-10	2.2293e-10	3.194e-07	-3.1936e-07	3.4499e-10	-4.9262e-10	2.1341e-10	3.1944e-07	-3.1946e-07	3.8612e-10	-5.1684e-10	2.1528e-10	3.1952e-07	-3.1952e-07	4.2431e-10	-5.3597e-10	2.0817e-10	3.1926e-07	-3.1936e-07	4.629e-10	-5.6659e-10	2.2329e-10	3.1938e-07	-3.1946e-07	4.9565e-10	-5.899e-10	2.152e-10	3.1936e-07	-3.1942e-07	5.3729e-10	-6.1888e-10	2.1718e-10	3.1942e-07	-3.1946e-07	5.9099e-10	-6.4231e-10	2.2677e-10	3.1938e-07	-3.1952e-07
-0.26	1.856e-10	-4.0187e-10	2.1232e-10	3.1968e-07	-3.1964e-07	2.2761e-10	-4.1908e-10	2.0066e-10	3.1958e-07	-3.195e-07	2.5948e-10	-4.3535e-10	1.9463e-10	3.1934e-07	-3.1936e-07	2.9787e-10	-4.5294e-10	1.9585e-10	3.1932e-07	-3.1938e-07	3.372e-10	-4.7256e-10	1.9587e-10	3.1932e-07	-3.1938e-07	3.7908e-10	-5.0451e-10	1.9576e-10	3.1942e-07	-3.195e-07	4.1264e-10	-5.212e-10	1.9277e-10	3.1926e-07	-3.1936e-07	4.514e-10	-5.4168e-10	1.9915e-10	3.1938e-07	-3.1944e-07	4.7932e-10	-5.6754e-10	1.9418e-10	3.1942e-07	-3.1946e-07	5.3426e-10	-5.9206e-10	2.2538e-10	3.1932e-07	-3.1946e-07	5.7793e-10	-6.1543e-10	1.9779e-10	3.1944e-07	-3.1956e-07
-0.255	1.8315e-10	-3.819e-10	1.9486e-10	3.1962e-07	-3.1954e-07	2.1559e-10	-3.9296e-10	1.8887e-10	3.1942e-07	-3.1946e-07	2.5354e-10	-4.1447e-10	1.8494e-10	3.1934e-07	-3.1936e-07	2.9003e-10	-4.3249e-10	1.8858e-10	3.194e-07	-3.1944e-07	3.27e-10	-4.5904e-10	2.0112e-10	3.1938e-07	-3.1936e-07	3.5491e-10	-4.6521e-10	1.9198e-10	3.1936e-07	-3.1942e-07	3.9974e-10	-4.9585e-10	1.9883e-10	3.1934e-07	-3.1938e-07	4.3827e-10	-5.1689e-10	1.9219e-10	3.1932e-07	-3.1948e-07	4.6824e-10	-5.4138e-10	1.9759e-10	3.1938e-07	-3.1954e-07	5.1529e-10	-5.632e-10	1.9727e-10	3.1942e-07	-3.1952e-07	5.6609e-10	-6.0002e-10	1.9241e-10	3.1942e-07	-3.1958e-07
