vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.0	-1.6977000000000002e-10	-5.120000000000001e-12	-6.3e-13	3.2542e-07	-3.2524e-07	-4.9225e-09	2.1124e-10	1.4e-13	3.251e-07	-3.2114e-07	-5.7654e-09	1.1636e-09	-1.18e-12	3.2518e-07	-3.2102e-07	-1.0781599999999998e-08	5.9489e-09	3.7000000000000004e-13	3.251e-07	-3.2082e-07	-2.84184e-08	2.30396e-08	-6.700000000000002e-13	3.2504e-07	-3.2022e-07	-8.78286e-08	8.28404e-08	-5.300000000000002e-13	3.249e-07	-3.203e-07	-3.3752e-07	3.334e-07	-7e-13	3.249e-07	-3.2096e-07
0.005	-7.125e-11	-1.062e-11	-7.100000000000001e-13	3.2534e-07	-3.253e-07	-3.8463e-09	2.0175000000000003e-10	-5.9e-13	3.251e-07	-3.2152e-07	-4.8378e-09	1.0905e-09	3.000000000000001e-13	3.251e-07	-3.2144e-07	-9.574799999999999e-09	5.6457e-09	1.8000000000000004e-13	3.2502e-07	-3.212e-07	-2.66938e-08	2.20702e-08	-4.7e-13	3.2508e-07	-3.2058e-07	-8.35928e-08	7.920139999999999e-08	-1.4e-13	3.2492e-07	-3.2068e-07	-3.2114e-07	3.171e-07	-3.5e-13	3.2488e-07	-3.2108e-07
0.01	1.96e-12	-1.754e-11	-7.3e-13	3.254e-07	-3.2536e-07	-3.4968e-09	1.8868e-10	-2.300000000000001e-13	3.2512e-07	-3.2186e-07	-4.4364e-09	1.0297e-09	-6.000000000000002e-13	3.251e-07	-3.2174e-07	-8.9363e-09	5.3663e-09	-7.100000000000001e-13	3.251e-07	-3.216e-07	-2.54184e-08	2.11208e-08	-3.0000000000000005e-14	3.2506e-07	-3.2078e-07	-7.98592e-08	7.577039999999999e-08	-1.4e-13	3.2488e-07	-3.209e-07	-3.0596e-07	3.0238e-07	-1.02e-12	3.2488e-07	-3.213e-07
0.015	6.450000000000001e-11	-2.672e-11	6.6e-13	3.2536e-07	-3.2542e-07	-3.1912e-09	1.7727000000000002e-10	2.2000000000000002e-13	3.251e-07	-3.2216e-07	-4.0737e-09	9.6641e-10	-9.700000000000001e-13	3.2498e-07	-3.22e-07	-8.3599e-09	5.0915e-09	-6.700000000000002e-13	3.2508e-07	-3.2186e-07	-2.42328e-08	2.02224e-08	1.1000000000000001e-13	3.2504e-07	-3.2114e-07	-7.632819999999999e-08	7.24878e-08	-9.200000000000001e-13	3.2488e-07	-3.212e-07	-2.9142e-07	2.8778e-07	-7.3e-13	3.2494e-07	-3.2136e-07
0.02	1.3003000000000002e-10	-3.393e-11	-1.0000000000000002e-14	3.2538e-07	-3.254e-07	-2.9252e-09	1.6982e-10	-8.400000000000001e-13	3.2506e-07	-3.224e-07	-3.6884e-09	9.0874e-10	-5e-14	3.2506e-07	-3.2226e-07	-7.8386e-09	4.8409e-09	-2.1000000000000001e-13	3.2506e-07	-3.2208e-07	-2.3106e-08	1.93628e-08	3.1000000000000004e-13	3.2498e-07	-3.2128e-07	-7.297699999999998e-08	6.93892e-08	-1.7e-13	3.2488e-07	-3.2138e-07	-2.7756e-07	2.7436e-07	1.0000000000000002e-14	3.2486e-07	-3.216e-07
0.025	1.9276e-10	-3.908e-11	-9e-14	3.2534e-07	-3.2542e-07	-2.694e-09	1.5874e-10	-1.21e-12	3.25e-07	-3.226e-07	-3.4132e-09	8.5445e-10	-2.900000000000001e-13	3.2504e-07	-3.2248e-07	-7.359e-09	4.5847e-09	-3.4e-13	3.2516e-07	-3.2242e-07	-2.20272e-08	1.852e-08	5.800000000000002e-13	3.2496e-07	-3.2144e-07	-6.976819999999999e-08	6.638879999999999e-08	-5.7e-13	3.2494e-07	-3.2162e-07	-2.6442e-07	2.6132e-07	-6.400000000000001e-13	3.2494e-07	-3.2186e-07
0.03	2.3027e-10	-4.956e-11	2.1000000000000001e-13	3.2536e-07	-3.2546e-07	-2.4838e-09	1.4885e-10	-6.500000000000002e-13	3.251e-07	-3.2278e-07	-3.1698e-09	8.037e-10	-1.04e-12	3.25e-07	-3.2266e-07	-6.9097e-09	4.3482e-09	-2.5e-13	3.2498e-07	-3.2244e-07	-2.10246e-08	1.7719599999999997e-08	-1.7e-13	3.25e-07	-3.217e-07	-6.673659999999999e-08	6.356819999999999e-08	-5.4e-13	3.2492e-07	-3.2174e-07	-2.5204e-07	2.489e-07	-2.4000000000000004e-13	3.249e-07	-3.2188e-07
0.035	2.9062000000000003e-10	-5.7380000000000006e-11	-6.000000000000001e-14	3.2534e-07	-3.2552e-07	-2.2882e-09	1.4136000000000002e-10	5.500000000000001e-13	3.2514e-07	-3.2304e-07	-2.9542e-09	7.518e-10	-1.3000000000000001e-12	3.2502e-07	-3.2292e-07	-6.4996e-09	4.1185e-09	-6.8e-13	3.2498e-07	-3.2262e-07	-2.0058e-08	1.69736e-08	1.5000000000000004e-13	3.2502e-07	-3.2184e-07	-6.377339999999999e-08	6.078799999999999e-08	-9.200000000000001e-13	3.2486e-07	-3.219e-07	-2.4008e-07	2.3716e-07	2.1000000000000001e-13	3.2488e-07	-3.2198e-07
0.04	3.4442000000000004e-10	-6.36e-11	-3.5e-13	3.2532e-07	-3.256e-07	-2.1206e-09	1.3430000000000002e-10	-1.2900000000000002e-12	3.2512e-07	-3.2314e-07	-2.744e-09	7.066900000000001e-10	-4e-13	3.2502e-07	-3.2302e-07	-6.1113e-09	3.9006e-09	-2.7e-13	3.2494e-07	-3.2278e-07	-1.91508e-08	1.624e-08	1e-13	3.2492e-07	-3.2202e-07	-6.10344e-08	5.82124e-08	5.500000000000001e-13	3.2498e-07	-3.2208e-07	-2.289e-07	2.2616e-07	-3.900000000000001e-13	3.249e-07	-3.222e-07
0.045	3.8778e-10	-7.286e-11	-1.4700000000000002e-12	3.2534e-07	-3.2558e-07	-1.957e-09	1.2424e-10	1.6000000000000005e-13	3.2512e-07	-3.233e-07	-2.5572e-09	6.6704e-10	-1.0100000000000001e-12	3.2508e-07	-3.2316e-07	-5.745e-09	3.6913e-09	-2.5e-13	3.2502e-07	-3.23e-07	-1.8253e-08	1.5517999999999997e-08	-2.0000000000000003e-14	3.2492e-07	-3.222e-07	-5.83698e-08	5.57154e-08	2.900000000000001e-13	3.2488e-07	-3.2218e-07	-2.181e-07	2.1546e-07	1.8000000000000004e-13	3.2492e-07	-3.2222e-07
