vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	1.0709e-09	-4.8337999999999996e-09	-5.7e-13	3.254e-07	-3.2158e-07	4.4163e-09	-6.4013e-09	-5.300000000000002e-13	3.2528e-07	-3.2302e-07	7.6951e-09	-9.0207e-09	1e-13	3.2522e-07	-3.2364e-07	1.2999799999999998e-08	-1.2930199999999998e-08	-1.8000000000000004e-13	3.2502e-07	-3.2484e-07	2.03816e-08	-1.8389e-08	-1.21e-12	3.2492e-07	-3.2666e-07	3.1144e-08	-2.55864e-08	6.000000000000001e-14	3.2488e-07	-3.3008e-07	4.63324e-08	-3.4822399999999994e-08	-5.800000000000002e-13	3.2502e-07	-3.3608e-07
-0.295	1.0238e-09	-4.4291e-09	-9.3e-13	3.2536e-07	-3.219e-07	4.0447e-09	-5.9586e-09	-4e-13	3.2524e-07	-3.2326e-07	7.289e-09	-8.5408e-09	-7.600000000000002e-13	3.2514e-07	-3.2386e-07	1.2598799999999998e-08	-1.24032e-08	-9.100000000000002e-13	3.25e-07	-3.2512e-07	1.99356e-08	-1.7801399999999997e-08	-9.000000000000001e-13	3.2484e-07	-3.2692e-07	3.0673e-08	-2.4933e-08	-4.7e-13	3.2486e-07	-3.3044e-07	4.564e-08	-3.4075e-08	-4e-13	3.2492e-07	-3.368e-07
-0.29	9.8432e-10	-4.0517e-09	2.7e-13	3.2542e-07	-3.2238e-07	3.8815e-09	-5.5475e-09	-1.79e-12	3.253e-07	-3.2362e-07	7.0837e-09	-8.0827e-09	-7e-14	3.2506e-07	-3.2418e-07	1.23354e-08	-1.1899799999999998e-08	-9.100000000000002e-13	3.25e-07	-3.2542e-07	1.96298e-08	-1.7239999999999998e-08	-1.46e-12	3.2492e-07	-3.2716e-07	3.0262199999999994e-08	-2.43066e-08	-1.2000000000000001e-12	3.2492e-07	-3.308e-07	4.52222e-08	-3.33812e-08	-9.200000000000001e-13	3.2496e-07	-3.3664e-07
-0.285	9.5289e-10	-3.7097e-09	2.8e-13	3.2536e-07	-3.2262e-07	3.7356e-09	-5.1797e-09	-1.45e-12	3.2524e-07	-3.238e-07	6.905e-09	-7.674e-09	-7.3e-13	3.2514e-07	-3.2438e-07	1.2110599999999998e-08	-1.14402e-08	-1.21e-12	3.25e-07	-3.2562e-07	1.93212e-08	-1.6725e-08	-1.36e-12	3.249e-07	-3.274e-07	2.99508e-08	-2.37336e-08	-1.7200000000000001e-12	3.2482e-07	-3.3094e-07	4.48152e-08	-3.27354e-08	-6.3e-13	3.249e-07	-3.3708e-07
-0.28	9.0342e-10	-3.401e-09	-1.04e-12	3.2542e-07	-3.2292e-07	3.6088e-09	-4.8382e-09	-1.6000000000000005e-13	3.2528e-07	-3.2402e-07	6.7365e-09	-7.2935e-09	2.0000000000000003e-14	3.2512e-07	-3.2452e-07	1.1888999999999998e-08	-1.10116e-08	-1.2000000000000001e-12	3.2506e-07	-3.2584e-07	1.90432e-08	-1.624e-08	-7.200000000000002e-13	3.2486e-07	-3.2762e-07	2.95816e-08	-2.3183e-08	-9.000000000000001e-13	3.2484e-07	-3.3128e-07	4.432899999999999e-08	-3.20932e-08	-6.000000000000002e-13	3.2492e-07	-3.3722e-07
-0.275	8.6521e-10	-3.121e-09	4.0000000000000006e-14	3.254e-07	-3.2316e-07	3.4961e-09	-4.5298e-09	-1.9000000000000002e-13	3.2522e-07	-3.2418e-07	6.5768e-09	-6.9443e-09	-4.600000000000002e-13	3.2512e-07	-3.2476e-07	1.1689399999999998e-08	-1.0613e-08	-1.0600000000000001e-12	3.2504e-07	-3.2604e-07	1.87764e-08	-1.5787799999999998e-08	2.8e-13	3.2492e-07	-3.2776e-07	2.92354e-08	-2.26628e-08	2.5e-13	3.2486e-07	-3.3132e-07	4.39406e-08	-3.15164e-08	-6.3e-13	3.249e-07	-3.3712e-07
-0.27	8.3198e-10	-2.8634e-09	-7.800000000000002e-13	3.2546e-07	-3.2332e-07	3.3836e-09	-4.2422e-09	-1.1500000000000001e-12	3.2528e-07	-3.2436e-07	6.4331e-09	-6.6168e-09	-6.200000000000001e-13	3.2516e-07	-3.2486e-07	1.14838e-08	-1.0239399999999998e-08	-1.07e-12	3.2506e-07	-3.2626e-07	1.85324e-08	-1.5357399999999998e-08	-4.500000000000001e-13	3.2492e-07	-3.2804e-07	2.8908e-08	-2.21566e-08	4.3000000000000004e-13	3.2494e-07	-3.3164e-07	4.358e-08	-3.0951199999999995e-08	-4.600000000000002e-13	3.2482e-07	-3.373e-07
-0.265	7.9947e-10	-2.6293e-09	-8.7e-13	3.2542e-07	-3.2362e-07	3.2827e-09	-3.9811e-09	-1.07e-12	3.2528e-07	-3.2456e-07	6.2786e-09	-6.3166e-09	-2.300000000000001e-13	3.2514e-07	-3.2514e-07	1.1293e-08	-9.8926e-09	-6.3e-13	3.2506e-07	-3.2642e-07	1.82822e-08	-1.49472e-08	-9.000000000000001e-13	3.249e-07	-3.282e-07	2.86198e-08	-2.1687e-08	-3.000000000000001e-13	3.2494e-07	-3.3172e-07	4.31036e-08	-3.03988e-08	-6.200000000000001e-13	3.2488e-07	-3.377e-07
-0.26	7.5066e-10	-2.4234e-09	-9.9e-13	3.256e-07	-3.2384e-07	3.1839e-09	-3.744e-09	1.1000000000000001e-13	3.2532e-07	-3.2468e-07	6.1511e-09	-6.0416e-09	-2e-13	3.251e-07	-3.2522e-07	1.10656e-08	-9.5722e-09	-1.1000000000000002e-12	3.2506e-07	-3.2652e-07	1.80468e-08	-1.4571599999999998e-08	-1.22e-12	3.2498e-07	-3.2844e-07	2.82728e-08	-2.12598e-08	-4.800000000000001e-13	3.2486e-07	-3.3186e-07	4.27162e-08	-2.98836e-08	-1.5200000000000002e-12	3.249e-07	-3.3766e-07
-0.255	7.1875e-10	-2.2319e-09	3.000000000000001e-13	3.2542e-07	-3.239e-07	3.0782e-09	-3.5209e-09	-2.6e-13	3.253e-07	-3.2482e-07	6.0204e-09	-5.7801e-09	-1.23e-12	3.2506e-07	-3.2536e-07	1.08052e-08	-9.2626e-09	-4.3000000000000004e-13	3.2502e-07	-3.266e-07	1.7823999999999998e-08	-1.4204799999999998e-08	-1.32e-12	3.2494e-07	-3.284e-07	2.80124e-08	-2.08314e-08	-2.900000000000001e-13	3.2486e-07	-3.3192e-07	4.23032e-08	-2.93868e-08	-7.100000000000001e-13	3.2488e-07	-3.3758e-07
-0.25	6.9927e-10	-2.0579e-09	-4.2000000000000003e-13	3.2542e-07	-3.241e-07	2.9813e-09	-3.3191e-09	-1.1100000000000001e-12	3.2534e-07	-3.25e-07	5.889e-09	-5.5404e-09	-1.2900000000000002e-12	3.2514e-07	-3.2544e-07	1.06104e-08	-8.9739e-09	-4.2000000000000003e-13	3.25e-07	-3.2662e-07	1.7568599999999998e-08	-1.38696e-08	-8.7e-13	3.25e-07	-3.2858e-07	2.76534e-08	-2.04256e-08	-8.300000000000001e-13	3.2488e-07	-3.3202e-07	4.18924e-08	-2.8912e-08	-1.26e-12	3.2488e-07	-3.3784e-07
-0.245	6.6434e-10	-1.8969e-09	-7.600000000000002e-13	3.2536e-07	-3.2416e-07	2.9021e-09	-3.1327e-09	-4e-13	3.2526e-07	-3.2508e-07	5.7592e-09	-5.3159e-09	-1.1000000000000001e-13	3.2504e-07	-3.2554e-07	1.04284e-08	-8.7048e-09	7e-14	3.2506e-07	-3.2674e-07	1.7351799999999998e-08	-1.35354e-08	-9.700000000000001e-13	3.2494e-07	-3.2878e-07	2.7397e-08	-2.00318e-08	-7e-13	3.2486e-07	-3.3206e-07	4.14414e-08	-2.845e-08	-9.9e-13	3.2492e-07	-3.3778e-07
