vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
-0.3	9.642e-11	-3.6968e-09	-1.46e-12	3.2586e-07	-3.2222e-07	2.2353e-09	-4.0296e-09	-8.9e-13	3.2544e-07	-3.2344e-07	3.4946e-09	-4.6198e-09	-5e-13	3.2542e-07	-3.2404e-07	5.6793e-09	-5.6001e-09	9e-14	3.2528e-07	-3.2512e-07	9.3941e-09	-7.1005e-09	-9.8e-13	3.253e-07	-3.274e-07	1.53992e-08	-9.2551e-09	-1.18e-12	3.2524e-07	-3.3114e-07	2.68524e-08	-1.2223e-08	-7.6e-13	3.2516e-07	-3.398e-07
-0.295	8.432e-11	-3.3351e-09	-6.1e-13	3.2578e-07	-3.2252e-07	1.9208e-09	-3.6543e-09	-5.5e-13	3.2542e-07	-3.2366e-07	3.1778e-09	-4.2314e-09	-4.6e-13	3.2536e-07	-3.2424e-07	5.3253e-09	-5.1973e-09	5.2e-13	3.2524e-07	-3.2528e-07	8.9419e-09	-6.6793e-09	-4.7e-13	3.253e-07	-3.2738e-07	1.50024e-08	-8.8058e-09	6.7e-13	3.2518e-07	-3.3134e-07	2.65906e-08	-1.1744e-08	-1.05e-12	3.2516e-07	-3.3976e-07
-0.29	8.644e-11	-2.9937e-09	-1.46e-12	3.2578e-07	-3.2284e-07	1.8149e-09	-3.3112e-09	-3.1e-13	3.2544e-07	-3.24e-07	3.0574e-09	-3.8773e-09	5.1e-13	3.2528e-07	-3.2444e-07	5.2078e-09	-4.826e-09	-6.5e-13	3.2522e-07	-3.2558e-07	8.7921e-09	-6.2906e-09	2.2e-13	3.2524e-07	-3.2774e-07	1.48072e-08	-8.3908e-09	7.4e-13	3.2526e-07	-3.3148e-07	2.60904e-08	-1.12874e-08	-5.6e-13	3.2516e-07	-3.4008e-07
-0.285	7.939e-11	-2.6954e-09	-6.5e-13	3.2584e-07	-3.2316e-07	1.7215e-09	-3.0089e-09	1e-13	3.2548e-07	-3.2416e-07	2.9502e-09	-3.5617e-09	2e-14	3.2528e-07	-3.247e-07	5.0822e-09	-4.4955e-09	-1.9e-13	3.2528e-07	-3.2578e-07	8.6811e-09	-5.9368e-09	-8.6e-13	3.253e-07	-3.28e-07	1.45084e-08	-8.0149e-09	-1.24e-12	3.2528e-07	-3.3168e-07	2.55916e-08	-1.08834e-08	-1.65e-12	3.2518e-07	-3.3996e-07
-0.28	6.11e-11	-2.4226e-09	-8.9e-13	3.2576e-07	-3.2342e-07	1.6536e-09	-2.7283e-09	-1.15e-12	3.2542e-07	-3.243e-07	2.8729e-09	-3.272e-09	3e-13	3.2536e-07	-3.2496e-07	4.9718e-09	-4.1893e-09	-6.4e-13	3.2524e-07	-3.2602e-07	8.5548e-09	-5.6207e-09	-6.9e-13	3.2528e-07	-3.2818e-07	1.44772e-08	-7.6618e-09	-1.36e-12	3.2522e-07	-3.3214e-07	2.55708e-08	-1.04986e-08	-3.2e-13	3.2518e-07	-3.3996e-07
-0.275	5.14e-11	-2.1835e-09	-2.5e-13	3.2578e-07	-3.2358e-07	1.5916e-09	-2.4791e-09	-1e-12	3.2542e-07	-3.246e-07	2.7954e-09	-3.012e-09	-2.3e-13	3.2534e-07	-3.2512e-07	4.8856e-09	-3.9168e-09	-6.5e-13	3.252e-07	-3.2614e-07	8.4597e-09	-5.3163e-09	6e-13	3.2522e-07	-3.2836e-07	1.42088e-08	-7.3416e-09	-2.8e-13	3.2522e-07	-3.323e-07	2.4609e-08	-1.01464e-08	-1.19e-12	3.2514e-07	-3.401e-07
-0.27	5.057e-11	-1.9608e-09	-4.4e-13	3.257e-07	-3.2384e-07	1.529e-09	-2.2492e-09	5.3e-13	3.2542e-07	-3.2466e-07	2.7256e-09	-2.775e-09	2.4e-13	3.2536e-07	-3.2532e-07	4.8089e-09	-3.662e-09	-1.38e-12	3.2528e-07	-3.264e-07	8.3017e-09	-5.0438e-09	3.7e-13	3.2526e-07	-3.2848e-07	1.42056e-08	-7.0462e-09	-6.7e-13	3.2522e-07	-3.3216e-07	2.47522e-08	-9.818e-09	2.2e-13	3.2518e-07	-3.3984e-07
-0.265	3.99e-11	-1.7645e-09	2.7e-13	3.2572e-07	-3.2394e-07	1.4771e-09	-2.0529e-09	-6.2e-13	3.2544e-07	-3.2488e-07	2.6514e-09	-2.5508e-09	-7e-13	3.2546e-07	-3.2546e-07	4.7397e-09	-3.4331e-09	-1.3e-12	3.2516e-07	-3.265e-07	8.314e-09	-4.7969e-09	1.5e-13	3.2528e-07	-3.286e-07	1.39488e-08	-6.7683e-09	-1.67e-12	3.2528e-07	-3.323e-07	2.40358e-08	-9.5277e-09	-4.7e-13	3.2512e-07	-3.3984e-07
-0.26	2.639e-11	-1.5905e-09	8.6e-13	3.2572e-07	-3.2418e-07	1.4398e-09	-1.8715e-09	-1.26e-12	3.2536e-07	-3.2496e-07	2.5964e-09	-2.359e-09	-2.26e-12	3.2534e-07	-3.256e-07	4.6466e-09	-3.2279e-09	-1.15e-12	3.2522e-07	-3.2672e-07	8.1329e-09	-4.5689e-09	-3.4e-13	3.2532e-07	-3.2884e-07	1.38736e-08	-6.5173e-09	-1.7e-13	3.2524e-07	-3.327e-07	2.386e-08	-9.243e-09	-5.6e-13	3.2514e-07	-3.3996e-07
-0.255	2.837e-11	-1.4293e-09	-1.08e-12	3.2572e-07	-3.2436e-07	1.3994e-09	-1.7048e-09	-6.1e-13	3.2548e-07	-3.2512e-07	2.5502e-09	-2.1922e-09	-1.5e-12	3.2534e-07	-3.257e-07	4.5764e-09	-3.0374e-09	-2.06e-12	3.2524e-07	-3.2684e-07	8.0836e-09	-4.3604e-09	-2.1e-13	3.2528e-07	-3.2902e-07	1.37396e-08	-6.2833e-09	1e-12	3.2524e-07	-3.3276e-07	2.36248e-08	-8.9759e-09	-3.6e-13	3.2512e-07	-3.3974e-07
