vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-1.3639e-10	-5.65e-12	-1.9e-13	3.2584e-07	-3.2566e-07	-1.4427e-09	5.039e-11	1.16e-12	3.2566e-07	-3.2444e-07	-2.6206e-09	3.9452e-10	1.88e-12	3.2548e-07	-3.2356e-07	-5.3865e-09	2.4293e-09	-1e-12	3.254e-07	-3.2274e-07	-1.289e-08	8.8653e-09	1.34e-12	3.2536e-07	-3.2186e-07	-3.48368e-08	3.05406e-08	-1.84e-12	3.2542e-07	-3.2124e-07	-1.2022e-07	1.1464e-07	-4.8e-13	3.254e-07	-3.2114e-07
0.005	-3.827e-11	-8.35e-12	-2.51e-12	3.2582e-07	-3.2576e-07	-1.0978e-09	4.596e-11	-1.78e-12	3.256e-07	-3.2456e-07	-2.0978e-09	3.6548e-10	-2.67e-12	3.2538e-07	-3.2376e-07	-4.7048e-09	2.3069e-09	8.1e-13	3.2544e-07	-3.231e-07	-1.1801e-08	8.5211e-09	-2.65e-12	3.2536e-07	-3.2206e-07	-3.31514e-08	2.91856e-08	-2.02e-12	3.2552e-07	-3.2152e-07	-1.1508e-07	1.1122e-07	-2.61e-12	3.2542e-07	-3.2142e-07
0.01	2.134e-11	-6.02e-12	-4.4e-12	3.2586e-07	-3.258e-07	-9.369e-10	4.042e-11	3.2e-13	3.2564e-07	-3.2478e-07	-1.8898e-09	3.4043e-10	-1.17e-12	3.2548e-07	-3.2392e-07	-4.3474e-09	2.1908e-09	8.5e-13	3.2548e-07	-3.2322e-07	-1.12566e-08	8.1739e-09	-9.1e-13	3.2534e-07	-3.2232e-07	-3.18146e-08	2.7857e-08	-2.15e-12	3.2546e-07	-3.218e-07	-1.093e-07	1.0496e-07	4.9e-13	3.2532e-07	-3.2156e-07
0.015	8.17e-11	-1.388e-11	-1.28e-12	3.2578e-07	-3.259e-07	-8.0379e-10	4.033e-11	1e-13	3.2564e-07	-3.2484e-07	-1.7001e-09	3.1575e-10	9.9e-13	3.2548e-07	-3.2406e-07	-4.0372e-09	2.0726e-09	-1.37e-12	3.2536e-07	-3.2346e-07	-1.06938e-08	7.8352e-09	-2.71e-12	3.2532e-07	-3.2248e-07	-3.03528e-08	2.68644e-08	-1.36e-12	3.2542e-07	-3.2208e-07	-1.0424e-07	1.011e-07	6.4e-13	3.2542e-07	-3.2178e-07
0.02	1.4885e-10	-8.8e-12	-9.4e-13	3.2582e-07	-3.2592e-07	-6.9526e-10	3.639e-11	-1.94e-12	3.256e-07	-3.249e-07	-1.5373e-09	2.9916e-10	-1.64e-12	3.2548e-07	-3.2424e-07	-3.7532e-09	1.9618e-09	-1.28e-12	3.2542e-07	-3.237e-07	-1.0219e-08	7.5273e-09	-1.22e-12	3.2536e-07	-3.2262e-07	-2.88792e-08	2.55676e-08	-1.09e-12	3.2542e-07	-3.2224e-07	-9.832e-08	9.53312e-08	3.8e-13	3.2546e-07	-3.2202e-07
0.025	1.9809e-10	-1.235e-11	-2.16e-12	3.2582e-07	-3.2596e-07	-5.9921e-10	3.309e-11	8.6e-13	3.256e-07	-3.2506e-07	-1.394e-09	2.7677e-10	-1.72e-12	3.2546e-07	-3.244e-07	-3.4831e-09	1.8556e-09	8.5e-13	3.254e-07	-3.238e-07	-9.7266e-09	7.2032e-09	-3e-13	3.2538e-07	-3.2286e-07	-2.75392e-08	2.46602e-08	-1.28e-12	3.2544e-07	-3.2236e-07	-9.4498e-08	9.13798e-08	1.51e-12	3.2542e-07	-3.2222e-07
0.03	2.4072e-10	-1.408e-11	-2.08e-12	3.2578e-07	-3.2602e-07	-5.046e-10	3.016e-11	1.09e-12	3.2564e-07	-3.2514e-07	-1.2611e-09	2.5799e-10	-1.32e-12	3.2542e-07	-3.2442e-07	-3.2359e-09	1.7544e-09	-2.39e-12	3.2542e-07	-3.2386e-07	-9.2582e-09	6.9174e-09	1.65e-12	3.2532e-07	-3.2312e-07	-2.64512e-08	2.33362e-08	-5.6e-13	3.2544e-07	-3.2256e-07	-9.02008e-08	8.7502e-08	1.39e-12	3.2546e-07	-3.2238e-07
0.035	2.8642e-10	-1.442e-11	5.2e-13	3.2578e-07	-3.2604e-07	-4.2038e-10	3.05e-11	3.3e-13	3.2558e-07	-3.2522e-07	-1.1251e-09	2.4038e-10	4.9e-13	3.2546e-07	-3.2454e-07	-3.0103e-09	1.6515e-09	-2.06e-12	3.2536e-07	-3.2402e-07	-8.7655e-09	6.6165e-09	2.38e-12	3.2536e-07	-3.2322e-07	-2.51884e-08	2.24944e-08	-9.9e-13	3.254e-07	-3.2274e-07	-8.64746e-08	8.3673e-08	-8.7e-13	3.2546e-07	-3.225e-07
0.04	3.3342e-10	-1.431e-11	1.27e-12	3.257e-07	-3.2604e-07	-3.542e-10	2.617e-11	-1.74e-12	3.2564e-07	-3.2532e-07	-1.0153e-09	2.2532e-10	-4.04e-12	3.2546e-07	-3.2464e-07	-2.7972e-09	1.5529e-09	-1.55e-12	3.254e-07	-3.242e-07	-8.332e-09	6.3511e-09	-1.9e-13	3.2528e-07	-3.234e-07	-2.41882e-08	2.17688e-08	-6.4e-13	3.2546e-07	-3.2294e-07	-8.22596e-08	7.95834e-08	-1.32e-12	3.254e-07	-3.2272e-07
0.045	3.7094e-10	-1.684e-11	-2.2e-12	3.2568e-07	-3.2604e-07	-2.7801e-10	2.453e-11	1.56e-12	3.2566e-07	-3.254e-07	-9.1476e-10	2.071e-10	6.8e-13	3.2552e-07	-3.2478e-07	-2.5875e-09	1.4647e-09	4.9e-13	3.2544e-07	-3.2434e-07	-7.9009e-09	6.0344e-09	9.9e-13	3.2532e-07	-3.2354e-07	-2.31864e-08	2.08892e-08	8.8e-13	3.2538e-07	-3.2304e-07	-7.86018e-08	7.56588e-08	-5.1e-13	3.254e-07	-3.2286e-07
