Vds	Gm_Vgs=0.15V	Gm_Vgs=0.3V	Gm_Vgs=0.45V	Gm_Vgs=0.6V	Gm_Vgs=0.75V	Gm_Vgs=0.9V
0	3.74e-09	6.594e-09	1.692e-08	4.65199999999999e-08	1.514e-07	5.9912e-07
0.005	3.48833333333333e-09	6.12883333333333e-09	1.63716666666667e-08	4.53266666666666e-08	1.48923333333334e-07	5.92083333333333e-07
0.01	3.1191e-09	5.7793e-09	1.5728e-08	4.3449e-08	1.43794e-07	5.70576e-07
0.015	2.9342e-09	5.2434e-09	1.50688e-08	4.188e-08	1.39004e-07	5.50812e-07
0.02	2.7206e-09	4.796e-09	1.43962e-08	4.0182e-08	1.3328e-07	5.27474e-07
0.025	2.6111e-09	4.5208e-09	1.37062e-08	3.861e-08	1.27366e-07	5.02326e-07
0.03	2.6289e-09	4.1696e-09	1.30216e-08	3.7247e-08	1.21808e-07	4.78388e-07
0.035	2.5477e-09	3.8972e-09	1.24282e-08	3.5917e-08	1.16608e-07	4.56344e-07
0.04	2.3901e-09	3.8318e-09	1.18811e-08	3.4578e-08	1.11696e-07	4.35e-07
0.045	2.249e-09	3.6477e-09	1.13214e-08	3.3317e-08	1.07254e-07	4.1431e-07
0.05	2.0662e-09	3.387e-09	1.0867e-08	3.2091e-08	1.03188e-07	3.94746e-07
0.055	1.8886e-09	3.2919e-09	1.04494e-08	3.0912e-08	9.8974e-08	3.76112e-07
0.06	1.92e-09	3.1756e-09	9.9582e-09	2.9784e-08	9.4382e-08	3.58564e-07
0.065	2.0695e-09	3.007e-09	9.4873e-09	2.8645e-08	8.9779e-08	3.42274e-07
0.07	2.0891e-09	2.9926e-09	9.1364e-09	2.763e-08	8.5598e-08	3.2683e-07
0.075	2.0373e-09	3.0683e-09	8.8385e-09	2.6726e-08	8.194e-08	3.1231e-07
0.08	2.1113e-09	3.0185e-09	8.5044e-09	2.5718e-08	7.8795e-08	2.98356e-07
0.085	2.1363e-09	3.0198e-09	8.234e-09	2.4822e-08	7.6182e-08	2.84756e-07
0.09	1.9448e-09	3.1345e-09	8.0188e-09	2.4129e-08	7.3849e-08	2.71456e-07
0.095	1.9257e-09	3.0907e-09	7.7999e-09	2.3386e-08	7.1348e-08	2.58626e-07
0.1	2.1586e-09	2.8897e-09	7.5144e-09	2.2594e-08	6.8689e-08	2.46696e-07
0.105	2.3148e-09	2.8117e-09	7.1156e-09	2.1912e-08	6.5923e-08	2.35668e-07
0.11	2.4021e-09	2.8628e-09	6.758e-09	2.1228e-08	6.3056e-08	2.254e-07
0.115	2.4481e-09	2.786e-09	6.4808e-09	2.0424e-08	6.0471e-08	2.15792e-07
0.12	2.3277e-09	2.7458e-09	6.1834e-09	1.9626e-08	5.8111e-08	2.06416e-07
0.125	2.2072e-09	2.8171e-09	5.9859e-09	1.9041e-08	5.5776e-08	1.97222e-07
0.13	2.2597e-09	2.7832e-09	5.9471e-09	1.8586e-08	5.3767e-08	1.88752e-07
0.135	2.3196e-09	2.5995e-09	5.8529e-09	1.8017e-08	5.2129e-08	1.8072e-07
0.14	2.3842e-09	2.5019e-09	5.6722e-09	1.74626e-08	5.0368e-08	1.72684e-07
0.145	2.6913e-09	2.6669e-09	5.464e-09	1.70297e-08	4.8387e-08	1.65072e-07
0.15	2.9997e-09	2.8813e-09	5.2341e-09	1.65861e-08	4.6489e-08	1.58064e-07
0.155	3.2068e-09	2.9548e-09	5.0911e-09	1.59324e-08	4.4689e-08	1.51028e-07
0.16	3.2987e-09	3.0364e-09	5.121e-09	1.51845e-08	4.3012e-08	1.44164e-07
0.165	3.0473e-09	3.1133e-09	5.1388e-09	1.45603e-08	4.1589e-08	1.38058e-07
0.17	2.71e-09	2.9506e-09	5.1516e-09	1.39943e-08	4.0241e-08	1.32428e-07
0.175	2.5157e-09	2.7526e-09	5.1994e-09	1.3472e-08	3.8923e-08	1.27056e-07
0.18	2.3463e-09	2.7778e-09	5.03e-09	1.32677e-08	3.7825e-08	1.22092e-07
0.185	2.3836e-09	2.7144e-09	4.7454e-09	1.31503e-08	3.6682e-08	1.17288e-07
0.19	2.8009e-09	2.5782e-09	4.5728e-09	1.27989e-08	3.5395e-08	1.12562e-07
0.195	3.1921e-09	2.732e-09	4.458e-09	1.24035e-08	3.428e-08	1.08052e-07
0.2	3.4408e-09	3.0824e-09	4.391e-09	1.19073e-08	3.3024e-08	1.0354e-07
0.205	3.5687e-09	3.409e-09	4.4763e-09	1.12431e-08	3.155e-08	9.8986e-08
0.21	3.5715e-09	3.6989e-09	4.5844e-09	1.07149e-08	3.0396e-08	9.4679e-08
0.215	3.6299e-09	3.9568e-09	4.6446e-09	1.04439e-08	2.9538e-08	9.0819e-08
0.22	3.7205e-09	4.0405e-09	4.5512e-09	1.0138e-08	2.8836e-08	8.7094e-08
0.225	3.695e-09	4.0401e-09	4.1417e-09	9.8674e-09	2.8241e-08	8.3482e-08
0.23	3.5758e-09	3.9384e-09	3.8137e-09	9.7387e-09	2.7468e-08	8.039e-08
0.235	3.6321e-09	3.7405e-09	3.977e-09	9.6193e-09	2.658e-08	7.7574e-08
0.24	3.9346e-09	3.7199e-09	4.547e-09	9.4783e-09	2.5955e-08	7.4646e-08
0.245	4.1036e-09	3.9148e-09	5.0276e-09	9.0615e-09	2.524e-08	7.1783e-08
0.25	4.1217e-09	4.0574e-09	5.22689999999999e-09	8.59229999999999e-09	2.4315e-08	6.9127e-08
0.255	4.389e-09	4.03359999999999e-09	5.42109999999999e-09	8.49089999999999e-09	2.3616e-08	6.67599999999999e-08
0.26	4.6093e-09	4.108e-09	5.2875e-09	8.16179999999999e-09	2.30031e-08	6.45459999999999e-08
0.265	4.4192e-09	4.3322e-09	4.7715e-09	7.67869999999999e-09	2.20717e-08	6.23809999999999e-08
0.27	4.1917e-09	4.3348e-09	4.4863e-09	7.8427e-09	2.09956e-08	6.0531e-08
0.275	4.26170000000001e-09	4.15880000000001e-09	4.67740000000001e-09	8.18270000000001e-09	2.03081e-08	5.81500000000001e-08
0.28	4.50990000000001e-09	4.36510000000001e-09	4.90170000000001e-09	8.31030000000001e-09	1.99471e-08	5.52730000000001e-08
0.285	4.82930000000001e-09	4.7717e-09	4.87620000000001e-09	8.55590000000001e-09	1.94371e-08	5.33680000000001e-08
0.29	5.1764e-09	4.8951e-09	4.85480000000001e-09	8.51500000000001e-09	1.87905e-08	5.17340000000001e-08
0.295	5.4882e-09	4.955e-09	4.8539e-09	7.94e-09	1.83559e-08	4.9707e-08
0.3	5.82399999999999e-09	5.0784e-09	4.8959e-09	7.36029999999999e-09	1.79181e-08	4.8492e-08
0.305	5.76689999999999e-09	4.9367e-09	5.0685e-09	6.9394e-09	1.7378e-08	4.7573e-08
0.31	5.42629999999999e-09	5.0554e-09	5.2175e-09	6.7224e-09	1.70194e-08	4.5676e-08
0.315	5.5741e-09	5.5805e-09	5.26759999999999e-09	6.83779999999999e-09	1.68157e-08	4.3742e-08
0.32	5.834e-09	5.5694e-09	5.4622e-09	7.17609999999999e-09	1.67667e-08	4.2318e-08
0.325	5.8484e-09	5.3927e-09	5.8048e-09	7.46719999999999e-09	1.6458e-08	4.0917e-08
0.33	6.1284e-09	5.6422e-09	6.0545e-09	7.5297e-09	1.56741e-08	3.9684e-08
0.335	6.34080000000001e-09	5.67470000000001e-09	6.25530000000001e-09	7.52370000000001e-09	1.49293e-08	3.8762e-08
0.34	5.94510000000001e-09	5.52280000000001e-09	6.18890000000001e-09	7.39460000000001e-09	1.43057e-08	3.7814e-08
0.345	5.79590000000001e-09	5.95250000000001e-09	5.65790000000001e-09	7.14730000000001e-09	1.3825e-08	3.6621e-08
0.35	6.24900000000001e-09	6.10230000000001e-09	5.30380000000001e-09	6.94860000000001e-09	1.38409e-08	3.55600000000001e-08
0.355	6.381e-09	5.8163e-09	5.467e-09	6.772e-09	1.4066e-08	3.4239e-08
0.36	6.365e-09	6.11199999999999e-09	5.84939999999999e-09	6.78219999999999e-09	1.4087e-08	3.2668e-08
0.365	6.975e-09	6.30899999999999e-09	6.18799999999999e-09	6.66189999999999e-09	1.4018e-08	3.1749e-08
0.37	7.456e-09	6.08199999999999e-09	6.70499999999999e-09	6.5659e-09	1.36464e-08	3.0996e-08
0.375	7.287e-09	6.49699999999999e-09	7.23899999999999e-09	7.43009999999999e-09	1.30311e-08	3.01649e-08
0.38	7.41599999999999e-09	7.20699999999999e-09	7.093e-09	8.17279999999999e-09	1.25359e-08	2.98117e-08
0.385	7.91599999999999e-09	7.08399999999999e-09	6.7e-09	7.82499999999999e-09	1.23558e-08	2.90237e-08
0.39	8.01299999999999e-09	7.029e-09	6.833e-09	8.02499999999999e-09	1.20287e-08	2.77071e-08
0.395	7.957e-09	7.44000000000001e-09	7.23400000000001e-09	9.10900000000001e-09	1.14397e-08	2.72316e-08
0.4	8.10400000000001e-09	7.52000000000001e-09	7.49800000000001e-09	8.99800000000002e-09	1.13898e-08	2.70678e-08
0.405	8.18100000000001e-09	7.66500000000001e-09	7.86900000000001e-09	7.98300000000002e-09	1.17239e-08	2.66999e-08
0.41	8.29500000000001e-09	8.30700000000001e-09	8.12800000000001e-09	8.28400000000002e-09	1.16083e-08	2.6705e-08
0.415	9.28400000000001e-09	8.55200000000001e-09	8.25000000000001e-09	8.90800000000002e-09	1.14427e-08	2.63976e-08
0.42	1.0237e-08	8.437e-09	8.319e-09	8.128e-09	1.17197e-08	2.5453e-08
0.425	9.293e-09	8.87099999999999e-09	8.059e-09	7.75699999999999e-09	1.1467e-08	2.453e-08
0.43	8.31299999999999e-09	9.18599999999999e-09	7.902e-09	9.00799999999999e-09	1.0937e-08	2.36135e-08
0.435	8.66399999999999e-09	8.96399999999999e-09	8.08899999999999e-09	9.53999999999999e-09	1.1012e-08	2.29428e-08
0.44	8.20699999999999e-09	8.85599999999999e-09	8.50299999999999e-09	8.95699999999999e-09	1.0723e-08	2.26311e-08
0.445	7.67199999999999e-09	9.04899999999999e-09	8.69899999999999e-09	8.97299999999999e-09	1.032e-08	2.22579e-08
0.45	9.16599999999999e-09	9.14599999999999e-09	8.66999999999999e-09	8.948e-09	1.0876e-08	2.19577e-08
0.455	1.0042e-08	8.996e-09	9.038e-09	8.514e-09	1.1229e-08	2.14123e-08
0.46	9.38000000000001e-09	9.00000000000001e-09	9.54700000000002e-09	8.57700000000001e-09	1.1138e-08	2.05994e-08
0.465	9.61200000000001e-09	9.38300000000001e-09	9.69300000000002e-09	8.87600000000002e-09	1.1719e-08	2.05376e-08
0.47	1.0252e-08	9.59100000000001e-09	9.80200000000002e-09	9.22100000000002e-09	1.2102e-08	2.05955e-08
0.475	1.0484e-08	9.46900000000001e-09	1.0271e-08	9.70000000000002e-09	1.1877e-08	1.98766e-08
0.48	1.0848e-08	9.769e-09	1.0498e-08	1.0112e-08	1.1721e-08	1.96356e-08
0.485	1.1439e-08	1.0529e-08	1.0111e-08	1.0407e-08	1.1472e-08	1.99411e-08
0.49	1.1409e-08	1.1326e-08	9.34799999999999e-09	1.0632e-08	1.1436e-08	1.94296e-08
0.495	1.0965e-08	1.1842e-08	9.411e-09	1.0893e-08	1.1037e-08	1.8666e-08
0.5	1.1784e-08	1.2018e-08	1.0373e-08	1.0792e-08	1.0662e-08	1.8546e-08
0.505	1.2977e-08	1.1908e-08	1.0878e-08	1.0248e-08	1.1619e-08	1.8429e-08
0.51	1.2406e-08	1.1418e-08	1.1365e-08	1.0134e-08	1.3481e-08	1.7576e-08
0.515	1.2019e-08	1.1209e-08	1.1802e-08	1.103e-08	1.4482e-08	1.6949e-08
0.52	1.2396e-08	1.2975e-08	1.1461e-08	1.1909e-08	1.3963e-08	1.7421e-08
0.525	1.2512e-08	1.4645e-08	1.1267e-08	1.2155e-08	1.3435e-08	1.7969e-08
0.53	1.3236e-08	1.4563e-08	1.1456e-08	1.2166e-08	1.2748e-08	1.7719e-08
0.535	1.33e-08	1.4753e-08	1.1493e-08	1.2156e-08	1.1069e-08	1.7285e-08
0.54	1.2264e-08	1.3726e-08	1.233e-08	1.2004e-08	1.0433e-08	1.7083e-08
0.545	1.1901e-08	1.1729e-08	1.3359e-08	1.156e-08	1.1834e-08	1.6342e-08
0.55	1.1426e-08	1.1344e-08	1.2993e-08	1.1842e-08	1.2677e-08	1.5329e-08
0.555	1.06370000000001e-08	1.1135e-08	1.1854e-08	1.2932e-08	1.3001e-08	1.53040000000001e-08
0.56	1.17940000000001e-08	1.061e-08	1.1619e-08	1.3731e-08	1.3277e-08	1.62640000000001e-08
0.565	1.393e-08	1.20590000000001e-08	1.235e-08	1.3903e-08	1.3119e-08	1.71940000000001e-08
0.57	1.546e-08	1.305e-08	1.3417e-08	1.3847e-08	1.4033e-08	1.76640000000001e-08
0.575	1.6048e-08	1.2467e-08	1.5005e-08	1.36e-08	1.5097e-08	1.7635e-08
0.58	1.6336e-08	1.3216e-08	1.6525e-08	1.3282e-08	1.6296e-08	1.7274e-08
0.585	1.6602e-08	1.46e-08	1.6395e-08	1.3247e-08	1.7844e-08	1.6891e-08
0.59	1.6e-08	1.5236e-08	1.5706e-08	1.34e-08	1.7143e-08	1.6186e-08
0.595	1.5503e-08	1.4919e-08	1.6031e-08	1.4288e-08	1.5745e-08	1.5998e-08
0.6	1.5298e-08	1.4661e-08	1.5639e-08	1.5321e-08	1.5935e-08	1.7114e-08
0.605	1.5017e-08	1.5591e-08	1.5074e-08	1.5491e-08	1.5261e-08	1.7611e-08
0.61	1.5563e-08	1.5843e-08	1.5908e-08	1.6091e-08	1.3485e-08	1.7239e-08
0.615	1.6916e-08	1.5337e-08	1.6665e-08	1.7931e-08	1.3616e-08	1.7491e-08
0.62	1.8089e-08	1.6276e-08	1.6719e-08	1.814e-08	1.4938e-08	1.778e-08
0.625	1.9219e-08	1.6782e-08	1.6693e-08	1.6925e-08	1.5269e-08	1.7508e-08
0.63	2.0541e-08	1.6975e-08	1.6564e-08	1.7439e-08	1.5247e-08	1.8251e-08
0.635	2.1079e-08	1.8706e-08	1.7051e-08	1.7626e-08	1.6474e-08	1.9521e-08
0.64	2.0674e-08	1.9739e-08	1.7382e-08	1.6533e-08	1.7671e-08	1.9338e-08
0.645	2.0172e-08	1.9689e-08	1.6845e-08	1.6766e-08	1.771e-08	1.8985e-08
0.65	1.9676e-08	1.9791e-08	1.7102e-08	1.7923e-08	1.788e-08	1.9447e-08
0.655	1.8892e-08	1.8427e-08	1.8307e-08	1.8283e-08	1.8152e-08	1.8918e-08
0.66	1.9254e-08	1.6429e-08	1.9295e-08	1.831e-08	1.8401e-08	1.7615e-08
0.665	2.0479e-08	1.6285e-08	1.9998e-08	1.7742e-08	1.9081e-08	1.8198e-08
0.67	2.0651e-08	1.6798e-08	2e-08	1.6842e-08	1.9293e-08	1.9192e-08
0.675	2.1133e-08	1.7959e-08	2.0072e-08	1.7598e-08	1.9195e-08	1.8993e-08
0.68	2.24050000000001e-08	2.02750000000001e-08	2.10470000000001e-08	1.98350000000001e-08	1.98180000000001e-08	2.16610000000001e-08
0.685	2.26730000000001e-08	2.09990000000001e-08	2.11320000000001e-08	2.08970000000001e-08	1.92680000000001e-08	2.53030000000001e-08
0.69	2.20470000000001e-08	2.03930000000001e-08	2.06270000000001e-08	2.08320000000001e-08	1.89260000000001e-08	2.41210000000001e-08
0.695	2.22300000000001e-08	2.12730000000001e-08	2.00310000000001e-08	2.26210000000001e-08	2.04620000000001e-08	2.20050000000001e-08
0.7	2.361e-08	2.1813e-08	1.8786e-08	2.41920000000001e-08	2.1249e-08	2.1806e-08
0.705	2.5268e-08	2.0868e-08	1.863e-08	2.2338e-08	2.1366e-08	1.9732e-08
0.71	2.6232e-08	2.159e-08	1.9567e-08	2.1107e-08	2.3074e-08	1.8555e-08
0.715	2.6602e-08	2.2792e-08	1.9913e-08	2.1389e-08	2.4377e-08	2.0663e-08
0.72	2.6295e-08	2.1706e-08	2.1236e-08	2.0044e-08	2.4079e-08	2.1646e-08
0.725	2.491e-08	2.1388e-08	2.3092e-08	2.0301e-08	2.4258e-08	2.2107e-08
0.73	2.3372e-08	2.443e-08	2.2015e-08	2.2775e-08	2.3963e-08	2.2732e-08
0.735	2.3497e-08	2.8785e-08	2.0424e-08	2.4601e-08	2.3504e-08	2.1929e-08
0.74	2.5618e-08	3.0247e-08	2.089e-08	2.6593e-08	2.3799e-08	2.1749e-08
