vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-2.36e-12	-4.03e-12	1.97e-12	3.205e-07	-3.204e-07	-4.068e-11	3.588e-11	-2.75e-12	3.2032e-07	-3.2024e-07	-2.4012e-10	2.3127e-10	-1.543e-11	3.1822e-07	-3.1826e-07	-1.3414e-09	1.3224e-09	8.7e-12	3.1894e-07	-3.1882e-07	-5.1817e-09	5.1699e-09	-6.76e-12	3.19e-07	-3.19e-07	-1.80334e-08	1.80858e-08	1.56e-12	3.1896e-07	-3.1894e-07	-6.77322e-08	6.7774e-08	-9.12e-12	3.2022e-07	-3.2018e-07
0.005	1.376e-11	1.6e-13	2.23e-12	3.2046e-07	-3.2052e-07	-2.677e-11	2.917e-11	1.37e-12	3.2032e-07	-3.2028e-07	-2.1397e-10	2.1658e-10	-4.7e-12	3.19e-07	-3.1892e-07	-1.2553e-09	1.2669e-09	-1.08e-12	3.189e-07	-3.1892e-07	-4.9584e-09	4.9701e-09	1.149e-11	3.1892e-07	-3.1892e-07	-1.72772e-08	1.7335e-08	6.84e-12	3.19e-07	-3.1906e-07	-6.46944e-08	6.47412e-08	3.71e-12	3.2024e-07	-3.2024e-07
0.01	2.269e-11	5.2e-13	-9.4e-13	3.2044e-07	-3.204e-07	-1.578e-11	2.882e-11	3.06e-12	3.202e-07	-3.2022e-07	-1.7843e-10	1.9853e-10	1.47e-12	3.1894e-07	-3.1894e-07	-1.179e-09	1.1936e-09	-7.7e-13	3.1888e-07	-3.1892e-07	-4.7327e-09	4.7516e-09	9.15e-12	3.1894e-07	-3.1898e-07	-1.65348e-08	1.6611e-08	-1.555e-11	3.189e-07	-3.19e-07	-6.17506e-08	6.17852e-08	2.63e-12	3.202e-07	-3.202e-07
0.015	2.839e-11	-1.66e-12	-5.5e-13	3.2038e-07	-3.2044e-07	7.05e-12	2.595e-11	-3.63e-12	3.2026e-07	-3.203e-07	-1.663e-10	1.934e-10	6.31e-12	3.1894e-07	-3.1892e-07	-1.1102e-09	1.1347e-09	-4.36e-12	3.1838e-07	-3.1898e-07	-4.5388e-09	4.5495e-09	-3.19e-12	3.1896e-07	-3.1888e-07	-1.585e-08	1.59318e-08	1.541e-11	3.1906e-07	-3.1908e-07	-5.90024e-08	5.90542e-08	7.9e-13	3.2014e-07	-3.2024e-07
0.02	4.435e-11	-2.3e-12	1.37e-12	3.2046e-07	-3.2042e-07	9.2e-12	2.694e-11	2.01e-12	3.203e-07	-3.203e-07	-1.4418e-10	1.7753e-10	2.68e-12	3.1894e-07	-3.1892e-07	-1.0447e-09	1.0725e-09	-1.108e-11	3.1892e-07	-3.1886e-07	-4.321e-09	4.3648e-09	-1.25e-12	3.1888e-07	-3.1898e-07	-1.51742e-08	1.52626e-08	1.72e-12	3.1898e-07	-3.19e-07	-5.63098e-08	5.64092e-08	-6.88e-12	3.202e-07	-3.2018e-07
0.025	5.093e-11	-2.1e-12	1.1e-13	3.2038e-07	-3.2046e-07	2.249e-11	1.916e-11	1.95e-12	3.2022e-07	-3.2024e-07	-1.1796e-10	1.6715e-10	9.26e-12	3.1896e-07	-3.1898e-07	-9.771e-10	1.0174e-09	7.36e-12	3.1896e-07	-3.1894e-07	-4.1367e-09	4.1842e-09	2.51e-12	3.1896e-07	-3.184e-07	-1.45424e-08	1.46432e-08	4.53e-12	3.1908e-07	-3.1906e-07	-5.37916e-08	5.3913e-08	-2.5e-12	3.2016e-07	-3.2024e-07
0.03	5.745e-11	-6.02e-12	-2.21e-12	3.203e-07	-3.2042e-07	3.45e-11	2.486e-11	-1.151e-11	3.2026e-07	-3.2022e-07	-1.0707e-10	1.5135e-10	-3.33e-12	3.1898e-07	-3.1894e-07	-9.1189e-10	9.6429e-10	6.05e-12	3.1894e-07	-3.1894e-07	-3.9524e-09	4.0004e-09	1.406e-11	3.1898e-07	-3.1894e-07	-1.39298e-08	1.40346e-08	-2.3e-12	3.1918e-07	-3.191e-07	-5.13972e-08	5.149e-08	-1.62e-12	3.2026e-07	-3.2024e-07
0.035	6.249e-11	-2.39e-12	-1.42e-12	3.204e-07	-3.2046e-07	3.87e-11	3.815e-11	-1.1e-11	3.202e-07	-3.2024e-07	-8.835e-11	1.481e-10	-1.96e-11	3.189e-07	-3.19e-07	-8.515e-10	9.0633e-10	1.162e-11	3.1896e-07	-3.1898e-07	-3.7804e-09	3.8286e-09	-6.05e-12	3.1904e-07	-3.1904e-07	-1.33418e-08	1.34542e-08	1.53e-12	3.1908e-07	-3.191e-07	-4.91154e-08	4.9233e-08	7.11e-12	3.2022e-07	-3.2032e-07
0.04	9.349e-11	-6.18e-12	-3.1e-13	3.204e-07	-3.2044e-07	3.162e-11	2.094e-11	4.96e-12	3.2028e-07	-3.2034e-07	-7.166e-11	1.3836e-10	3.1e-12	3.1896e-07	-3.1896e-07	-7.9291e-10	8.6029e-10	3.8e-13	3.1894e-07	-3.1894e-07	-3.5928e-09	3.6763e-09	-1.662e-11	3.19e-07	-3.1906e-07	-1.27888e-08	1.29074e-08	4.62e-12	3.1902e-07	-3.1906e-07	-4.69446e-08	4.70478e-08	-1.841e-11	3.2018e-07	-3.2024e-07
0.045	7.764e-11	-3.2e-12	1.94e-12	3.2036e-07	-3.2038e-07	7.748e-11	-2.22e-12	-2.117e-11	3.202e-07	-3.2024e-07	-4.534e-11	1.2118e-10	3.97e-12	3.19e-07	-3.1898e-07	-7.4103e-10	7.9942e-10	-4.48e-12	3.1896e-07	-3.19e-07	-3.4402e-09	3.5068e-09	3.33e-12	3.1894e-07	-3.1904e-07	-1.22494e-08	1.23792e-08	1.353e-11	3.1906e-07	-3.191e-07	-4.47968e-08	4.4938e-08	2.78e-12	3.2022e-07	-3.2024e-07
0.05	8.966e-11	-1.042e-11	-5.56e-12	3.2026e-07	-3.2044e-07	4.323e-11	2.505e-11	-2.784e-11	3.2022e-07	-3.2024e-07	-4.286e-11	1.2653e-10	-8.03e-12	3.1892e-07	-3.1898e-07	-6.8682e-10	7.6289e-10	9.08e-12	3.19e-07	-3.19e-07	-3.2861e-09	3.3636e-09	-7.5e-12	3.19e-07	-3.1906e-07	-1.17342e-08	1.18726e-08	-1.233e-11	3.1902e-07	-3.192e-07	-4.28514e-08	4.30028e-08	-1.028e-11	3.2014e-07	-3.2034e-07
0.055	1.0611e-10	-5.75e-12	-8e-14	3.2036e-07	-3.2046e-07	7.529e-11	1.016e-11	9.22e-12	3.2028e-07	-3.2034e-07	-1.935e-11	1.0328e-10	4.45e-12	3.1888e-07	-3.1892e-07	-6.4241e-10	7.4018e-10	1.668e-11	3.1898e-07	-3.1906e-07	-3.1225e-09	3.2228e-09	-5.55e-12	3.1896e-07	-3.19e-07	-1.12382e-08	1.13856e-08	3.38e-12	3.1914e-07	-3.1918e-07	-4.0955e-08	4.11122e-08	9.7e-12	3.202e-07	-3.2032e-07
0.06	1.0786e-10	-6.76e-12	3.79e-12	3.2038e-07	-3.2042e-07	8.287e-11	1.696e-11	3.378e-11	3.2028e-07	-3.2038e-07	-4.11e-12	1.1009e-10	4.43e-12	3.19e-07	-3.1908e-07	-5.8662e-10	6.8589e-10	1.374e-11	3.1902e-07	-3.1912e-07	-2.9807e-09	3.0697e-09	7.97e-12	3.1902e-07	-3.1904e-07	-1.07662e-08	1.09224e-08	1.18e-12	3.1902e-07	-3.1912e-07	-3.91642e-08	3.93206e-08	-4.68e-12	3.2016e-07	-3.2024e-07
0.065	1.1414e-10	-1.295e-11	-3.17e-12	3.2036e-07	-3.2028e-07	8.581e-11	2.37e-11	1.1e-13	3.2022e-07	-3.2036e-07	1.29e-11	9.37e-11	-5.8e-13	3.19e-07	-3.19e-07	-5.3106e-10	6.4491e-10	-1.2e-12	3.1904e-07	-3.1892e-07	-2.8306e-09	2.945e-09	-8.5e-12	3.1902e-07	-3.1902e-07	-1.03122e-08	1.047e-08	3.07e-12	3.1908e-07	-3.1904e-07	-3.74192e-08	3.75904e-08	-6.59e-12	3.202e-07	-3.2024e-07
0.07	1.2899e-10	-8.93e-12	1.52e-12	3.204e-07	-3.2052e-07	9.221e-11	1.502e-11	-1.508e-11	3.2034e-07	-3.2036e-07	1.558e-11	9.411e-11	-5.64e-12	3.1888e-07	-3.19e-07	-4.9865e-10	6.0504e-10	-1.641e-11	3.1896e-07	-3.1904e-07	-2.6978e-09	2.8171e-09	2.44e-12	3.19e-07	-3.191e-07	-9.8814e-09	1.00452e-08	-4.37e-12	3.191e-07	-3.1914e-07	-3.58192e-08	3.59832e-08	-6.49e-12	3.2024e-07	-3.2038e-07
0.075	1.3835e-10	-1.141e-11	-1.55e-12	3.2032e-07	-3.2048e-07	1.1926e-10	6.58e-12	-1.536e-11	3.2024e-07	-3.2034e-07	3.625e-11	8.65e-11	-2.09e-12	3.1888e-07	-3.191e-07	-4.4636e-10	5.6491e-10	-1.729e-11	3.1884e-07	-3.1898e-07	-2.5655e-09	2.6677e-09	5.75e-12	3.1894e-07	-3.1908e-07	-9.4842e-09	9.6242e-09	6.52e-12	3.1912e-07	-3.1916e-07	-3.42366e-08	3.43916e-08	8.96e-12	3.2014e-07	-3.203e-07
0.08	1.401e-10	-1.193e-11	-1.52e-12	3.2028e-07	-3.2038e-07	1.2198e-10	1.837e-11	-2.33e-11	3.2018e-07	-3.2024e-07	5.255e-11	7.434e-11	1.48e-12	3.1888e-07	-3.1904e-07	-4.0582e-10	5.3299e-10	2.94e-12	3.1886e-07	-3.19e-07	-2.4405e-09	2.5748e-09	-1.609e-11	3.1898e-07	-3.1918e-07	-9.0795e-09	9.2065e-09	-2.48e-12	3.1902e-07	-3.1922e-07	-3.2741e-08	3.29124e-08	-1.078e-11	3.202e-07	-3.2036e-07
0.085	1.5369e-10	-1.942e-11	-1.2e-12	3.2036e-07	-3.2046e-07	1.3286e-10	5.95e-12	-8.79e-12	3.202e-07	-3.2032e-07	5.39e-11	7.843e-11	-2.8e-12	3.19e-07	-3.1894e-07	-3.7633e-10	5.2711e-10	1.053e-11	3.1894e-07	-3.1912e-07	-2.2978e-09	2.4351e-09	2.314e-11	3.1854e-07	-3.1836e-07	-8.6936e-09	8.8333e-09	7.38e-12	3.1928e-07	-3.191e-07	-3.12886e-08	3.14894e-08	7.57e-12	3.2026e-07	-3.2038e-07
0.09	1.7485e-10	-1.032e-11	-1.25e-12	3.2026e-07	-3.2052e-07	1.3768e-10	3.4e-12	1.596e-11	3.2022e-07	-3.2034e-07	7.884e-11	6.58e-11	3.31e-12	3.1896e-07	-3.1906e-07	-3.3319e-10	4.5197e-10	1.064e-11	3.1892e-07	-3.1906e-07	-2.1874e-09	2.3391e-09	1.803e-11	3.1864e-07	-3.191e-07	-8.3376e-09	8.4678e-09	-8.46e-12	3.1916e-07	-3.1924e-07	-2.99212e-08	3.0138e-08	-1.19e-11	3.2018e-07	-3.2032e-07
0.095	1.7406e-10	-1.82e-11	5.61e-12	3.2034e-07	-3.2056e-07	1.5261e-10	4.43e-12	1.607e-11	3.2022e-07	-3.2046e-07	9.013e-11	6.858e-11	1.602e-11	3.1894e-07	-3.1904e-07	-2.9794e-10	4.5271e-10	-1.497e-11	3.189e-07	-3.19e-07	-2.0781e-09	2.2346e-09	-4.17e-12	3.1898e-07	-3.1916e-07	-7.9622e-09	8.1184e-09	-1.015e-11	3.19e-07	-3.1924e-07	-2.86316e-08	2.8842e-08	7.32e-12	3.203e-07	-3.2038e-07
0.1	1.7904e-10	-2.112e-11	5.7e-13	3.2032e-07	-3.2042e-07	1.5658e-10	2.14e-12	6.27e-12	3.2022e-07	-3.2036e-07	9.858e-11	5.966e-11	-1.86e-12	3.1892e-07	-3.1916e-07	-2.5109e-10	4.1586e-10	4.53e-12	3.1894e-07	-3.1908e-07	-1.9686e-09	2.1218e-09	-5.82e-12	3.1902e-07	-3.191e-07	-7.6278e-09	7.7903e-09	1.344e-11	3.1912e-07	-3.1928e-07	-2.73916e-08	2.76198e-08	3.65e-12	3.2028e-07	-3.2036e-07
0.105	1.9907e-10	-1.855e-11	-6.52e-12	3.2038e-07	-3.205e-07	1.6724e-10	1.103e-11	5.88e-12	3.2022e-07	-3.2046e-07	1.0941e-10	5.836e-11	-1.131e-11	3.1886e-07	-3.1918e-07	-2.2405e-10	3.9351e-10	2.255e-11	3.19e-07	-3.191e-07	-1.848e-09	2.0268e-09	-2.005e-11	3.1902e-07	-3.1912e-07	-7.3042e-09	7.4812e-09	-9.4e-13	3.19e-07	-3.1916e-07	-2.6204e-08	2.64254e-08	1.3e-13	3.202e-07	-3.2034e-07
0.11	2.0608e-10	-2.005e-11	-2.21e-12	3.204e-07	-3.2048e-07	1.8054e-10	1.81e-12	-1.6e-13	3.2022e-07	-3.2042e-07	1.2736e-10	5.189e-11	1.74e-12	3.1894e-07	-3.1908e-07	-2.0319e-10	3.7342e-10	-2.05e-12	3.189e-07	-3.1916e-07	-1.7388e-09	1.9199e-09	-1.414e-11	3.1898e-07	-3.1912e-07	-6.9837e-09	7.1439e-09	-1.85e-12	3.1902e-07	-3.192e-07	-2.50834e-08	2.53216e-08	-3.68e-12	3.203e-07	-3.2034e-07
0.115	2.1583e-10	-2.466e-11	2.08e-12	3.2038e-07	-3.2058e-07	1.8159e-10	6.32e-12	-1.576e-11	3.2016e-07	-3.2038e-07	1.3906e-10	4.957e-11	-1.012e-11	3.1898e-07	-3.1908e-07	-1.1903e-10	3.3466e-10	-1.972e-11	3.1896e-07	-3.1912e-07	-1.6616e-09	1.851e-09	5.38e-12	3.1902e-07	-3.191e-07	-6.6743e-09	6.8632e-09	-7.5e-13	3.1896e-07	-3.1912e-07	-2.4011e-08	2.4255e-08	2.74e-12	3.2022e-07	-3.2038e-07
0.12	2.3469e-10	-2.569e-11	-4.27e-12	3.2034e-07	-3.2052e-07	2.0218e-10	3.3e-12	-1.816e-11	3.202e-07	-3.2032e-07	1.4912e-10	4.928e-11	-7.05e-12	3.1884e-07	-3.1912e-07	-1.2522e-10	3.1651e-10	-1.288e-11	3.1896e-07	-3.1904e-07	-1.5382e-09	1.7438e-09	2.186e-11	3.1904e-07	-3.1916e-07	-6.3889e-09	6.5815e-09	-1.215e-11	3.1896e-07	-3.1906e-07	-2.29694e-08	2.32252e-08	1.86e-12	3.202e-07	-3.2038e-07
0.125	2.4662e-10	-2.27e-11	-4.6e-13	3.2034e-07	-3.206e-07	2.0904e-10	1.25e-12	2.58e-12	3.202e-07	-3.204e-07	1.6997e-10	4.422e-11	8.06e-12	3.1902e-07	-3.1906e-07	-7.93e-11	2.9165e-10	7.62e-12	3.1894e-07	-3.1922e-07	-1.4637e-09	1.6699e-09	1.496e-11	3.1894e-07	-3.191e-07	-6.104e-09	6.3024e-09	5.16e-12	3.1894e-07	-3.1918e-07	-2.19722e-08	2.22336e-08	1.101e-11	3.2018e-07	-3.2042e-07
0.13	2.5206e-10	-3.008e-11	7.13e-12	3.2036e-07	-3.2058e-07	2.3618e-10	2.68e-12	1.648e-11	3.202e-07	-3.2038e-07	1.8351e-10	3.763e-11	5.31e-12	3.1894e-07	-3.192e-07	-8.218e-11	3.0398e-10	2.199e-11	3.1894e-07	-3.192e-07	-1.3561e-09	1.58e-09	-2.62e-12	3.1834e-07	-3.1922e-07	-5.8341e-09	6.0591e-09	1.055e-11	3.19e-07	-3.1918e-07	-2.1024e-08	2.13082e-08	-3.25e-12	3.2016e-07	-3.2044e-07
0.135	2.6126e-10	-3.345e-11	1.13e-12	3.2032e-07	-3.2058e-07	2.3135e-10	8.9e-13	1.7e-11	3.2022e-07	-3.2038e-07	1.8753e-10	4.055e-11	-4.9e-12	3.189e-07	-3.1912e-07	-4.511e-11	2.6848e-10	-2.52e-12	3.1906e-07	-3.1918e-07	-1.287e-09	1.507e-09	-3.23e-12	3.19e-07	-3.1918e-07	-5.5739e-09	5.7918e-09	2.03e-12	3.184e-07	-3.1862e-07	-2.01248e-08	2.04044e-08	1e-12	3.2014e-07	-3.2046e-07
