vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	1.9721e-10	-2.3523e-09	2.4688e-10	3.225e-07	-3.2046e-07	2.4266e-10	-2.3585e-09	2.5139e-10	3.2218e-07	-3.2028e-07	2.8758e-10	-2.371e-09	2.5096e-10	3.2152e-07	-3.1964e-07	3.2824e-10	-2.39e-09	2.5067e-10	3.2148e-07	-3.197e-07	3.7215e-10	-2.4056e-09	2.482e-10	3.2142e-07	-3.1966e-07	4.1641e-10	-2.4288e-09	2.4719e-10	3.2134e-07	-3.1968e-07	4.5335e-10	-2.4509e-09	2.4696e-10	3.2154e-07	-3.1974e-07	5.1627e-10	-2.4737e-09	2.4896e-10	3.2146e-07	-3.1972e-07	5.4068e-10	-2.4966e-09	2.5e-10	3.215e-07	-3.1976e-07	5.8862e-10	-2.5219e-09	2.4687e-10	3.2146e-07	-3.1968e-07	6.3766e-10	-2.5513e-09	2.4797e-10	3.2086e-07	-3.1916e-07
-0.295	1.8649e-10	-2.1453e-09	2.4204e-10	3.2246e-07	-3.2064e-07	2.3204e-10	-2.1493e-09	2.4094e-10	3.2228e-07	-3.2046e-07	2.7473e-10	-2.1632e-09	2.3783e-10	3.2158e-07	-3.1992e-07	3.226e-10	-2.1776e-09	2.3835e-10	3.2146e-07	-3.1924e-07	3.5772e-10	-2.1996e-09	2.374e-10	3.2154e-07	-3.199e-07	4.0139e-10	-2.2204e-09	2.3575e-10	3.2144e-07	-3.1982e-07	4.4569e-10	-2.2417e-09	2.3942e-10	3.2152e-07	-3.1998e-07	4.8318e-10	-2.2619e-09	2.3946e-10	3.2144e-07	-3.1984e-07	5.257e-10	-2.2884e-09	2.3854e-10	3.2158e-07	-3.2e-07	5.7436e-10	-2.3134e-09	2.379e-10	3.2144e-07	-3.199e-07	6.2032e-10	-2.3391e-09	2.3588e-10	3.2146e-07	-3.2002e-07
-0.29	1.7721e-10	-1.9578e-09	2.3194e-10	3.2248e-07	-3.2082e-07	2.21e-10	-1.964e-09	2.2915e-10	3.2224e-07	-3.2064e-07	2.6384e-10	-1.9792e-09	2.2846e-10	3.2152e-07	-3.2008e-07	3.0764e-10	-1.9952e-09	2.3014e-10	3.2146e-07	-3.2006e-07	3.4812e-10	-2.0127e-09	2.3029e-10	3.2148e-07	-3.2004e-07	3.8887e-10	-2.0365e-09	2.2967e-10	3.2118e-07	-3.2006e-07	4.2861e-10	-2.0563e-09	2.2802e-10	3.215e-07	-3.198e-07	4.7167e-10	-2.0751e-09	2.2768e-10	3.2094e-07	-3.1952e-07	5.1691e-10	-2.1021e-09	2.2927e-10	3.2154e-07	-3.2016e-07	5.5796e-10	-2.1237e-09	2.2625e-10	3.215e-07	-3.2012e-07	6.1181e-10	-2.1519e-09	2.2765e-10	3.215e-07	-3.2014e-07
-0.285	1.6701e-10	-1.7838e-09	2.2139e-10	3.2242e-07	-3.2102e-07	2.1463e-10	-1.7936e-09	2.2264e-10	3.2218e-07	-3.2086e-07	2.5605e-10	-1.8071e-09	2.2164e-10	3.2094e-07	-3.202e-07	2.9593e-10	-1.8209e-09	2.22e-10	3.2142e-07	-3.202e-07	3.3591e-10	-1.8415e-09	2.2032e-10	3.2154e-07	-3.202e-07	3.7749e-10	-1.8607e-09	2.1933e-10	3.2148e-07	-3.2018e-07	4.2038e-10	-1.8816e-09	2.1889e-10	3.2158e-07	-3.2026e-07	4.6078e-10	-1.9012e-09	2.1797e-10	3.2152e-07	-3.2022e-07	5.0245e-10	-1.9265e-09	2.172e-10	3.2152e-07	-3.1974e-07	5.4335e-10	-1.952e-09	2.178e-10	3.2146e-07	-3.2026e-07	5.9766e-10	-1.9803e-09	2.2016e-10	3.2146e-07	-3.2028e-07
-0.28	1.6101e-10	-1.6283e-09	2.1113e-10	3.227e-07	-3.2134e-07	2.0413e-10	-1.6398e-09	2.1357e-10	3.2226e-07	-3.2094e-07	2.4751e-10	-1.6527e-09	2.12e-10	3.21e-07	-3.198e-07	2.8554e-10	-1.6718e-09	2.1191e-10	3.2142e-07	-3.1974e-07	3.2502e-10	-1.6845e-09	2.0841e-10	3.2154e-07	-3.2034e-07	3.6675e-10	-1.7061e-09	2.0825e-10	3.2148e-07	-3.2032e-07	4.1148e-10	-1.7289e-09	2.1027e-10	3.2152e-07	-3.2042e-07	4.5409e-10	-1.7491e-09	2.1325e-10	3.215e-07	-3.2038e-07	4.922e-10	-1.7733e-09	2.1282e-10	3.2152e-07	-3.2038e-07	5.3152e-10	-1.794e-09	2.1016e-10	3.2148e-07	-3.2028e-07	5.8321e-10	-1.8237e-09	2.1143e-10	3.2144e-07	-3.2044e-07
-0.275	1.5142e-10	-1.486e-09	2.0437e-10	3.226e-07	-3.2136e-07	1.9427e-10	-1.4981e-09	2.0383e-10	3.2222e-07	-3.211e-07	2.376e-10	-1.5088e-09	2.0048e-10	3.2154e-07	-3.2044e-07	2.754e-10	-1.5248e-09	2.0108e-10	3.215e-07	-3.2044e-07	3.2083e-10	-1.5474e-09	2.0136e-10	3.2158e-07	-3.2044e-07	3.5736e-10	-1.5632e-09	2.0045e-10	3.2144e-07	-3.1998e-07	3.9903e-10	-1.5829e-09	2.0219e-10	3.2152e-07	-3.2056e-07	4.3184e-10	-1.6051e-09	2.0226e-10	3.2146e-07	-3.2046e-07	4.81e-10	-1.6237e-09	1.9995e-10	3.2148e-07	-3.2056e-07	5.2889e-10	-1.6538e-09	2.0221e-10	3.2084e-07	-3.2056e-07	5.6473e-10	-1.6789e-09	2.0045e-10	3.2146e-07	-3.1996e-07
-0.27	1.4303e-10	-1.3582e-09	1.9453e-10	3.2236e-07	-3.2128e-07	1.8625e-10	-1.3722e-09	1.9321e-10	3.2224e-07	-3.2116e-07	2.279e-10	-1.3847e-09	1.942e-10	3.2156e-07	-3.2056e-07	2.6521e-10	-1.4041e-09	1.9452e-10	3.2148e-07	-3.2054e-07	3.0426e-10	-1.4141e-09	1.9317e-10	3.2154e-07	-3.2058e-07	3.4591e-10	-1.4347e-09	1.9362e-10	3.2094e-07	-3.1992e-07	3.8495e-10	-1.4585e-09	1.9173e-10	3.2104e-07	-3.2016e-07	4.2577e-10	-1.4785e-09	1.9184e-10	3.2142e-07	-3.2068e-07	4.6593e-10	-1.4987e-09	1.9164e-10	3.2146e-07	-3.2064e-07	5.0383e-10	-1.5217e-09	1.9152e-10	3.2148e-07	-3.2068e-07	5.5117e-10	-1.5494e-09	1.9327e-10	3.2144e-07	-3.2056e-07
-0.265	1.3567e-10	-1.2391e-09	1.8543e-10	3.223e-07	-3.2134e-07	1.7794e-10	-1.2524e-09	1.8748e-10	3.2216e-07	-3.213e-07	2.206e-10	-1.2645e-09	1.8709e-10	3.216e-07	-3.207e-07	2.5766e-10	-1.284e-09	1.8536e-10	3.2154e-07	-3.2058e-07	2.9525e-10	-1.2995e-09	1.84e-10	3.2146e-07	-3.206e-07	3.3387e-10	-1.3183e-09	1.8312e-10	3.2086e-07	-3.2072e-07	3.7383e-10	-1.3378e-09	1.8389e-10	3.2104e-07	-3.2024e-07	4.1601e-10	-1.36e-09	1.8424e-10	3.2136e-07	-3.207e-07	4.5094e-10	-1.3795e-09	1.835e-10	3.2156e-07	-3.2076e-07	4.9147e-10	-1.4067e-09	1.8561e-10	3.2152e-07	-3.2072e-07	5.3996e-10	-1.4281e-09	1.8498e-10	3.2154e-07	-3.2074e-07
-0.26	1.2727e-10	-1.1363e-09	1.7893e-10	3.2238e-07	-3.215e-07	1.692e-10	-1.1488e-09	1.7836e-10	3.2224e-07	-3.2134e-07	2.0962e-10	-1.1627e-09	1.7863e-10	3.2094e-07	-3.2026e-07	2.4714e-10	-1.1819e-09	1.7585e-10	3.2136e-07	-3.2008e-07	2.8306e-10	-1.1915e-09	1.7423e-10	3.2096e-07	-3.2026e-07	3.2441e-10	-1.2115e-09	1.7476e-10	3.2144e-07	-3.2026e-07	3.6412e-10	-1.2329e-09	1.7812e-10	3.2148e-07	-3.2084e-07	4.0845e-10	-1.2555e-09	1.7903e-10	3.214e-07	-3.2086e-07	4.4405e-10	-1.2756e-09	1.7847e-10	3.2154e-07	-3.208e-07	4.7926e-10	-1.2956e-09	1.7634e-10	3.2104e-07	-3.203e-07	5.2328e-10	-1.3214e-09	1.7567e-10	3.2146e-07	-3.208e-07
-0.255	1.1845e-10	-1.0394e-09	1.7117e-10	3.2238e-07	-3.216e-07	1.6116e-10	-1.0502e-09	1.6913e-10	3.2226e-07	-3.215e-07	2.0171e-10	-1.0655e-09	1.6939e-10	3.216e-07	-3.209e-07	2.4127e-10	-1.0798e-09	1.6789e-10	3.2148e-07	-3.2076e-07	2.7562e-10	-1.0988e-09	1.7008e-10	3.2098e-07	-3.2034e-07	3.1238e-10	-1.1163e-09	1.6935e-10	3.2074e-07	-3.2026e-07	3.6033e-10	-1.1327e-09	1.6847e-10	3.2158e-07	-3.2092e-07	3.878e-10	-1.153e-09	1.6609e-10	3.2124e-07	-3.2014e-07	4.2919e-10	-1.175e-09	1.6688e-10	3.2152e-07	-3.2078e-07	4.6468e-10	-1.199e-09	1.6757e-10	3.2092e-07	-3.2086e-07	5.1225e-10	-1.2185e-09	1.6624e-10	3.2146e-07	-3.2096e-07
