Vgs	Gm_Vds=0.15V	Gm_Vds=0.30V	Gm_Vds=0.45V	Gm_Vds=0.60V	Gm_Vds=0.75V	Gm_Vds=0.90V
-0.295	-1.0694e-08	-2.0692e-08	-2.7187e-08	-4.0212e-08	-4.407e-08	-6.479e-08
-0.29	-1.0668e-08	-2.0222e-08	-2.694e-08	-3.973e-08	-4.5142e-08	-6.619e-08
-0.285	-1.0666e-08	-1.974e-08	-2.6477e-08	-3.8238e-08	-4.6752e-08	-6.6286e-08
-0.28	-1.0645e-08	-1.9193e-08	-2.5882e-08	-3.681e-08	-4.7814e-08	-6.7124e-08
-0.275	-1.0605e-08	-1.8339e-08	-2.602e-08	-3.5746e-08	-4.816e-08	-6.95e-08
-0.27	-1.0561e-08	-1.7657e-08	-2.6171e-08	-3.4582e-08	-4.849e-08	-6.9078e-08
-0.265	-1.038e-08	-1.7127e-08	-2.5212e-08	-3.4232e-08	-4.8698e-08	-6.56e-08
-0.26	-1.0142e-08	-1.6433e-08	-2.4349e-08	-3.4712e-08	-4.7572e-08	-6.379e-08
-0.255	-1.0061e-08	-1.6145e-08	-2.4142e-08	-3.48e-08	-4.6336e-08	-6.2744e-08
-0.25	-1.0001e-08	-1.6238e-08	-2.3565e-08	-3.4568e-08	-4.6436e-08	-5.9636e-08
-0.245	-9.846e-09	-1.6113e-08	-2.2884e-08	-3.421e-08	-4.6294e-08	-5.7376e-08
-0.24	-9.672e-09	-1.5988e-08	-2.2869e-08	-3.3426e-08	-4.503e-08	-5.8168e-08
-0.235	-9.394e-09	-1.5972e-08	-2.3212e-08	-3.304e-08	-4.3938e-08	-5.974e-08
-0.23	-8.906e-09	-1.5663e-08	-2.3431e-08	-3.2386e-08	-4.3614e-08	-5.97e-08
-0.225	-8.533e-09	-1.5166e-08	-2.2919e-08	-3.071e-08	-4.3096e-08	-5.8744e-08
-0.22	-8.382e-09	-1.4668e-08	-2.2325e-08	-2.9982e-08	-4.2094e-08	-5.906e-08
-0.215	-8.252e-09	-1.44e-08	-2.2242e-08	-3.03e-08	-4.1334e-08	-5.9746e-08
-0.21	-8.176e-09	-1.4425e-08	-2.1891e-08	-2.9904e-08	-4.1536e-08	-5.8562e-08
-0.205	-8.163e-09	-1.4211e-08	-2.1215e-08	-3.001e-08	-4.1764e-08	-5.6874e-08
-0.2	-7.984e-09	-1.3747e-08	-2.104e-08	-3.1388e-08	-4.1074e-08	-5.6952e-08
-0.195	-7.653e-09	-1.3583e-08	-2.146e-08	-3.18e-08	-4.0392e-08	-5.7364e-08
-0.19	-7.363e-09	-1.3555e-08	-2.1493e-08	-3.1534e-08	-4.0008e-08	-5.5354e-08
-0.185	-7.142e-09	-1.3304e-08	-2.0859e-08	-3.1392e-08	-3.9436e-08	-5.2562e-08
-0.18	-6.833e-09	-1.2979e-08	-2.0316e-08	-3.037e-08	-3.8858e-08	-5.075e-08
-0.175	-6.372e-09	-1.2566e-08	-2.0135e-08	-2.9206e-08	-3.823e-08	-4.9726e-08
-0.17	-6.13e-09	-1.2094e-08	-1.9752e-08	-2.8496e-08	-3.7222e-08	-4.973e-08
-0.165	-6.05e-09	-1.1595e-08	-1.9352e-08	-2.7828e-08	-3.5852e-08	-4.969e-08
-0.16	-5.852e-09	-1.0901e-08	-1.9371e-08	-2.7612e-08	-3.4614e-08	-4.9692e-08
-0.155	-5.749e-09	-1.0489e-08	-1.8949e-08	-2.7242e-08	-3.4764e-08	-5.1312e-08
-0.15	-5.5762e-09	-1.0564e-08	-1.7892e-08	-2.6452e-08	-3.6278e-08	-5.2926e-08
-0.145	-5.0639e-09	-1.0387e-08	-1.7264e-08	-2.6648e-08	-3.727e-08	-5.1396e-08
-0.14	-4.7291e-09	-1.0057e-08	-1.7073e-08	-2.6336e-08	-3.798e-08	-4.8548e-08
-0.135	-4.4573e-09	-9.907e-09	-1.6631e-08	-2.4362e-08	-3.884e-08	-4.7192e-08
-0.13	-3.8957e-09	-8.735e-09	-1.6262e-08	-2.337e-08	-3.7582e-08	-4.6358e-08
-0.125	-3.551e-09	-7.349e-09	-1.5999e-08	-2.296e-08	-3.4752e-08	-4.5088e-08
-0.12	-3.0934e-09	-7.586e-09	-1.5248e-08	-2.1328e-08	-3.3374e-08	-4.442e-08
-0.115	-2.3021e-09	-7.669e-09	-1.458e-08	-2.0678e-08	-3.2342e-08	-4.5944e-08
-0.11	-1.9213e-09	-6.753e-09	-1.3907e-08	-2.1885e-08	-3.0324e-08	-4.6926e-08
-0.105	-1.5762e-09	-6.744e-09	-1.2623e-08	-2.242e-08	-2.9656e-08	-4.3652e-08
-0.1	-8.251e-10	-6.875e-09	-1.1522e-08	-2.182e-08	-2.9662e-08	-3.9624e-08
-0.095	-1.874e-10	-5.308e-09	-1.0554e-08	-2.0992e-08	-2.8398e-08	-3.9382e-08
-0.09	7.153e-10	-3.594e-09	-8.98e-09	-1.9263e-08	-2.6996e-08	-3.9818e-08
-0.085	2.268e-09	-2.386e-09	-7.438e-09	-1.5733e-08	-2.5854e-08	-3.7666e-08
-0.08	3.8487e-09	-8.55e-10	-6.345e-09	-1.0936e-08	-2.4412e-08	-3.5556e-08
-0.075	5.4776e-09	7.82e-10	-4.724e-09	-8.511e-09	-2.2392e-08	-3.476e-08
-0.07	7.3794e-09	2.791e-09	-2.517e-09	-8.887e-09	-1.9582e-08	-3.2094e-08
-0.065	9.3768e-09	5.346e-09	-7.33e-10	-8.019e-09	-1.7142e-08	-2.6644e-08
-0.06	1.18856e-08	8.047e-09	1.398e-09	-6.253e-09	-1.5136e-08	-2.2834e-08
-0.055	1.50002e-08	1.1078e-08	4.941e-09	-5.308e-09	-1.15e-08	-2.0868e-08
-0.05	1.83957e-08	1.4813e-08	8.909e-09	-1.791e-09	-6.486e-09	-1.5968e-08
-0.045	2.24163e-08	1.8832e-08	1.3132e-08	5.843e-09	-7.52e-10	-9.818e-09
-0.04	2.74251e-08	2.3364e-08	1.8717e-08	1.3566e-08	4.978e-09	-5.97e-09
-0.035	3.3064e-08	2.9255e-08	2.5671e-08	1.9812e-08	1.024e-08	-1.298e-09
-0.03	3.9193e-08	3.6304e-08	3.328e-08	2.6613e-08	1.7494e-08	5.332e-09
-0.025	4.6614e-08	4.4337e-08	4.1322e-08	3.4914e-08	2.69e-08	1.3936e-08
-0.02	5.5646e-08	5.407e-08	5.068e-08	4.4338e-08	3.5772e-08	2.5734e-08
-0.015	6.6265e-08	6.5626e-08	6.2316e-08	5.5609e-08	4.701e-08	3.986e-08
-0.01	7.9031e-08	7.8672e-08	7.5883e-08	6.9998e-08	6.4108e-08	5.711e-08
-0.005	9.4439e-08	9.4081e-08	9.1532e-08	8.7478e-08	8.35e-08	7.6924e-08
0	1.12494e-07	1.1282e-07	1.10701e-07	1.07518e-07	1.03358e-07	9.6992e-08
0.005	1.33639e-07	1.34483e-07	1.34013e-07	1.30694e-07	1.26688e-07	1.20704e-07
0.01	1.58564e-07	1.59738e-07	1.61292e-07	1.58183e-07	1.5555e-07	1.50248e-07
0.015	1.87894e-07	1.90851e-07	1.92351e-07	1.90627e-07	1.8828e-07	1.84e-07
0.02	2.22985e-07	2.28107e-07	2.28758e-07	2.28755e-07	2.25938e-07	2.25104e-07
0.025	2.64949e-07	2.71231e-07	2.73173e-07	2.744e-07	2.7215e-07	2.74802e-07
0.03	3.13963e-07	3.22049e-07	3.25472e-07	3.28218e-07	3.27796e-07	3.31492e-07
0.035	3.715e-07	3.82185e-07	3.86357e-07	3.91052e-07	3.93374e-07	3.97636e-07
0.04	4.39826e-07	4.52214e-07	4.59388e-07	4.65778e-07	4.70262e-07	4.76492e-07
0.045	5.19519e-07	5.33906e-07	5.45704e-07	5.53742e-07	5.60656e-07	5.67394e-07
0.05	6.13384e-07	6.31306e-07	6.45934e-07	6.57506e-07	6.68706e-07	6.74378e-07
0.055	7.2561e-07	7.47934e-07	7.64406e-07	7.81342e-07	7.96632e-07	8.04976e-07
0.06	8.58508e-07	8.86388e-07	9.06494e-07	9.28014e-07	9.46278e-07	9.60764e-07
0.065	1.015534e-06	1.049784e-06	1.074678e-06	1.101046e-06	1.124042e-06	1.143686e-06
0.07	1.20247e-06	1.243954e-06	1.273476e-06	1.306634e-06	1.335016e-06	1.360964e-06
0.075	1.42378e-06	1.47398e-06	1.51006e-06	1.5498e-06	1.583938e-06	1.618634e-06
0.08	1.685036e-06	1.745008e-06	1.790542e-06	1.837182e-06	1.87999e-06	1.922072e-06
0.085	1.993678e-06	2.065452e-06	2.120992e-06	2.17879e-06	2.230412e-06	2.280608e-06
0.09	2.359356e-06	2.44512e-06	2.5129e-06	2.582936e-06	2.64295e-06	2.706548e-06
0.095	2.793944e-06	2.89456e-06	2.978422e-06	3.059222e-06	3.132008e-06	3.208492e-06
0.1	3.308788e-06	3.426316e-06	3.52862e-06	3.625016e-06	3.712444e-06	3.80192e-06
0.105	3.914774e-06	4.055436e-06	4.178958e-06	4.293846e-06	4.397834e-06	4.510768e-06
0.11	4.63378e-06	4.802008e-06	4.94977e-06	5.080468e-06	5.213314e-06	5.35086e-06
0.115	5.486236e-06	5.687706e-06	5.859738e-06	6.012398e-06	6.181272e-06	6.3374e-06
0.12	6.490322e-06	6.73198e-06	6.933132e-06	7.1224e-06	7.32e-06	7.5078e-06
0.125	7.6758e-06	7.9626e-06	8.208e-06	8.4358e-06	8.6636e-06	8.8944e-06
0.13	9.0856e-06	9.4226e-06	9.7192e-06	9.9898e-06	1.02572e-05	1.05224e-05
0.135	1.0755e-05	1.11556e-05	1.15006e-05	1.1834e-05	1.21452e-05	1.2452e-05
0.14	1.27128e-05	1.3192e-05	1.35922e-05	1.39994e-05	1.43652e-05	1.47322e-05
0.145	1.50284e-05	1.55978e-05	1.60692e-05	1.65522e-05	1.69982e-05	1.74284e-05
0.15	1.77628e-05	1.84566e-05	1.90066e-05	1.958e-05	2.01274e-05	2.06242e-05
0.155	2.10018e-05	2.1843e-05	2.25126e-05	2.31944e-05	2.38358e-05	2.44328e-05
0.16	2.48882e-05	2.58596e-05	2.66988e-05	2.74766e-05	2.82128e-05	2.89438e-05
0.165	2.95026e-05	3.06286e-05	3.16136e-05	3.25024e-05	3.3399e-05	3.42392e-05
0.17	3.4868e-05	3.62396e-05	3.737e-05	3.8428e-05	3.95424e-05	4.04658e-05
0.175	4.11894e-05	4.28526e-05	4.41842e-05	4.54576e-05	4.67408e-05	4.78266e-05
0.18	4.86896e-05	5.06768e-05	5.2193e-05	5.37096e-05	5.51982e-05	5.65258e-05
0.185	5.75274e-05	5.9878e-05	6.16142e-05	6.34032e-05	6.52154e-05	6.67988e-05
0.19	6.79344e-05	7.06788e-05	7.2794e-05	7.4916e-05	7.7055e-05	7.8942e-05
0.195	8.0241e-05	8.3435e-05	8.6019e-05	8.8572e-05	9.0987e-05	9.3309e-05
0.2	9.4775e-05	9.8535e-05	0.000101569	0.000104682	0.000107393	0.000110209
0.205	0.000111825	0.000116312	0.000119931	0.000123637	0.000126811	0.000130077
0.21	0.000131808	0.000137175	0.00014157	0.000145889	0.000149692	0.000153441
0.215	0.000155481	0.000161804	0.000166987	0.000172081	0.000176489	0.000180929
0.22	0.000183453	0.000190855	0.000196835	0.000202805	0.000207947	0.000213219
0.225	0.000216225	0.000224841	0.000231962	0.000238769	0.000245121	0.000251198
0.23	0.000254789	0.000264705	0.000273114	0.000281091	0.000288448	0.000295729
0.235	0.000299585	0.000311247	0.00032089	0.000330181	0.000338564	0.000347277
0.24	0.000351618	0.00036564	0.000376751	0.000387128	0.000397633	0.000407863
0.245	0.000412592	0.000429363	0.000442058	0.000454126	0.000466874	0.000478958
0.25	0.000483802	0.000503521	0.000518412	0.000532992	0.000547129	0.00056116
0.255	0.000566474	0.000589965	0.000607753	0.000624924	0.000641024	0.00065697
0.26	0.00066312	0.00069112	0.00071186	0.00073182	0.00075116	0.00076918
0.265	0.00077596	0.0008082	0.00083284	0.00085586	0.00087834	0.00089876
