vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-5.672e-11	-4.2e-12	-6e-13	3.2154e-07	-3.215e-07	-9.221e-11	3.174e-11	7.8e-13	3.2074e-07	-3.2062e-07	-2.8991e-10	2.2785e-10	-8.2e-13	3.207e-07	-3.2068e-07	-1.3802e-09	1.3182e-09	-5.7e-13	3.2058e-07	-3.205e-07	-5.1982e-09	5.1396e-09	-3.8e-13	3.2058e-07	-3.2052e-07	-1.79432e-08	1.79358e-08	3.7e-13	3.2064e-07	-3.206e-07	-6.71954e-08	6.72412e-08	-1.26e-12	3.2024e-07	-3.2014e-07
0.005	-4.277e-11	8e-14	3.2e-13	3.2148e-07	-3.2148e-07	-7.351e-11	3e-11	-1.14e-12	3.2076e-07	-3.2058e-07	-2.5694e-10	2.1565e-10	-4.3e-13	3.2062e-07	-3.206e-07	-1.2956e-09	1.2518e-09	-7.6e-13	3.2068e-07	-3.2056e-07	-4.9656e-09	4.9246e-09	-1.6e-13	3.2062e-07	-3.2058e-07	-1.71862e-08	1.71936e-08	-4.9e-13	3.2064e-07	-3.2062e-07	-6.41998e-08	6.42052e-08	-1.13e-12	3.2026e-07	-3.2028e-07
0.01	-2.672e-11	-5.13e-12	-2.2e-13	3.2148e-07	-3.2148e-07	-5.711e-11	2.883e-11	-1e-12	3.2012e-07	-3.2058e-07	-2.3154e-10	2.0225e-10	-3.5e-13	3.2074e-07	-3.2068e-07	-1.2192e-09	1.1884e-09	-2.6e-13	3.2058e-07	-3.2052e-07	-4.7476e-09	4.7179e-09	-3.7e-13	3.206e-07	-3.206e-07	-1.64552e-08	1.6485e-08	-1.6e-12	3.2064e-07	-3.2062e-07	-6.12628e-08	6.1286e-08	6e-14	3.2014e-07	-3.2018e-07
0.015	-1.531e-11	-3.07e-12	-9.4e-13	3.2148e-07	-3.2148e-07	-4.661e-11	2.838e-11	-1.13e-12	3.2076e-07	-3.2072e-07	-2.0377e-10	1.8904e-10	1.1e-13	3.2072e-07	-3.2064e-07	-1.1429e-09	1.1253e-09	-7.1e-13	3.2016e-07	-3.2054e-07	-4.5428e-09	4.5262e-09	-7e-13	3.2006e-07	-3.2054e-07	-1.57688e-08	1.58018e-08	9.5e-13	3.2068e-07	-3.2056e-07	-5.85136e-08	5.85658e-08	-6.3e-13	3.2024e-07	-3.2024e-07
0.02	-1.86e-12	-1.008e-11	1.02e-12	3.217e-07	-3.2166e-07	-3.328e-11	2.259e-11	-3.9e-13	3.2074e-07	-3.207e-07	-1.747e-10	1.778e-10	-6e-14	3.2072e-07	-3.2068e-07	-1.0687e-09	1.0673e-09	-1.08e-12	3.2064e-07	-3.2062e-07	-4.343e-09	4.338e-09	7.2e-13	3.2062e-07	-3.2064e-07	-1.50948e-08	1.51446e-08	8e-14	3.2014e-07	-3.2068e-07	-5.58904e-08	5.59528e-08	-4.1e-13	3.2024e-07	-3.202e-07
0.025	8.23e-12	-6.93e-12	2e-13	3.2154e-07	-3.2146e-07	-1.856e-11	2.157e-11	-3.8e-13	3.2068e-07	-3.2076e-07	-1.6042e-10	1.6658e-10	-7e-13	3.2022e-07	-3.2014e-07	-1.0061e-09	1.0117e-09	1.6e-13	3.2056e-07	-3.2058e-07	-4.1495e-09	4.1589e-09	-8.6e-13	3.2004e-07	-3.2056e-07	-1.4463e-08	1.45258e-08	-6.8e-13	3.2006e-07	-3.206e-07	-5.3412e-08	5.3473e-08	4.5e-13	3.2016e-07	-3.2024e-07
0.03	2.578e-11	-6.95e-12	-2.8e-13	3.2148e-07	-3.2146e-07	-5.02e-12	2.303e-11	-3.1e-13	3.2074e-07	-3.2072e-07	-1.3976e-10	1.5423e-10	2.4e-13	3.2066e-07	-3.207e-07	-9.3302e-10	9.5882e-10	-2e-13	3.206e-07	-3.206e-07	-3.9628e-09	3.9787e-09	5.5e-13	3.2058e-07	-3.2062e-07	-1.38516e-08	1.39266e-08	-1.03e-12	3.2068e-07	-3.2068e-07	-5.0986e-08	5.10846e-08	-6.7e-13	3.202e-07	-3.2028e-07
0.035	3.443e-11	-6.88e-12	0	3.2146e-07	-3.2142e-07	4.32e-12	2.301e-11	-4.1e-13	3.2026e-07	-3.2068e-07	-1.1579e-10	1.4207e-10	-2.7e-13	3.2068e-07	-3.207e-07	-8.7884e-10	9.0836e-10	-7.1e-13	3.2058e-07	-3.2056e-07	-3.7837e-09	3.8151e-09	1.2e-13	3.2062e-07	-3.2056e-07	-1.32766e-08	1.33574e-08	-1.6e-13	3.206e-07	-3.2068e-07	-4.87264e-08	4.88048e-08	-1.8e-13	3.2022e-07	-3.1952e-07
0.04	4.684e-11	-1.233e-11	5.1e-13	3.2136e-07	-3.2142e-07	2.315e-11	2.002e-11	-6e-14	3.207e-07	-3.2016e-07	-1.0037e-10	1.3186e-10	9.7e-13	3.2058e-07	-3.2068e-07	-8.1558e-10	8.5474e-10	5.2e-13	3.2062e-07	-3.2056e-07	-3.6124e-09	3.6478e-09	8.6e-13	3.2014e-07	-3.2062e-07	-1.2724e-08	1.28076e-08	3e-14	3.2074e-07	-3.2062e-07	-4.65676e-08	4.66568e-08	-4e-14	3.1994e-07	-3.2018e-07
0.045	5.37e-11	-7.88e-12	-3.1e-13	3.2144e-07	-3.2142e-07	2.866e-11	1.697e-11	1.3e-13	3.207e-07	-3.2068e-07	-8.029e-11	1.2685e-10	9.2e-13	3.2068e-07	-3.2076e-07	-7.6154e-10	8.0194e-10	3.2e-13	3.2058e-07	-3.2056e-07	-3.443e-09	3.4933e-09	-1.11e-12	3.2062e-07	-3.2062e-07	-1.21822e-08	1.22762e-08	-9.2e-13	3.2064e-07	-3.2058e-07	-4.448e-08	4.46022e-08	-7.5e-13	3.202e-07	-3.2028e-07
