Vgs	Gm_Vds=0.01V	Gm_Vds=0.02V	Gm_Vds=0.03V	Gm_Vds=0.04V	Gm_Vds=0.05V	Gm_Vds=0.06V	Gm_Vds=0.07V	Gm_Vds=0.08V	Gm_Vds=0.09V	Gm_Vds=0.10V
-0.295	-6.2319e-09	-1.77864e-08	-1.782e-08	-1.76089e-08	-1.15372e-08	-1.929e-08	-1.7133e-08	-1.7131e-08	-1.7455e-08	-1.6828e-08
-0.29	-7.8125e-09	-1.63328e-08	-1.60294e-08	-1.59836e-08	-1.22463e-08	-1.7573e-08	-1.6386e-08	-1.6437e-08	-1.7013e-08	-1.6361e-08
-0.285	-8.893e-09	-1.4845e-08	-1.46584e-08	-1.47339e-08	-1.32063e-08	-1.6219e-08	-1.5751e-08	-1.5901e-08	-1.6266e-08	-1.5907e-08
-0.28	-9.2849e-09	-1.3015e-08	-1.34782e-08	-1.40982e-08	-1.31502e-08	-1.5567e-08	-1.4944e-08	-1.5159e-08	-1.5809e-08	-1.5056e-08
-0.275	-1.02958e-08	-1.11434e-08	-1.1507e-08	-1.26331e-08	-1.27057e-08	-1.39377e-08	-1.3916e-08	-1.4119e-08	-1.5412e-08	-1.4262e-08
-0.27	-1.06559e-08	-1.10379e-08	-1.06208e-08	-1.13226e-08	-1.30995e-08	-1.25777e-08	-1.3553e-08	-1.376e-08	-1.4538e-08	-1.4187e-08
-0.265	-9.1819e-09	-1.12809e-08	-1.12583e-08	-1.16983e-08	-1.27087e-08	-1.32239e-08	-1.3548e-08	-1.389e-08	-1.3861e-08	-1.3974e-08
-0.26	-8.467e-09	-9.9959e-09	-1.06411e-08	-1.15149e-08	-1.10791e-08	-1.31195e-08	-1.2824e-08	-1.3399e-08	-1.3817e-08	-1.3268e-08
-0.255	-9.2229e-09	-9.0934e-09	-9.3384e-09	-9.5592e-09	-1.07671e-08	-1.1414e-08	-1.2132e-08	-1.2836e-08	-1.3348e-08	-1.3039e-08
-0.25	-8.6359e-09	-9.6539e-09	-9.9252e-09	-8.8271e-09	-1.15595e-08	-1.13473e-08	-1.22487e-08	-1.2818e-08	-1.2415e-08	-1.2936e-08
-0.245	-7.2444e-09	-9.2938e-09	-1.04304e-08	-9.4937e-09	-1.07665e-08	-1.19628e-08	-1.19816e-08	-1.2241e-08	-1.2178e-08	-1.2294e-08
-0.24	-7.7467e-09	-8.1299e-09	-9.1215e-09	-9.1395e-09	-9.5399e-09	-1.06086e-08	-1.11487e-08	-1.1133e-08	-1.2287e-08	-1.1986e-08
-0.235	-8.3441e-09	-8.5322e-09	-8.5727e-09	-8.8857e-09	-9.9515e-09	-9.7482e-09	-1.09191e-08	-1.09109e-08	-1.1677e-08	-1.217e-08
-0.23	-7.0978e-09	-8.9825e-09	-9.2644e-09	-9.6876e-09	-9.9817e-09	-1.06394e-08	-1.08732e-08	-1.12588e-08	-1.0988e-08	-1.1882e-08
-0.225	-6.5858e-09	-7.745e-09	-8.4424e-09	-9.5373e-09	-8.5306e-09	-1.02321e-08	-1.01589e-08	-1.08744e-08	-1.1057e-08	-1.1331e-08
-0.22	-7.45e-09	-6.9978e-09	-7.1028e-09	-8.5275e-09	-8.3197e-09	-8.6838e-09	-9.7087e-09	-1.05027e-08	-1.08412e-08	-1.1277e-08
-0.215	-6.806e-09	-7.6833e-09	-7.744e-09	-8.73e-09	-9.3474e-09	-8.9753e-09	-9.835e-09	-1.07803e-08	-1.01446e-08	-1.0989e-08
-0.21	-5.3783e-09	-7.2672e-09	-8.1149e-09	-8.8508e-09	-8.6959e-09	-9.4777e-09	-9.4542e-09	-1.04216e-08	-1.02152e-08	-1.0099e-08
-0.205	-5.9457e-09	-6.1184e-09	-6.82e-09	-7.8012e-09	-7.5596e-09	-8.0483e-09	-8.7047e-09	-9.4684e-09	-1.04345e-08	-9.8104e-09
-0.2	-6.7446e-09	-6.6635e-09	-6.6976e-09	-7.4439e-09	-8.1518e-09	-7.5033e-09	-8.5096e-09	-9.2282e-09	-9.7697e-09	-1.00086e-08
-0.195	-5.7967e-09	-7.2962e-09	-7.6951e-09	-7.9597e-09	-8.2892e-09	-8.6417e-09	-8.5489e-09	-9.2212e-09	-9.3025e-09	-9.5959e-09
