I/V Sweep,id_vds
RecordTime,04/14/2025 12:29:30
Device ID,
Count,1
Flag,
Remarks,
vd,vg,id,ig,is,iavdd,ignd
0,0,-5.8811E-09,-1.0343000000000001E-10,3.959E-11,3.4475999999999997E-07,-3.3946E-07
0.005,0,-3.8945E-09,-1.1453E-10,-6.8784000000000008E-10,3.4372E-07,-3.3904E-07
0.01,0,-3.0701E-09,-1.2615E-10,-1.2726E-09,3.4304E-07,-3.3866E-07
0.015000000000000001,0,-2.2575E-09,-1.3663000000000002E-10,-1.7732E-09,3.4256E-07,-3.3848E-07
0.02,0,-1.6324E-09,-1.4682000000000002E-10,-2.1778E-09,3.4216E-07,-3.3824E-07
0.025,0,-1.0489E-09,-1.5548000000000002E-10,-2.5301E-09,3.4184E-07,-3.3804E-07
0.030000000000000002,0,-5.5135000000000007E-10,-1.6403E-10,-2.8233E-09,3.413E-07,-3.3786E-07
0.035,0,-1.1270000000000001E-10,-1.7612E-10,-3.0712E-09,3.4138E-07,-3.3796E-07
0.04,0,3.0178E-10,-1.8382000000000002E-10,-3.2781E-09,3.4072E-07,-3.3746E-07
0.045000000000000005,0,6.4271E-10,-1.9305000000000002E-10,-3.4666E-09,3.4044E-07,-3.3742E-07
0.05,0,9.6076E-10,-2.0594000000000002E-10,-3.6189E-09,3.4016E-07,-3.3734E-07
0.055,0,1.2617E-09,-2.1583000000000002E-10,-3.7398E-09,3.3978E-07,-3.3704E-07
0.060000000000000005,0,1.5532E-09,-2.2559000000000002E-10,-3.8571E-09,3.395E-07,-3.3704E-07
0.065,0,1.8072E-09,-2.3481000000000004E-10,-3.9585E-09,3.3924E-07,-3.3692E-07
0.07,0,2.0269E-09,-2.4790000000000004E-10,-4.046E-09,3.3904E-07,-3.3688E-07
0.075,0,2.2556E-09,-2.4322E-10,-4.1341E-09,3.389E-07,-3.367E-07
0.08,0,2.4298E-09,-2.6182000000000003E-10,-4.1884E-09,3.3877999999999997E-07,-3.3674E-07
0.085,0,2.6249E-09,-2.8562000000000004E-10,-4.2622E-09,3.3849999999999997E-07,-3.3664E-07
0.090000000000000011,0,2.8234E-09,-2.9955E-10,-4.3138E-09,3.3824E-07,-3.3646E-07
0.095,0,3.0708E-09,-3.117E-10,-4.3668E-09,3.3814E-07,-3.3644E-07
0.1,0,3.2494E-09,-3.1808E-10,-4.4141E-09,3.3784E-07,-3.3636E-07
0.10500000000000001,0,3.3566E-09,-3.3565E-10,-4.4626E-09,3.3779999999999997E-07,-3.3634E-07
0.11,0,3.5547E-09,-3.4880000000000003E-10,-4.4966E-09,3.3762E-07,-3.3632E-07
0.115,0,3.7385E-09,-3.5293000000000004E-10,-4.5313E-09,3.374E-07,-3.3618E-07
0.12000000000000001,0,3.9024E-09,-3.7294E-10,-4.5711E-09,3.3732E-07,-3.3625999999999997E-07
0.125,0,4.032E-09,-3.9055E-10,-4.6058E-09,3.3714E-07,-3.3622E-07
0.13,0,4.189E-09,-4.0275000000000003E-10,-4.626E-09,3.3704E-07,-3.3622E-07
0.135,0,4.3447E-09,-4.2008E-10,-4.6624E-09,3.3684E-07,-3.361E-07
0.14,0,4.486E-09,-4.3637E-10,-4.6971E-09,3.3676E-07,-3.361E-07
0.14500000000000002,0,4.6266E-09,-4.5454E-10,-4.7197E-09,3.367E-07,-3.3608E-07
0.15,0,4.7797E-09,-4.7047E-10,-4.745E-09,3.365E-07,-3.3606E-07
0.155,0,4.9226E-09,-4.8451E-10,-4.7738E-09,3.3636E-07,-3.3604E-07
0.16,0,5.0385E-09,-5.0455000000000008E-10,-4.7997E-09,3.3634E-07,-3.3602E-07
0.165,0,5.1881E-09,-5.2586000000000008E-10,-4.8171E-09,3.3608E-07,-3.3597999999999997E-07
0.17,0,5.3305E-09,-5.4068E-10,-4.8425E-09,3.36E-07,-3.359E-07
0.17500000000000002,0,5.4643E-09,-5.6038000000000009E-10,-4.8711E-09,3.3583999999999997E-07,-3.3604E-07
0.18000000000000002,0,5.5966E-09,-5.8346000000000007E-10,-4.8922E-09,3.3583999999999997E-07,-3.3597999999999997E-07
0.185,0,5.7347E-09,-6.0586E-10,-4.9068E-09,3.3569999999999997E-07,-3.3602E-07
0.19,0,5.86E-09,-6.234E-10,-4.9262E-09,3.3566E-07,-3.3588E-07
0.195,0,5.9832E-09,-6.4548E-10,-4.9532E-09,3.3552E-07,-3.359E-07
0.2,0,6.1038E-09,-6.6935000000000007E-10,-4.9668E-09,3.3544E-07,-3.3594E-07
0.20500000000000002,0,6.2472E-09,-6.9115E-10,-4.983E-09,3.3546E-07,-3.3594E-07
0.21000000000000002,0,6.3645E-09,-7.1527000000000005E-10,-5.0051E-09,3.353E-07,-3.3592E-07
0.215,0,6.5004E-09,-7.3803000000000009E-10,-5.0275E-09,3.3513999999999997E-07,-3.3592E-07
0.22,0,6.6313E-09,-7.6521000000000009E-10,-5.0364E-09,3.3506E-07,-3.3582E-07
0.225,0,6.7629E-09,-7.8895000000000005E-10,-5.0522E-09,3.3498E-07,-3.3588E-07
0.23,0,6.8897E-09,-8.1488000000000009E-10,-5.0731E-09,3.3494E-07,-3.3586E-07
0.23500000000000001,0,6.9881E-09,-8.4381000000000011E-10,-5.0865E-09,3.3494E-07,-3.3594E-07
0.24000000000000002,0,7.1418E-09,-8.7007000000000008E-10,-5.0954E-09,3.3484E-07,-3.3604E-07
0.24500000000000002,0,7.2601E-09,-8.9574000000000005E-10,-5.1128E-09,3.3471999999999997E-07,-3.3597999999999997E-07
0.25,0,7.3766E-09,-9.2767000000000006E-10,-5.1346E-09,3.3464E-07,-3.3594E-07
0.255,0,7.4999E-09,-9.5791E-10,-5.1431E-09,3.3457999999999997E-07,-3.3597999999999997E-07
0.26,0,7.6385E-09,-9.8492000000000015E-10,-5.1554E-09,3.3456E-07,-3.3602E-07
0.265,0,7.7563E-09,-1.01403E-09,-5.1687E-09,3.3443999999999997E-07,-3.3594E-07
0.27,0,7.8551E-09,-1.0494000000000001E-09,-5.1824E-09,3.344E-07,-3.3608E-07
0.275,0,7.9949E-09,-1.0812700000000001E-09,-5.1869E-09,3.3429999999999997E-07,-3.3602E-07
0.28,0,8.1321E-09,-1.1111E-09,-5.199E-09,3.342E-07,-3.36E-07
0.28500000000000003,0,8.2498E-09,-1.14473E-09,-5.2113E-09,3.3415999999999997E-07,-3.36E-07
0.29000000000000004,0,8.3097E-09,-1.1742E-09,-5.1891E-09,3.34E-07,-3.3586E-07
0.29500000000000004,0,8.3672E-09,-1.2095E-09,-5.1981E-09,3.34E-07,-3.3592E-07
0.3,0,8.4896E-09,-1.2444E-09,-5.2081E-09,3.339E-07,-3.3594E-07
0.305,0,8.6435E-09,-1.2811E-09,-5.2202E-09,3.338E-07,-3.3594E-07
0.31,0,8.768E-09,-1.321E-09,-5.2332E-09,3.3378E-07,-3.3606E-07
0.315,0,8.9054E-09,-1.3573E-09,-5.237E-09,3.3372E-07,-3.3597999999999997E-07
0.32,0,9.0345E-09,-1.395E-09,-5.25E-09,3.3373999999999997E-07,-3.361E-07
0.325,0,9.1574E-09,-1.436E-09,-5.256E-09,3.3362E-07,-3.3602E-07
0.33,0,9.2668E-09,-1.4785E-09,-5.2648E-09,3.3356E-07,-3.3608E-07
0.335,0,9.4359E-09,-1.5173E-09,-5.2654E-09,3.3348E-07,-3.3611999999999997E-07
0.34,0,9.5097E-09,-1.5585E-09,-5.2791E-09,3.3344E-07,-3.3608E-07
0.34500000000000003,0,9.6671E-09,-1.6046E-09,-5.288E-09,3.334E-07,-3.362E-07
0.35000000000000003,0,9.7943E-09,-1.6502E-09,-5.2837E-09,3.3331999999999997E-07,-3.3611999999999997E-07
0.35500000000000004,0,9.943E-09,-1.6912E-09,-5.2908999999999996E-09,3.3331999999999997E-07,-3.3616E-07
0.36000000000000004,0,1.00807E-08,-1.7361E-09,-5.3025E-09,3.335E-07,-3.3656E-07
0.365,0,1.01825E-08,-1.7868E-09,-5.3108E-09,3.3316E-07,-3.362E-07
0.37,0,1.03247E-08,-1.8349E-09,-5.3154E-09,3.3306E-07,-3.3628E-07
0.375,0,1.04687E-08,-1.8794E-09,-5.3172E-09,3.331E-07,-3.363E-07
0.38,0,1.0623E-08,-1.9293E-09,-5.3308E-09,3.3314E-07,-3.3636E-07
0.385,0,1.07135E-08,-1.9815E-09,-5.3339E-09,3.3308E-07,-3.3642E-07
0.39,0,1.08848E-08,-2.0325E-09,-5.3362E-09,3.3308E-07,-3.3638E-07
0.395,0,1.10361E-08,-2.0806E-09,-5.3437E-09,3.3289999999999997E-07,-3.3644E-07
0.4,0,1.11596E-08,-2.134E-09,-5.356E-09,3.3288E-07,-3.3656E-07
0.405,0,1.13008E-08,-2.191E-09,-5.358E-09,3.328E-07,-3.3656E-07
0.41000000000000003,0,1.14558E-08,-2.2462E-09,-5.3602E-09,3.3303999999999997E-07,-3.3656E-07
0.41500000000000004,0,1.1647799999999999E-08,-2.3034E-09,-5.3731E-09,3.328E-07,-3.3666E-07
0.42000000000000004,0,1.1854599999999999E-08,-2.3625E-09,-5.3819E-09,3.3278E-07,-3.3667999999999997E-07
0.42500000000000004,0,1.20442E-08,-2.4223E-09,-5.3921E-09,3.3266E-07,-3.3684E-07
0.43,0,1.2210599999999999E-08,-2.4817E-09,-5.4068E-09,3.3261999999999997E-07,-3.3684E-07
0.435,0,1.24218E-08,-2.5419E-09,-5.4199E-09,3.3264E-07,-3.3695999999999997E-07
0.44,0,1.2587199999999998E-08,-2.6057E-09,-5.4299E-09,3.325E-07,-3.3706E-07
0.445,0,1.2771999999999999E-08,-2.6689E-09,-5.4413E-09,3.325E-07,-3.3709999999999997E-07
0.45,0,1.29442E-08,-2.7336E-09,-5.4534E-09,3.325E-07,-3.3718E-07
0.455,0,1.3149199999999998E-08,-2.8001E-09,-5.4683E-09,3.3242E-07,-3.3728E-07
0.46,0,1.33278E-08,-2.8674E-09,-5.478E-09,3.3236E-07,-3.3728E-07
0.465,0,1.35024E-08,-2.9344E-09,-5.4867E-09,3.3236E-07,-3.3732E-07
0.47000000000000003,0,1.3694999999999998E-08,-3.0049E-09,-5.4975E-09,3.324E-07,-3.3748E-07
0.47500000000000003,0,1.3890999999999999E-08,-3.0758E-09,-5.5041E-09,3.3256E-07,-3.3788E-07
0.48000000000000004,0,1.4099199999999999E-08,-3.1468E-09,-5.5167E-09,3.3216E-07,-3.3764E-07
