I/V Sweep,id_vgs
RecordTime,04/14/2025 14:42:45
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
-0.3,0,2.5081000000000004E-10,-4.1537E-09,-3.8000000000000005E-13,3.263E-07,-3.2234E-07
-0.29500000000000004,0,2.2273000000000002E-10,-3.748E-09,-5.9E-13,3.263E-07,-3.227E-07
-0.29000000000000004,0,2.1354000000000002E-10,-3.3905E-09,-2.0000000000000003E-14,3.2622E-07,-3.2304E-07
-0.28500000000000003,0,2.0415000000000001E-10,-3.0733E-09,-7.8000000000000011E-13,3.2617999999999997E-07,-3.2338E-07
-0.28,0,1.8761E-10,-2.7862E-09,-4.2000000000000003E-13,3.262E-07,-3.2362E-07
-0.275,0,1.759E-10,-2.5304E-09,-5E-13,3.262E-07,-3.2382E-07
-0.27,0,1.7026000000000002E-10,-2.2922E-09,-3.2000000000000005E-13,3.261E-07,-3.241E-07
-0.265,0,1.5667000000000001E-10,-2.0834E-09,-6.7000000000000007E-13,3.2617999999999997E-07,-3.2412E-07
-0.26,0,1.4153E-10,-1.8973E-09,1.2000000000000002E-13,3.262E-07,-3.2444E-07
-0.255,0,1.3465000000000002E-10,-1.7244E-09,1.6000000000000003E-13,3.262E-07,-3.2458E-07
-0.25,0,1.2428E-10,-1.57E-09,-1.9000000000000002E-13,3.2617999999999997E-07,-3.2472E-07
-0.24500000000000002,0,1.1038000000000001E-10,-1.4329E-09,-4.7E-13,3.2624E-07,-3.2488E-07
-0.24000000000000002,0,1.0198E-10,-1.3086E-09,-4.4000000000000004E-13,3.262E-07,-3.25E-07
-0.23500000000000001,0,9.837E-11,-1.1931E-09,-5.5000000000000008E-13,3.2626E-07,-3.2508E-07
-0.23,0,8.596E-11,-1.0927E-09,-6.2000000000000008E-13,3.2606E-07,-3.2522E-07
-0.225,0,7.389E-11,-1.0006E-09,-1.1000000000000001E-13,3.262E-07,-3.2524E-07
-0.22,0,6.8200000000000007E-11,-9.1631000000000012E-10,-2.2000000000000002E-13,3.2614E-07,-3.2536E-07
-0.215,0,6.08E-11,-8.4107000000000007E-10,-5.3000000000000006E-13,3.2614E-07,-3.2536E-07
-0.21000000000000002,0,4.9980000000000005E-11,-7.7192000000000006E-10,-3.5E-13,3.2617999999999997E-07,-3.2538E-07
-0.20500000000000002,0,4.468E-11,-7.1004000000000006E-10,-5E-13,3.2617999999999997E-07,-3.2556E-07
-0.2,0,3.995E-11,-6.5203000000000007E-10,-6.1E-13,3.2624E-07,-3.2554E-07
-0.195,0,2.824E-11,-6.0198E-10,1.4E-13,3.2608E-07,-3.256E-07
-0.19,0,1.972E-11,-5.5426E-10,-4.9E-13,3.2622E-07,-3.2562E-07
-0.185,0,1.8930000000000003E-11,-5.107E-10,-1.1000000000000001E-13,3.2614E-07,-3.2574E-07
-0.18000000000000002,0,8.94E-12,-4.7313E-10,-1.6800000000000001E-12,3.262E-07,-3.2576E-07
-0.17500000000000002,0,3.3E-13,-4.3702000000000006E-10,-3.2000000000000005E-13,3.2622E-07,-3.2562E-07
-0.17,0,-1.91E-12,-4.0423E-10,-2.6E-13,3.2612E-07,-3.2572E-07
-0.165,0,-6.7200000000000004E-12,-3.7463000000000003E-10,-9.0000000000000008E-14,3.2606E-07,-3.2562E-07
-0.16,0,-1.717E-11,-3.4749E-10,-2.4000000000000004E-13,3.261E-07,-3.2572E-07
-0.155,0,-2.3520000000000003E-11,-3.2313E-10,-7E-14,3.2612E-07,-3.2568E-07
-0.15,0,-2.3390000000000003E-11,-2.9766000000000004E-10,-6.9000000000000009E-13,3.2612E-07,-3.2582E-07
-0.14500000000000002,0,-3.3560000000000005E-11,-2.7778E-10,-6.0000000000000007E-13,3.261E-07,-3.2578E-07
-0.14,0,-4.024E-11,-2.5874000000000003E-10,-7.100000000000001E-13,3.2638E-07,-3.2612E-07
-0.135,0,-4.0870000000000003E-11,-2.3951000000000003E-10,-1.0000000000000002E-14,3.2606E-07,-3.2584E-07
-0.13,0,-4.4550000000000004E-11,-2.2318000000000002E-10,-7.9000000000000007E-13,3.26E-07,-3.2582E-07
-0.125,0,-5.4430000000000006E-11,-2.0748000000000002E-10,-1.8000000000000002E-13,3.2608E-07,-3.258E-07
-0.12000000000000001,0,-5.812E-11,-1.9347E-10,1.8000000000000002E-13,3.2603999999999997E-07,-3.2589999999999997E-07
-0.115,0,-5.768E-11,-1.7753E-10,-2.6E-13,3.2612E-07,-3.2588E-07
-0.11,0,-6.769E-11,-1.6622000000000002E-10,-1.4700000000000002E-12,3.2603999999999997E-07,-3.258E-07
-0.10500000000000001,0,-7.1610000000000012E-11,-1.5462E-10,-2E-13,3.2578E-07,-3.2558E-07
-0.1,0,-7.0820000000000007E-11,-1.4241E-10,-1.09E-12,3.2578E-07,-3.2554E-07
-0.095,0,-7.555E-11,-1.3266E-10,-2.8E-13,3.261E-07,-3.2589999999999997E-07
-0.090000000000000011,0,-8.3720000000000009E-11,-1.2212000000000001E-10,-1.9000000000000002E-13,3.2614E-07,-3.26E-07
-0.085,0,-8.4930000000000011E-11,-1.1372000000000001E-10,2.9000000000000003E-13,3.2617999999999997E-07,-3.2584E-07
-0.08,0,-8.585E-11,-1.0266000000000001E-10,-1E-13,3.264E-07,-3.2614E-07
-0.075,0,-9.529E-11,-9.6040000000000012E-11,-4.3000000000000004E-13,3.2608E-07,-3.2594E-07
-0.07,0,-9.7E-11,-8.734E-11,6.0000000000000009E-14,3.2617999999999997E-07,-3.2592E-07
-0.065,0,-9.617E-11,-7.858E-11,-2.6E-13,3.2608E-07,-3.2589999999999997E-07
-0.060000000000000005,0,-1.0226E-10,-7.1400000000000007E-11,-3.1000000000000004E-13,3.2608E-07,-3.2589999999999997E-07
