vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
-0.3	2.5478e-10	-4.1359e-09	-9.1e-13	3.2624e-07	-3.2224e-07	4.7203e-10	-4.4356e-09	-3e-14	3.2588e-07	-3.2194e-07	5.5354e-10	-4.4924e-09	-4.4e-13	3.2582e-07	-3.219e-07	6.1762e-10	-4.5255e-09	-8e-14	3.2582e-07	-3.2196e-07	6.8089e-10	-4.5509e-09	-2.1e-13	3.2484e-07	-3.2094e-07	7.4651e-10	-4.5745e-09	-2.3e-13	3.2432e-07	-3.2054e-07	8.0821e-10	-4.6054e-09	-6.5e-13	3.2578e-07	-3.2196e-07	8.6298e-10	-4.6311e-09	-7.3e-13	3.2578e-07	-3.2192e-07	9.1316e-10	-4.643e-09	-7e-14	3.2576e-07	-3.2196e-07	9.5758e-10	-4.6597e-09	-1e-13	3.2564e-07	-3.2192e-07	9.994e-10	-4.6609e-09	-5.9e-13	3.256e-07	-3.219e-07
-0.295	2.2662e-10	-3.7313e-09	-2.3e-13	3.2616e-07	-3.2262e-07	4.3817e-10	-4.034e-09	-1.4e-13	3.2584e-07	-3.2224e-07	5.2205e-10	-4.0896e-09	1.1e-12	3.2586e-07	-3.222e-07	5.9228e-10	-4.1208e-09	-6.9e-13	3.2578e-07	-3.2238e-07	6.5505e-10	-4.1502e-09	1e-13	3.2486e-07	-3.2096e-07	7.1279e-10	-4.1711e-09	4.4e-13	3.2432e-07	-3.208e-07	7.6849e-10	-4.2014e-09	-6.4e-13	3.258e-07	-3.2242e-07	8.2717e-10	-4.2241e-09	3e-14	3.2572e-07	-3.224e-07	8.8093e-10	-4.2394e-09	6.3e-13	3.2566e-07	-3.2234e-07	9.2218e-10	-4.2573e-09	-1e-14	3.2564e-07	-3.2234e-07	9.558e-10	-4.2521e-09	-4.7e-13	3.2566e-07	-3.2234e-07
-0.29	2.1224e-10	-3.378e-09	-1.3e-13	3.2608e-07	-3.23e-07	4.1824e-10	-3.6645e-09	-5.4e-13	3.259e-07	-3.2268e-07	5.0413e-10	-3.7198e-09	-3.8e-13	3.2582e-07	-3.2264e-07	5.7227e-10	-3.7531e-09	-7.2e-13	3.258e-07	-3.2262e-07	6.3813e-10	-3.7801e-09	-6e-13	3.2484e-07	-3.2172e-07	6.9654e-10	-3.801e-09	5e-14	3.2438e-07	-3.2118e-07	7.5064e-10	-3.8309e-09	2.5e-13	3.2574e-07	-3.226e-07	8.0566e-10	-3.8561e-09	-3.5e-13	3.2572e-07	-3.2274e-07	8.5501e-10	-3.8699e-09	-5.2e-13	3.2572e-07	-3.2266e-07	9.0366e-10	-3.8874e-09	3e-13	3.2564e-07	-3.2278e-07	9.3578e-10	-3.8867e-09	-3e-13	3.256e-07	-3.2268e-07
-0.285	2.0401e-10	-3.0608e-09	5.3e-13	3.2608e-07	-3.2324e-07	4.0548e-10	-3.3392e-09	-1.7e-13	3.259e-07	-3.2296e-07	4.8447e-10	-3.3961e-09	-2.3e-13	3.2584e-07	-3.2292e-07	5.5402e-10	-3.4257e-09	-9.4e-13	3.2578e-07	-3.2292e-07	6.159e-10	-3.4547e-09	-1.01e-12	3.2478e-07	-3.2188e-07	6.7854e-10	-3.4751e-09	-5e-14	3.2434e-07	-3.215e-07	7.3307e-10	-3.5033e-09	-5e-13	3.2578e-07	-3.2304e-07	7.8952e-10	-3.5268e-09	2.6e-13	3.2582e-07	-3.23e-07	8.3465e-10	-3.5427e-09	-1.7e-13	3.2574e-07	-3.2306e-07	8.8281e-10	-3.5584e-09	-1.61e-12	3.257e-07	-3.2298e-07	9.2582e-10	-3.5589e-09	-1.17e-12	3.2596e-07	-3.2334e-07
-0.28	1.9173e-10	-2.7729e-09	-2e-13	3.2624e-07	-3.2354e-07	3.8932e-10	-3.0407e-09	-8e-13	3.2588e-07	-3.2326e-07	4.6328e-10	-3.0957e-09	-9.4e-13	3.2588e-07	-3.2322e-07	5.3957e-10	-3.1278e-09	-2.9e-13	3.2578e-07	-3.2322e-07	5.9784e-10	-3.1535e-09	4.3e-13	3.2486e-07	-3.2228e-07	6.5112e-10	-3.1751e-09	-9.1e-13	3.2434e-07	-3.2184e-07	7.132e-10	-3.2045e-09	-8.8e-13	3.2578e-07	-3.2332e-07	7.6334e-10	-3.2272e-09	-3.2e-13	3.2574e-07	-3.2328e-07	8.2295e-10	-3.2396e-09	-3.5e-13	3.2572e-07	-3.2334e-07	8.5849e-10	-3.2619e-09	-1.6e-13	3.2562e-07	-3.2332e-07	8.9716e-10	-3.2612e-09	-3.8e-13	3.2556e-07	-3.2316e-07
-0.275	1.7479e-10	-2.5176e-09	-5.1e-13	3.2614e-07	-3.2382e-07	3.6745e-10	-2.7772e-09	-1.37e-12	3.2594e-07	-3.2342e-07	4.5351e-10	-2.8304e-09	9e-14	3.2594e-07	-3.2358e-07	5.2421e-10	-2.862e-09	5.9e-13	3.2578e-07	-3.2348e-07	5.8343e-10	-2.8882e-09	-8.8e-13	3.2482e-07	-3.2252e-07	6.3479e-10	-2.9108e-09	2.6e-13	3.243e-07	-3.2204e-07	6.9169e-10	-2.9399e-09	-6.8e-13	3.2582e-07	-3.2346e-07	7.4606e-10	-2.9608e-09	5.2e-13	3.2568e-07	-3.2358e-07	7.96e-10	-2.9734e-09	-4.3e-13	3.2568e-07	-3.2358e-07	8.424e-10	-2.9923e-09	-5.1e-13	3.2566e-07	-3.2356e-07	8.7622e-10	-2.9943e-09	-8.1e-13	3.2566e-07	-3.2346e-07
-0.27	1.6491e-10	-2.2824e-09	-3.4e-13	3.2604e-07	-3.2398e-07	3.5647e-10	-2.5329e-09	1.9e-13	3.259e-07	-3.2364e-07	4.3906e-10	-2.5853e-09	-1.5e-12	3.2582e-07	-3.2364e-07	5.0273e-10	-2.6202e-09	-4.8e-13	3.2582e-07	-3.2368e-07	5.6709e-10	-2.6443e-09	-4.1e-13	3.2476e-07	-3.2272e-07	6.2007e-10	-2.6658e-09	-6.2e-13	3.2434e-07	-3.2226e-07	6.778e-10	-2.6928e-09	-7.5e-13	3.2566e-07	-3.2376e-07	7.3196e-10	-2.7132e-09	-7.9e-13	3.2576e-07	-3.238e-07	7.8766e-10	-2.7273e-09	-2.5e-13	3.2566e-07	-3.2376e-07	8.2584e-10	-2.7474e-09	2.1e-13	3.2564e-07	-3.2374e-07	8.6596e-10	-2.7492e-09	7.1e-13	3.2556e-07	-3.237e-07
-0.265	1.5665e-10	-2.0714e-09	-1e-13	3.2602e-07	-3.2422e-07	3.4429e-10	-2.3159e-09	-1.04e-12	3.2588e-07	-3.2398e-07	4.1846e-10	-2.3689e-09	-2.9e-13	3.2584e-07	-3.2388e-07	4.8599e-10	-2.3992e-09	1.7e-13	3.2578e-07	-3.2384e-07	5.431e-10	-2.4257e-09	-6e-13	3.248e-07	-3.2288e-07	6.0159e-10	-2.4468e-09	-3.7e-13	3.2436e-07	-3.2252e-07	6.5869e-10	-2.473e-09	-8.5e-13	3.2572e-07	-3.24e-07	7.1133e-10	-2.4937e-09	-8.7e-13	3.2572e-07	-3.2404e-07	7.7548e-10	-2.5076e-09	2e-13	3.257e-07	-3.2394e-07	8.0345e-10	-2.525e-09	-5.9e-13	3.2558e-07	-3.2388e-07	8.471e-10	-2.5295e-09	-8.3e-13	3.256e-07	-3.2388e-07
-0.26	1.4135e-10	-1.8849e-09	-3e-13	3.2608e-07	-3.2424e-07	3.2641e-10	-2.1219e-09	-4.4e-13	3.259e-07	-3.241e-07	4.1166e-10	-2.1728e-09	3.3e-13	3.2584e-07	-3.2404e-07	4.8243e-10	-2.2047e-09	-7e-13	3.258e-07	-3.2414e-07	5.3464e-10	-2.2283e-09	4.3e-13	3.2486e-07	-3.2314e-07	5.8382e-10	-2.2527e-09	-2.4e-13	3.2438e-07	-3.2268e-07	6.4579e-10	-2.2762e-09	-7.3e-13	3.2584e-07	-3.2408e-07	6.9154e-10	-2.2968e-09	-7.2e-13	3.2576e-07	-3.241e-07	7.4379e-10	-2.3103e-09	-3.3e-13	3.257e-07	-3.241e-07	7.8725e-10	-2.3313e-09	-3.6e-13	3.2558e-07	-3.2408e-07	8.2562e-10	-2.3338e-09	-3.2e-13	3.2562e-07	-3.2412e-07
-0.255	1.2975e-10	-1.7145e-09	-1.6e-13	3.2608e-07	-3.2446e-07	3.1031e-10	-1.9452e-09	2e-14	3.2588e-07	-3.2428e-07	3.951e-10	-1.9944e-09	-3.4e-13	3.2588e-07	-3.2424e-07	4.5789e-10	-2.0251e-09	-9.2e-13	3.2588e-07	-3.2422e-07	5.1916e-10	-2.0487e-09	1e-14	3.2484e-07	-3.233e-07	5.7469e-10	-2.0716e-09	-2.4e-13	3.243e-07	-3.2284e-07	6.2619e-10	-2.0971e-09	5.2e-13	3.2576e-07	-3.2428e-07	6.7744e-10	-2.1156e-09	-7e-14	3.2584e-07	-3.243e-07	7.1969e-10	-2.133e-09	-4.4e-13	3.2572e-07	-3.2428e-07	7.7312e-10	-2.1475e-09	2e-14	3.2566e-07	-3.2426e-07	8.095e-10	-2.154e-09	-1.1e-13	3.256e-07	-3.2428e-07
