|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.9	4.54800000000001e-05	4.70200000000001e-05	4.196e-05	3.648e-05	3.416e-05	5.89799999999998e-05
0.895	4.87366666666667e-05	4.96716666666667e-05	4.769e-05	4.45233333333333e-05	4.1545e-05	5.69383333333332e-05
0.89	5.1438e-05	5.1461e-05	5.0786e-05	4.9149e-05	4.5873e-05	5.64579999999999e-05
0.885	5.3044e-05	5.2532e-05	5.2447e-05	5.1945e-05	4.9124e-05	5.50269999999999e-05
0.88	5.3059e-05	5.258e-05	5.2244e-05	5.2928e-05	5.1095e-05	5.3312e-05
0.875	5.1975e-05	5.1615e-05	5.01019999999999e-05	5.1586e-05	5.0279e-05	5.2009e-05
0.87	5.0271e-05	5.0356e-05	4.8075e-05	4.9729e-05	4.8331e-05	5.0476e-05
0.865	4.7621e-05	4.8908e-05	4.6606e-05	4.8252e-05	4.7026e-05	4.8726e-05
0.86	4.5144e-05	4.7174e-05	4.5375e-05	4.6873e-05	4.5647e-05	4.71e-05
0.855	4.39400000000001e-05	4.55100000000001e-05	4.4754e-05	4.58300000000001e-05	4.38600000000001e-05	4.55520000000001e-05
0.85	4.27250000000001e-05	4.408e-05	4.38870000000001e-05	4.4461e-05	4.27010000000001e-05	4.3292e-05
0.845	4.11740000000001e-05	4.23840000000001e-05	4.19770000000001e-05	4.2318e-05	4.18670000000001e-05	3.99200000000001e-05
0.84	4.02120000000001e-05	4.03670000000001e-05	4.01060000000002e-05	4.02660000000001e-05	4.02000000000001e-05	3.70330000000001e-05
0.835	3.90560000000001e-05	3.90120000000001e-05	3.87880000000002e-05	3.87380000000001e-05	3.84530000000001e-05	3.57080000000001e-05
0.83	3.71540000000001e-05	3.8274e-05	3.71950000000001e-05	3.7452e-05	3.7462e-05	3.5316e-05
0.825	3.57130000000001e-05	3.68970000000001e-05	3.545e-05	3.61060000000001e-05	3.62450000000001e-05	3.6018e-05
0.82	3.47930000000001e-05	3.5416e-05	3.4025e-05	3.47450000000001e-05	3.46490000000001e-05	3.7159e-05
0.815	3.3544e-05	3.4335e-05	3.2754e-05	3.34e-05	3.3549e-05	3.7146e-05
0.81	3.2505e-05	3.2732e-05	3.1416e-05	3.2251e-05	3.2618e-05	3.6029e-05
0.805	3.1743e-05	3.0814e-05	3.0138e-05	3.1153e-05	3.1134e-05	3.4003e-05
0.8	3.0359e-05	2.9586e-05	2.9225e-05	2.9909e-05	2.9768e-05	3.15e-05
0.795	2.8747e-05	2.8896e-05	2.8526e-05	2.8902e-05	2.8875e-05	2.9683e-05
0.79	2.7568e-05	2.8e-05	2.746e-05	2.8155e-05	2.7777e-05	2.8405e-05
0.785	2.6694e-05	2.6939e-05	2.6287e-05	2.7116e-05	2.6643e-05	2.7227e-05
0.78	2.5883e-05	2.6195e-05	2.5739e-05	2.566e-05	2.5794e-05	2.6196e-05
0.775	2.4992e-05	2.5606e-05	2.5317e-05	2.4417e-05	2.4802e-05	2.4975e-05
0.77	2.4067e-05	2.4361e-05	2.4401e-05	2.3684e-05	2.3513e-05	2.359e-05
0.765	2.315e-05	2.2975e-05	2.3438e-05	2.2783e-05	2.2509e-05	2.2409e-05
0.76	2.2206e-05	2.2217e-05	2.2509e-05	2.166e-05	2.1771e-05	2.1456e-05
0.755	2.1103e-05	2.1385e-05	2.1272e-05	2.1019e-05	2.0939e-05	2.066e-05
0.75	1.9979e-05	2.025e-05	2.0035e-05	2.0385e-05	2.0159e-05	1.9993e-05
0.745	1.9114e-05	1.9512e-05	1.9191e-05	1.9395e-05	1.9561e-05	1.9451e-05
0.74	1.8404e-05	1.9054e-05	1.8535e-05	1.8702e-05	1.891e-05	1.8941e-05
0.735	1.7695e-05	1.8314e-05	1.7755e-05	1.8161e-05	1.7946e-05	1.8287e-05
0.73	1.7118e-05	1.7517e-05	1.7026e-05	1.7259e-05	1.6942e-05	1.7492e-05
0.725	1.6608e-05	1.6819e-05	1.6547e-05	1.6341e-05	1.6287e-05	1.6753e-05
0.72	1.597e-05	1.6002e-05	1.6063e-05	1.5663e-05	1.5703e-05	1.6116e-05
0.715	1.5255e-05	1.5109e-05	1.539e-05	1.4988e-05	1.4981e-05	1.5351e-05
0.71	1.4473e-05	1.4372e-05	1.4759e-05	1.4276e-05	1.4473e-05	1.4543e-05
0.705	1.3727e-05	1.3777e-05	1.421e-05	1.3736e-05	1.3915e-05	1.3931e-05
0.7	1.3226e-05	1.3101e-05	1.3432e-05	1.3276e-05	1.2949e-05	1.3448e-05
0.695	1.2774e-05	1.2478e-05	1.2618e-05	1.2616e-05	1.2207e-05	1.2789e-05
0.69	1.2203e-05	1.2041e-05	1.2056e-05	1.1947e-05	1.1905e-05	1.196e-05
0.685	1.1634e-05	1.1622e-05	1.17358e-05	1.16776e-05	1.16602e-05	1.1295e-05
0.68	1.1305e-05	1.13742e-05	1.13658e-05	1.1382e-05	1.1413e-05	1.09994e-05
0.675	1.10292e-05	1.1079e-05	1.0663e-05	1.06392e-05	1.10156e-05	1.06926e-05
0.67	1.03608e-05	1.03224e-05	9.97959999999999e-06	9.99459999999999e-06	1.0427e-05	1.00418e-05
0.665	9.58719999999999e-06	9.64599999999999e-06	9.51199999999999e-06	9.54379999999999e-06	9.74179999999999e-06	9.5836e-06
0.66	9.05839999999999e-06	9.1988e-06	8.90339999999999e-06	8.80799999999999e-06	8.92279999999999e-06	9.33859999999999e-06
0.655	8.4842e-06	8.4974e-06	8.27999999999999e-06	8.16119999999999e-06	8.30159999999999e-06	8.72519999999999e-06
0.65	7.9014e-06	7.8766e-06	8.10959999999999e-06	8.10359999999999e-06	8.13039999999999e-06	8.12579999999999e-06
0.645	7.70839999999999e-06	7.76839999999999e-06	7.99299999999999e-06	7.99659999999999e-06	7.94739999999999e-06	8.06019999999999e-06
0.64	7.59779999999999e-06	7.6914e-06	7.61479999999999e-06	7.60359999999999e-06	7.65239999999999e-06	7.95879999999999e-06
0.635	7.31059999999999e-06	7.37799999999999e-06	7.23859999999999e-06	7.33439999999999e-06	7.36999999999999e-06	7.56039999999999e-06
0.63	6.98259999999999e-06	6.9908e-06	6.9684e-06	7.06439999999999e-06	7.00419999999999e-06	7.21999999999999e-06
0.625	6.63460000000001e-06	6.62720000000001e-06	6.71320000000001e-06	6.61720000000001e-06	6.68720000000001e-06	6.92300000000001e-06
0.62	6.32060000000001e-06	6.31380000000001e-06	6.39580000000001e-06	6.22840000000001e-06	6.40560000000001e-06	6.57080000000001e-06
0.615	6.04940000000001e-06	5.99520000000001e-06	6.06240000000001e-06	5.98100000000001e-06	6.05100000000001e-06	6.20980000000001e-06
0.61	5.76440000000001e-06	5.75580000000001e-06	5.74660000000001e-06	5.67480000000001e-06	5.74680000000001e-06	5.86880000000001e-06
0.605	5.48540000000001e-06	5.55440000000001e-06	5.45960000000001e-06	5.36680000000001e-06	5.51680000000001e-06	5.57380000000001e-06
0.6	5.2444e-06	5.29259999999999e-06	5.2068e-06	5.1896e-06	5.23939999999999e-06	5.3152e-06
0.595	5.0084e-06	5.0358e-06	4.993e-06	5.03059999999999e-06	4.9672e-06	5.0406e-06
0.59	4.76099999999999e-06	4.8096e-06	4.78e-06	4.76439999999999e-06	4.7296e-06	4.78719999999999e-06
0.585	4.50499999999999e-06	4.5576e-06	4.5368e-06	4.4858e-06	4.48219999999999e-06	4.57e-06
0.58	4.273e-06	4.292e-06	4.2964e-06	4.279e-06	4.2526e-06	4.3598e-06
0.575	4.062e-06	4.0406e-06	4.0652e-06	4.057e-06	4.0534e-06	4.151e-06
0.57	3.8458e-06	3.81620000000001e-06	3.8196e-06	3.77900000000001e-06	3.86380000000001e-06	3.9544e-06
0.565	3.6598e-06	3.63640000000001e-06	3.60660000000001e-06	3.56520000000001e-06	3.712e-06	3.77300000000001e-06
0.56	3.5106e-06	3.46460000000001e-06	3.4474e-06	3.45280000000001e-06	3.55960000000001e-06	3.58720000000001e-06
0.555	3.3354e-06	3.304e-06	3.28100000000001e-06	3.29700000000001e-06	3.36620000000001e-06	3.39800000000001e-06
0.55	3.1474e-06	3.1746e-06	3.125e-06	3.0972e-06	3.17380000000001e-06	3.23280000000001e-06
0.545	3.0028e-06	3.03e-06	3.007e-06	2.9688e-06	3.0028e-06	3.0884e-06
0.54	2.8528e-06	2.8654e-06	2.869e-06	2.838e-06	2.8444e-06	2.9338e-06
0.535	2.6744e-06	2.7132e-06	2.719e-06	2.6522e-06	2.6954e-06	2.7726e-06
0.53	2.5416e-06	2.5662e-06	2.5916e-06	2.5138e-06	2.5632e-06	2.6106e-06
0.525	2.4376e-06	2.423e-06	2.4464e-06	2.4192e-06	2.436e-06	2.4506e-06
0.52	2.299e-06	2.2956e-06	2.292e-06	2.2968e-06	2.3014e-06	2.3096e-06
0.515	2.1758e-06	2.1662e-06	2.1746e-06	2.1794e-06	2.1746e-06	2.1858e-06
0.51	2.0854e-06	2.049e-06	2.0748e-06	2.0748e-06	2.0598e-06	2.0722e-06
0.505	1.9744e-06	1.953e-06	1.9652e-06	1.9588e-06	1.9408e-06	1.972e-06
0.5	1.8572e-06	1.8532e-06	1.8566e-06	1.8524e-06	1.8358e-06	1.8774e-06
0.495	1.76e-06	1.7628e-06	1.7526e-06	1.7538e-06	1.7554e-06	1.781e-06
0.49	1.6628e-06	1.6812e-06	1.6492e-06	1.6672e-06	1.667e-06	1.6832e-06
0.485	1.56e-06	1.5898e-06	1.5608e-06	1.5928e-06	1.5724e-06	1.5872e-06
0.48	1.4702e-06	1.5058e-06	1.4888e-06	1.501e-06	1.4942e-06	1.4998e-06
0.475	1.401e-06	1.433e-06	1.425e-06	1.4144e-06	1.4134e-06	1.4174e-06
0.47	1.3436e-06	1.3628e-06	1.3686e-06	1.3604e-06	1.331e-06	1.339e-06
0.465	1.31097e-06	1.322358e-06	1.326822e-06	1.327368e-06	1.303776e-06	1.301256e-06
0.46	1.287952e-06	1.289086e-06	1.280812e-06	1.290206e-06	1.301592e-06	1.292662e-06
0.455	1.22988e-06	1.21584e-06	1.20806e-06	1.225538e-06	1.241464e-06	1.245038e-06
0.45	1.151178e-06	1.137868e-06	1.13507e-06	1.143524e-06	1.160592e-06	1.174892e-06
0.445	1.074022e-06	1.071878e-06	1.070084e-06	1.06012e-06	1.10052e-06	1.1133e-06
0.44	9.81164000000001e-07	9.82986000000001e-07	9.86942000000001e-07	9.67276000000001e-07	1.014398e-06	1.022804e-06
0.435	8.96000000000001e-07	8.95752000000001e-07	9.06492000000001e-07	8.84852000000001e-07	9.11138000000001e-07	9.20764000000001e-07
0.43	8.53504000000001e-07	8.50524000000001e-07	8.60000000000001e-07	8.46770000000001e-07	8.55660000000001e-07	8.67010000000001e-07
0.425	8.19898000000001e-07	8.20006000000001e-07	8.20642000000001e-07	8.19704000000001e-07	8.28212000000001e-07	8.37994000000001e-07
0.42	7.78642e-07	7.82234e-07	7.76044e-07	7.79122e-07	7.8864e-07	8.01078e-07
0.415	7.37409999999999e-07	7.43041999999999e-07	7.35547999999999e-07	7.38973999999999e-07	7.42893999999999e-07	7.61339999999999e-07
0.41	6.94317999999999e-07	7.03256e-07	6.96743999999999e-07	7.02069999999999e-07	6.99839999999999e-07	7.20701999999999e-07
0.405	6.56525999999999e-07	6.63391999999999e-07	6.60716e-07	6.67683999999999e-07	6.62699999999999e-07	6.82019999999999e-07
0.4	6.24735999999999e-07	6.25756e-07	6.27864e-07	6.32997999999999e-07	6.27094e-07	6.46121999999999e-07
0.395	5.95717999999999e-07	5.91289999999999e-07	5.96541999999999e-07	6.02418e-07	5.92433999999999e-07	6.1204e-07
0.39	5.6854e-07	5.60317999999999e-07	5.64684e-07	5.7439e-07	5.60397999999999e-07	5.78652e-07
0.385	5.40344e-07	5.33757999999999e-07	5.34342e-07	5.43328e-07	5.31366e-07	5.47628e-07
0.38	5.10068e-07	5.09487999999999e-07	5.0789e-07	5.12497999999999e-07	5.05862e-07	5.20988e-07
0.375	4.82946e-07	4.84573999999999e-07	4.83526e-07	4.85216e-07	4.81426e-07	4.9575e-07
0.37	4.57516e-07	4.58882e-07	4.57144e-07	4.596e-07	4.56654e-07	4.69688e-07
0.365	4.33038e-07	4.33664e-07	4.30752e-07	4.33764e-07	4.32836e-07	4.45664e-07
0.36	4.12436e-07	4.08964e-07	4.07956e-07	4.1029e-07	4.10072e-07	4.22362e-07
0.355	3.92292e-07	3.86308e-07	3.86008e-07	3.88948e-07	3.8751e-07	3.98294e-07
0.35	3.69806e-07	3.65234000000001e-07	3.64416000000001e-07	3.68208e-07	3.6483e-07	3.76452e-07
