vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.056612	-9.4691e-09	0.056588	3.5536e-07	-3.1294e-07	-0.032426	-6.2023e-09	0.032448	3.5772e-07	-3.1132e-07	-0.01256	-3.6826e-09	0.012564	3.5918e-07	-3.0928e-07	-0.00158	-1.5304e-09	0.0015792	3.6048e-07	-3.0818e-07	-2.3738e-05	1.0235e-10	2.363e-05	3.6086e-07	-3.0788e-07	-2.46e-07	9.6843e-10	1.9084e-07	3.6168e-07	-3.0766e-07	-5.83882e-08	1.6893e-09	1.584e-09	3.6286e-07	-3.0772e-07
0.005	-0.056536	-9.4455e-09	0.05654	3.5508e-07	-3.129e-07	-0.032422	-6.1879e-09	0.032428	3.569e-07	-3.1124e-07	-0.012554	-3.6917e-09	0.01256	3.5834e-07	-3.0934e-07	-0.0015774	-1.5418e-09	0.0015778	3.5988e-07	-3.0844e-07	-2.3706e-05	9.399e-11	2.3644e-05	3.6014e-07	-3.0778e-07	-2.449e-07	9.474e-10	1.9084e-07	3.6086e-07	-3.0774e-07	-5.73928e-08	1.661e-09	1.5677e-09	3.6192e-07	-3.077e-07
0.01	-0.056508	-9.4412e-09	0.056518	3.5444e-07	-3.1312e-07	-0.032414	-6.2028e-09	0.032416	3.5628e-07	-3.1128e-07	-0.012544	-3.696e-09	0.012552	3.5752e-07	-3.0932e-07	-0.0015752	-1.5417e-09	0.0015758	3.5866e-07	-3.083e-07	-2.3716e-05	7.794e-11	2.366e-05	3.5914e-07	-3.078e-07	-2.4398e-07	9.2975e-10	1.905e-07	3.597e-07	-3.077e-07	-5.64054e-08	1.6353e-09	1.5524e-09	3.6086e-07	-3.0776e-07
0.015	-0.056486	-9.446e-09	0.05649	3.5364e-07	-3.1302e-07	-0.032398	-6.2154e-09	0.032404	3.5546e-07	-3.1132e-07	-0.012538	-3.7065e-09	0.01254	3.567e-07	-3.0942e-07	-0.001574	-1.5537e-09	0.0015748	3.578e-07	-3.0822e-07	-2.3706e-05	6.522e-11	2.3614e-05	3.5822e-07	-3.079e-07	-2.4246e-07	9.116e-10	1.9062e-07	3.589e-07	-3.0772e-07	-5.53976e-08	1.6116e-09	1.5401e-09	3.599e-07	-3.0766e-07
0.02	-0.05646	-9.4555e-09	0.056468	3.5294e-07	-3.1318e-07	-0.03238	-6.2131e-09	0.03239	3.5452e-07	-3.1128e-07	-0.01253	-3.7104e-09	0.01253	3.5586e-07	-3.093e-07	-0.0015728	-1.5576e-09	0.0015736	3.5692e-07	-3.0814e-07	-2.3626e-05	5.767e-11	2.3616e-05	3.5738e-07	-3.0788e-07	-2.419e-07	8.9567e-10	1.9024e-07	3.5796e-07	-3.0772e-07	-5.44158e-08	1.5889e-09	1.5266e-09	3.5896e-07	-3.0764e-07
0.025	-0.05643	-9.4644e-09	0.056438	3.5232e-07	-3.133e-07	-0.032362	-6.2174e-09	0.03237	3.5388e-07	-3.1124e-07	-0.01252	-3.7141e-09	0.012526	3.5502e-07	-3.0938e-07	-0.0015718	-1.5633e-09	0.0015712	3.5602e-07	-3.0814e-07	-2.3646e-05	4.266e-11	2.3562e-05	3.5644e-07	-3.0784e-07	-2.406e-07	8.7983e-10	1.9066e-07	3.57e-07	-3.077e-07	-5.34428e-08	1.5652e-09	1.5245e-09	3.5806e-07	-3.0766e-07
0.03	-0.056402	-9.4646e-09	0.056418	3.5164e-07	-3.1324e-07	-0.032348	-6.2209e-09	0.032358	3.5312e-07	-3.113e-07	-0.01251	-3.7183e-09	0.012522	3.5422e-07	-3.0934e-07	-0.00157	-1.5704e-09	0.0015712	3.5518e-07	-3.0816e-07	-2.3618e-05	3.467e-11	2.3556e-05	3.5554e-07	-3.0786e-07	-2.3994e-07	8.5814e-10	1.9018e-07	3.5612e-07	-3.0772e-07	-5.2498e-08	1.5399e-09	1.5229e-09	3.5712e-07	-3.076e-07
0.035	-0.056378	-9.4836e-09	0.056386	3.5098e-07	-3.133e-07	-0.03233	-6.2223e-09	0.032336	3.5244e-07	-3.1134e-07	-0.012506	-3.7154e-09	0.012516	3.5342e-07	-3.0936e-07	-0.0015684	-1.5802e-09	0.0015698	3.5432e-07	-3.0824e-07	-2.3644e-05	2.131e-11	2.3524e-05	3.5464e-07	-3.0776e-07	-2.3844e-07	8.4494e-10	1.9014e-07	3.5526e-07	-3.0772e-07	-5.1524e-08	1.5147e-09	1.5231e-09	3.561e-07	-3.0764e-07
0.04	-0.05635	-9.5227e-09	0.056368	3.5036e-07	-3.1338e-07	-0.032316	-6.2271e-09	0.032326	3.5158e-07	-3.1138e-07	-0.0125	-3.7205e-09	0.012508	3.5262e-07	-3.0936e-07	-0.0015682	-1.5785e-09	0.0015682	3.534e-07	-3.0824e-07	-2.353e-05	1.253e-11	2.3548e-05	3.538e-07	-3.0778e-07	-2.3722e-07	8.2914e-10	1.9008e-07	3.5432e-07	-3.0774e-07	-5.06002e-08	1.4916e-09	1.5388e-09	3.552e-07	-3.0762e-07
0.045	-0.056328	-9.4848e-09	0.056336	3.497e-07	-3.1338e-07	-0.032302	-6.2365e-09	0.032308	3.5084e-07	-3.1134e-07	-0.012492	-3.7269e-09	0.012498	3.5178e-07	-3.0928e-07	-0.0015664	-1.5896e-09	0.0015676	3.5256e-07	-3.082e-07	-2.356e-05	5.9e-13	2.3536e-05	3.5294e-07	-3.078e-07	-2.3662e-07	8.0975e-10	1.897e-07	3.5348e-07	-3.0776e-07	-4.96668e-08	1.4697e-09	1.5521e-09	3.543e-07	-3.0746e-07
