Vg	Id,Vd=0V	Ig,Vd=0V	Is,Vd=0V	Iavdd,Vd=0V	Ignd,Vd=0V	Id,Vd=0.01V	Ig,Vd=0.01V	Is,Vd=0.01V	Iavdd,Vd=0.01V	Ignd,Vd=0.01V	Id,Vd=0.02V	Ig,Vd=0.02V	Is,Vd=0.02V	Iavdd,Vd=0.02V	Ignd,Vd=0.02V	Id,Vd=0.03V	Ig,Vd=0.03V	Is,Vd=0.03V	Iavdd,Vd=0.03V	Ignd,Vd=0.03V	Id,Vd=0.04V	Ig,Vd=0.04V	Is,Vd=0.04V	Iavdd,Vd=0.04V	Ignd,Vd=0.04V	Id,Vd=0.05V	Ig,Vd=0.05V	Is,Vd=0.05V	Iavdd,Vd=0.05V	Ignd,Vd=0.05V	Id,Vd=0.06V	Ig,Vd=0.06V	Is,Vd=0.06V	Iavdd,Vd=0.06V	Ignd,Vd=0.06V	Id,Vd=0.07V	Ig,Vd=0.07V	Is,Vd=0.07V	Iavdd,Vd=0.07V	Ignd,Vd=0.07V	Id,Vd=0.08V	Ig,Vd=0.08V	Is,Vd=0.08V	Iavdd,Vd=0.08V	Ignd,Vd=0.08V	Id,Vd=0.09V	Ig,Vd=0.09V	Is,Vd=0.09V	Iavdd,Vd=0.09V	Ignd,Vd=0.09V	Id,Vd=0.1V	Ig,Vd=0.1V	Is,Vd=0.1V	Iavdd,Vd=0.1V	Ignd,Vd=0.1V
1.2	-6.9539e-08	4.1739e-09	-1.038e-10	3.7306e-07	-3.0742e-07	-6.72098e-08	4.0761e-09	-1.5522e-10	3.7166e-07	-3.085e-07	-6.42874e-08	3.9817e-09	-1.1847e-10	3.6912e-07	-3.0866e-07	-6.1584e-08	3.8913e-09	-1.0644e-10	3.6628e-07	-3.085e-07	-5.90504e-08	3.8021e-09	-1.2563e-10	3.639e-07	-3.0866e-07	-5.63564e-08	3.7141e-09	-1.0758e-10	3.611e-07	-3.083e-07	-5.39476e-08	3.627e-09	-1.4361e-10	3.5896e-07	-3.0848e-07	-5.17318e-08	3.5466e-09	-1.2952e-10	3.5738e-07	-3.0908e-07	-4.94668e-08	3.4609e-09	-1.0006e-10	3.5502e-07	-3.0898e-07	-4.72374e-08	3.3747e-09	-1.2094e-10	3.5226e-07	-3.083e-07	-4.5246e-08	3.2949e-09	-1.0505e-10	3.5056e-07	-3.0856e-07
1.195	-6.92768e-08	4.1072e-09	-1.0618e-10	3.7268e-07	-3.0738e-07	-6.65964e-08	4.0154e-09	-1.3758e-10	3.7114e-07	-3.0836e-07	-6.37376e-08	3.9186e-09	-1.0076e-10	3.686e-07	-3.086e-07	-6.1109e-08	3.8291e-09	-1.2453e-10	3.6584e-07	-3.084e-07	-5.85242e-08	3.7431e-09	-1.0304e-10	3.6352e-07	-3.0854e-07	-5.591e-08	3.6574e-09	-1.0847e-10	3.6068e-07	-3.0828e-07	-5.35518e-08	3.5704e-09	-1.5297e-10	3.5852e-07	-3.0848e-07	-5.13222e-08	3.4852e-09	-1.4713e-10	3.5688e-07	-3.089e-07	-4.91046e-08	3.4006e-09	-1.1648e-10	3.5468e-07	-3.0884e-07	-4.69414e-08	3.3205e-09	-9.916e-11	3.5208e-07	-3.0824e-07	-4.49638e-08	3.2388e-09	-1.0791e-10	3.5036e-07	-3.0844e-07
1.19	-6.87942e-08	4.0457e-09	-1.3105e-10	3.722e-07	-3.0738e-07	-6.61052e-08	3.953e-09	-1.1201e-10	3.7064e-07	-3.0826e-07	-6.32748e-08	3.8593e-09	-1.0661e-10	3.681e-07	-3.0854e-07	-6.07024e-08	3.7711e-09	-1.3654e-10	3.6542e-07	-3.0832e-07	-5.81424e-08	3.684e-09	-1.0066e-10	3.631e-07	-3.0838e-07	-5.55532e-08	3.5969e-09	-1.2975e-10	3.603e-07	-3.083e-07	-5.32288e-08	3.5095e-09	-1.4107e-10	3.582e-07	-3.0836e-07	-5.10108e-08	3.432e-09	-1.4656e-10	3.5642e-07	-3.0872e-07	-4.88398e-08	3.3468e-09	-1.2209e-10	3.5442e-07	-3.0872e-07	-4.67076e-08	3.2637e-09	-1.0099e-10	3.5184e-07	-3.083e-07	-4.47206e-08	3.1851e-09	-1.2362e-10	3.5006e-07	-3.0832e-07
1.185	-6.82808e-08	3.9877e-09	-1.3996e-10	3.7174e-07	-3.0734e-07	-6.5638e-08	3.8964e-09	-8.88e-11	3.702e-07	-3.0828e-07	-6.28206e-08	3.803e-09	-1.2783e-10	3.6758e-07	-3.0838e-07	-6.02948e-08	3.7118e-09	-1.4303e-10	3.6496e-07	-3.0822e-07	-5.7814e-08	3.6272e-09	-1.121e-10	3.6272e-07	-3.0832e-07	-5.52566e-08	3.5436e-09	-1.3931e-10	3.6008e-07	-3.082e-07	-5.29456e-08	3.4575e-09	-1.0459e-10	3.5792e-07	-3.0836e-07	-5.07324e-08	3.3736e-09	-1.2684e-10	3.5622e-07	-3.0866e-07	-4.85736e-08	3.2924e-09	-1.4857e-10	3.5404e-07	-3.0866e-07	-4.64542e-08	3.2134e-09	-1.1569e-10	3.5164e-07	-3.0826e-07	-4.45182e-08	3.1317e-09	-1.4015e-10	3.4986e-07	-3.0836e-07
1.18	-6.7829e-08	3.932e-09	-1.2984e-10	3.7128e-07	-3.0734e-07	-6.51758e-08	3.836e-09	-9.381e-11	3.6976e-07	-3.0826e-07	-6.24206e-08	3.746e-09	-1.3602e-10	3.6712e-07	-3.0836e-07	-5.9921e-08	3.6542e-09	-1.2672e-10	3.6468e-07	-3.0814e-07	-5.74548e-08	3.5729e-09	-1.314e-10	3.6226e-07	-3.0832e-07	-5.49176e-08	3.4867e-09	-1.3362e-10	3.5968e-07	-3.0814e-07	-5.26368e-08	3.4015e-09	-8.57e-11	3.5758e-07	-3.0824e-07	-5.0456e-08	3.3227e-09	-9.891e-11	3.5584e-07	-3.0854e-07	-4.8325e-08	3.2406e-09	-1.415e-10	3.5376e-07	-3.0848e-07	-4.6249e-08	3.1624e-09	-1.3319e-10	3.514e-07	-3.0824e-07	-4.43094e-08	3.0801e-09	-1.3604e-10	3.4966e-07	-3.0826e-07
1.175	-6.73866e-08	3.868e-09	-1.0466e-10	3.7092e-07	-3.073e-07	-6.47542e-08	3.7816e-09	-1.1794e-10	3.693e-07	-3.0826e-07	-6.20008e-08	3.6874e-09	-1.2479e-10	3.6678e-07	-3.0826e-07	-5.95624e-08	3.5986e-09	-9.82e-11	3.643e-07	-3.0812e-07	-5.71082e-08	3.5147e-09	-1.3534e-10	3.6194e-07	-3.0816e-07	-5.4611e-08	3.4343e-09	-1.1013e-10	3.5942e-07	-3.0812e-07	-5.23678e-08	3.3525e-09	-9.95e-11	3.5736e-07	-3.0816e-07	-5.01968e-08	3.2692e-09	-8.477e-11	3.556e-07	-3.0854e-07	-4.80926e-08	3.1892e-09	-1.2329e-10	3.535e-07	-3.0848e-07	-4.60306e-08	3.1104e-09	-1.2504e-10	3.515e-07	-3.0812e-07	-4.41136e-08	3.0287e-09	-1.1968e-10	3.4938e-07	-3.0812e-07
1.17	-6.69344e-08	3.8117e-09	-8.079e-11	3.7062e-07	-3.0732e-07	-6.4322e-08	3.7232e-09	-1.2982e-10	3.6884e-07	-3.0814e-07	-6.16124e-08	3.6319e-09	-9.721e-11	3.664e-07	-3.0834e-07	-5.91928e-08	3.5428e-09	-7.643e-11	3.6394e-07	-3.0826e-07	-5.67804e-08	3.4637e-09	-1.1661e-10	3.6152e-07	-3.0808e-07	-5.43096e-08	3.3759e-09	-8.729e-11	3.5926e-07	-3.0808e-07	-5.209e-08	3.3e-09	-1.2518e-10	3.5706e-07	-3.0816e-07	-4.99488e-08	3.219e-09	-8.74e-11	3.5528e-07	-3.0838e-07	-4.78724e-08	3.1634e-09	-8.77e-12	3.5338e-07	-3.0842e-07	-4.58088e-08	3.0599e-09	-9.466e-11	3.51e-07	-3.0806e-07	-4.39118e-08	2.9802e-09	-8.941e-11	3.4924e-07	-3.0806e-07
1.165	-6.65198e-08	3.7561e-09	-7.504e-11	3.702e-07	-3.0736e-07	-6.39548e-08	3.6666e-09	-1.1848e-10	3.6846e-07	-3.08e-07	-6.12656e-08	3.5753e-09	-7.746e-11	3.6608e-07	-3.083e-07	-5.88828e-08	3.4941e-09	-7.717e-11	3.6352e-07	-3.0808e-07	-5.64628e-08	3.4063e-09	-8.96e-11	3.6124e-07	-3.0804e-07	-5.4041e-08	3.3293e-09	-7.854e-11	3.5896e-07	-3.082e-07	-5.1845e-08	3.2466e-09	-1.2338e-10	3.5686e-07	-3.0808e-07	-4.96976e-08	3.1685e-09	-1.0097e-10	3.5506e-07	-3.0844e-07	-4.76206e-08	3.0866e-09	-3.939e-11	3.5318e-07	-3.0848e-07	-4.5615e-08	3.0086e-09	-7.721e-11	3.5088e-07	-3.0806e-07	-4.37326e-08	2.9334e-09	-6.766e-11	3.49e-07	-3.0818e-07
1.16	-6.61178e-08	3.6996e-09	-8.295e-11	3.6982e-07	-3.0728e-07	-6.35482e-08	3.6093e-09	-9.6e-11	3.6808e-07	-3.0796e-07	-6.09056e-08	3.5259e-09	-7.077e-11	3.6566e-07	-3.0826e-07	-5.85562e-08	3.4373e-09	-9.262e-11	3.6324e-07	-3.0802e-07	-5.61788e-08	3.3564e-09	-6.952e-11	3.6098e-07	-3.0802e-07	-5.37768e-08	3.2782e-09	-9.22e-11	3.5864e-07	-3.0802e-07	-5.15886e-08	3.1939e-09	-9.542e-11	3.5662e-07	-3.0808e-07	-4.95028e-08	3.1168e-09	-1.169e-10	3.5486e-07	-3.0832e-07	-4.74454e-08	3.0469e-09	-1.5432e-10	3.5286e-07	-3.0836e-07	-4.54318e-08	2.9631e-09	-8.641e-11	3.5064e-07	-3.0812e-07	-4.35548e-08	2.8866e-09	-7.441e-11	3.4888e-07	-3.0804e-07
1.155	-6.57318e-08	3.6473e-09	-1.0745e-10	3.6948e-07	-3.0734e-07	-6.31888e-08	3.5565e-09	-7.289e-11	3.6774e-07	-3.0794e-07	-6.05726e-08	3.4766e-09	-8.539e-11	3.6538e-07	-3.0812e-07	-5.82476e-08	3.3888e-09	-1.0703e-10	3.6292e-07	-3.0802e-07	-5.58752e-08	3.3057e-09	-7.22e-11	3.6066e-07	-3.0798e-07	-5.35404e-08	3.2278e-09	-1.098e-10	3.5846e-07	-3.0812e-07	-5.1356e-08	3.1502e-09	-6.617e-11	3.564e-07	-3.0806e-07	-4.92598e-08	3.0692e-09	-1.1427e-10	3.5462e-07	-3.0832e-07	-4.72372e-08	2.9873e-09	-9.625e-11	3.5266e-07	-3.0836e-07	-4.52362e-08	2.9154e-09	-1.126e-10	3.5044e-07	-3.0806e-07	-4.3394e-08	2.8416e-09	-9.149e-11	3.4874e-07	-3.0806e-07
