|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.3	8.40000000000017e-08	1.61600000000002e-06	8.8000000000017e-08	5.4000000000001e-06	-1.40000000000001e-06	-1.38000000000001e-06	4.12000000000006e-06	1.23999999999999e-06	2.26000000000009e-06	-8.46000000000018e-06
-0.295	8.30000000000008e-08	7.64e-07	5.18666666666672e-07	2.38166666666668e-06	-1.2166666666666e-07	-3.98333333333326e-07	2.47666666666666e-06	4.36666666666654e-07	8.56666666666696e-07	-6.68333333333336e-06
-0.29	2.71999999999998e-08	3.314e-07	3.29400000000002e-07	1.20100000000001e-06	1.06000000000003e-07	-2.96999999999998e-07	1.503e-06	5.44999999999995e-07	2.18000000000017e-07	-4.19900000000001e-06
-0.285	7.57999999999994e-08	3.39999999999497e-09	2.62e-07	5.5999999999988e-08	4.69000000000002e-07	1.76000000000003e-07	6.4599999999999e-07	4.34999999999996e-07	-1.97999999999999e-07	-2.62499999999997e-06
-0.28	2.01799999999999e-07	-1.282e-07	2.41199999999998e-07	-5.64e-07	5.86999999999995e-07	4.79999999999998e-07	2.65000000000005e-07	6.90000000000009e-08	-3.92999999999997e-07	-1.52e-06
-0.275	2.634e-07	-4.60000000000002e-08	9.21999999999975e-08	-4.76000000000002e-07	2.74999999999997e-07	5.72999999999998e-07	3.38000000000004e-07	-1.93000000000002e-07	-2.73000000000001e-07	-8.64000000000001e-07
-0.27	2.27600000000001e-07	8.47999999999987e-08	-1.46199999999999e-07	-3.84000000000001e-07	-5.80000000000001e-08	7.56999999999999e-07	1.09000000000002e-07	-1.90000000000003e-07	-3.30000000000046e-08	-6.64000000000003e-07
-0.265	1.87400000000001e-07	1.97399999999998e-07	-8.23999999999981e-08	-4.25e-07	-2.25e-07	7.38e-07	-8.09999999999996e-08	-3.47000000000002e-07	-5.70000000000063e-08	-8.85000000000004e-07
-0.26	1.204e-07	2.17999999999999e-07	1.684e-07	-3.68e-07	-3.54999999999999e-07	5.11e-07	-4.40000000000032e-08	-6.58e-07	-3.15000000000009e-07	-9.30000000000001e-07
-0.255	-1.29999999999999e-08	1.25800000000001e-07	1.12e-07	-1.96e-07	-4.72999999999999e-07	1.4e-07	-3.20000000000005e-07	-4.03999999999998e-07	-3.0000000000001e-07	-6.84999999999998e-07
-0.25	-1.11400000000001e-07	4.32000000000013e-08	-1.304e-07	1.46e-07	-4.51000000000002e-07	-4.33999999999998e-07	-3.38000000000002e-07	1.43000000000002e-07	-1.57000000000005e-07	-5.41999999999998e-07
-0.245	-9.46000000000013e-08	-3.81999999999978e-08	-1.334e-07	2.14999999999999e-07	-2.75000000000004e-07	-7.96999999999998e-07	2.66000000000001e-07	1.18e-07	-1.60999999999997e-07	-5.66999999999998e-07
-0.24	-4.7600000000001e-08	-1.52199999999998e-07	-4.92000000000007e-08	-2.00000000000227e-09	-2.20000000000004e-07	-7.55999999999999e-07	5.01000000000001e-07	-4.10000000000031e-08	-1.30999999999995e-07	-4.10999999999999e-07
-0.235	-1.31999999999999e-08	-1.48799999999999e-07	-1.608e-07	-5.00000000000066e-09	-3.24000000000006e-07	-7.95999999999999e-07	4.76000000000001e-07	2.03999999999998e-07	-1.75000000000004e-07	-1.13999999999997e-07
-0.23	2.86000000000003e-08	-3.68e-08	-2.098e-07	-4.39999999999972e-08	-2.57000000000003e-07	-7.77e-07	8.69000000000001e-07	2.93e-07	-2.81000000000003e-07	-7.4999999999992e-08
-0.225	5.62000000000009e-08	1.53999999999988e-08	5.60000000000196e-09	-2.98999999999997e-07	-7.90000000000008e-08	-4.16000000000003e-07	8.40000000000001e-07	-8.49999999999984e-08	-8.70000000000017e-08	1.70000000000011e-07
-0.22	6.90000000000016e-08	9.37999999999987e-08	2.93e-07	-2.2e-07	7.4999999999998e-08	-1.87000000000001e-07	2.34e-07	-4.34999999999997e-07	2.99999999999964e-08	6.1200000000001e-07
-0.215	9.40000000000184e-09	2.012e-07	4.85599999999999e-07	1.79999999999998e-07	3.40999999999997e-07	-1.80999999999998e-07	-1.30000000000013e-08	-2.83999999999994e-07	5.2999999999996e-08	4.19000000000011e-07
-0.21	-1.16799999999999e-07	1.19599999999999e-07	5.266e-07	3.77999999999996e-07	6e-07	-9.59999999999986e-08	3.20000000000003e-08	1.00000000000028e-08	4.06000000000005e-07	-6.79999999999924e-08
-0.205	-1.55399999999999e-07	-4.72000000000016e-08	4.52400000000002e-07	4.31999999999994e-07	4.67999999999999e-07	-5.00000000000036e-09	-1.68999999999998e-07	-1.41000000000002e-07	5.58000000000003e-07	-7.0999999999999e-08
-0.2	-1.19399999999999e-07	-9.12000000000007e-08	3.82000000000001e-07	4.29999999999994e-07	1.74999999999998e-07	-1.45e-07	-2.97999999999999e-07	-1.80000000000003e-07	3.33999999999999e-07	-2.73000000000005e-07
-0.195	-1.012e-07	-1.68e-07	2.25800000000001e-07	3.48999999999996e-07	3.60000000000005e-08	-2.88000000000002e-07	-7.00000000000049e-09	1.13e-07	2.30999999999998e-07	-7.58000000000005e-07
-0.19	-1.24000000000008e-08	-1.902e-07	-1.07799999999998e-07	1.95e-07	-1.63999999999997e-07	-2.74000000000003e-07	3.30999999999999e-07	1.23000000000001e-07	1.89999999999997e-07	-5.92000000000006e-07
-0.185	8.39999999999994e-08	1.3000000000001e-08	-2.05599999999998e-07	-4.4999999999997e-08	-2.40999999999997e-07	-2.03e-07	3.56999999999997e-07	-3.00000000000023e-09	8.29999999999956e-08	-1.16000000000009e-07
-0.18	7.07999999999998e-08	2.06600000000001e-07	-1.85999999999989e-08	-1.07999999999995e-07	5.70000000000021e-08	2.05000000000003e-07	2.79999999999957e-08	2.3e-07	8.49999999999957e-08	-1.42000000000006e-07
-0.175	3.11999999999999e-08	2.282e-07	2.95999999999997e-08	-4.99999999999974e-08	3.30999999999999e-07	7.43000000000002e-07	-2.64000000000003e-07	4.39000000000001e-07	1.51999999999999e-07	-2.73999999999999e-07
-0.17	2.59999999999998e-08	2.32599999999999e-07	-2.69999999999999e-08	-6.39999999999984e-08	1.96999999999998e-07	8.85e-07	-3.32000000000004e-07	4.24e-07	2.35000000000003e-07	-3.01999999999997e-07
-0.165	5.87999999999999e-08	1.67199999999999e-07	-6.73999999999991e-08	-1.26999999999997e-07	1.24999999999999e-07	7.22999999999999e-07	-3.44000000000002e-07	4.14999999999999e-07	3.92000000000004e-07	-4.18999999999999e-07
-0.16	9.97999999999998e-08	-1.18200000000001e-07	-2.06400000000001e-07	-1.73999999999998e-07	1.76e-07	4.10999999999999e-07	-1.33999999999997e-07	2.21e-07	4.70000000000001e-07	-3.86999999999997e-07
-0.155	1.066e-07	-2.64600000000001e-07	-3.98800000000001e-07	-1.09e-07	-5.7999999999998e-08	-1.25000000000001e-07	2.33000000000002e-07	2.09999999999994e-08	4.16999999999999e-07	-2.75999999999995e-07
-0.15	1.186e-07	-9.68000000000006e-08	-3.69999999999998e-07	4.30000000000032e-08	-1.82999999999997e-07	-6.19999999999999e-07	3.68e-07	1.23000000000001e-07	2.46999999999999e-07	-2.46000000000001e-07
-0.145	1.248e-07	-1.09999999999987e-08	-1.71799999999999e-07	2.53000000000004e-07	1.29000000000003e-07	-6.78999999999998e-07	3.75000000000002e-07	1.70000000000002e-07	-1.56000000000003e-07	-5.60000000000041e-08
-0.14	4.86e-08	-4.1199999999999e-08	-2.04000000000019e-08	4.8e-07	3.60000000000001e-07	-4.50999999999998e-07	4.95000000000003e-07	-2.41999999999999e-07	-4.09000000000007e-07	7.89999999999995e-08
-0.135	-3.21999999999994e-08	1.01e-07	1.77599999999998e-07	5.29999999999997e-07	3.19e-07	-2.54e-07	3.41e-07	-5.72e-07	-4.03000000000002e-07	-3.38000000000004e-07
-0.13	-6.47999999999993e-08	1.57600000000001e-07	3.32199999999998e-07	3.44999999999998e-07	4.21000000000002e-07	-1.42000000000002e-07	-1.59999999999991e-08	-5.19e-07	-4.90999999999992e-07	-5.76000000000009e-07
-0.125	-7.15999999999996e-08	-5.31999999999989e-08	3.00799999999998e-07	2.07999999999999e-07	4.34e-07	-3.40000000000025e-08	-4.09999999999988e-08	-5.84000000000001e-07	-3.7799999999999e-07	-3.64000000000002e-07
-0.12	-2.93999999999994e-08	-1.474e-07	2.332e-07	2.59999999999998e-07	9.69999999999987e-08	-3.70000000000027e-08	-8.50000000000021e-08	-4.60000000000002e-07	4.40000000000075e-08	-4.24999999999996e-07
-0.115	-1.99999999999697e-10	-7.9400000000001e-08	2.59800000000003e-07	3.15e-07	-3.2e-07	1.99999999999593e-09	-4.50000000000004e-07	1.81999999999997e-07	2.62000000000007e-07	-5.49999999999999e-07
-0.11	-1.4400000000001e-08	-8.34000000000014e-08	3.16800000000005e-07	1.66e-07	-5.94000000000004e-07	1.81999999999998e-07	-5.83000000000003e-07	5.05e-07	2.42000000000002e-07	-3.07999999999998e-07
-0.105	5.99999999999883e-09	-8.46000000000006e-08	3.46000000000002e-07	-1.03000000000004e-07	-6.83000000000007e-07	2.37e-07	-7.10000000000034e-08	1.72000000000005e-07	2.45999999999993e-07	7.20000000000051e-08
-0.1	9.5999999999992e-09	-9.40000000000013e-09	3.33800000000002e-07	-2.42000000000005e-07	-6.22000000000006e-07	1.82e-07	3.73999999999998e-07	-2.22999999999995e-07	3.08999999999992e-07	1.29000000000003e-07
-0.095	-6.14000000000002e-08	2.18000000000003e-08	2.23600000000003e-07	-4.10000000000003e-07	-4.77000000000004e-07	3.20000000000019e-08	2.51000000000001e-07	-5.29999999999997e-07	4.66999999999995e-07	-1.59000000000001e-07
-0.09	-8.80000000000002e-08	-2.09999999999985e-08	1.26200000000002e-07	-5.19000000000003e-07	-2.79000000000002e-07	-3.22999999999995e-07	2.38000000000003e-07	-7.60999999999997e-07	3.59e-07	-2.44000000000001e-07
-0.085	-5.16000000000002e-08	-2.79999999999788e-09	1.45e-07	-2.58e-07	-1.08e-07	-5.89999999999995e-07	3.42000000000002e-07	-5.77000000000001e-07	1.62000000000004e-07	2.90000000000042e-08
-0.08	-5.56000000000005e-08	2.90000000000011e-08	1.87800000000002e-07	-5.99999999999622e-09	-9.40000000000006e-08	-5.16999999999996e-07	1.40000000000032e-08	1.20999999999996e-07	2.46000000000006e-07	-6.59999999999923e-08
-0.075	-7.30000000000007e-08	-4.86e-08	9.36000000000002e-08	-4.99999999999952e-08	-6.40000000000005e-08	-3.39999999999998e-07	-2.63999999999996e-07	7.86999999999997e-07	1.37000000000004e-07	-3.74999999999996e-07
-0.07	-6.10000000000008e-08	-1.25400000000001e-07	-5.28000000000026e-08	-1.33999999999999e-07	1.30999999999999e-07	-2.10999999999999e-07	-6.19999999999982e-08	8.21999999999997e-07	-8.70000000000001e-08	-7.20000000000012e-08
-0.0649999999999999	-6.02000000000004e-08	-5.08000000000025e-08	-8.5800000000003e-08	-1.67000000000002e-07	3.39999999999998e-07	-9.39999999999985e-08	-2.09999999999994e-08	5.38999999999998e-07	-1.43e-07	1.60999999999997e-07
-0.0599999999999999	-4.73999999999997e-08	4.19999999999978e-08	-1.55200000000002e-07	-2.79000000000002e-07	4.66999999999999e-07	7.0000000000001e-08	-2.70000000000001e-07	3.95e-07	-1.55000000000001e-07	-2.18000000000008e-07
-0.0549999999999999	-2.65999999999994e-08	2.43999999999991e-08	-3.48800000000001e-07	-3.64000000000002e-07	3.43000000000002e-07	1.42e-07	-3.66000000000004e-07	1.26000000000001e-07	-1.63000000000006e-07	-5.04000000000008e-07
-0.0499999999999999	-2.39999999999996e-08	-2.20000000000017e-08	-4.67600000000003e-07	-2.96000000000002e-07	-1.56999999999999e-07	1.06000000000001e-07	-5.07000000000005e-07	-2.62999999999999e-07	-2.30000000000005e-07	-3.23999999999999e-07
-0.0449999999999999	-1.55999999999996e-08	-8.12000000000025e-08	-3.91600000000003e-07	-2.12999999999999e-07	-5.74000000000001e-07	3.20000000000002e-07	-7.17000000000004e-07	-2.62000000000001e-07	-9.59999999999971e-08	-2.27999999999991e-07
-0.0399999999999999	-3.13999999999995e-08	-1.78000000000001e-07	-3.33800000000002e-07	-1.88999999999997e-07	-7.73000000000001e-07	7.24e-07	-5.26000000000003e-07	-1.30000000000002e-07	4.88000000000004e-07	-3.5899999999999e-07
-0.035	-8.47999999999997e-08	-3.064e-07	-4.68000000000003e-07	-5.09999999999977e-08	-8.84000000000003e-07	7.38999999999999e-07	-8.00000000000034e-08	-3.65e-07	6.71000000000003e-07	-2.63999999999994e-07
-0.03	-8.28000000000001e-08	-2.68400000000001e-07	-4.58600000000004e-07	1.7e-07	-7.17000000000007e-07	3.8e-07	3.75999999999997e-07	-5.87e-07	3.56000000000003e-07	3.39999999999986e-08
-0.025	-3.60000000000005e-08	-2.32000000000003e-08	-1.82400000000001e-07	2.44999999999998e-07	-5.23000000000005e-07	1.33999999999999e-07	7.65999999999998e-07	-3.69000000000002e-07	3.31000000000003e-07	1.11999999999992e-07
